date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,125314,127410,124058,125318,237347,29743851346,0.6724,-34971,23384,12101,20146,-2776,-1833,-10336,1652,5248,46,-560,0
2016-05-27,125314,126572,124476,125318,119569,14984147942,0.0,-46850,13618,32717,23129,464,841,138,0,8145,360,155,0
2016-05-30,126153,128249,124896,127833,286545,36629906985,2.0069,-63990,10213,56648,37852,3266,3003,2329,-600,10798,-1488,-1383,0
2016-05-31,128249,129926,126991,129090,306207,39528261630,0.9833,-95848,64798,40520,34420,1853,924,2619,0,1670,-8415,-1055,-966
2016-06-01,128669,130763,128669,129928,164070,21317286960,0.6492,-52627,29811,25393,20425,199,630,3940,0,199,-2550,-27,0
2016-06-02,129506,130763,128249,129090,224579,28990903110,-0.645,-62976,21930,44939,34423,6135,544,5487,-261,-1461,-3429,-464,72
2016-06-03,129926,129926,127830,129509,151832,19663610488,0.3246,-34863,12149,22204,16507,8473,1214,-2535,0,-1455,547,-37,0
2016-06-07,129926,132860,129086,132443,350693,46446832999,2.2655,-38447,27750,12862,15422,-7299,1790,-352,-2,3303,-1350,-815,0
2016-06-08,132440,132440,128249,132023,264627,34936850421,-0.3171,-50460,-732,52415,43222,9310,2656,637,-697,-2971,-523,-700,258
2016-06-09,131600,134116,129086,129509,1054177,136525409093,-1.9042,-109291,-350295,470745,110151,312472,9714,55788,0,-17380,-9800,-1359,0
2016-06-10,129506,129926,125314,125318,381247,47777111546,-3.2361,26716,1109,-29800,-37075,5239,3809,-1709,1271,-1335,464,1511,0
2016-06-13,124475,124895,122381,122803,204640,25130405920,-2.0069,-31569,9422,22077,23224,-1105,-49,-78,0,85,21,49,0
2016-06-14,122799,124475,120285,122803,256892,31547108276,0.0,-22241,-10757,32178,34965,-2593,-1471,8374,-608,-6489,892,-72,0
2016-06-15,122799,124475,121543,122803,147837,18154827111,0.0,-881,-3520,7384,22848,-1427,404,526,0,-14967,-2939,-44,0
2016-06-16,123219,124058,120286,120289,184197,22156872933,-2.0472,-14898,8967,8729,22059,-3442,-2237,-228,0,-7423,-2898,100,0
2016-06-17,121543,124057,121122,122803,160937,19763546411,2.09,-17442,4080,13410,18582,-890,-3921,-372,-51,69,3,-51,-7
2016-06-20,123638,124476,122382,123641,125689,15540313649,0.6824,-20071,-21983,43097,26652,8610,2245,-44,2098,3536,618,-1661,0
2016-06-21,124058,130344,124058,129928,318880,41431440640,5.0849,-63973,-9799,77029,63972,8220,2140,3384,345,-2412,-1816,-1441,1380
2016-06-22,129506,132440,129506,130767,275761,36060438687,0.6457,-86889,-7086,94156,63984,7059,-39,16397,1628,-684,380,-561,5811
2016-06-23,131600,132022,128249,129509,162005,20981105545,-0.962,-14762,-6841,21925,23417,-5481,0,-2508,0,7549,-352,30,-1052
2016-06-24,130343,131600,118608,122803,501560,61593072680,-5.178,-18039,52,13236,12429,433,1164,2913,0,-3886,1634,3117,183
2016-06-27,120286,124476,118190,124061,207740,25772432140,1.0244,-38389,13538,26077,20701,3396,-1446,281,-1858,5003,-1331,105,0
2016-06-28,122800,128669,122800,125737,234768,29519024016,1.3509,26078,1474,-28406,-34307,-3892,97,5873,0,3720,1205,-351,103
2016-06-29,125735,131183,124896,130348,301325,39277111100,3.6672,-47102,-506,50850,38497,-73,1202,10516,0,593,-1973,-1269,115
2016-06-30,131600,131600,128249,128252,160563,20592525876,-1.608,-12919,7099,6035,19296,-3994,-4,-1439,0,-7824,204,-419,0
2016-07-01,129506,133278,129506,132443,265669,35185999367,3.2678,-98800,17572,81125,42361,19691,5051,250,909,12763,1846,-1743,100
2016-07-04,134116,134536,131183,131606,137488,18094245728,-0.632,13814,-14502,1737,17349,-6702,109,-6938,0,-2081,807,-1856,0
2016-07-05,130763,131183,128669,129509,159200,20617832800,-1.5934,-24521,13916,10454,25854,-1389,1224,-1276,0,-13576,158,-7,-383
2016-07-06,129506,131600,127830,128671,152902,19674053242,-0.6471,6307,-3819,-2083,12242,-7002,-483,-2231,0,-4609,-348,-57,0
2016-07-07,129506,131600,127830,131606,133583,17580324298,2.281,-13120,-3768,16748,15943,-86,-191,-146,0,1228,-1,141,0
2016-07-08,131183,132440,129506,132443,120855,16006398765,0.636,-27251,-6154,32962,24758,2268,1072,-60,0,4924,452,-9,0
2016-07-11,133697,133697,131600,133281,133458,17787415698,0.6327,-32887,6264,26414,21133,1922,1385,-793,0,4155,-321,530,-1388
2016-07-12,133278,133697,132440,132862,105631,14034345922,-0.3144,-19885,-489,19529,22386,273,-1106,1264,0,-1933,615,230,-1355
2016-07-13,133278,134536,129506,129509,214849,27824879141,-2.5237,1553,-10113,8414,28350,-1113,-874,-5550,0,-9814,158,-12,-2585
2016-07-14,129506,132440,129506,130767,116586,15245601462,0.9714,-28179,7979,20213,23641,-4611,2206,-4134,0,3111,172,-185,0
2016-07-15,130763,132860,130763,131606,135558,17840246148,0.6416,-32124,15777,15783,12995,457,539,2547,0,-755,495,69,0
2016-07-18,131600,134116,131183,132862,135356,17983668872,0.9544,-23263,-2967,25434,12836,-1985,-379,-138,0,15105,969,-173,-5
2016-07-19,133278,133697,131600,132443,78093,10342871199,-0.3154,-5036,5438,391,11501,-6353,407,-1941,0,-3223,-842,49,0
2016-07-20,132440,133278,129926,131186,82498,10822582628,-0.9491,-7457,7053,3967,9005,-1809,-62,-1991,821,-1997,-5153,1590,0
2016-07-21,131183,132022,128669,128671,117358,15100571218,-1.9171,-7581,5392,3115,11235,-4540,945,-6424,0,1899,-660,-266,0
2016-07-22,128249,130344,126991,129509,95333,12346481497,0.6513,-12751,9212,3840,11113,-469,-310,-13,0,-6481,0,-301,0
2016-07-25,129506,130763,125314,126995,113122,14365928390,-1.9412,4506,804,-5441,4548,-766,-2089,-299,0,-6835,60,71,0
2016-07-26,127410,129506,126572,129509,72728,9418930552,1.9796,-11782,1710,9183,5040,630,396,764,0,2353,757,132,0
2016-07-27,128249,129086,121544,123222,348008,42882241776,-4.8545,128882,-22006,-110385,-15738,-34461,-11585,-23931,-4679,-15472,2458,1051,-4519
2016-07-28,121544,124476,120704,121965,238170,29048404050,-1.0201,40423,-17436,-23352,-20983,-8667,-50,-685,0,7033,-191,556,0
2016-07-29,122800,123219,119866,120708,151121,18241513668,-1.0306,12536,1748,-14240,4140,-12365,-182,-3200,0,-2633,-448,404,0
