date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,50600,53200,50100,52600,939287,49406496200,5.2,-325700,174889,153518,-18110,66304,45511,13940,0,47228,-2559,-148,-1355
2016-05-26,53000,53200,52100,52300,325089,17002154700,-0.5703,-15037,-43824,59879,21738,12628,3786,3375,-100,18452,-249,-769,0
2016-05-27,52600,53700,52600,53200,339339,18052834800,1.7208,-40106,-31570,72117,110,1053,48214,11377,0,11363,-150,-291,0
2016-05-30,53100,53200,52100,52300,221207,11569126100,-1.6917,30579,-35147,3143,2490,-9121,-2680,139,0,12367,745,680,-52
2016-05-31,52000,52600,51900,52200,560079,29236123800,-0.1912,35764,-29052,-6687,-6046,2304,-610,357,0,-2692,-196,171,0
2016-06-01,51700,52200,51100,52000,346072,17995744000,-0.3831,-2149,22869,-26259,-7629,-7668,5168,3869,0,-19999,5134,405,0
2016-06-02,51800,51900,50600,50700,448716,22749901200,-2.5,132219,-29733,-100042,-4487,2708,-66679,-4171,-120,-27942,-2369,-75,649
2016-06-03,51000,51800,50700,51300,288578,14804051400,1.1834,-27003,4183,25512,313,1280,-15985,-408,0,40312,-2677,-15,0
2016-06-07,51100,51900,51000,51800,243775,12627545000,0.9747,-12021,19867,-1874,-390,6767,-41,-6681,1159,-1592,-6425,453,-1096
2016-06-08,51900,52000,50700,51200,332614,17029836800,-1.1583,85712,15764,-100930,-39032,-5379,-43486,-11143,0,-1450,181,-727,-440
2016-06-09,51400,51400,50700,51100,375291,19177370100,-0.1953,38070,-1810,-37547,-42564,12189,3410,-10380,0,-202,1001,286,0
2016-06-10,51200,51400,50800,51300,187511,9619314300,0.3914,-7457,-4389,11735,-40759,346,-641,-8260,0,61049,111,0,0
2016-06-13,51100,52400,50700,52400,381269,19978495600,2.1442,-133361,17789,115915,29462,24793,30252,7368,-100,24111,-1351,1008,29
2016-06-14,52200,52400,51100,51400,332859,17108952600,-1.9084,40332,-63891,22695,2245,18288,708,-13,0,1467,956,-92,0
2016-06-15,51400,52000,51100,51300,244244,12529717200,-0.1946,43926,-42406,411,4342,9928,141,586,0,-14586,-1893,-38,0
