date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,168000,171000,167500,170000,65136,11073120000,1.4925,-8371,10787,-2549,-3118,807,461,-1804,0,1105,143,-10,0
2016-05-27,169000,173000,167000,170000,140994,23968980000,0.0,504,-5190,4474,-779,1395,3937,-45,0,-34,59,153,0
2016-05-30,171500,172500,167500,170500,165267,28178023500,0.2941,-3084,-11748,13983,1022,2574,1770,6487,2500,-370,859,-10,0
2016-05-31,171000,185000,169500,184500,324195,59813977500,8.2111,-43521,21403,22919,17929,2792,-6551,13296,0,-5894,-1497,696,1347
2016-06-01,185000,186000,180000,184000,83937,15444408000,-0.271,1420,2917,-5164,2085,-1701,-1913,-2866,0,-865,583,244,96
2016-06-02,182500,184000,179500,183000,61874,11322942000,-0.5435,-4647,-15557,19720,7964,1389,14094,-1363,0,-2364,550,-66,0
2016-06-03,183000,189000,180500,186500,120602,22492273000,1.9126,-20839,3253,18698,-614,-2589,11848,1522,0,6031,-1050,-62,2500
2016-06-07,187500,188000,184000,186000,94288,17537568000,-0.2681,-2087,8477,-4389,-10334,-5080,0,-2246,2000,11588,-911,-1090,-317
2016-06-08,184500,185000,176000,178500,116041,20713318500,-4.0323,26252,2772,-29161,-15383,-13548,-5974,4290,40,1359,32,105,55
2016-06-09,177000,177500,170500,172000,160315,27574180000,-3.6415,32417,-32796,-1512,2975,-505,-3926,-4174,0,4118,1874,17,0
2016-06-10,172000,174000,170000,171500,120867,20728690500,-0.2907,9061,-16947,7126,10345,-9754,5919,-379,300,695,756,4,0
2016-06-13,171500,172000,168500,170000,73904,12563680000,-0.8746,892,-7743,9055,2375,1815,5567,113,0,-815,-2209,5,0
2016-06-14,170000,170500,166000,168500,85189,14354346500,-0.8824,13401,248,-13719,7882,-14649,-1058,-673,0,-5133,71,-1,-88
2016-06-15,167000,169000,166000,167000,65101,10871867000,-0.8902,-327,8379,-8049,1449,-208,-5923,-45,0,-3322,-4,1,0
2016-06-16,167500,167500,162000,165000,91288,15062520000,-1.1976,-9421,20515,-8620,1972,-3947,-743,-754,50,-3198,-2074,-400,-2000
2016-06-17,166000,170000,166000,168000,60463,10157784000,1.8182,-7071,-3426,10654,5996,5049,-475,2115,0,-2031,-153,-4,0
2016-06-20,170000,170000,165500,166500,36306,6044949000,-0.8929,5117,-2171,-1708,2065,-4410,-989,-13,0,1639,-1233,-5,0
2016-06-21,168000,169500,163500,169000,66269,11199461000,1.5015,-9641,4206,5561,109,2080,3418,308,-50,-199,-129,3,-105
2016-06-22,171000,171000,163500,164000,77995,12791180000,-2.9586,16621,-11665,-4926,-2003,-3212,-801,5160,50,-2620,-31,1,-1500
2016-06-23,164500,164500,158000,160500,130656,20970288000,-2.1341,10586,27518,-37998,-18783,-9203,3,-7053,0,-2962,-107,1,0
2016-06-24,159500,160500,148500,150000,244800,36720000000,-6.5421,4324,67878,-71921,-19252,-26092,-5990,-10457,-1240,-8682,-292,11,-208
2016-06-27,146000,152500,145000,151500,101584,15389976000,1.0,-18250,33726,-15260,-17951,556,-1345,-2229,0,5709,-146,-70,0
2016-06-28,149500,151000,148000,150000,110291,16543650000,-0.9901,9715,19035,-28846,-23038,-12283,3321,-6041,0,9401,117,-21,-206
2016-06-29,150500,152500,149500,151500,182695,27678292500,1.0,41946,-12197,-29682,-15518,-6929,2169,-15202,0,5798,-72,5,0
2016-06-30,152500,161500,152500,159000,186350,29629650000,4.9505,-26644,16898,9756,-1654,20236,5298,1684,2539,-18347,0,-10,0
2016-07-01,160500,167000,160500,165000,135769,22401885000,3.7736,-21073,31860,-11222,-17877,5469,-1631,3084,500,-767,996,-561,0
2016-07-04,168500,169000,163000,164500,116519,19167375500,-0.303,-50,33126,-31706,-15411,-6684,-783,-8945,600,-483,30,-1400,0
2016-07-05,163500,164500,160000,161500,75164,12138986000,-1.8237,15605,2104,-17988,-6307,-2474,-5281,523,0,-4449,181,98,0
2016-07-06,161500,164000,159000,164000,99862,16377368000,1.548,-13483,11894,869,-1596,-1949,3691,416,-30,337,638,82,0
2016-07-07,165000,171000,164500,166500,97309,16201948500,1.5244,-12882,18726,-6023,-1888,-3133,-5498,2610,-300,2186,50,129,0
2016-07-08,165500,167000,163500,165500,68511,11338570500,-0.6006,-3375,19970,-16630,1563,-11576,-802,-910,0,-2738,-38,73,-2167
2016-07-11,167500,168000,164500,165000,66956,11047740000,-0.3021,-361,1153,-1391,-603,-2662,149,-682,0,2407,6,593,0
2016-07-12,163500,166500,163000,166500,55695,9273217500,0.9091,-4676,23400,-18724,-62,-4557,-9935,-2826,0,-1344,0,0,0
2016-07-13,168000,172000,167000,170500,105853,18047936500,2.4024,-22550,56952,-34452,9462,-6762,-31678,-3006,0,-2468,50,0,0
2016-07-14,170000,172000,168000,170000,58870,10007900000,-0.2933,-3445,4411,-916,9900,-4735,-701,-2943,0,-2437,-50,0,0
2016-07-15,170000,173000,169500,173000,75359,13037107000,1.7647,-10450,24894,-14444,-63,-7047,-1349,-1090,-300,-4595,0,0,0
2016-07-18,172500,181000,172000,177000,133446,23619942000,2.3121,-11327,31447,-20311,-1785,-10275,1566,703,591,-11614,191,0,503
2016-07-19,177500,178500,173000,177500,82284,14605410000,0.2825,-963,17333,-16263,269,-5614,-2009,-1061,0,-7848,3,-110,0
2016-07-20,178500,178500,173000,175000,108090,18915750000,-1.4085,-1765,33297,-31593,-4073,-4668,-10174,-9598,0,-3098,61,0,18
2016-07-21,174000,180000,172500,179000,70728,12660312000,2.2857,-15823,17899,-2031,11851,-3529,-2641,-2735,-40,-4937,0,-45,0
2016-07-22,180000,180000,175500,176500,65916,11634174000,-1.3966,1908,-997,-11061,-2233,-4170,-2573,-500,0,-1585,10076,74,0
