date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,16650,17000,15750,15950,958022,15280450900,-4.2042,10456,22074,-30686,4043,-19301,-2649,-15635,0,2856,-953,-891,0
2016-05-27,16100,16650,15950,16200,583980,9460476000,1.5674,-72566,22206,45360,42441,377,1683,260,0,599,5000,0,0
2016-05-30,16350,17150,15950,16950,1002619,16994392050,4.6296,-159981,52911,113539,103416,2358,-362,653,0,1574,3007,-9476,5900
2016-05-31,17100,17550,16950,17350,1041618,18072072300,2.3599,-98578,39489,60262,65562,1970,-3224,-23054,0,19008,-500,-673,0
2016-06-01,17450,18100,17250,18000,1515877,27285786000,3.7464,-259409,164052,87047,114693,99,-15196,-20064,0,7515,36421,-28111,0
2016-06-02,18350,18850,17700,18100,2673503,48390404300,0.5556,-51939,-71561,119810,54684,-9381,-5274,-26171,0,105952,2090,1600,0
2016-06-03,18600,19750,18100,19250,2963558,57048491500,6.3536,-7423,12954,73319,66476,-7563,-9350,-7427,0,31183,-45638,-33212,0
2016-06-07,19500,23850,18850,22850,5409536,123607897600,18.7013,-116134,74510,80096,98087,-3274,1887,-1830,0,-14804,9543,-48015,30
2016-06-08,23050,25350,22500,24900,5457359,135888239100,8.9716,-66592,-139876,235020,266647,-23839,-1195,4033,0,-10626,-28144,-408,0
2016-06-09,25100,29050,24450,26150,10012873,261836628950,5.0201,-352557,-833637,1174102,530246,579033,-927,64014,300,1436,4232,7860,0
2016-06-10,26950,28250,25100,26700,5742969,153337272300,2.1033,25274,9359,-51249,-94040,34132,3442,2250,0,3897,13885,2731,-930
2016-06-13,25750,27000,25000,25150,2842019,71476777850,-5.8052,77113,130082,-224668,-134470,-2122,-29288,-35,0,-53753,16408,1065,-5000
2016-06-14,24900,25450,22900,24000,4719926,113278224000,-4.5726,6385,225277,-337916,-275808,2643,-18236,3410,3379,-53304,108312,-2058,0
2016-06-15,24050,24550,22950,23500,3187328,74902208000,-2.0833,9043,72884,-73550,-90106,1325,-891,-304,0,16426,-10188,1811,0
2016-06-16,23850,24300,21100,22000,3954402,86996844000,-6.383,60007,93276,-147624,-133129,-24341,-1055,9937,0,-1336,-2577,-3082,2300
2016-06-17,22050,23250,21250,22000,3438483,75646626000,0.0,-64841,70385,-7295,-54804,675,-5105,183,0,49474,-1036,2787,2282
2016-06-20,22550,22600,21850,22050,1338995,29524839750,0.2273,117966,-108538,-8648,1838,-575,63,-118,0,-9856,-4901,4121,0
2016-06-21,22400,23000,21600,23000,2228350,51252050000,4.3084,51979,-78835,21632,4108,6313,96,6261,0,2536,595,4629,2318
2016-06-22,22700,22900,21550,21650,1593143,34491545950,-5.8696,181767,-180661,1095,15355,4090,-18200,3382,0,-3532,973,-3174,0
2016-06-23,21400,21600,20100,21400,2023360,43299904000,-1.1547,-203274,222577,-19969,5753,119,-2937,385,0,-23289,106,560,0
2016-06-24,21850,21950,18500,19600,4427078,86770728800,-8.4112,-14485,18763,5036,0,2898,7165,68,313,-8008,-2948,-6366,2600
