date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,92203,95836,91295,95838,284290,27245785020,5.4997,-87070,76019,11338,-1165,2957,3642,619,440,4845,10,-297,0
2016-05-27,95383,97200,93566,96292,244108,23505647536,0.4737,-49062,-21168,76729,54404,11658,-4341,9772,200,5036,-6502,3,0
2016-05-30,96291,97653,94929,95384,128217,12229850328,-0.943,-8020,-21002,29096,20166,1149,1054,-212,500,5639,-74,0,800
2016-05-31,95836,100379,95383,99472,367385,36544520720,4.2858,-56836,5113,50731,5522,17896,29111,1571,900,-4269,987,5,0
2016-06-01,98562,99925,97200,98109,190887,18727732683,-1.3702,-12799,3241,9701,19885,-1350,4929,7744,500,-22007,-115,-28,0
2016-06-02,99925,100379,97653,97655,199129,19445942495,-0.4628,-14775,-13846,29380,48453,-3294,-7272,8123,700,-17495,-902,143,165
2016-06-03,98562,102196,98562,99017,318618,31548598506,1.3947,-28927,-36976,65376,53450,2343,-10040,9086,0,10537,426,101,0
2016-06-07,100379,103104,99017,103105,282198,29096024790,4.1286,-117944,99430,16300,479,-4781,-84,22029,500,-1754,2042,172,-89
2016-06-08,104467,104921,101741,104922,301396,31623071112,1.7623,-80953,4639,74961,40927,19830,-10663,4346,380,20192,907,446,-51
2016-06-09,104921,106284,103558,104013,307958,32031635454,-0.8664,-74441,61461,12955,28158,1855,-14446,-4421,-100,3167,216,-191,-1258
2016-06-10,103558,105375,103104,104922,186166,19532909052,0.8739,-21338,843,20993,8226,-12118,3152,-8420,0,30153,-213,-285,0
2016-06-13,103558,104013,99017,99017,196089,19416144513,-5.628,21256,23599,-47050,-5273,-7013,-23380,-4914,400,-6870,1417,778,0
2016-06-14,99017,101741,97653,99017,339047,33571416799,0.0,51474,6812,-54869,19922,2583,-53477,-9070,300,-14979,-3411,-6,-148
2016-06-15,98108,99470,95383,95384,206105,19659119320,-3.6691,42663,-31885,-12059,9758,-1962,-5237,-4513,0,-9932,1284,-3,-173
2016-06-16,95383,97653,94474,95384,204823,19536837032,0.0,15133,46,-14420,4853,3317,-62,-4198,370,-18700,-494,-265,0
2016-06-17,96745,97200,93112,94476,257505,24328042380,-0.9519,1121,-21003,18402,6314,-1528,2608,-3671,-436,15202,1536,-56,-87
2016-06-20,96745,98108,95836,97655,163745,15990517975,3.3649,-39216,863,37488,12803,13131,5382,-186,-1220,7578,865,0,0
2016-06-21,98108,98108,95836,95838,115773,11095452774,-1.8606,12161,-21038,8874,-2157,5751,3069,3216,370,-1375,3,0,0
2016-06-22,95836,100379,95383,99926,238790,23861329540,4.2655,-80797,41052,40342,39393,7380,-11211,-1786,-900,7466,-481,-116,0
2016-06-23,99470,101741,99017,99472,180322,17936989984,-0.4543,-18826,-3985,22161,4230,5019,-516,2060,950,10418,917,-267,0
2016-06-24,101741,102650,93566,94021,686612,64555946852,-5.4799,44048,-71454,30879,26270,20511,-5054,4582,-10,-17106,-3526,53,1686
2016-06-27,92203,94020,90841,92659,329262,30509087658,-1.4486,15251,5916,-23515,-7747,647,3591,-22649,270,8177,2430,-82,-5804
2016-06-28,91749,95836,91749,94929,203347,19303527363,2.4498,-28502,-5421,33833,-5240,-7812,16043,4359,-1120,27504,90,0,99
2016-06-29,96291,96745,94474,95384,162476,15497610784,0.4793,2896,20673,-28956,-11615,1758,4156,-3379,-300,-19076,6117,-730,-500
2016-06-30,97200,97200,94474,95838,178594,17116091772,0.476,18906,2180,-9924,14500,8698,-2359,372,500,-31135,-11031,-131,-500
2016-07-01,96291,97200,94474,94929,126707,12028168803,-0.9485,23159,-10217,-12923,-15191,-4290,-1649,14889,-100,-6582,62,-81,0
2016-07-04,94929,97653,94929,96746,151404,14647731384,1.9141,-30572,25233,4232,1535,710,17051,-12143,0,-2921,1097,10,0
2016-07-05,96745,96745,94474,95384,182521,17409583064,-1.4078,15894,7230,-23425,-15637,-3686,-2698,-3045,-100,1741,301,0,0
