date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,27873,28176,27510,27996,647819,18136340724,1.3136,-124454,167492,-23495,-12105,3102,7116,2083,0,-22934,-19605,62,-757
2016-05-27,28115,29324,27994,28842,1263628,36445558776,3.0219,-498357,306211,162419,34884,69651,48979,-14625,1897,21633,27491,2236,0
2016-05-30,29023,29144,28479,28721,468366,13451939886,-0.4195,-15470,83681,-72337,-8876,-35535,590,-3670,0,-24846,4451,-325,0
2016-05-31,28780,29265,28659,28842,674830,19463446860,0.4213,-14856,174561,-160652,-20063,-111906,-7273,19746,0,-41156,690,257,0
2016-06-01,28539,28600,28116,28358,626522,17766910876,-1.6781,-66426,203559,-144669,-118031,3011,-418,23109,0,-58433,17900,-10364,6093
2016-06-02,28418,28842,28358,28358,485975,13781279050,0.0,-61446,232717,-137754,-130955,3646,-495,10119,0,-19633,-33660,143,-436
2016-06-03,28236,28417,27873,28056,540612,15167410272,-1.065,6299,91330,-97752,-72429,726,-17048,-21944,0,13798,199,-76,-855
2016-06-07,28056,28660,28056,28237,612063,17282822931,0.6451,-61550,182824,-124714,-115731,-94096,17373,16460,0,58758,3450,-10,-7478
2016-06-08,28600,30051,28600,30051,1859831,55889781381,6.4242,-936101,459971,461621,35084,40,191169,129174,9488,96257,5306,9203,409
2016-06-09,30171,30171,29385,29870,1067506,31886404220,-0.6023,-93815,159598,-63840,-156497,-26961,15560,39549,5002,69507,-5423,3480,-10000
2016-06-10,29929,29989,29324,29447,524505,15445098735,-1.4161,-47782,-43400,92702,-37179,-41306,30661,-7957,0,147716,-821,-699,767
2016-06-13,29143,29566,28901,29447,555012,16343438364,0.0,-110451,73813,42524,17520,-31972,25116,11917,0,19943,-5886,0,0
2016-06-14,29507,29688,28539,28721,556459,15982058939,-2.4654,163169,-98029,-68147,-79379,-31099,59377,8066,0,-25591,1759,1248,479
2016-06-15,28479,28963,28237,28358,416207,11802798106,-1.2639,36903,77657,-110893,-89212,6274,-12087,9310,861,-26039,-3959,292,0
2016-06-16,29324,29869,29143,29447,1388126,40876146322,3.8402,-555394,347267,200139,74874,77901,34293,38690,-3798,-22180,8258,-270,359
2016-06-17,29930,30595,29749,30051,1228009,36902898459,2.0511,-242231,69931,174613,95067,21897,-28485,32853,11532,40897,-1950,-363,852
2016-06-20,30353,30656,29870,30172,830049,25044238428,0.4026,-546,-15858,-16171,-20016,-8119,32277,-6698,1437,-15052,32720,-145,0
2016-06-21,30171,30171,29566,29689,501985,14903432665,-1.6008,-60231,84580,-29085,-40473,4144,-195,-3308,15390,-4643,4928,-192,0
2016-06-22,29445,30352,29445,30233,638889,19315531137,1.8323,-228179,146156,81418,-10529,53296,1299,7945,11673,17734,445,160,0
2016-06-23,29749,29929,29203,29749,653145,19430410605,-1.6009,-4247,106980,-74078,-65915,5012,-9470,-23923,0,40101,-28596,-59,-19883
2016-06-24,30051,30414,27511,27814,1887743,52505683802,-6.5044,160903,100617,-231065,-148263,-9490,-27710,-20197,-19728,6930,-29290,-1165,-12607
2016-06-27,27149,28056,26967,27572,1313937,36227870964,-0.8701,-243992,191954,58950,-65079,16681,12148,-17036,-5000,117236,-9157,2245,0
2016-06-28,27389,28176,27329,28117,834523,23464283191,1.9766,-20642,-11882,30079,-83155,59369,6793,33596,3394,10082,7425,-4980,0
2016-06-29,28599,29022,28357,28540,721255,20584617700,1.5044,-33837,-44127,71702,-14395,-907,5931,16984,-49,64138,6283,-21,0
2016-06-30,28963,29084,28479,28721,503324,14455968604,0.6342,-96684,118057,-21523,7828,8001,-4995,-852,-4108,-22397,450,-300,-5000
2016-07-01,28901,29143,28599,28661,527458,15117473738,-0.2089,82448,-12733,-78329,7418,5170,-111759,2901,12472,4199,8800,-186,1270
2016-07-04,28901,29870,28721,29749,1117433,33242514317,3.7961,-437950,268155,120027,47844,-21168,28500,19903,-2987,47935,50532,-764,0
2016-07-05,29870,30111,29144,29386,647686,19032900796,-1.2202,184158,-162572,-22667,26250,13243,-25830,-18766,193,-17757,977,104,0
2016-07-06,29386,29386,28418,28479,814908,23207764932,-3.0865,253355,-74450,-165652,-2196,4084,-124606,-51174,0,8240,-13594,341,0
2016-07-07,28842,29084,28600,28721,491896,14127745016,0.8497,-57277,50217,-91,-29839,-6188,-718,-4068,0,40722,6113,1038,0
2016-07-08,29143,29264,28478,28540,420832,12010545280,-0.6302,93373,-45233,-51550,-55088,11954,11678,-5960,341,-14475,4002,-592,0
2016-07-11,28720,29022,28599,29024,500186,14517398464,1.6959,-183592,147413,41804,-37890,-16350,26083,-5405,0,75366,420,-6045,0
2016-07-12,29264,29385,28780,29084,376740,10957106160,0.2067,-15075,91804,-66637,-17424,-13744,-13912,-14690,-41,-6826,-9229,-863,0
2016-07-13,29506,29566,29022,29205,610361,17825593005,0.416,30809,32927,-50184,-29452,48972,-32596,-12,-1071,-36025,-13552,0,0
2016-07-14,29385,30231,29324,30233,1534687,46398192071,3.5199,-614098,420714,167249,75693,21975,12783,-3012,7687,52123,31773,-5638,0
2016-07-15,30473,30594,29506,29870,859980,25687602600,-1.2007,122433,-78941,-58689,-38916,24058,14192,16093,-10005,-61330,14653,544,-2781
2016-07-18,29990,30232,29386,30172,664502,20049354344,1.011,8291,-77755,89877,49023,3467,-3209,438,293,39865,6051,-26464,0
2016-07-19,30231,31380,29748,31261,1892796,59170695756,3.6093,-462492,35488,413175,-35340,71248,266992,4823,8289,106163,14060,-231,-9000
2016-07-20,31562,32287,31199,31503,1810955,57050515365,0.7741,-498122,132983,352890,-44256,45202,170802,-5426,1260,190128,12247,2,-4820
2016-07-21,31684,32045,31259,31563,1007744,31807423872,0.1905,-101545,79162,38777,-107691,41832,-6000,-15943,2244,120857,-16156,-238,3478
2016-07-22,31501,31743,30655,30777,772987,23790220899,-2.4903,224302,82468,-297693,-80671,-25255,-197665,-21049,195,27564,-10036,959,-812
2016-07-25,30837,31563,30352,31442,826296,25980398832,2.1607,-274396,123537,155070,-27853,72074,9372,32764,-1000,69713,-4704,493,0
2016-07-26,31441,31985,31017,31140,532977,16596903780,-0.9605,81796,-78927,-9308,-61837,28149,-25103,10134,-634,42958,6204,235,-2975
2016-07-27,31320,31441,30594,30596,576952,17652423392,-1.7469,60581,44935,-86677,-99619,-9481,-12088,8334,0,26177,-9712,-9127,0
2016-07-28,30594,31200,30473,30656,498657,15286828992,0.1961,147097,-15881,-132382,-85064,6136,5319,-5484,0,-49939,1002,164,-3350
2016-07-29,30594,31622,30594,30898,825739,25513683622,0.7894,-73562,85727,-16810,-13881,15255,6389,17103,0,-41676,5833,-1188,0
2016-08-01,30896,31501,30896,31382,576452,18090216664,1.5664,46731,45482,-70416,-77044,2218,119,6649,0,-2358,-21895,98,0
2016-08-02,31078,31259,30534,30596,444205,13590896180,-2.5046,82245,-30516,-52524,-27871,-7838,752,-26808,0,9241,6619,-5824,0
