date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,62000,63000,61500,62600,5366,335911600,1.2945,-595,371,224,-147,479,0,-100,0,-8,0,0,0
2016-05-27,63000,63100,61400,62100,8592,533563200,-0.7987,667,1271,-1711,-1230,325,-171,-85,0,-550,-227,0,0
2016-05-30,62500,62500,60600,60700,6169,374458300,-2.2544,329,851,-1044,-1841,1207,0,0,0,-410,-136,0,0
2016-05-31,61900,61900,59200,61900,12973,803028700,1.9769,-97,-1695,2123,186,1572,0,0,0,365,-331,0,0
2016-06-01,61900,61900,60100,60400,7061,426484400,-2.4233,639,-2437,1798,21,190,0,1119,446,22,0,0,0
2016-06-02,60400,60600,59300,59500,8604,511938000,-1.4901,2726,-944,-1782,-2964,196,-8,559,420,15,0,0,0
2016-06-03,59300,60000,58300,59900,9074,543532600,0.6723,410,-159,-247,-1193,2840,200,-2041,0,-53,-4,0,0
2016-06-07,59600,61000,59200,60800,7496,455756800,1.5025,-3853,2542,1893,1000,811,-268,137,200,13,-582,0,0
2016-06-08,60700,61400,59600,61400,8175,501945000,0.9868,-2363,1558,973,1000,267,-199,-105,0,10,-168,0,0
2016-06-09,61300,66300,61300,66300,17369,1151564700,7.9805,-8516,-878,9732,-628,11850,0,-82,0,-1408,-338,0,0
2016-06-10,65100,65200,62200,63500,10982,697357000,-4.2232,625,-440,-171,1000,-890,0,-51,0,-230,-14,0,0
2016-06-13,62200,62900,60900,62200,5988,372453600,-2.0472,405,-944,506,0,-154,-1493,-24,0,2177,3,30,0
2016-06-14,61200,62500,60900,60900,2538,154564200,-2.09,939,-654,-282,-588,367,-205,-56,0,200,-13,10,0
2016-06-15,60400,61600,59900,60200,3876,233335200,-1.1494,722,-853,131,-436,264,0,-47,0,350,0,0,0
2016-06-16,61300,61300,59900,60100,1651,99225100,-0.1661,-761,-44,859,0,470,0,-48,0,437,-54,0,0
2016-06-17,61900,61900,59700,61100,2955,180550500,1.6639,220,50,-253,-324,217,0,-10,0,-136,-10,-7,0
2016-06-20,60900,63300,60700,62500,3082,192625000,2.2913,-1836,-96,1932,2000,77,0,-34,0,-111,0,0,0
2016-06-21,62600,63300,60900,61100,2093,127882300,-2.24,1300,-112,-1187,-728,-183,0,-28,0,-248,-1,0,0
2016-06-22,61300,61900,59700,61100,8822,539024200,0.0,763,79,-939,2012,62,0,-760,0,-2253,70,27,0
2016-06-23,61100,62100,59100,60900,13122,799129800,-0.3273,-546,-414,918,3489,-2736,1613,-1469,0,21,32,10,0
2016-06-24,62000,62000,58800,60100,4572,274777200,-1.3136,-1134,-699,1831,0,1016,600,-20,0,235,2,0,0
2016-06-27,58400,63300,58400,63100,10472,660783200,4.9917,-6888,-674,7662,650,2653,0,-2,0,4361,-40,-60,0
2016-06-28,63100,63300,61200,61900,3573,221168700,-1.9017,-165,-1097,1262,1000,762,0,-39,-500,39,0,0,0
2016-06-29,63300,63300,61400,62100,2680,166428000,0.3231,-681,-289,970,1000,85,0,77,0,-192,0,0,0
2016-06-30,63700,63900,61200,62700,5336,334567200,0.9662,-186,-3,199,-1037,698,0,-28,0,566,0,-10,0
2016-07-01,64000,64000,61200,61200,1861,113893200,-2.3923,421,406,-827,-500,158,0,-521,0,36,0,0,0
2016-07-04,63300,63300,60500,62300,7549,470302700,1.7974,158,-496,338,-2752,3272,501,-334,0,-349,0,0,0
2016-07-05,61200,63000,61200,62600,4991,312436600,0.4815,-565,8,557,510,773,0,-766,0,40,0,0,0
2016-07-06,63400,63400,61200,61400,2271,139439400,-1.9169,-134,-1145,1278,1000,300,0,-27,0,5,1,0,0
2016-07-07,61400,61700,60100,60100,4358,261915800,-2.1173,2537,-3083,546,-266,897,0,-90,0,5,0,0,0
2016-07-08,60400,61100,59400,60500,3006,181863000,0.6656,-87,-1372,1459,1000,61,473,-118,0,43,0,0,0
2016-07-11,60500,61300,60300,61000,3457,210877000,0.8264,-215,710,-495,-1175,580,0,71,0,29,0,0,0
2016-07-12,61900,61900,60000,61500,5554,341571000,0.8197,-773,291,482,-76,478,92,-19,0,7,0,0,0
2016-07-13,61500,62100,60500,60500,4349,263114500,-1.626,756,1552,-2308,0,773,0,-3055,0,-26,0,0,0
2016-07-14,61400,61500,59700,60400,5664,342105600,-0.1653,-451,1192,-751,800,992,0,-2754,0,211,10,0,0
2016-07-15,61400,61400,60200,60700,2365,143555500,0.4967,58,1170,-1228,0,-294,300,-1223,0,-11,0,0,0
2016-07-18,60700,62400,60600,62300,4673,291127900,2.6359,-2611,1347,1264,2117,604,0,-1466,0,9,0,0,0
2016-07-19,62300,63400,61000,62900,4656,292862400,0.9631,-578,1105,-527,1532,439,0,-2406,0,-92,0,0,0
2016-07-20,62900,64000,62200,63800,3297,210348600,1.4308,-2279,895,1384,1000,-44,0,412,0,16,0,0,0
2016-07-21,63000,64200,62800,63500,3294,209169000,-0.4702,-2,80,-68,815,214,231,-1273,0,-55,0,-10,0
2016-07-22,62900,64000,61700,63300,5220,330426000,-0.315,105,1088,-1186,-1212,174,0,-156,0,8,-7,0,0
2016-07-25,62200,63600,61600,62200,2657,165265400,-1.7378,281,936,-1210,350,-9,0,-1542,0,-9,-8,1,0
2016-07-26,61800,62900,61200,61500,4851,298336500,-1.1254,303,3364,-3667,-990,-3,-2128,-46,0,-500,0,0,0
2016-07-27,61500,62300,61500,62000,7909,490358000,0.813,-445,6064,-5619,0,1433,-6981,-32,0,-39,0,0,0
2016-07-28,62000,62600,62000,62100,1963,121902300,0.1613,-305,1648,-1343,-1222,-1,0,-130,0,10,0,0,0
2016-07-29,62500,62600,60200,60600,21409,1297385400,-2.4155,2129,11456,-13587,-4958,1488,-2500,-7521,0,-96,2,0,0
2016-08-01,60600,61800,60300,61300,9316,571070800,1.1551,-1411,3555,-3444,500,989,0,-4899,0,-34,1300,0,0
2016-08-02,60700,64500,60700,62500,10545,659062500,1.9576,-1729,1631,-2583,-695,1575,0,-3462,0,-1,2681,0,0
2016-08-03,61600,64500,61600,63900,9382,599509800,2.24,-1045,1521,-2328,2000,-1377,-343,-1625,0,-983,1852,0,0
2016-08-04,63900,64100,62600,63000,5555,349965000,-1.4085,556,2227,-2773,-1351,181,0,-1603,0,0,-10,0,0
2016-08-05,63000,64300,62000,63700,4460,284102000,1.1111,-543,718,-175,1000,999,0,-1691,-500,17,0,0,0
2016-08-08,64800,64800,62800,63300,2972,188127600,-0.6279,-327,1572,-1245,0,-525,-560,-154,0,-6,0,0,0
2016-08-09,63300,64700,63200,64200,3033,194718600,1.4218,-816,1200,-384,1000,-7,0,-1313,0,-64,0,0,0
2016-08-10,64800,64800,62500,63100,9660,609546000,-1.7134,1445,2899,-4344,-621,-55,800,-27,-500,-3941,0,0,0
2016-08-11,63300,63600,61900,63600,4099,260696400,0.7924,-105,1098,-993,-967,148,0,-73,0,-101,0,0,0
2016-08-12,63600,64800,63000,63800,3812,243205600,0.3145,-1959,288,1671,1706,-2,0,-17,0,-16,0,0,0
2016-08-16,65000,65000,63200,63200,2774,175316800,-0.9404,141,873,-1014,0,-505,-302,-211,0,4,0,0,0
2016-08-17,62600,63900,62600,63400,3713,235404200,0.3165,-574,2168,-1170,142,-858,-341,-97,0,-16,-424,0,0
2016-08-18,63100,64800,62600,64200,5621,360868200,1.2618,-219,1879,-1770,-1574,-119,0,-61,0,-16,110,0,0
2016-08-19,63900,64000,62100,63000,4993,314559000,-1.8692,255,1236,-1491,-977,-611,0,1,0,96,0,0,0
2016-08-22,63000,63000,61600,61600,2417,148887200,-2.2222,404,406,-730,-500,-241,0,-51,0,62,-80,0,0
2016-08-23,61600,61700,60600,61100,4346,265540600,-0.8117,708,21,-779,1000,-1400,-409,19,0,11,50,0,0
2016-08-24,60300,63900,60300,61100,3555,217210500,0.0,-311,301,-90,1000,-608,0,-538,0,56,100,0,0
2016-08-25,60600,62200,60400,61200,5402,330602400,0.1637,556,1391,-1947,0,-1047,-520,-510,0,130,0,0,0
2016-08-26,61900,62000,60600,61300,3539,216940700,0.1634,26,980,-1006,0,-506,0,-2,0,-498,0,0,0
2016-08-29,62100,62100,60300,60700,3481,211296700,-0.9788,472,1493,-1855,-1000,-503,-120,-345,0,113,-110,0,0
