date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,83439,83836,77955,78035,896205,69935357175,-8.6519,238635,-28642,-205808,-14884,-59516,-19206,-52341,108,-62463,-1532,-2653,2494
2016-05-27,77479,79068,75889,77876,430485,33524449860,-0.2038,4197,-12157,2050,18329,-4291,-6784,-123,3,-5084,5744,166,0
2016-05-30,78273,78830,77240,78274,201643,15783404182,0.5111,-7913,-20909,26547,20073,-2695,6127,1344,0,1698,2364,-89,0
2016-05-31,78114,78353,77002,77797,217377,16911278469,-0.6094,16924,-3530,-12288,14159,-21391,-3183,-581,0,-1292,-1457,351,0
2016-06-01,78114,80657,78114,79148,255807,20246612436,1.7366,-34353,17897,20333,-2921,16020,7765,1032,107,-691,-3805,-72,-979
2016-06-02,79465,79863,74459,74618,559185,41725266330,-5.7235,165829,-29940,-139787,-14423,-59955,-1392,-27376,950,-33804,3480,418,-3787
2016-06-03,74697,75889,74459,74936,202628,15184131808,0.4262,2150,8537,-10488,9042,-8890,-13152,2626,0,-1114,-324,125,1000
2016-06-07,74777,76605,74697,75572,165488,12506259136,0.8487,-13956,3868,9356,8700,5479,-8950,-1641,80,5688,981,-249,0
2016-06-08,75889,77558,75889,77479,316852,24549376108,2.5234,-25692,-74565,91545,29206,18953,10455,18403,0,14570,5775,2937,-42
2016-06-09,77558,78035,76207,77320,229586,17751589520,-0.2052,-4115,-19048,23099,15931,1849,3027,787,0,3240,-167,231,-1735
2016-06-10,77320,77399,74856,75175,231047,17368958225,-2.7742,63871,-4531,-59111,-30240,-6772,-4521,-31207,100,13529,-230,1,0
2016-06-13,74697,75015,74062,74301,125234,9305011434,-1.1626,7477,2145,-8809,11132,-15054,-462,-633,-279,-3513,-773,-40,0
2016-06-14,75095,75969,73187,73426,193471,14205801646,-1.1776,59630,-43448,-15848,8580,-14468,-407,-820,206,-8989,-420,86,50
2016-06-15,73187,75333,73187,73426,156250,11472812500,0.0,42,806,-263,5677,116,-1777,-63,0,-4216,688,-1273,0
