date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,9940,10160,9860,10140,368840,3740037600,3.0488,-23030,9210,13842,8557,-243,30,-6274,0,11772,-4,-18,0
2016-05-26,10160,10180,9910,10020,300850,3014517000,-1.1834,8311,-13162,4870,554,290,-2272,1734,1885,2679,-1,-18,0
2016-05-27,9970,10160,9940,9960,234930,2339902800,-0.5988,4284,2008,-6274,1230,-4916,1112,-3749,0,49,-4,-14,0
2016-05-30,9900,9970,9790,9870,186240,1838188800,-0.9036,413,5638,-6049,-1647,1193,-245,-1056,-8,-4286,-2,0,0
2016-05-31,9850,10220,9810,10200,443870,4527474000,3.3435,-29230,12560,10116,13240,307,1025,518,245,-5819,6654,-100,600
2016-06-01,10120,10260,10060,10060,342685,3447411100,-1.3725,-5289,-2102,8630,5544,1657,10345,-205,0,-8711,-1203,-36,0
2016-06-02,10020,10220,10020,10100,363245,3668774500,0.3976,-6474,8812,-1272,5436,-6488,11480,-6742,0,-4958,198,-1264,0
2016-06-03,10200,10220,10060,10220,273040,2790468800,1.1881,-26672,10974,16681,4552,3752,755,2408,0,5214,-893,-90,0
2016-06-07,10280,10300,10120,10220,261155,2669004100,0.0,703,-14227,13657,-984,7531,954,-50,0,6206,-15,-118,0
2016-06-08,10160,10360,10120,10180,452545,4606908100,-0.3914,3244,-24423,21801,-4948,12465,3700,-1832,0,9416,-2,-620,3000
2016-06-09,10180,10260,9950,9970,701560,6994553200,-2.0629,26307,25490,-52195,-17485,-15419,-5745,-18149,0,9603,398,0,-5000
2016-06-10,9950,10120,9920,9920,396470,3932982400,-0.5015,2224,14663,-16884,-1110,-27389,793,-3739,2988,11573,-3,0,0
2016-06-13,9940,10060,9600,9600,789380,7578048000,-3.2258,36355,5353,-42258,4860,-25144,-26412,-86,-24,4548,550,0,0
2016-06-14,9700,9730,9450,9460,875565,8282844900,-1.4583,35572,16119,-51862,4614,-27594,-23356,-1207,0,-4319,213,-42,0
2016-06-15,9500,9740,9470,9620,462305,4447374100,1.6913,-11250,36527,-25469,-8357,10230,-15770,-851,0,-10721,11,181,0
2016-06-16,9630,9690,9460,9500,446620,4242890000,-1.2474,-3130,935,1194,19103,7579,-15137,3204,0,-13555,1001,0,0
2016-06-17,9520,9680,9360,9460,436000,4124560000,-0.4211,7197,5033,-11980,3213,8767,-21340,-4636,0,2016,-250,0,0
2016-06-20,9660,9690,9320,9610,309495,2974246950,1.5856,-8489,18533,-10047,8541,5644,-24253,236,984,-1199,3,0,0
2016-06-21,9610,9750,9480,9600,340895,3272592000,-0.1041,3731,21989,-24953,846,1549,-27726,3955,0,-3577,-767,0,0
2016-06-22,9670,9880,9580,9850,321355,3165346750,2.6042,-20491,20014,234,620,-2654,-2468,2580,0,2156,243,0,0
2016-06-23,9740,9860,9640,9720,209225,2033667000,-1.3198,2535,-5210,2669,-4724,3145,952,786,0,2510,6,0,0
2016-06-24,9740,9880,9230,9280,782560,7262156800,-4.5267,853,7813,-9628,500,-7245,-5049,3798,116,-3864,972,-10,2116
2016-06-27,9120,9280,9040,9160,483505,4428905800,-1.2931,2456,20855,-24362,6549,-14060,-15708,-2590,-6,1453,1051,0,0
2016-06-28,9090,9220,9000,9200,495760,4560992000,0.4367,14279,18415,-33285,1776,-25792,415,-12574,0,2890,591,0,0
2016-06-29,9280,9700,9270,9630,432680,4166708400,4.6739,-22389,6340,16050,2763,1499,5696,-4102,0,10194,0,-1,0
2016-06-30,9690,9690,9480,9510,230745,2194384950,-1.2461,8208,4376,-12634,3241,-8054,-44,1060,0,-8837,0,50,0
2016-07-01,9510,9630,9440,9510,328495,3123987450,0.0,11485,22815,-31628,-10894,-2447,-1498,-15391,0,-1398,100,-2772,0
2016-07-04,9480,9600,9480,9570,172570,1651494900,0.6309,-416,12470,-12054,-2794,-153,-1445,-5799,0,-1863,0,0,0
2016-07-05,9530,9590,9440,9500,217505,2066297500,-0.7315,7380,10936,-18408,-13360,206,96,-1827,0,-3523,92,0,0
2016-07-06,9540,9570,9320,9410,300630,2828928300,-0.9474,3804,8303,-12081,-2769,-3257,-757,-3320,0,-1978,6,-32,0
2016-07-07,9540,9540,9420,9460,239410,2264818600,0.5313,690,20188,-19867,-7501,-2001,-5851,-2696,0,-1818,-957,-54,0
2016-07-08,9440,9500,9300,9450,308430,2914663500,-0.1057,-64,15074,-14855,-11003,7321,-3659,-1142,0,-6372,-157,2,0
2016-07-11,9550,9780,9520,9720,487750,4740930000,2.8571,-18224,33544,-15318,-16732,-999,-2550,-3252,0,5215,0,-2,3000
2016-07-12,9790,9790,9040,9110,2541975,23157392250,-6.2757,168825,134876,-294300,-54894,-89843,-132283,-10733,-2437,-3656,-9488,87,-454
2016-07-13,9200,9240,8820,8910,2159000,19236690000,-2.1954,108098,27169,-121390,-78503,1335,-12496,-2733,-324,-20669,-13769,-108,-8000
2016-07-14,8940,8960,8830,8910,782985,6976396350,0.0,38200,-14681,-18882,16951,-12413,1055,54,-21,-23908,-4637,0,-600
2016-07-15,8910,8940,8840,8850,495715,4387077750,-0.6734,26141,-11800,-13624,-3091,-3119,-856,-4037,0,-2521,-317,-400,0
2016-07-18,8820,8900,8640,8650,642905,5561128250,-2.2599,38049,-6494,-31744,-29863,1010,-12,-4096,2,1215,186,3,0
2016-07-19,8700,8760,8630,8650,473770,4098110500,0.0,30484,16901,-47591,-23498,-8006,122,-7789,0,-8420,554,-348,0
2016-07-20,8650,8760,8630,8680,363980,3159346400,0.3468,15617,1021,-16904,-21010,-2851,-3774,11196,0,-465,276,-10,0
2016-07-21,8760,8840,8720,8720,379975,3313382000,0.4608,22176,-6824,-14894,-10272,-2479,-2041,-5893,-23,5814,142,-600,0
2016-07-22,8700,8850,8700,8820,303670,2678369400,1.1468,-2682,786,1492,575,-1402,14,591,-6,1720,700,-296,0
2016-07-25,8850,8860,8670,8750,581365,5086943750,-0.7937,41022,-20180,-20801,-19584,-1468,497,-1125,-960,1839,9,-50,0
2016-07-26,8700,8790,8630,8740,614175,5367889500,-0.1143,-9793,-14028,24274,-21091,15530,26345,-7627,-5,11122,-453,0,0
2016-07-27,8740,8820,8690,8730,432035,3771665550,-0.1144,25536,-24666,-45,-11199,-345,-15,6745,0,4769,-825,0,0
2016-07-28,8720,8780,8700,8730,398515,3479035950,0.0,10463,-15204,3931,-14962,6231,5491,8586,0,-1415,800,10,0
2016-07-29,8710,8810,8670,8670,643910,5582699700,-0.6873,26008,-47921,21883,-19966,3978,0,39410,0,-1539,30,0,0
2016-08-01,8700,8780,8650,8690,330590,2872827100,0.2307,13488,-9966,-7725,-12960,-5468,-74,12011,0,-1234,4353,-150,0
