date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,478000,481500,470500,473500,20929,9909881500,-0.7338,4642,-2148,-2788,-4670,-31,415,-102,-446,2006,293,1,40
2016-05-27,468500,483500,468500,480500,20127,9671023500,1.4784,-4165,5823,-2285,-2074,70,334,-137,-217,-161,626,1,-100
2016-05-30,476000,476500,467500,473000,26877,12712821000,-1.5609,4858,-609,-4251,-8370,1506,64,1314,0,1135,2,0,100
2016-05-31,471500,477000,469500,469500,47961,22517689500,-0.74,4969,2330,-7309,-1968,-5341,-96,-614,0,747,10,0,-37
2016-06-01,469500,478000,467000,473500,28042,13277887000,0.852,-2615,13556,-11095,-5620,107,-138,-2289,0,-3581,182,-28,426
2016-06-02,472500,478000,470000,477500,23357,11152967500,0.8448,-452,5182,-4685,-2789,1346,-91,-772,-796,-1847,6,-51,264
2016-06-03,479000,482500,469000,477500,35210,16812775000,0.0,510,-5675,5050,-3033,2730,2715,-610,60,4389,122,-7,-1201
2016-06-07,488000,499500,486000,494000,72203,35668282000,3.4555,-31922,20028,11818,-1672,3170,1710,5751,80,2721,103,-27,58
2016-06-08,492500,497500,490500,494000,44932,22196408000,0.0,-283,8969,-8293,2468,-17872,2041,2398,211,2461,-440,47,0
2016-06-09,499500,509000,496500,497000,69506,34544482000,0.6073,-3342,26629,-22520,-4919,-20419,-404,-992,80,4426,-759,-8,-292
2016-06-10,497000,503000,490500,492000,33686,16573512000,-1.006,2455,9104,-11617,1965,-16603,-1334,-1976,542,5789,58,0,0
2016-06-13,496500,496500,487000,493500,30805,15202267500,0.3049,-727,2273,-1254,-242,-869,424,-462,61,-166,-272,-20,0
2016-06-14,493500,494500,485500,491000,30434,14943094000,-0.5066,576,-667,-16,-3635,4814,509,87,-192,-2013,106,1,414
2016-06-15,487000,489500,478000,486000,30346,14748156000,-1.0183,1837,-2069,231,1876,-94,4,1122,0,-2677,-10,11,0
2016-06-16,486500,494000,484000,487000,20856,10156872000,0.2058,-1255,6359,-5370,-1077,-1211,985,-159,-119,-3789,258,8,0
2016-06-17,491500,497500,485500,488000,18300,8930400000,0.2053,-924,5413,-4469,-1516,-2953,-236,-13,305,-56,-17,-3,0
2016-06-20,496500,501000,489500,499500,22740,11358630000,2.3566,-8609,11519,-2878,-3684,3579,1891,-1099,-177,-3388,-12,-20,0
2016-06-21,501000,501000,492500,494000,43174,21327956000,-1.1011,-21625,22786,-1132,-1003,1042,-14,571,-19,-1725,-40,11,16
2016-06-22,496000,505000,494500,496000,39243,19464528000,0.4049,-14020,21072,-7055,-853,-3691,-1098,-1549,-80,216,3,0,0
2016-06-23,496500,514000,494000,498500,69527,34659209500,0.504,-29872,44679,-15004,-1895,-10714,-2048,-3048,1090,1600,214,-17,11
2016-06-24,498500,501000,485000,495000,75877,37559115000,-0.7021,-12883,23541,-10917,-131,-5218,-837,-3483,213,-1486,252,7,25
2016-06-27,514000,525000,501000,508000,103824,52742592000,2.6263,919,33053,-33887,-12616,-15022,-1917,-3825,-943,148,-116,31,288
2016-06-28,515000,515000,498000,503000,98718,49655154000,-0.9843,7281,13731,-21539,-764,-22255,-155,2509,57,-1256,524,3,325
2016-06-29,503000,507000,496500,502000,39783,19971066000,-0.1988,-5077,10999,-5736,-4173,1166,-382,-736,0,-2224,-196,10,613
2016-06-30,507000,512000,503000,508000,48897,24839676000,1.1952,-6444,26967,-20481,-7368,-7554,513,-2068,-1100,-2761,-42,0,-143
2016-07-01,512000,519000,509000,516000,49917,25757172000,1.5748,-9277,23260,-13969,-2675,-6143,3759,-6697,155,-1888,1,-15,-480
2016-07-04,520000,541000,518000,531000,124181,65940111000,2.907,-17607,66497,-46644,-10633,-33084,534,-570,-1113,-811,-297,-1949,-967
2016-07-05,531000,534000,524000,533000,42580,22695140000,0.3766,-4585,18812,-13727,-4617,1608,-2780,-2988,105,-4555,-500,0,-500
2016-07-06,533000,533000,519000,526000,57676,30337576000,-1.3133,2917,-6581,3497,9800,-3963,-771,-2729,-109,1269,170,-3,0
