date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,6107,6237,6093,6160,2424510,14934981600,2.1728,-59083,332953,-277017,-72522,23462,-94996,-10474,-7000,-115487,3310,-163,0
2016-05-26,6174,6556,6101,6522,3858726,25166610972,5.8766,-516154,-10527,552441,-17025,33193,523795,-9932,2000,20410,-23530,-2230,0
2016-05-27,6556,6556,6376,6390,2018077,12895512030,-2.0239,420986,-450775,25370,-39208,-21000,-10010,-8279,2008,101859,4996,-577,0
2016-05-30,6360,6469,6353,6412,981325,6292255900,0.3443,82385,-65050,-17440,-101281,6549,-18635,-739,0,96666,-3,108,0
2016-05-31,6534,7336,6469,6897,9848798,67927159806,7.5639,221498,-418056,141729,-53209,11134,198424,-6855,2280,-10045,36687,18142,0
2016-06-01,6897,6903,6671,6738,2403453,16194466314,-2.3054,180321,-166284,-14397,-1790,4225,38187,3907,1000,-59926,587,-227,0
2016-06-02,7054,7076,6722,6724,3259792,21918841408,-0.2078,233356,-204097,-28186,-3690,-14245,-1446,25628,350,-34783,-475,-598,0
2016-06-03,6795,7445,6795,7178,9460888,67910254064,6.7519,-1304007,543739,783935,903,53438,208460,29294,-60,491900,-11760,-11907,0
2016-06-07,7299,7371,7176,7374,3205562,23637814188,2.7306,-538195,320929,211879,-4322,51911,-54538,-2196,2500,218524,6313,-926,0
2016-06-08,7335,7335,7125,7266,2148590,15611654940,-1.4646,-69515,-65199,120286,2495,897,-7108,-500,5300,119202,14524,-96,0
2016-06-09,7263,7299,6974,7027,3379876,23750388652,-3.2893,50691,53943,-59277,-12864,-99463,8345,-17409,0,62114,-45001,-356,0
2016-06-10,7040,7301,6953,7086,2953952,20931703872,0.8396,239611,-312469,78210,-12808,12858,-2410,-21163,-2000,103733,-5262,-90,0
2016-06-13,6975,7069,6802,6803,1982939,13489934017,-3.9938,401792,-197963,-191295,-5233,-87381,-39142,2355,2000,-63894,-12490,-44,0
2016-06-14,6830,6953,6802,6833,1264062,8637335646,0.441,-53466,80181,-36961,1853,-2714,2217,4072,1000,-43389,9831,415,0
2016-06-15,6800,6866,6605,6608,1682933,11120821264,-3.2928,291810,-209474,-74133,-1195,6906,-4576,3472,-2000,-76740,-8294,91,0
2016-06-16,6619,6669,6504,6615,1260692,8339477580,0.1059,-81832,75670,6162,-2755,52217,12555,1951,-4000,-53806,-27,27,0
2016-06-17,6642,6657,6490,6500,1421857,9242070500,-1.7385,56536,-22487,-26883,-820,2231,-37964,-663,-2000,12333,-6961,-205,0
2016-06-20,6540,6655,6497,6629,1191647,7899427963,1.9846,16410,60953,-77565,0,-14449,-16332,-311,-4000,-42473,197,5,0
2016-06-21,6634,6684,6576,6615,653571,4323372165,-0.2112,-119812,3409,116348,-1800,74786,25684,-372,0,18050,4,51,0
2016-06-22,6671,6939,6657,6803,1850029,12585747287,2.842,-68222,94771,-35954,-103168,1460,0,12067,10,53677,8615,790,0
2016-06-23,6802,6931,6729,6840,1251798,8562298320,0.5439,-169541,-4210,165990,50263,2404,0,7294,0,106029,7762,-1,0
