date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,82700,83400,82100,82700,316281,26156438700,1.1002,-36228,-57539,89299,71952,-9284,5034,-280,-1827,23704,4414,54,0
2016-05-27,83000,87700,82300,87700,570065,49994700500,6.0459,-228376,110156,111117,67535,12596,12211,23790,560,-6178,1123,5980,603
2016-05-30,88000,88100,85700,87400,302601,26447327400,-0.3421,1070,-60161,56246,45754,3785,1884,1418,-1000,4405,2916,-71,0
2016-05-31,87100,87300,85600,85900,314367,27004125300,-1.7162,55832,-72328,15500,19248,4522,593,-12671,0,2072,750,246,1736
2016-06-01,85900,87400,84000,84000,262650,22062600000,-2.2119,95090,-47835,-47956,-18206,-6802,-4038,-2035,0,-17749,978,-277,874
2016-06-02,83800,84800,83500,84200,208156,17526735200,0.2381,38292,32006,-68289,-27325,-4842,-16964,-2835,-3759,-12564,-1552,-457,0
2016-06-03,84200,84700,82100,82300,318837,26240285100,-2.2565,117625,-89980,-26595,-43751,-13800,-164,-5196,0,36316,-989,-61,0
2016-06-07,83000,84300,82900,84300,289081,24369528300,2.4301,-37476,58442,-19634,-28178,-12548,345,6738,11,13998,-1249,-83,0
2016-06-08,85000,86000,84500,85100,239400,20372940000,0.949,-27600,16009,11582,12379,-20744,6667,-3451,3459,13622,18,-9,-350
2016-06-09,85700,85900,83400,83700,330969,27702105300,-1.6451,21859,-3485,-18765,7216,-12187,-13953,-8164,0,11323,391,0,-3000
2016-06-10,84000,85100,83700,84000,192652,16182768000,0.3584,8293,-29317,21271,-2927,678,-421,-5094,0,29035,-247,0,0
2016-06-13,83500,84000,82200,82300,208533,17162265900,-2.0238,67248,-53097,-13601,-7671,-19708,9552,-5476,412,9290,-860,310,0
2016-06-14,82100,82400,80700,81800,273198,22347596400,-0.6075,73616,-41099,-32657,-6810,-3473,-8099,-5137,-22,-9116,120,20,0
2016-06-15,81100,81900,79500,79900,338007,27006759300,-2.3227,160694,-57233,-104558,-38735,-18109,-8803,-18946,63,-18790,902,195,-1238
2016-06-16,80100,81000,78500,79000,234289,18508831000,-1.1264,37368,15360,-53039,-24935,-14279,1435,-10814,143,-4589,223,88,0
2016-06-17,79600,80000,77700,78600,266146,20919075600,-0.5063,47183,-44083,-3574,-8748,-6498,3287,-6710,622,14473,430,44,0
2016-06-20,78800,80800,75100,77300,913146,70586185800,-1.6539,308023,-383756,51446,-6793,33209,3052,-21903,34,45140,23371,916,-1293
2016-06-21,78300,78400,74900,75700,659585,49930584500,-2.0699,243283,-202106,-45111,-34117,-9496,66,-12680,9888,1228,3940,-6,0
2016-06-22,76000,79700,75900,79500,570631,45365164500,5.0198,-193781,120664,72409,36513,-4940,18038,-18604,-5000,46402,707,1,0
2016-06-23,78800,78900,76900,78400,334070,26191088000,-1.3836,47775,-94117,46011,-18867,2835,35331,360,23,27329,313,18,-1000
2016-06-24,79500,80300,74100,75700,754876,57144113200,-3.4439,166295,-166947,-3034,10811,-9857,8149,-6127,582,-6638,4059,-373,46
2016-06-27,74500,76700,73000,76100,455109,34633794900,0.5284,-50388,-71970,123291,28399,6086,82841,-12010,326,19099,1367,-2300,-1450
2016-06-28,75500,76100,74300,76100,454400,34579840000,0.0,156857,-167867,10047,2509,13791,-3401,-1963,1724,-2863,863,100,250
2016-06-29,76700,77300,75600,77000,306522,23602194000,1.1827,-27720,59032,-31783,-13171,-4460,-2871,-4537,-1670,-5074,421,50,0
2016-06-30,78200,78300,75100,75700,363846,27543142200,-1.6883,153071,-114330,-39377,-39614,12067,444,1003,2832,-14513,516,120,-1596
2016-07-01,75800,76900,75800,75900,175282,13303903800,0.2642,-18203,25277,-7568,1390,-1913,206,-6817,87,-521,412,82,0
2016-07-04,76700,80200,76400,79900,606445,48454955500,5.2701,-178917,92030,86287,2644,10384,43541,5775,7794,16149,1376,-776,0
2016-07-05,80400,81300,78300,78600,283896,22314225600,-1.627,97797,-58774,-39601,-8293,2354,-7916,317,-26,-26037,469,109,0
2016-07-06,78100,79200,76800,76900,331180,25467742000,-2.1628,99490,-132250,26206,6552,8131,-4010,13048,2000,485,5026,1528,0
2016-07-07,77600,78400,76700,76700,230984,17716472800,-0.2601,91868,-75591,-15469,-2971,-10253,-2498,-2064,5161,-5844,-900,92,3000
2016-07-08,76000,76000,74500,75200,421344,31685068800,-1.9557,160347,-134185,-28647,-16423,-13396,1269,-3348,0,-2749,2323,162,6000
2016-07-11,75500,76300,75400,75900,266148,20200633200,0.9309,2801,14128,-16896,-20080,-11730,-1971,-7894,0,25502,-39,6,-723
2016-07-12,75900,76200,75100,75500,302179,22814514500,-0.527,66382,14619,-80748,-12895,-12377,-34103,-12652,0,-565,-259,6,-8156
2016-07-13,77000,78100,76800,77200,439841,33955725200,2.2517,-68953,80423,-8054,9484,-11248,-648,165,0,-9307,-3063,-353,3500
2016-07-14,76700,79700,75900,79700,486293,38757552100,3.2383,-109313,72697,35417,18566,-17968,13700,13711,3977,2231,1054,145,1200
2016-07-15,79900,80200,78100,78600,449532,35333215200,-1.3802,49233,17960,-70307,-5216,-24154,10270,-34805,0,-15718,3114,0,-684
2016-07-18,78400,79200,77600,78000,249949,19496022000,-0.7634,43129,22042,-65266,5500,-34256,-4522,-8399,59,-23634,59,36,-14
2016-07-19,78100,78400,76600,78200,296764,23206944800,0.2564,6820,32728,-38418,-7963,-25886,1297,21530,0,-27396,138,-1268,0
2016-07-20,77600,79200,77600,79000,310974,24566946000,1.023,-41939,75380,-30888,-10923,2710,5874,-5741,0,-22808,-2517,-36,0
2016-07-21,79000,79000,77600,77700,258322,20071619400,-1.6456,52914,-15035,-37395,-12648,-25225,-75,-1614,1200,967,-111,-373,0
2016-07-22,77200,78300,76600,78300,205591,16097775300,0.7722,-3503,14891,-9542,-1400,-15650,10252,-3973,-1177,2406,-1813,-33,0
2016-07-25,78700,78800,76800,77300,315348,24376400400,-1.2771,92221,8474,-99447,-68609,-12587,4838,-17711,0,-5378,-767,-481,0
2016-07-26,77900,78200,75500,75900,762521,57875343900,-1.8111,148946,-105059,-42970,-37280,-1559,-200,-11980,0,8781,-921,4,-732
2016-07-27,76100,77300,76100,76500,312234,23885901000,0.7905,-80361,155034,-74906,-43935,-3569,-13717,1319,0,-15004,403,-170,0
2016-07-28,76700,77000,75700,76400,202509,15471687600,-0.1307,393,6431,-3970,9933,-21251,14296,-2241,-4400,307,-2858,4,-614
2016-07-29,76200,77400,75800,76500,279680,21395520000,0.1309,-20101,-17736,38074,13829,-4446,2840,36506,7019,-17674,-335,98,0
2016-08-01,77300,79500,77200,78100,513176,40079045600,2.0915,-125720,105665,25076,-3161,-3625,23771,-14110,3000,19201,-4871,-150,0
2016-08-02,77000,77600,76600,76800,179470,13783296000,-1.6645,35812,-12759,-22513,7634,-1672,-10175,1821,0,-20121,-490,-50,0
2016-08-03,76100,76400,75000,75300,307407,23147747100,-1.9531,110896,-41358,-75224,-14117,-39255,5068,-12236,0,-14684,5628,58,0
2016-08-04,76300,77800,76100,77000,320904,24709608000,2.2576,-94696,63023,32491,43958,4059,515,-3072,0,-12969,-753,-65,0
2016-08-05,77300,77400,76500,76900,217408,16718675200,-0.1299,27419,-26783,-820,475,-3801,1864,3123,0,-2481,200,-16,0
2016-08-08,77100,77400,75600,76000,262477,19948252000,-1.1704,100034,-10316,-88589,-310,-31779,-45475,-4941,-12600,6516,-1190,61,0
2016-08-09,76500,77200,76300,76800,266583,20473574400,1.0526,-30245,108204,-78710,-53240,-26091,-13912,-2750,0,18009,571,180,-726
2016-08-10,76800,77200,75700,76000,353039,26830964000,-1.0417,148378,-71680,-80095,-56493,-33525,-5824,-7036,23,22760,3329,68,0
2016-08-11,75700,75900,75000,75400,362331,27319757400,-0.7895,148025,-85605,-64585,-62930,-12933,-10276,-9263,547,32770,2067,98,-2500
2016-08-12,76500,76800,74800,75100,486346,36524584600,-0.3979,153728,-74259,-80345,-71816,-5812,-12227,-11620,20048,1082,781,95,0
2016-08-16,76100,76700,75400,75600,408545,30886002000,0.6658,-37660,76776,-38992,-33221,-2434,-11209,-360,547,7685,-124,0,0
2016-08-17,75800,76500,75600,76000,322049,24475724000,0.5291,-51794,64066,-9821,-11694,-3741,-91,-1481,0,7186,-2380,-71,0
2016-08-18,76400,77500,75000,75200,399831,30067291200,-1.0526,42353,-34521,-6631,3314,-624,6599,-2819,-850,-12251,-1185,-16,0
2016-08-19,76200,76200,74900,75300,312869,23559035700,0.133,4690,57225,-61857,-6721,-16352,-8708,-3254,0,-26822,-157,99,0
2016-08-22,75300,76000,75000,75400,166395,12546183000,0.1328,-20,21719,-18458,-12748,-3629,-4112,-753,12,2772,-3238,-3,0
2016-08-23,75000,75000,72000,72100,858798,61919335800,-4.3767,435486,-310020,-115697,-46825,-13755,-7874,-20859,1389,-15943,-11635,1866,-11830
2016-08-24,72500,72900,70700,72500,482342,34969795000,0.5548,18664,35975,-52043,-60698,9497,836,-5280,7468,-3866,-2662,66,0
2016-08-25,71500,72300,70200,70500,582184,41043972000,-2.7586,227776,-112363,-116326,-115499,-8384,6296,-14071,493,15854,349,564,-1015
2016-08-26,70600,70700,69200,70100,489759,34332105900,-0.5674,74573,-87071,13369,-18716,2260,14731,232,3418,11444,-864,-7,0
2016-08-29,70300,70400,69200,69400,240552,16694308800,-0.9986,26466,-15831,-15492,-32617,2956,11373,-11388,-1702,15886,5186,-329,0
2016-08-30,68700,71100,68700,70400,376529,26507641600,1.4409,-34859,1031,33800,570,13563,8807,-15563,5339,21084,-19,47,0
2016-08-31,70200,71400,70000,70700,298387,21095960900,0.4261,22834,-12105,-7637,-21718,3481,10953,1516,846,-2715,-3053,-39,0
2016-09-01,70100,73400,69500,73300,446583,32734533900,3.6775,-196902,108336,89346,-7067,10649,83115,1324,0,1325,-656,-124,0
2016-09-02,72600,73000,71900,72500,168773,12236042500,-1.0914,-6778,-4899,12856,5919,-2663,28772,911,-99,-19984,-1136,-43,0
2016-09-05,73400,74300,73000,73900,230419,17027964100,1.931,-93380,58920,43316,128,9663,6002,6238,-5830,25115,-8828,-28,2000
2016-09-06,74100,74200,73200,73900,191195,14129310500,0.0,-17572,19262,4606,-3297,10629,1513,6993,-2338,-8894,-6298,2,0
2016-09-07,74400,75000,74000,74100,234445,17372374500,0.2706,-19006,-4954,22974,-4899,-2920,16635,5391,-216,8983,1005,-19,0
2016-09-08,74400,74800,72500,72600,320494,23267864400,-2.0243,65185,-38877,-27048,-14804,-10924,11996,6504,-4112,-15708,980,-240,0
2016-09-09,73200,74600,72500,74500,329135,24520557500,2.6171,-108790,63442,44720,-818,-2043,-575,38985,21288,-12964,-72,700,847
