date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,87700,90000,86200,88700,468302,41538387400,1.3714,-195351,145307,54227,60778,-8538,5168,6627,2153,-12255,-3902,-281,294
2016-05-27,89000,89800,87200,88500,231092,20451642000,-0.2255,-25477,46839,-19539,-24363,-134,2377,-20563,1102,22042,-1807,-16,0
2016-05-30,87200,88200,84400,85900,375125,32223237500,-2.9379,-58663,13373,45215,6551,19960,-34437,-8187,1000,60328,187,-112,0
2016-05-31,86300,87600,85500,86900,164314,14278886600,1.1641,-27413,22370,5158,-3294,-49,15671,3709,0,-12632,-116,1,1753
2016-06-01,86200,88200,85900,87000,169168,14717616000,0.1151,-36987,25871,12442,18294,3809,7816,12636,-51,-30062,-1239,-87,0
2016-06-02,86800,87800,84800,85100,171974,14634987400,-2.1839,1263,-34627,33742,-10292,3376,4191,2135,-127,34459,-244,-134,0
2016-06-03,84700,86200,83800,84700,182618,15467744600,-0.47,-15477,31040,-14640,-19926,-6887,-478,2868,0,9783,-894,-29,0
2016-06-07,84700,85600,83800,85600,176390,15098984000,1.0626,-5947,25050,-18981,-23605,4226,-946,493,111,1156,-107,-15,-416
2016-06-08,85200,85600,84400,85300,115259,9831592700,-0.3505,-3125,17654,-4540,-6144,-14691,11846,-2478,0,6927,-9987,-2,0
2016-06-09,85000,87300,84900,86200,246808,21274849600,1.0551,-20493,-40826,61637,7968,1450,22898,1977,0,27419,-318,0,-75
2016-06-10,86200,86200,84200,85000,97042,8248570000,-1.3921,-1502,-28363,30023,17942,-5180,20109,-7908,-990,6050,-150,-8,0
2016-06-13,84500,84800,83700,84200,71491,6019542200,-0.9412,-5517,15987,-16329,-17174,-1364,6971,-1390,-100,-3272,-393,6252,0
2016-06-14,83300,83900,81300,82000,134836,11056552000,-2.6128,231,-20775,20712,137,-8501,13534,7181,0,9258,-66,-102,-897
2016-06-15,82100,84800,81300,84300,136141,11476686300,2.8049,-16360,-6294,22524,6948,2360,9901,11235,-61,-7859,92,38,0
2016-06-16,83800,84300,81300,82900,191295,15858355500,-1.6607,14373,-55665,43864,19793,2925,24600,252,0,-1275,-2527,-45,-2431
2016-06-17,83700,84300,81600,81600,113399,9253358400,-1.5682,25268,-40574,15407,23248,-4231,1119,269,-3,-4995,-101,0,0
2016-06-20,82600,84100,81800,83300,108302,9021556600,2.0833,-20356,13176,8182,12195,-2920,-247,-2506,50,4843,-2,-1000,-3233
2016-06-21,82800,83300,80300,81000,156438,12671478000,-2.7611,58006,-27497,-36226,8349,-23913,-10006,1986,-787,-8196,5711,6,-3659
2016-06-22,81000,82000,80400,81600,102253,8343844800,0.7407,-5651,-13416,19849,12071,-2447,672,5003,-379,-657,-698,-84,5586
2016-06-23,81100,81300,79500,80800,126011,10181688800,-0.9804,15010,-14677,-500,4781,-6242,-231,-2779,20,5179,264,-97,-1228
2016-06-24,81100,81300,76400,77300,288792,22323621600,-4.3317,11335,-18305,7097,15968,860,-162,-5859,-3344,-366,21,-148,0
2016-06-27,75300,79500,74900,79000,135716,10721564000,2.1992,-35203,29357,6205,14564,-17705,-7935,12605,-3,4154,-354,-5,525
2016-06-28,77000,78800,76700,77800,153861,11970385800,-1.519,36006,-88525,52723,29229,5454,3282,876,-862,17547,-342,138,-2803
2016-06-29,78500,79300,78000,78100,124533,9726027300,0.3856,34045,-20,-37839,-3468,-26931,-9998,19010,-716,-15736,3681,133,0
2016-06-30,79000,79100,78300,78800,59513,4689624400,0.8963,935,9439,-11052,-1996,329,-66,-251,-540,-8528,528,150,0
2016-07-01,78800,80700,78800,80700,123105,9934573500,2.4112,-25646,-10539,36415,-7344,8196,10337,9899,829,14498,1225,-1455,0
2016-07-04,80700,81000,80000,81000,110428,8944668000,0.3717,1957,-10517,7516,-4211,9080,-7837,12271,371,-2158,1070,-26,0
2016-07-05,80500,80900,79100,79500,120769,9601135500,-1.8519,21263,-33303,11732,-20037,2145,12632,-7405,-98,24495,353,-45,0
2016-07-06,79100,79600,76500,77800,145227,11298660600,-2.1384,63077,-50754,-13481,2197,1636,-21807,-8952,0,13445,-342,1500,0
2016-07-07,78700,78900,77100,78500,115216,9044456000,0.8997,8575,3602,-11893,4325,-19754,7956,3193,0,-7613,-277,-7,0
2016-07-08,78500,79900,78000,79900,92338,7377806200,1.7834,-32508,2407,30223,114,3050,25208,351,0,1500,-122,0,0
2016-07-11,80500,80800,78400,79300,98350,7799155000,-0.7509,13491,-48055,34007,13094,3352,1233,1397,100,14831,497,60,0
2016-07-12,79100,83200,78500,83200,266211,22148755200,4.918,-102347,5916,95312,10415,26648,39312,10931,694,7416,1165,-46,-104
2016-07-13,83600,84800,81700,82000,187606,15383692000,-1.4423,1586,-25794,22682,13628,1447,732,7881,-122,952,456,1070,-1836
2016-07-14,82700,89500,82700,89200,687116,61290747200,8.7805,-338413,234353,106389,59664,34930,4330,50877,1278,-45687,-804,-1525,997
2016-07-15,89100,91700,88400,91000,340467,30982497000,2.0179,-150896,58599,90480,66417,39000,-1645,14015,-284,-27023,2117,-300,0
2016-07-18,90700,91700,89500,91200,146369,13348852800,0.2198,-53847,38031,15965,8123,2050,1630,5245,1000,-2083,2,-151,0
2016-07-19,91200,91500,89700,89700,142311,12765296700,-1.6447,-2869,-5009,6071,232,5735,-4275,7589,-49,-3161,1854,-47,0
2016-07-20,89500,91200,88500,90000,117620,10585800000,0.3344,-27062,13394,14689,4303,918,97,904,0,8467,-1021,0,0
2016-07-21,89700,93000,89100,92200,175842,16212632400,2.4444,-64687,9244,54948,15068,5862,-6897,4956,2446,30240,509,-14,3273
2016-07-22,92200,92700,90500,91200,95482,8707958400,-1.0846,-6640,9194,-2496,4689,-4482,-5788,-6498,0,9583,10,-68,0
2016-07-25,91200,92100,89600,90100,107827,9715212700,-1.2061,-3213,6870,122,-4010,-4267,-975,4096,98,5180,-3762,-17,0
2016-07-26,90300,92800,89800,92300,160179,14784521700,2.4417,-45907,23155,20676,-1791,4774,24300,-15783,0,9176,2076,0,0
2016-07-27,92400,93700,91300,92900,137510,12774679000,0.6501,-39606,-20993,60744,53441,12080,3471,-6275,0,-1973,-228,83,0
2016-07-28,92900,92900,89700,90200,189492,17092178400,-2.9064,28789,14115,-43130,2747,-21535,-5135,-23769,1,4561,-67,293,0
2016-07-29,90200,90800,88200,89400,180494,16136163600,-0.8869,-17393,52472,-34346,-14481,10214,-4991,-27065,0,1977,-733,0,0
2016-08-01,90500,93400,90200,93400,170002,15878186800,4.4743,-44928,-21339,65109,20481,4339,25042,9790,1017,3925,1158,0,515
2016-08-02,93400,93500,90600,91600,161631,14805399600,-1.9272,13298,1223,-12704,7193,7069,-29139,4529,0,-2356,-1974,157,0
2016-08-03,90700,92100,89900,90500,117210,10607505000,-1.2009,-13626,32857,-18776,5373,-5244,-3634,-4512,0,-10759,-656,201,0
2016-08-04,90900,91600,89600,91600,93934,8604354400,1.2155,-1586,-4535,6129,13667,1229,-630,-12466,3960,-600,87,-95,969
2016-08-05,91600,94300,91200,93700,144933,13580222100,2.2926,-49306,9047,39995,24749,1872,7971,5521,1633,-1751,457,-193,0
2016-08-08,94100,95200,92600,93300,100296,9357616800,-0.4269,12925,15333,-27503,-1388,-3756,-338,-9981,0,-12040,-859,104,0
2016-08-09,93500,93500,91000,92400,148182,13692016800,-0.9646,15034,35757,-48428,3004,-7363,-37260,-2079,-35,-4695,-2487,124,0
2016-08-10,92000,92100,89400,90100,272976,24595137600,-2.4892,63409,57466,-120222,-20358,-30219,-57559,4216,-1905,-14397,-482,-171,0
2016-08-11,90100,90100,87500,87500,210243,18396262500,-2.8857,73482,20606,-94026,-13269,-38696,-12795,-15915,2087,-14270,107,-169,-1168
2016-08-12,87900,88600,86900,87400,151264,13220473600,-0.1143,16104,1015,-17139,-10795,-5291,-8348,743,-1756,8308,-101,121,0
2016-08-16,87900,88400,87200,88200,159120,14034384000,0.9153,-6718,39820,-42408,-37280,-6377,2914,5523,114,-7302,9299,7,0
2016-08-17,88200,88200,86300,87100,94889,8264831900,-1.2472,10597,9551,-19274,-3336,-14665,2380,-2207,-955,-491,-953,79,0
2016-08-18,86500,87100,83600,84200,400775,33745255000,-3.3295,168453,17958,-186585,-121585,-19656,-30252,-3883,2767,-13976,250,-76,0
2016-08-19,84200,87500,84200,87400,244891,21403473400,3.8005,-68701,26592,40534,2334,9906,25061,-4146,-4668,12047,1546,29,0
2016-08-22,87400,88300,86300,86800,110940,9629592000,-0.6865,21249,-7745,-15031,621,-1497,758,-2712,4143,-16344,1504,23,0
2016-08-23,86800,87300,83300,85800,215844,18519415200,-1.1521,47737,-74494,26889,40753,-408,-8497,-3138,1438,-3259,-253,121,0
2016-08-24,85700,86200,84200,84800,84341,7152116800,-1.1655,18042,-4426,-12705,37,-3924,-1272,-1761,-4951,-834,-927,16,0
2016-08-25,85400,86800,84600,86100,124690,10735809000,1.533,-23232,12346,10123,-9452,-11145,29445,-2712,-1204,5191,785,-22,0
2016-08-26,85600,86600,84600,85000,67706,5755010000,-1.2776,25342,-17119,-8302,852,-3553,-1266,-11787,1750,5702,-1,80,0
2016-08-29,84500,84600,82200,82900,111360,9231744000,-2.4706,34513,-24857,-9986,4667,-714,-14732,-2368,3087,74,341,-11,0
2016-08-30,83600,85900,83300,83800,109026,9136378800,1.0856,3328,25957,-30226,-10761,-5665,-1006,-16709,335,4326,989,-48,-746
2016-08-31,83300,83800,81800,82500,129135,10653637500,-1.5513,52148,-4490,-48154,-34820,-1453,-10299,-1994,0,1715,106,390,-1303
2016-09-01,82400,82400,80800,81700,124910,10205147000,-0.9697,40407,7538,-46572,-21975,-15389,-4991,1412,-2721,-2908,-1373,0,0
2016-09-02,82500,82800,81700,82400,80902,6666324800,0.8568,6590,3143,-9306,-12940,1147,1007,4781,-3500,199,-271,-156,0
2016-09-05,82900,87900,82900,86100,320500,27595050000,4.4903,-73962,27222,45752,-11733,-337,-3940,30621,1844,29402,1522,-534,-105
2016-09-06,86700,86700,84700,85000,104199,8856915000,-1.2776,39256,-20443,-18562,-4954,-3197,-2264,-1032,0,-5527,-262,11,-1588
2016-09-07,85000,86000,81900,82200,222638,18300843600,-3.2941,97743,-25507,-73112,-18053,-6352,-29939,-14762,2640,-6301,805,71,-345
2016-09-08,83700,83900,80200,81300,256833,20880522900,-1.0949,76315,-14275,-60713,-2663,-2482,-32039,-14749,0,-7350,-1498,171,-1430
2016-09-09,81300,81300,79200,79300,214881,17040063300,-2.46,99805,-5085,-94883,-44029,-6834,-30287,-7780,0,-5953,81,82,0
2016-09-12,80200,81000,78000,78500,266085,20887672500,-1.0088,61577,-80806,19320,35306,8142,-16317,-25237,-124,17550,-33,-58,0
2016-09-13,79200,79700,77300,78000,155606,12137268000,-0.6369,45390,-29435,-14895,9590,521,112,-6233,-1576,-17309,-1044,-16,0
2016-09-19,81400,84000,81300,83500,389751,32544208500,7.0513,-80048,48411,31416,-10471,12721,28250,1732,971,-1787,186,35,0
2016-09-20,82600,82700,80300,81400,184477,15016427800,-2.515,20198,-28220,8015,-13167,4334,27884,754,-876,-9464,0,7,-1450
2016-09-21,80800,81000,79500,80000,155328,12426240000,-1.7199,39788,17950,-57748,-18686,-3918,-3801,-14447,-876,-14568,10,0,-1452
2016-09-22,80900,81500,79100,79100,134383,10629695300,-1.125,65063,3369,-68699,-41707,295,-20463,120,0,-6944,227,40,0
2016-09-23,79900,80300,79000,79200,131879,10444816800,0.1264,35412,-20248,-15734,-31175,4307,5520,-1423,0,7037,600,-30,0
2016-09-26,78900,78900,77400,77900,196853,15334848700,-1.6414,115918,-24482,-91481,-24136,-20017,-25007,-15102,1550,-8769,-294,339,0
2016-09-27,76700,79800,76700,79000,157199,12418721000,1.4121,-14128,-17068,31221,-14136,322,46898,3695,-3506,-2052,-1,-24,0
2016-09-28,79200,79500,78200,78200,133366,10429221200,-1.0127,12049,-36695,24076,-11013,-1383,33970,-4657,0,7955,570,0,-796
2016-09-29,78500,79300,78400,79100,112648,8910456800,1.1509,-1197,16999,-15802,-11424,-290,65,-699,0,-2677,0,0,-777
2016-09-30,78600,78700,77800,78300,136399,10680041700,-1.0114,22499,21710,-44208,-14677,-26856,-5093,-3763,0,6181,-1,0,0
