date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,266701,270035,264796,268131,176859,47421380529,1.6248,-28876,73722,-45342,-45043,-1036,4370,3151,-628,-6182,487,9,26
2016-05-27,268130,279084,268130,278608,178883,49838234864,3.9074,-65149,29749,35356,-5235,26940,8586,11353,-1962,-5185,145,-101,859
2016-05-30,278131,278608,267654,269559,168880,45523123920,-3.2479,46120,3845,-51312,-27307,-7737,-20506,-4704,600,8352,1690,-343,-10
2016-05-31,270511,271940,267178,270512,93447,25278534864,0.3535,7392,1507,-8805,-3664,519,2053,-296,900,-8093,-140,46,-224
2016-06-01,270035,270988,263368,264321,117670,31102652070,-2.2886,31077,16035,-46830,-22975,-8018,-1069,-6769,2513,-10512,532,-814,0
2016-06-02,265749,268606,263844,265749,87561,23269248189,0.5403,-1376,17373,-15980,-16012,-7279,16255,1747,140,-10522,-8,-9,-309
2016-06-03,267178,267178,256224,257177,160071,41166579567,-3.2256,32739,-7419,-24900,-14590,-10766,-2785,2620,146,1663,-162,-258,-1188
2016-06-07,257176,257176,246222,248128,372855,92515765440,-3.5186,42089,5449,-41342,-27343,12480,-22445,-11386,4049,3132,-5759,-437,171
2016-06-08,251938,255748,249556,250509,270102,67662981918,0.9596,18355,-24535,4308,-22029,9416,5229,-462,1249,10822,1881,-9,83
2016-06-09,254319,255748,251461,255748,218896,55982214208,2.0913,-28603,15358,9499,-10805,10207,7425,4338,-2383,2331,3766,-20,-1614
2016-06-10,255271,261939,254319,255748,127345,32568229060,0.0,-5638,-5867,12247,6745,1705,-2911,-6178,-50,12936,-708,-34,0
2016-06-13,247175,249556,243365,245747,182648,44885198056,-3.9105,-12978,-10618,24042,-4557,-7119,8701,1107,4224,22737,-446,0,-1051
2016-06-14,248127,249556,237174,242889,253003,61451645667,-1.163,22579,-45110,21888,9792,-239,719,-2101,2499,12281,811,-168,-1063
2016-06-15,245270,251938,243841,247652,232963,57693752876,1.961,-16526,-61516,77275,4495,18026,23063,27914,-746,4168,538,229,355
2016-06-16,249080,259081,243841,253843,252399,64069719357,2.4999,-57678,-35183,93889,30652,25545,27837,26576,-2684,-14034,-1175,147,-3
2016-06-17,255271,259558,253366,255748,159858,40883363784,0.7505,-11502,-45075,55482,28091,11336,15374,3818,899,-4132,663,432,96
2016-06-20,260986,272416,260510,270036,216786,58540024296,5.5867,-69062,655,68826,44325,15391,18061,11597,-7621,-14058,-591,172,1131
2016-06-21,266701,267654,261939,263844,181738,47950480872,-2.293,6880,-68361,61321,14120,16372,1189,14177,4937,10526,151,9,0
2016-06-22,265749,275274,265273,270512,207924,56245937088,2.5273,-15901,34740,-20245,-24685,2551,2263,458,-1350,918,1064,342,-400
2016-06-23,266701,271464,263368,268607,121285,32577999995,-0.7042,472,-34216,29998,7903,4364,6323,1446,-40,10502,3744,2,-500
2016-06-24,270511,272893,252890,255748,287835,73613225580,-4.7873,13616,-11464,1111,-17886,-2064,3854,5779,3162,8278,-3339,76,-12
2016-06-27,250509,258605,249080,256701,112240,28812120240,0.3726,-4508,567,4269,-5861,4357,6243,-88,-1298,2872,-328,0,-1956
2016-06-28,253366,257176,251461,252891,187991,47541231981,-1.4842,36640,-89730,52674,12347,19393,9827,2956,-734,8825,417,-1,60
2016-06-29,257653,268606,257176,264321,222082,58700936322,4.5197,-31099,-23688,51899,4090,20612,6377,25663,-5087,244,2892,-4,0
2016-06-30,269559,270988,261939,269559,161051,43412746509,1.9817,-18951,-38538,55101,19226,28860,1610,14083,1748,-10376,2373,15,-50
2016-07-01,269559,274321,267178,271941,110422,30028269102,0.8837,-13327,-28726,40882,6110,24647,2631,4244,1721,1529,1406,-235,0
2016-07-04,272893,281941,272416,280513,140401,39384305713,3.1522,-41484,-7336,51108,14679,11273,18275,4657,1623,256,481,-2769,345
2016-07-05,278131,281941,276703,276703,93728,25934818784,-1.3582,3297,-26014,22586,6186,10522,2157,-967,131,3965,-39,170,592
2016-07-06,275274,275750,266225,268607,135939,36514166973,-2.9259,20490,-25078,8308,-509,4507,9562,624,-2006,-3986,-3794,74,116
2016-07-07,271464,273845,267178,267654,64594,17288842476,-0.3548,9473,-13250,3511,-8338,3865,1631,1445,2050,2858,266,0,0
2016-07-08,268130,269083,262891,267654,78470,21002809380,0.0,7001,522,-8002,-4407,1618,1158,727,563,-7661,475,4,0
2016-07-11,268606,276703,264320,275274,104230,28691809020,2.847,-26875,3699,23570,14034,-85,7341,-8185,-885,12521,-354,-40,-1171
2016-07-12,275274,277655,273369,276227,82538,22799224126,0.3462,2661,-13192,10572,-430,8555,2354,-1105,94,2097,-39,-2,-993
2016-07-13,278608,280513,272893,276227,82269,22724919063,0.0,-3114,12770,-10412,-1871,-6519,-848,-77,-1068,1276,751,5,-1305
2016-07-14,276703,278608,274798,278608,81523,22712959984,0.862,-6612,17691,-11040,8823,-10281,-2706,-4235,-2532,-109,-51,12,0
