date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,8901,9098,8125,8393,1164588,9774387084,-5.7178,-29998,32629,-37,0,0,0,0,0,-37,-3483,889,0
2016-05-27,10391,10881,9990,10882,2770551,30149135982,29.6557,-6756,-13838,-18692,0,0,0,0,1307,-19999,39706,-420,0
2016-05-30,11595,14137,11550,14138,6959305,98390654090,29.921,46195,-35826,-9307,0,0,0,0,-1307,-8000,-1244,182,0
2016-05-31,16278,18329,14449,16055,12150504,195076341720,13.5592,14858,31922,-4998,0,0,0,0,1002,-6000,-40009,-1773,0
2016-06-01,17214,18285,15386,15609,5216594,81425815746,-2.778,-38546,46443,-14000,0,0,0,0,0,-14000,4758,1345,0
2016-06-02,16590,17304,15029,16100,3066055,49363485500,3.1456,-14827,8942,-2982,0,0,0,0,0,-2982,9392,-525,0
2016-06-03,15654,15787,14316,14628,2462452,36020747856,-9.1429,-7202,5428,-4000,0,0,0,0,0,-4000,6116,-342,0
2016-06-07,15609,17304,15118,16457,3212242,52863866594,12.5034,-82927,84835,-2069,0,0,0,0,1000,-3069,548,-387,0
2016-06-08,13825,15386,13379,14004,4016202,56242892808,-14.9055,134908,-124394,2957,0,0,0,0,500,2457,-15353,1882,0
2016-06-09,14360,14494,13468,14271,1151674,16435539654,1.9066,-40305,25093,-230,0,0,0,0,0,-230,15000,442,0
2016-06-10,14806,15520,14360,14361,1586490,22783582890,0.6306,17685,-20233,1788,0,0,0,0,2000,-212,-98,858,0
2016-06-13,13959,14003,12665,12978,1427406,18524875068,-9.6302,-86737,80491,1514,0,0,0,0,1000,514,1516,3216,0
2016-06-14,13111,14405,13111,13290,1532790,20370779100,2.4041,22864,-24003,58,0,0,0,0,0,58,1204,-123,0
2016-06-15,13379,13468,12353,12443,874993,10887537899,-6.3732,22112,-13194,-8994,0,0,0,0,-5000,-3994,-4,80,0
2016-06-16,12621,12710,11372,11551,971357,11220144707,-7.1687,5161,-6591,79,0,0,0,0,0,79,90,1261,0
2016-06-17,11729,11907,10881,10882,1025523,11159741286,-5.7917,84234,-84100,-493,0,0,0,0,-502,9,40,319,0
2016-06-20,10881,11372,10614,11150,661886,7380028900,2.4628,34529,-57108,-8,0,0,0,0,0,-8,22500,87,0
2016-06-21,11194,11238,10748,10971,425942,4673009682,-1.6054,32255,-33716,-142,0,0,0,0,0,-142,1603,0,0
2016-06-22,10525,10703,10302,10570,502275,5309046750,-3.6551,5882,-4264,36,0,0,0,0,0,36,-1307,-347,0
2016-06-23,10792,13736,10748,13736,5307296,72901017856,29.9527,187387,-148157,-2000,0,0,0,0,0,-2000,-38085,855,0
2016-06-24,15208,16322,13468,14450,9630653,139162935850,5.198,56457,-55948,272,0,0,0,0,0,272,3290,-4071,0
2016-06-27,13334,14494,12844,13513,2129906,28781419778,-6.4844,-959,3122,-1990,0,0,0,0,0,-1990,-713,540,0
2016-06-28,13067,13156,12353,12443,1409565,17539217295,-7.9183,-4620,6100,0,0,0,0,0,0,0,-1634,154,0
2016-06-29,12576,14494,12398,12800,2953573,37805734400,2.8691,-18609,25589,-1999,0,0,0,0,0,-1999,-4315,-666,0
2016-06-30,13067,13825,12933,13112,965270,12656620240,2.4375,19213,-17612,-2000,0,0,0,0,0,-2000,499,-100,0
2016-07-01,13290,13602,12755,12844,552355,7094447620,-2.0439,-9316,4527,3000,0,0,0,0,3000,0,1889,-100,0
2016-07-04,13156,13334,12665,12844,628720,8075279680,0.0,5549,-3803,-1996,0,0,0,0,0,-1996,250,0,0
2016-07-05,12844,12844,12086,12309,589863,7260623667,-4.1654,-5056,4823,0,0,0,0,0,0,0,200,33,0
2016-07-06,12086,12799,11729,12443,802486,9985333298,1.0886,-8354,34261,-25995,0,0,0,0,1000,-26995,-20,108,0
2016-07-07,12621,12710,12219,12443,366305,4557933115,0.0,-42282,47595,-5379,0,0,0,0,0,-5379,0,66,0
2016-07-08,12398,12398,11863,11997,519313,6230198061,-3.5843,24361,-329,-27999,0,0,0,0,0,-27999,4072,-105,0
2016-07-11,11996,12130,11461,11640,480647,5594731080,-2.9757,25749,4811,-31276,0,0,0,0,0,-31276,705,11,0
2016-07-12,11818,13022,11461,11819,2132397,25202800143,1.5378,82517,-11510,-74300,0,0,0,0,0,-74300,2535,758,0
2016-07-13,12041,12175,11684,11685,622258,7271084730,-1.1338,15093,9200,-22300,0,0,0,0,0,-22300,-2640,647,0
2016-07-14,11550,11684,11149,11462,804308,9218978296,-1.9084,71553,-70123,-2000,0,0,0,0,0,-2000,350,220,0
2016-07-15,13870,14182,11640,11774,4488531,52847963994,2.722,108995,-18580,-87101,0,0,0,0,-4000,-83101,-5675,2361,0
2016-07-18,11417,11461,10971,11150,1003494,11188958100,-5.2998,11394,27353,-36514,0,0,0,0,0,-36514,-1571,-662,0
2016-07-19,10792,10971,10525,10882,855428,9308767496,-2.4036,28249,-5853,-23800,0,0,0,0,0,-23800,-161,1565,0
2016-07-20,10792,10837,9945,9990,1304129,13028248710,-8.197,40732,-32228,-10473,0,0,0,0,0,-10473,1213,756,0
2016-07-21,10123,10703,9945,10213,1423230,14535447990,2.2322,48224,-14194,-32473,0,0,0,0,0,-32473,-1530,-27,0
2016-07-22,10391,10614,10168,10213,437322,4466369586,0.0,-14888,14546,0,0,0,0,0,0,0,0,342,0
2016-07-25,10213,10302,10079,10124,261936,2651840064,-0.8714,697,3841,-4548,0,0,0,0,0,-4548,1,9,0
2016-07-26,10079,10079,9811,9945,338836,3369724020,-1.7681,20177,-6960,-13065,0,0,0,0,0,-13065,0,-152,0
2016-07-27,9945,9945,9588,9678,353143,3417717954,-2.6848,3934,1980,-8500,0,0,0,0,0,-8500,2662,-76,0
2016-07-28,9544,9990,9499,9678,264660,2561379480,0.0,40683,-17347,-22348,0,0,0,0,0,-22348,-1500,512,0
2016-07-29,9677,9722,9410,9455,361113,3414323415,-2.3042,20226,-4377,-16104,0,0,0,0,0,-16104,350,-95,0
2016-08-01,9499,9722,9365,9410,306793,2886922130,-0.4759,3738,23218,-25783,0,0,0,0,0,-25783,-2386,1213,0
2016-08-02,9410,9588,9321,9455,416325,3936352875,0.4782,87062,-23818,-61137,0,0,0,0,0,-61137,-2371,264,0
2016-08-03,6645,7510,6645,6815,27047568,184329175920,-27.9217,10124049,-10395181,1054650,0,-317059,0,0,0,2374198,-803932,20414,-1002489
2016-08-04,6868,6903,6109,6333,14197313,89911583229,-7.0726,4685916,-3248894,-1307247,-200000,-59001,0,0,0,-948246,-156695,26920,-100000
2016-08-05,6422,6814,6395,6583,11066578,72851282974,3.9476,476523,-9639,-478000,-71249,-10000,0,-62330,2707,-337128,-1245,12361,0
2016-08-08,6645,6654,6324,6395,2855231,18259202245,-2.8558,230631,-91528,-157968,0,-7396,0,0,0,-150572,20471,-1606,0
2016-08-09,6386,6484,6315,6378,1804960,11512034880,-0.2658,237094,-6769,-221957,0,0,0,0,-26232,-195725,-171,-8197,0
2016-08-10,6404,6404,6234,6279,2189060,13745107740,-1.5522,66228,-66035,-106297,0,0,0,0,0,-106297,104593,1511,0
2016-08-11,6261,6288,6047,6101,2950131,17998749231,-2.8348,397632,-84355,-350481,0,0,0,0,0,-350481,36859,345,0
2016-08-12,6101,6306,6092,6226,2074168,12913769968,2.0488,84833,14550,-112629,0,0,0,0,0,-112629,30139,-16893,0
2016-08-16,6234,6243,6118,6155,1405366,8650027730,-1.1404,156243,-6435,-142906,0,0,0,0,0,-142906,-785,-6117,0
2016-08-17,6154,6368,6101,6163,1614762,9951778206,0.13,194558,-164696,1410,0,-590,0,0,0,2000,1182,-32454,0
2016-08-18,6199,6261,6163,6181,871895,5389182995,0.2921,47954,-40140,0,0,0,0,0,0,0,7274,-15088,0
2016-08-19,6243,6243,6145,6190,733014,4537356660,0.1456,29841,-9634,-25949,0,-26232,0,0,0,283,6463,-721,0
2016-08-22,6217,6306,6101,6172,1118667,6904412724,-0.2908,-30834,-19728,574,0,0,0,0,0,574,65522,-15534,0
2016-08-23,6225,6261,6109,6128,1038460,6363682880,-0.7129,10782,-210,-6408,0,0,0,0,1449,-7857,32,-4196,0
2016-08-24,6145,6172,6056,6065,857520,5200858800,-1.0281,82999,-81167,707,0,0,0,0,0,707,-2369,-170,0
2016-08-25,6047,6065,5922,5932,1408275,8353887300,-2.1929,45973,-12833,-32114,0,0,0,0,0,20351,632,-1658,-52465
2016-08-26,6002,6163,5726,6048,2460716,14882410368,1.9555,12715,-17878,12900,0,0,0,0,0,12900,5120,-12857,0
2016-08-29,6127,6350,6002,6163,2712226,16715448838,1.9015,104539,-106232,1132,0,0,0,0,0,1132,424,137,0
2016-08-30,6225,7019,6163,6627,12888443,85411711761,7.5288,464157,-406573,-28459,0,-30000,0,0,0,1541,-39922,10797,0
2016-08-31,7091,8491,6877,8322,51168100,425820928200,25.5772,4254102,-360987,-2041438,-114960,-1438926,0,-314796,-24128,-31050,-1869128,17451,-117578
2016-09-01,8518,8527,7884,8161,26123706,213195564666,-1.9346,5689712,-5130322,-419296,0,-525434,0,-2097,3235,0,-162923,22829,105000
2016-09-02,7938,8518,7769,8420,22882214,192668241880,3.1736,1108683,-395049,-282846,-18000,-386058,0,0,-24133,5005,-441304,10516,140340
2016-09-05,8500,8509,7929,8117,10696352,86822289184,-3.5986,33322,-27586,-33370,0,0,0,0,0,-31370,-8971,36605,-2000
2016-09-06,7849,8018,7403,7626,10742393,81921489018,-6.049,-44897,20048,7741,0,8550,9530,0,-10500,161,7174,9934,0
2016-09-07,7777,8322,7697,8233,16856732,138781474556,7.9596,258649,-201472,10037,0,84,8412,0,-500,2041,-14037,-53177,0
2016-09-08,7983,8322,7893,7930,8889344,70492497920,-3.6803,9487,-49549,9400,0,0,0,0,9400,0,26449,4213,0
2016-09-09,7965,8063,7528,7662,3926825,30087333150,-3.3796,-10697,-194,-11738,0,0,0,0,-11700,-38,13013,9616,0
2016-09-12,7483,7519,6993,7136,4192507,29917729952,-6.865,-191798,14774,-5198,0,0,0,0,-4278,-920,174782,7440,0
2016-09-13,7153,7439,7001,7180,2694980,19349956400,0.6166,94882,-107357,-3934,0,0,0,0,-3000,-934,17042,-633,0
2016-09-19,7180,7180,6814,6886,2744034,18895418124,-4.0947,-163818,98722,-12622,0,-3650,-3550,0,0,-5422,67249,10469,0
2016-09-20,6841,6885,6609,6672,2536015,16920292080,-3.1078,133362,-121652,-28377,0,-11071,-16188,0,0,-1118,5100,11567,0
2016-09-21,6778,7751,6761,7225,9659520,69790032000,8.2884,110825,-139316,0,0,0,0,0,0,0,53455,-24964,0
2016-09-22,7055,7331,7010,7171,2938737,21073683027,-0.7474,-300543,91516,-566,0,0,0,0,0,-566,213748,-4155,0
2016-09-23,7314,7474,7278,7323,2523254,18477789042,2.1196,88048,-108993,0,0,0,0,0,0,0,13384,7561,0
2016-09-26,7911,8197,7724,7760,6447382,50031684320,5.9675,245670,-137930,-5377,0,-5377,0,0,0,0,-98898,-3465,0
2016-09-27,7661,8045,7546,7823,7312343,57204459289,0.8119,60376,-48935,-12821,0,-13321,0,0,0,500,-10884,12264,0
2016-09-28,7795,7795,7590,7591,2234843,16964693213,-2.9656,159986,-105366,450,0,0,0,0,0,450,-53736,-1334,0
2016-09-29,7608,7706,7483,7493,1658427,12426593511,-1.291,13601,-29504,299,0,0,0,0,0,299,18309,-2705,0
2016-09-30,7492,7528,7207,7234,1907801,13801032434,-3.4566,41377,-44435,405,0,0,0,0,0,405,4080,-1427,0
