date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,90600,92100,89600,90200,157997,14251329400,0.0,48751,-43855,-14149,-18093,-1708,-1244,-5643,0,12539,9187,66,0
2016-05-27,90500,91000,89300,89900,127194,11434740600,-0.3326,64526,-27056,-38096,-38121,-868,3572,-6447,4000,-232,600,26,0
2016-05-30,90300,90400,88900,89300,133786,11947089800,-0.6674,57697,-4565,-53890,-42171,-19408,8830,-1803,0,667,150,608,-5
2016-05-31,89500,93200,89500,92600,271126,25106267600,3.6954,-94434,35506,57399,3848,14882,20930,29246,-5000,-3154,1386,143,-3353
2016-06-01,92600,92600,91200,91500,114438,10471077000,-1.1879,33706,-16123,-15395,7384,1700,-115,-17399,1560,-8525,-2207,19,0
2016-06-02,91500,92200,89800,90200,145503,13124370600,-1.4208,49413,-18718,-30952,-18677,-20326,-5067,-2968,10440,5646,61,196,0
2016-06-03,90300,91200,89900,90800,107129,9727313200,0.6652,61,5527,-7171,-8930,-11014,3644,6591,-3000,5538,1550,33,0
2016-06-07,90900,91000,89900,90700,117916,10694981200,-0.1101,36836,10782,-46727,-18011,-15914,0,-12094,0,-588,-898,7,-120
2016-06-08,90600,91700,90200,90800,122834,11153327200,0.1103,21917,-5608,-16671,-14136,-9904,6642,-7027,4664,3090,301,61,0
2016-06-09,90900,91600,90300,90400,137620,12440848000,-0.4405,42608,7343,-49748,-20141,-17915,-2608,-11819,0,2745,-226,23,-10
2016-06-10,90700,91700,90500,91600,102367,9376817200,1.3274,-18392,16059,2084,12978,-2911,-10269,-2874,184,4976,249,0,0
2016-06-13,91600,93100,91200,91800,143818,13202492400,0.2183,-2054,-21423,23035,26717,4196,-209,-8182,-1000,1645,432,10,-132
2016-06-14,92300,92800,90800,90900,124510,11317959000,-0.9804,13188,-22875,9526,22278,4332,-9890,-8564,135,1235,141,20,0
2016-06-15,90900,91600,90400,91100,93044,8476308400,0.22,15935,-3407,-12507,7432,-5385,851,-10500,-4,-4901,-282,261,0
2016-06-16,91100,91400,90500,91200,96323,8784657600,0.1098,4603,-12728,10345,17915,-513,3976,-3585,-2000,-5448,-2126,-94,0
2016-06-17,91500,92900,91300,92300,151308,13965728400,1.2061,-6917,2905,3792,37543,-6510,-4563,-30349,5867,1804,86,134,0
2016-06-20,92900,93600,92400,92700,111362,10323257400,0.4334,-13067,898,11171,16227,3885,1041,-9821,-1898,916,1007,-9,821
2016-06-21,92800,92800,91300,91900,131899,12121518100,-0.863,6717,-7587,-814,12222,-11864,11916,-11173,568,-2504,1718,-34,21
2016-06-22,91400,93700,91300,92500,137633,12731052500,0.6529,-7558,9988,-4548,-18776,2356,26124,-11721,5689,-8220,2126,-8,0
2016-06-23,92000,93500,91500,93000,96695,8992635000,0.5405,-31473,6983,23533,7976,1675,25166,-478,-2398,-8400,1293,-336,-8
2016-06-24,93500,93500,87900,88800,237739,21111223200,-4.5161,51586,-31797,-19012,-6750,3225,11471,-13747,-2603,-5723,-377,-400,-4885
2016-06-27,88400,89800,87500,89100,92281,8222237100,0.3378,-1160,-17899,18553,8390,-1219,571,5311,100,5400,505,1,0
2016-06-28,88100,89800,88000,89500,82590,7391805000,0.4489,12301,-33018,20594,12346,6842,-2383,1450,0,2339,123,0,0
2016-06-29,90000,90600,89600,89900,66781,6003611900,0.4469,8976,-8600,-2215,4377,-374,1097,-98,-1417,-5800,1835,4,0
2016-06-30,90300,90600,89000,89100,90086,8026662600,-0.8899,22673,-11230,-11505,-6708,-3907,6245,824,-2469,-5490,0,62,0
2016-07-01,89300,89400,88000,88500,138823,12285835500,-0.6734,33734,-11858,-22506,-57,-10492,-452,-15811,3100,1206,709,-79,0
2016-07-04,88600,88900,87600,88000,158603,13957064000,-0.565,45428,5681,-51179,-22029,-22831,-729,-2845,1000,-845,24,46,-2900
2016-07-05,88100,88300,87500,87600,91538,8018728800,-0.4545,40539,2410,-43072,-21176,-749,-18,-16352,300,-5077,112,11,0
2016-07-06,87600,87600,84000,84000,263543,22137612000,-4.1096,91430,-27846,-61695,-10760,-18539,567,-24427,300,-8664,-1778,-111,-172
2016-07-07,84600,85300,83800,84000,127072,10674048000,0.0,37238,1256,-38794,-34082,-1842,9,-9984,0,7307,299,1,-202
2016-07-08,83900,84500,82000,82500,153473,12661522500,-1.7857,19939,24199,-43817,-32394,1740,-7859,-5986,3000,-2318,-305,-16,0
2016-07-11,83000,84900,82900,84300,104513,8810445900,2.1818,-3708,16304,-12210,-12080,1859,-128,-3730,0,1869,-437,51,0
2016-07-12,84300,85300,83800,85200,91287,7777652400,1.0676,-17355,9396,6248,17687,-3592,276,-3758,-2000,-2365,1552,159,0
2016-07-13,85200,86600,85100,86300,107897,9311511100,1.2911,-12293,36685,-24382,7856,-12566,-5967,-6358,0,-6827,-12,2,-520
2016-07-14,86100,86100,84900,85300,95700,8163210000,-1.1587,4351,17604,-23016,-3614,-14118,2644,-5381,-7,-2540,1039,22,0
2016-07-15,85900,86800,84800,85700,185443,15892465100,0.4689,20937,62977,-83866,-31143,-16288,-5199,-20568,700,-8251,-95,47,-3117
