date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,61600,61900,60400,61600,103932,6402211200,0.3257,-7618,14688,-7585,-16157,-132,1264,8673,0,-1233,620,-105,0
2016-05-27,61500,64100,60800,63600,189501,12052263600,3.2468,-30809,-24097,61753,-11214,21470,23021,19732,7500,1244,-6658,-189,0
2016-05-30,63600,63600,61400,63000,184535,11625705000,-0.9434,10543,19304,-34783,-10461,-2830,-8634,-12896,0,38,4894,42,0
2016-05-31,62500,64100,62300,63800,391999,25009536200,1.2698,-14222,-18393,32811,10511,17383,1324,6440,0,-2847,-225,29,0
2016-06-01,63200,63500,61800,61900,115085,7123761500,-2.9781,37701,-40726,2328,-2421,12220,679,-3202,0,-4948,567,130,0
2016-06-02,61900,62000,60700,61200,89373,5469627600,-1.1309,23953,-11208,-12751,-8176,7649,7183,-11573,-235,-7599,-11,17,0
2016-06-03,61200,62300,60600,62300,108614,6766652200,1.7974,-19712,24695,-6742,-4911,-1970,-10087,477,0,6749,1805,-46,3000
2016-06-07,62200,62300,61100,61500,88105,5418457500,-1.2841,30124,-27282,665,-442,-2736,-2211,6461,3000,-3407,-3465,-42,0
2016-06-08,61400,63500,61300,63400,99368,6299931200,3.0894,-21431,7556,14550,757,-2378,6309,-3329,0,13191,-775,100,0
2016-06-09,62800,65100,62400,65100,192644,12541124400,2.6814,-12923,2713,9461,-15431,-2618,15270,584,0,13748,761,-12,-2092
2016-06-10,64900,65300,63100,63500,114721,7284783500,-2.4578,27011,-31248,4452,9129,-11699,-1985,-744,0,6634,-216,1,3117
2016-06-13,63000,63000,61600,61900,68885,4263981500,-2.5197,4927,7801,-12653,-7015,-4807,-4130,83,0,3216,-207,132,0
2016-06-14,61100,62300,60900,60900,146307,8910096300,-1.6155,28573,10695,-39125,-4630,-17342,624,-10493,0,-7284,-212,69,0
2016-06-15,60700,62700,60700,61900,79188,4901737200,1.642,-28406,17858,7987,3913,796,1908,8346,0,-6976,2614,-53,0
2016-06-16,61200,61800,60800,61100,104643,6393687300,-1.2924,-5773,7164,-1042,-8822,5049,3651,2204,0,-3124,-149,-200,0
2016-06-17,62000,62300,60700,60900,54303,3307052700,-0.3273,1274,1344,-2413,113,622,-7835,2135,1500,3795,-205,0,-2743
2016-06-20,61900,63100,61300,62800,59207,3718199600,3.1199,-18406,12560,6112,1512,462,3285,-347,0,1200,-238,-28,0
2016-06-21,62800,63200,62200,62300,47522,2960620600,-0.7962,-7106,2248,4555,5000,-250,75,-378,0,108,292,11,0
2016-06-22,62600,64800,62500,63100,82577,5210608700,1.2841,-21,5791,-5348,-4704,-86,-3836,-98,0,3376,-433,11,0
2016-06-23,63100,63300,61500,62300,69555,4333276500,-1.2678,-2841,19619,-16798,-4886,372,-8303,-2950,0,-1031,19,1,0
2016-06-24,62900,63800,58800,59600,165660,9873336000,-4.3339,12529,11207,-21776,-8829,-4849,-109,641,0,-8630,-1781,-179,0
2016-06-27,57600,59200,56400,56600,242539,13727707400,-5.0336,81694,-8990,-71774,-56436,-505,-4912,-7550,0,-4004,-1039,109,1633
2016-06-28,56100,58000,55800,57500,122104,7020980000,1.5901,-18444,47545,-29166,-9920,-1378,2005,787,0,-20660,-245,310,0
2016-06-29,58100,59900,57500,59600,121952,7268339200,3.6522,-26031,39964,-14103,-11881,3620,2192,199,0,-8233,-32,202,0
2016-06-30,60700,60700,58700,59500,139265,8286267500,-0.1678,22814,57965,-81380,-56027,-1175,-5193,453,0,-19438,0,601,0
2016-07-01,59200,60400,59000,59200,72759,4307332800,-0.5042,13966,18685,-32833,-22283,-5309,182,632,0,-2807,168,14,-3248
2016-07-04,59600,62300,59600,61600,168497,10379415200,4.0541,-56475,11290,48793,-13277,8487,31881,15615,0,6087,364,-3972,0
2016-07-05,61800,66500,61800,65100,399821,26028347100,5.6818,-125149,108114,16891,-37888,-3297,71939,-976,6000,-18887,102,42,0
2016-07-06,65000,66100,63200,64400,165506,10658586400,-1.0753,-1952,25420,-23364,-14630,3790,-14671,-4246,-1650,8043,-1,-103,0
2016-07-07,64800,65400,63300,63700,88943,5665669100,-1.087,16234,-4105,-12171,-20305,11223,0,-787,3000,-5302,0,42,0
2016-07-08,64100,64400,63200,63600,108232,6883555200,-0.157,-38972,29077,8518,-10269,1235,496,1929,-872,15999,1267,110,0
2016-07-11,64500,64600,62500,64100,102151,6547879100,0.7862,7627,20428,-31215,-24947,12,-19574,-396,872,12818,3162,-2,0
2016-07-12,64200,65000,63300,64000,86925,5563200000,-0.156,-6347,11627,-5011,-26274,2580,189,9496,2000,6998,-268,-1,0
2016-07-13,64400,66100,63800,65200,123889,8077562800,1.875,2282,28792,-30302,-4795,-825,-1094,-1536,-3500,-18552,-1034,262,0
2016-07-14,64600,66200,64600,66100,108990,7204239000,1.3804,-9328,-14734,24867,-2109,242,31583,-1515,0,-3334,-170,-635,0
2016-07-15,66400,67500,65700,66100,99980,6608678000,0.0,-11929,6262,1266,371,6758,-835,1549,0,-4553,4439,-38,-2024
2016-07-18,65800,66100,64000,65000,86370,5614050000,-1.6641,2754,25798,-28820,-3531,-5223,-2737,-658,-1100,-15571,65,203,0
2016-07-19,65000,65200,63700,64900,48543,3150440700,-0.1538,-1550,11221,-9721,-3040,-1498,-689,-2446,0,-2048,50,0,0
2016-07-20,64900,64900,63200,63400,75116,4762354400,-2.3112,22236,-13255,-8696,-4626,5109,900,-8266,0,-1813,-275,-10,0
2016-07-21,63500,63800,62200,62700,84326,5287240200,-1.1041,11083,18268,-27028,-15384,-13310,-3817,-44,2000,3527,-2323,0,0
2016-07-22,62700,64200,62200,64000,56784,3634176000,2.0734,-15663,14634,234,0,1029,476,1021,-2000,-292,782,13,0
2016-07-25,64000,64300,63300,63600,39038,2482816800,-0.625,-9143,-2967,12090,-2000,937,15860,-117,0,-2590,0,20,0
2016-07-26,63300,63500,62100,62800,84305,5294354000,-1.2579,20629,-13755,-6689,-11460,7706,-320,-6206,258,6240,20,-205,-2907
2016-07-27,62800,63400,62200,62400,49854,3110889600,-0.6369,3867,12307,-15063,-1408,-2587,257,-3840,0,-7485,-1111,0,0
