date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,26271,26318,26083,26224,193873,5084125552,0.3597,11056,-20820,9044,-21964,8215,-11929,2108,-1,32615,636,84,0
2016-05-27,26271,26506,26130,26318,316091,8318882938,0.3585,79349,-8471,-70930,-21284,37269,-25785,-4820,0,-56310,-15,67,0
2016-05-30,26365,26459,25989,25989,128007,3326773923,-1.2501,18264,-28655,10088,17020,-8933,-14,49,0,1966,408,-105,0
2016-05-31,25942,26130,25754,26083,182396,4757434868,0.3617,24739,-26906,2292,19758,-986,5,-6087,0,-4778,-127,2,-5620
2016-06-01,26177,26318,25942,26177,119240,3121345480,0.3604,229,-17267,16689,8266,11055,-338,6688,0,-8982,262,87,0
2016-06-02,26177,26224,25895,25989,99535,2586815115,-0.7182,6653,-14608,3361,10427,-1668,-65,-218,0,-5115,4640,-46,0
2016-06-03,25989,26224,25942,26130,125130,3269646900,0.5425,2354,-30902,24388,-2939,20143,-2616,760,0,9040,4140,20,0
2016-06-07,26271,26553,26130,26412,130147,3437442564,1.0792,692,-12681,7779,8028,-623,-129,-6930,0,7433,4204,6,0
2016-06-08,26412,27211,26365,27164,257569,6996604316,2.8472,-75548,30083,46765,5641,1342,6531,11431,7015,14805,-1300,0,0
2016-06-09,27164,27587,27023,27587,399891,11031793017,1.5572,-111929,20170,96135,199,99075,4069,6829,7795,-21832,-4478,102,0
2016-06-10,27446,27493,26929,27070,211884,5735699880,-1.8741,38821,-14725,-23539,1971,-10227,1710,-17875,1000,-118,-557,0,0
2016-06-13,26788,26882,26271,26318,220808,5811224944,-2.778,27334,6137,-30962,2945,-14208,-3710,-10510,0,-5262,-2464,-45,-217
2016-06-14,26177,26318,25472,25566,295137,7545472542,-2.8574,145032,-28280,-103291,8744,-56245,-1318,-5370,-1502,-47600,-13460,-1,0
2016-06-15,25613,25895,25472,25801,120131,3099499931,0.9192,-3070,-963,3160,7460,8610,-1286,-10266,0,-1358,1020,-147,0
2016-06-16,25801,25942,25378,25472,125314,3191998208,-1.2751,20533,-11348,-9235,9370,-5073,698,2103,-271,-14404,50,0,-1658
2016-06-17,25660,25801,25519,25519,106242,2711189598,0.1845,-4710,-12617,18705,-1867,12244,-5051,1752,3518,8109,-1378,0,0
2016-06-20,25613,26506,25613,26459,131703,3484729677,3.6835,-52085,25749,26336,13202,4831,3631,5,2202,2465,0,0,0
2016-06-21,26647,26647,26365,26553,132642,3522043026,0.3553,639,-5931,5331,8217,1813,36,94,-130,-4699,-38,-1,0
2016-06-22,26459,26835,26365,26647,156394,4167430918,0.354,-15413,29532,-13813,-11990,2615,0,10348,0,-14786,-256,-50,0
2016-06-23,26365,26600,26036,26177,158695,4154159015,-1.7638,13949,5543,-19505,-3153,-2799,-4169,-11400,0,2016,100,-87,0
2016-06-24,26412,26553,24391,24720,503933,12457223760,-5.566,5127,48990,-48061,6230,-19607,2179,-7997,-9000,-20902,-5966,-90,1036
2016-06-27,24156,24955,24015,24955,209526,5228721330,0.9506,-44629,-19595,63635,3518,17136,412,5688,-9293,46174,588,1,0
2016-06-28,24579,25096,24438,25049,113095,2832916655,0.3767,2738,-23387,18621,1033,6646,-41,11187,-1000,796,2028,0,0
2016-06-29,25237,25754,25002,25284,200910,5079808440,0.9382,18381,-35106,23583,-365,4154,11543,-1936,4293,5894,-6932,74,0
2016-06-30,25613,25707,25378,25425,128207,3259662975,0.5577,-525,-11181,10680,-10714,11608,-3939,-768,2043,12450,1026,0,0
2016-07-01,25566,25989,25519,25801,127322,3285034922,1.4789,-54109,46446,7153,-7977,-2368,-69,14484,0,3083,574,-64,0
2016-07-04,25707,26130,25566,25801,179415,4629086415,0.0,3707,8117,-11868,-14011,-72254,16929,57780,1879,-2191,44,0,0
2016-07-05,25801,26036,25613,25801,107951,2785243751,0.0,32695,1824,-35150,-19278,-4477,-563,-13342,0,2510,711,-80,0
2016-07-06,25660,25801,25002,25237,158339,3996001343,-2.186,24539,1140,-24126,-30160,1425,1964,3223,-436,-142,-1933,380,0
2016-07-07,25472,25801,25331,25613,139583,3575139379,1.4899,-5091,25291,-20411,-6936,-12327,-497,-3603,1459,1493,411,-200,0
2016-07-08,25519,25613,24955,25002,145510,3638041020,-2.3855,59333,-20864,-37208,-37705,2834,1082,-1756,2443,-4106,-1101,-160,0
2016-07-11,25284,25425,24955,25143,121726,3060556818,0.564,12837,9112,-13489,-15593,-792,-200,-547,0,5579,-8460,0,-1936
2016-07-12,25143,25566,25049,25519,125357,3198985283,1.4954,-31617,26433,5334,908,-7751,-527,11834,-216,3007,0,-150,-1921
2016-07-13,25613,26130,25613,26036,179466,4672576776,2.0259,-18840,13329,4490,1067,-4468,306,9684,338,4299,779,242,-6736
2016-07-14,26130,26600,26036,26459,185612,4911107908,1.6247,-41430,38333,-1387,6985,-18332,9297,-1549,332,1880,4484,0,0
2016-07-15,26506,26553,26177,26177,118221,3094671117,-1.0658,10005,3951,-14151,-5028,1143,-5985,2480,0,-6761,717,-522,0
2016-07-18,26224,26506,26083,26083,74100,1932750300,-0.3591,12515,-6486,-6713,6000,-8907,-90,-5662,0,1946,607,77,0
2016-07-19,26083,26177,25472,25472,193504,4928933888,-2.3425,83325,-41124,-42366,-3430,-21477,-8848,-5084,0,-3527,165,0,0
2016-07-20,25566,25660,25425,25566,93573,2392287318,0.369,15560,19361,-35531,-27047,3229,610,932,0,-13255,610,0,0
2016-07-21,25707,26177,25660,26083,153665,4008044195,2.0222,-19159,19863,-241,-17978,3211,7889,-7393,0,14030,-463,0,0
2016-07-22,26083,26083,25660,25801,77446,1998184246,-1.0812,20636,1643,-22665,-28523,-14,-568,-2485,0,8925,386,0,0
2016-07-25,25895,26600,25895,26130,127178,3323161140,1.2751,20197,-19013,-5797,-9470,-5173,-1114,-820,0,10780,0,4613,0
2016-07-26,26318,26600,26177,26271,160900,4227003900,0.5396,-5390,-6088,11316,-908,-4110,-252,1439,0,15147,0,162,0
2016-07-27,26506,27211,26365,27117,386079,10469304243,3.2203,-56733,26299,24949,1581,5472,1980,9125,-56,6056,4979,506,791
2016-07-28,27211,27446,26788,27023,184156,4976447588,-0.3466,-6130,2271,3481,-1224,2921,4175,-1356,0,-1899,376,2,864
2016-07-29,27258,28527,27258,28104,778971,21892200984,4.0003,-170095,66716,108464,8936,62217,12707,4526,95,19790,-5153,68,193
