date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,241000,249500,241000,244500,137076,33515082000,1.6632,-15553,-17649,32490,6856,2445,6816,2995,176,13603,713,-1,-401
2016-05-26,245500,257000,245500,253500,211656,53654796000,3.681,-28139,-55227,84190,56305,22742,1780,11912,-400,-8343,-806,-18,194
2016-05-27,256500,257000,253000,255500,135504,34621272000,0.789,-10112,-36085,43629,39238,2323,1855,884,0,-762,2571,-3,91
2016-05-30,252000,257000,251500,254500,97077,24706096500,-0.3914,-6283,-17371,23622,20159,2025,2493,-297,58,-806,32,0,-10
2016-05-31,252000,260000,251500,255000,303578,77412390000,0.1965,-14314,-37369,51876,24876,20400,8380,-544,0,-2124,-377,184,888
2016-06-01,251500,258000,251500,255000,154324,39352620000,0.0,-3104,-12465,15478,14742,20672,1243,5650,216,-27045,69,22,0
2016-06-02,253500,257500,252000,255000,92355,23550525000,0.0,1639,6362,-8483,4452,-7198,1744,6509,-255,-13735,497,-15,0
2016-06-03,253000,256000,252500,255000,93004,23716020000,0.0,-2400,-27078,29580,588,3373,769,-506,0,25356,-100,-2,0
2016-06-07,252000,254000,249000,252000,148101,37321452000,-1.1765,8566,-7341,-1670,-7479,-5199,-185,-8711,0,20349,444,1,-445
2016-06-08,251500,257500,251000,256500,145056,37206864000,1.7857,-16192,21187,-2085,-5367,-2268,995,-3646,-2707,10684,-2949,39,224
2016-06-09,256500,257500,249500,255000,223883,57090165000,-0.5848,1975,38682,-46219,-17070,-43780,-4098,-18175,550,37212,5550,12,-858
2016-06-10,255000,258000,250500,256500,162845,41769742500,0.5882,-10309,-34652,45176,22531,-8048,-3669,-7445,-47,41854,-215,0,0
2016-06-13,253500,256500,252500,254000,70547,17918938000,-0.9747,-1480,-13699,15246,16063,-7273,-2191,-2657,193,11111,-67,0,0
2016-06-14,255000,257000,249500,253000,97312,24619936000,-0.3937,-3921,-16247,20205,26916,4163,200,5867,150,-17091,-40,3,0
2016-06-15,253500,266000,253000,265500,282936,75119508000,4.9407,-90189,64038,28247,37146,7606,12198,14756,-616,-43210,-3853,1757,367
2016-06-16,264000,265000,258500,263000,173635,45666005000,-0.9416,-8425,-48648,56533,41427,9167,13698,8725,-504,-14810,-28,568,-1170
2016-06-17,264000,264500,257000,258500,129717,33531844500,-1.711,4316,-32430,28003,10130,1235,-2000,-654,-690,19982,92,19,0
2016-06-20,265000,270000,260500,266000,217845,57946770000,2.9014,-33874,-31173,66845,28185,34059,-161,10634,-66,-8983,-1757,-41,3177
2016-06-21,265000,272000,264000,267000,150982,40312194000,0.3759,3666,3142,-6869,9742,-13447,-5840,651,-1011,2674,160,-99,362
2016-06-22,268000,269500,261000,264000,178903,47230392000,-1.1236,18930,-70018,50840,49287,2585,-11470,-8287,713,17677,248,0,335
2016-06-23,263000,267000,262500,264500,123729,32726320500,0.1894,-11089,-23198,33864,18156,3029,-8386,4641,2420,13997,241,182,7
2016-06-24,265000,268000,246000,258500,248979,64361071500,-2.2684,-25427,-31813,56758,36698,14426,1751,13175,924,-10398,490,-8,182
2016-06-27,264000,265500,254000,262500,148046,38862075000,1.5474,-20571,-34529,55661,19452,13079,426,7199,1393,13827,-278,-283,285
2016-06-28,258000,264500,258000,261500,118743,31051294500,-0.381,-1799,-45780,47229,8384,39589,-6384,5443,-255,269,238,112,183
2016-06-29,260000,261000,256000,258500,109242,28239057000,-1.1472,16349,-16379,-930,-539,5410,3126,401,84,-9412,760,200,0
2016-06-30,258000,260000,249000,252000,301581,75998412000,-2.5145,54740,-48645,-6497,-23539,39581,-3350,-6295,1477,-13755,32,370,-616
2016-07-01,253000,260500,251000,258500,219529,56748246500,2.5794,-37124,35040,223,-4390,35016,-1150,-4557,-5138,-19558,1963,-102,0
2016-07-04,257000,260500,253500,259500,154259,40030210500,0.3868,-4948,191,7935,8627,26463,-9554,-3564,0,-14272,704,-3882,235
2016-07-05,257500,259000,254000,255000,96112,24508560000,-1.7341,14662,-17614,2981,4373,-2962,-3808,-3561,469,8820,-17,-12,-350
2016-07-06,255000,255000,246000,247500,185484,45907290000,-2.9412,48480,-41122,-8154,-3135,-464,-26733,2250,-164,20042,700,96,50
2016-07-07,248500,254000,248000,252500,106236,26824590000,2.0202,-19613,23606,-3958,5575,-3464,556,-4249,0,-2376,-3,-32,0
2016-07-08,252500,254000,247500,249500,119802,29890599000,-1.1881,2986,12370,-15281,-2104,3212,-10881,-2194,-730,-2584,-75,0,0
2016-07-11,251500,257000,251000,256500,120511,30911071500,2.8056,-24579,29083,-4696,-7037,-1314,-709,-209,-742,6809,27,165,-1494
2016-07-12,258000,264000,257000,262000,189122,49549964000,2.1442,-42633,71952,-28524,-14798,-641,-6426,-214,1114,-5754,-673,-122,-1805
2016-07-13,265000,267500,258500,261000,144119,37615059000,-0.3817,-6582,35687,-27271,310,-6274,-541,5915,643,-22437,-1687,-147,-4887
2016-07-14,263500,266000,261500,265000,163342,43285630000,1.5326,-24069,52044,-27780,5680,-18506,-11155,8114,582,-12495,-193,-2,0
2016-07-15,263500,266000,261000,265500,110468,29329254000,0.1887,-7655,35052,-23214,-532,-4566,-2343,-4174,-971,-9784,-3917,-266,-844
2016-07-18,264000,264000,256000,259500,136630,35455485000,-2.2599,20892,-2245,-13881,14883,-19875,-8568,-9358,-10,9050,-2705,-2061,-3
2016-07-19,258500,260500,254000,260500,114174,29742327000,0.3854,-3545,18138,-14853,16528,-15072,-4199,2052,0,-14162,199,61,0
2016-07-20,258500,261500,256000,261500,70752,18501648000,0.3839,-15277,5820,9514,13496,1217,-1059,1687,-374,-5423,-52,-5,-30
2016-07-21,262500,263000,256500,259000,77231,20002829000,-0.956,4484,-199,-4256,-9373,-73,459,-19184,0,23915,-7,-22,0
2016-07-22,261500,263500,259500,263000,97916,25751908000,1.5444,-21531,30477,-8887,-11014,-679,966,-7333,-978,10572,-58,-1,-421
2016-07-25,265000,266000,259000,266000,126032,33524512000,1.1407,-11958,2143,9953,-7722,13111,5833,-8808,89,7450,-116,-22,0
2016-07-26,267000,267000,261000,263500,94665,24944227500,-0.9398,3273,-12783,8857,-12373,-1958,-1667,-1760,1877,25326,682,-29,-588
2016-07-27,264500,266500,263500,266000,70649,18792634000,0.9488,-15674,22919,-7007,-6463,-2928,-271,-6705,344,9096,-110,-128,-80
2016-07-28,265000,268500,261500,268500,153679,41262811500,0.9398,-18569,-8142,26738,-2280,1945,32549,-4899,-470,1186,-27,0,-1293
2016-07-29,265000,266500,255000,255000,249259,63561045000,-5.0279,94136,-95619,320,2442,-13451,-1078,-368,-695,13669,940,223,-199
2016-08-01,256000,264500,256000,262000,186080,48752960000,2.7451,-46121,59512,-13362,1460,8388,-7155,4573,-400,-20228,15,-44,0
2016-08-02,260500,263500,255500,258000,138671,35777118000,-1.5267,14532,2170,-16777,-10924,11030,-7523,-1898,250,-6635,30,45,-1077
2016-08-03,255000,257000,250500,251500,147844,37182766000,-2.5194,50818,-41089,-10026,-3102,5536,-2415,-1130,2651,-11566,238,59,0
2016-08-04,253000,257000,250500,250500,120124,30091062000,-0.3976,6822,-379,-6502,-9939,7988,1545,5104,593,-11793,54,5,0
2016-08-05,253000,257500,251500,255500,132703,33905616500,1.996,-24504,27057,-2696,-4286,19054,-3221,-1610,0,-12633,170,-27,0
2016-08-08,254000,257500,253000,256500,92275,23668537500,0.3914,-225,-7015,7268,5138,7228,480,-6979,0,1401,-28,0,0
2016-08-09,257000,261500,255500,260000,129947,33786220000,1.3645,-28405,-6438,35094,-1617,16843,6811,6269,-354,7862,-150,-101,-720
2016-08-10,259000,264000,258000,258000,142859,36857622000,-0.7692,-15606,462,15396,6789,-2256,-1852,347,-76,14586,-10,-242,-2142
2016-08-11,258000,260500,257500,260000,105397,27403220000,0.7752,-7378,-14877,23027,-3195,4663,3120,-3545,177,21807,-536,-236,0
2016-08-12,261000,262000,258500,260000,105763,27498380000,0.0,6283,-26118,20472,-10316,2345,9494,-2121,-434,21504,-637,0,0
2016-08-16,262000,262500,257000,258000,153811,39683238000,-0.7692,-3364,-819,3678,70,-10153,796,-1851,-6,14822,504,1,0
2016-08-17,257500,260000,257000,258500,73826,19084021000,0.1938,1364,-9295,7958,419,-457,460,-1540,0,9076,8,-35,0
2016-08-18,258500,260500,253000,254000,105806,26874724000,-1.7408,20925,-5217,-16419,8724,-4484,239,-3575,182,-17505,691,20,0
2016-08-19,254000,259000,252000,258000,111930,28877940000,1.5748,-11610,22352,-10749,21728,3034,2305,384,-900,-37300,7,0,0
2016-08-22,255500,257500,253000,257500,81223,20914922500,-0.1938,4389,-2368,-2082,11373,2173,-1044,461,0,-15045,11,50,0
2016-08-23,255000,255000,252000,252000,132225,33320700000,-2.1359,36937,-45033,7399,15394,3070,-2037,-224,1000,-8315,650,47,-1489
2016-08-24,248500,253000,242500,250000,227910,56977500000,-0.7937,22111,-48733,26480,9151,14971,8873,-2364,28,-4413,142,0,234
2016-08-25,252000,257500,250000,253500,265531,67312108500,1.4,-31900,-89594,121512,88359,-1891,6857,2858,-202,25168,-16,-2,363
2016-08-26,254500,260000,254000,258500,184285,47637672500,1.9724,-27337,-43754,71379,40391,3242,10016,8469,150,8864,-203,-85,247
2016-08-29,255000,260000,255000,259000,105183,27242397000,0.1934,-14672,-12700,27546,14823,12341,-1113,-7800,1111,7284,-56,-118,900
2016-08-30,259000,260500,257500,260000,63108,16408080000,0.3861,-8142,-24599,33493,9917,7851,1930,1649,-54,11055,-732,-20,1145
2016-08-31,256500,261000,256000,260500,188763,49172761500,0.1923,-5210,1107,4622,8374,3442,-3647,343,736,-5231,-508,-11,605
2016-09-01,258000,267500,257000,266500,157333,41929244500,2.3033,-54182,24117,30388,34795,7016,4097,4546,-504,-19850,36,-359,288
2016-09-02,265000,267000,259000,263500,151828,40006678000,-1.1257,4850,-21606,15996,29287,5190,4416,-527,227,-21997,660,100,-600
2016-09-05,267000,281000,265500,274000,255127,69904798000,3.9848,-37824,-37757,72391,17419,13616,12011,6074,1171,23475,3298,-108,-1375
2016-09-06,273000,289000,272000,287000,297211,85299557000,4.7445,-81310,-12841,95400,52786,15762,18457,31048,-512,-20882,-1273,24,-1259
2016-09-07,284000,284500,278500,280500,219523,61576201500,-2.2648,24088,-92074,67582,25519,-3436,4483,16017,1105,24809,290,114,-915
2016-09-08,280500,284500,279000,283000,257141,72770903000,0.8913,-14309,-18185,32593,3604,398,21815,2959,-2163,6887,2,-101,-907
2016-09-09,279000,280500,273500,279500,185622,51881349000,-1.2367,3498,-73216,69996,28362,37915,3680,12584,0,-12108,-286,8,-437
2016-09-12,279500,285500,275500,279500,196180,54832310000,0.0,-9023,-71519,81028,45314,9015,1876,-1183,342,25343,-406,-80,321
2016-09-13,283000,284500,276000,280000,215114,60231920000,0.1789,-4079,-27448,30907,61356,31837,171,2700,-257,-65327,675,-55,427
2016-09-19,280500,291000,277500,287000,251227,72102149000,2.5,-10259,-51811,62823,56810,24481,4529,8745,-54,-31475,-750,-3,-213
2016-09-20,283000,289000,278000,286500,275935,79055377500,-0.1742,-7375,-65612,72268,47850,33080,13303,5607,4326,-31995,665,54,97
2016-09-21,283500,286500,280500,281500,146490,41236935000,-1.7452,14713,-31707,16824,3838,21733,-2988,5182,-518,-10376,172,-2,-47
2016-09-22,283500,293500,283500,286000,202410,57889260000,1.5986,-21571,-2696,23083,16606,1047,13044,367,-627,-8186,1173,11,832
2016-09-23,285000,290500,285000,288000,146640,42232320000,0.6993,-329,-50538,50670,18066,4333,-185,1904,1200,25352,196,1,0
2016-09-26,288000,288000,281000,284000,126334,35878856000,-1.3889,10285,-26452,16342,19513,-4298,2757,-7395,-89,6465,-187,12,-611
2016-09-27,285000,290500,282000,288000,128186,36917568000,1.4085,-13503,-20948,34982,41794,-8686,-3125,1198,-6,3463,-423,-108,344
2016-09-28,288000,290000,284000,284000,119807,34025188000,-1.3889,8055,-17475,9724,1686,2647,-1901,-1633,-13,8750,-355,51,188
2016-09-29,284500,286500,280000,282000,127961,36085002000,-0.7042,8440,19461,-28482,-23167,-320,-6458,-2810,-6,5026,585,-4,-747
2016-09-30,278000,281500,273500,275000,219789,60441975000,-2.4823,18284,-51262,32796,16044,3951,-892,5969,146,7578,179,3,0
2016-10-04,280500,283000,278000,280000,178068,49859040000,1.8182,-2024,-21757,22790,14850,13492,3052,5273,600,-13840,969,22,-637
2016-10-05,276000,280000,274500,276500,132036,36507954000,-1.25,8035,-53151,45162,15405,23898,2068,13111,465,-9785,-46,0,0
2016-10-06,274500,276500,270500,272500,156142,42548695000,-1.4467,14073,-28981,15232,9412,15451,2290,4306,681,-16908,-440,116,0
2016-10-07,270500,278500,268500,278000,218941,60865598000,2.0183,-15004,-38194,52140,49109,-1914,2976,16642,0,-14673,678,380,0
2016-10-10,279000,284000,273000,279000,159792,44581968000,0.3597,-16421,-46643,63056,3336,25960,-1599,5139,-734,31414,23,-15,-460
2016-10-11,284000,284000,270000,274500,219521,60258514500,-1.6129,24853,-50412,25561,-26749,12521,-440,-11018,-907,52389,117,-119,-235
2016-10-12,276000,276000,272000,273500,152021,41577743500,-0.3643,5847,-45494,39688,-18956,2195,773,1435,1700,53571,-42,1,-1030
2016-10-13,272500,274500,269500,270500,137629,37228644500,-1.0969,11189,4861,-16392,20940,11851,3840,7406,70,-60901,335,7,402
2016-10-14,270000,271500,265500,266500,148236,39504894000,-1.4787,29067,-58942,30425,-3682,25966,317,1424,214,6060,-624,74,126
2016-10-17,267500,269000,264000,265500,126014,33456717000,-0.3752,15212,-6295,-8972,-2193,16127,9,2672,-2,-25585,-46,101,0
2016-10-18,267500,267500,263000,263500,195082,51404107000,-0.7533,30205,-45819,15557,-31550,14870,4819,14408,610,12400,57,0,0
2016-10-19,263500,265500,258000,258500,211502,54673267000,-1.8975,48204,-7847,-40472,-48747,5054,-114,3658,125,-448,116,-1,0
2016-10-20,259500,262500,257000,260000,178385,46380100000,0.5803,1068,-18565,17498,-2060,-195,2069,6747,1186,9795,-1,0,-44
2016-10-21,259500,262500,259500,260500,130847,34085643500,0.1923,-987,-42384,42072,21123,4591,8636,7265,500,-43,1299,0,0
2016-10-24,262000,263500,260500,261500,180534,47209641000,0.3839,2085,-51258,49912,-6065,19872,10836,4465,0,20804,-739,0,0
2016-10-25,261500,269000,261500,267000,390390,104234130000,2.1033,-8637,-189521,196527,59837,56784,17347,31557,8111,21526,1147,484,1365
2016-10-26,265500,265500,257500,259500,192923,50063518500,-2.809,44641,-95616,50427,25345,8994,-1536,10918,2209,4398,333,215,99
2016-10-27,260500,262000,254500,259000,179813,46571567000,-0.1927,7707,-44522,36759,16297,13022,-93,3857,-1002,4621,44,12,57
2016-10-28,256000,269000,256000,264500,375998,99451471000,2.1236,-12332,-95669,107467,26412,49106,23414,20178,1964,-13607,534,0,0
2016-10-31,264000,277000,263000,274000,494509,135495466000,3.5917,-84431,-100660,184396,71500,60284,10090,45832,-2625,-1107,342,353,422
2016-11-01,273000,273500,269000,270000,292111,78869970000,-1.4599,2869,-95970,93283,39265,15618,2794,25247,6620,3207,-170,-12,532
2016-11-02,269000,271500,265500,269000,135666,36494154000,-0.3704,-17245,-30368,47866,16484,8855,900,9093,1865,9866,-384,131,803
2016-11-03,270000,271500,265000,267000,180117,48091239000,-0.7435,-6642,-50918,57200,19689,11231,115,5273,-256,21124,154,206,24
2016-11-04,267000,268000,264000,265000,116780,30946700000,-0.7491,4829,-30722,26454,8755,3175,4449,2997,183,6895,-406,-155,0
2016-11-07,268500,270500,265500,265500,131748,34979094000,0.1887,-14341,-19861,34632,5186,3651,3607,-1208,1046,22350,-437,7,0
2016-11-08,267000,269500,264000,268000,100347,26892996000,0.9416,-3608,6761,-3104,-10256,2311,1148,5036,-5,-1395,-52,3,57
2016-11-09,268500,271000,259000,263500,222903,58734940500,-1.6791,-16499,16250,339,396,14983,-24388,6118,3303,-1115,-90,0,1042
2016-11-10,264000,264500,244500,248000,547023,135661704000,-5.8824,78107,-90538,11474,-39107,72045,-30888,-30861,-1802,42854,706,251,-767
2016-11-11,249500,251500,244500,245000,360853,88408985000,-1.2097,18174,-29703,10412,-12335,12228,-18424,-10335,520,38715,1066,51,43
2016-11-14,246500,249500,242000,243000,219759,53401437000,-0.8163,23123,-5444,-17895,-55452,5454,2711,-1300,233,30359,-23,239,100
2016-11-15,241500,244500,237500,242500,219492,53226810000,-0.2058,850,5545,-6931,-19520,-6531,11326,-10178,-974,19056,542,-6,-110
2016-11-16,244000,247000,242000,242500,209789,50873832500,0.0,16676,11924,-28633,-10568,1568,1482,4192,732,-26256,22,11,217
2016-11-17,241500,242500,239500,241500,186740,45097710000,-0.4124,22375,1643,-24205,-12202,-457,-3013,8146,221,-17579,174,13,679
2016-11-18,240500,243500,238500,239500,147146,35241467000,-0.8282,9862,3267,-14191,-3486,14965,-3357,-6161,0,-16437,861,201,285
2016-11-21,239500,246000,239500,243500,174008,42370948000,1.6701,-19508,-17999,37148,4189,22479,8515,12581,17,-12035,349,10,1402
2016-11-22,244000,245000,239500,242000,144570,34985940000,-0.616,6861,-48304,40748,1384,21807,2334,666,1864,12231,685,10,462
2016-11-23,241000,250500,240500,248000,244578,60655344000,2.4793,-38667,-43941,82415,25114,61266,10768,4768,-185,-19325,247,-54,9
2016-11-24,250000,254000,247000,250000,161960,40490000000,0.8065,-28919,-29295,60740,28536,14649,4895,8694,132,4334,-2514,-12,-500
2016-11-25,253000,254500,251000,251500,106043,26669814500,0.6,-18934,-9307,27764,5113,10787,2333,1387,606,7538,487,-10,0
2016-11-28,251500,253500,249500,251500,111123,27947434500,0.0,-1412,-1403,2641,6837,4592,1426,10905,1000,-22119,172,2,0
2016-11-29,251500,253000,247000,247000,126312,31199064000,-1.7893,7606,-36682,28688,7297,8670,3068,-1291,149,10452,386,2,343
2016-11-30,248000,251000,245000,249000,176792,44021208000,0.8097,4802,5206,-9946,4604,7554,3702,2159,-996,-26969,-61,-1,0
2016-12-01,251000,256000,249500,254000,170745,43369230000,2.008,-21111,10060,11978,30924,-7024,-4505,13237,1233,-23232,-917,-10,1345
2016-12-02,253000,257000,248000,251000,100460,25215460000,-1.1811,9596,-12674,3337,3551,3651,2224,201,357,-6247,-259,0,-400
2016-12-05,248500,253000,246500,250500,82502,20666751000,-0.1992,-1468,-26644,28009,18244,4981,435,782,118,3449,104,-1,0
2016-12-06,253500,255500,249000,255000,148953,37983015000,1.7964,-14909,-26393,41251,46352,-587,1035,817,120,-6583,50,1,97
2016-12-07,253500,256000,250500,250500,122216,30615108000,-1.7647,7511,-17158,9444,13317,5776,243,1529,0,-11421,208,-5,0
2016-12-08,254000,260500,252000,260500,232958,60685559000,3.992,-38389,-51675,89956,22156,402,17587,12901,-1048,38402,104,4,-444
2016-12-09,262000,264000,258500,259000,168881,43740179000,-0.5758,-6168,-44554,50471,29819,960,6277,1570,-324,12169,259,-8,0
2016-12-12,263500,264000,259500,261500,95088,24865512000,0.9653,-4073,-11416,15505,5983,-5064,-319,1719,-1163,14083,-16,0,266
2016-12-13,264000,264500,260000,262000,85908,22507896000,0.1912,-9463,-15272,24657,8967,5397,-5432,-34,-19,15778,78,0,0
2016-12-14,262500,266000,262000,264500,102725,27170762500,0.9542,-15171,14381,710,2211,7415,44,2101,-97,-6090,128,-48,-4874
2016-12-15,262000,265500,260000,263500,107251,28260638500,-0.3781,-921,-342,1448,6399,-1454,-1747,-1416,-1148,814,-185,0,0
2016-12-16,261500,263000,255000,258000,186397,48090426000,-2.0873,15235,-12075,-2622,4239,3285,-6762,267,-799,-2844,-558,20,-8
