date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,45583,46245,45226,45533,247306,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-26,45532,48333,45532,47876,594508,0,5.1457,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-27,47978,48181,46602,46705,257311,0,-2.4459,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-30,46603,46603,44820,45381,353269,0,-2.8348,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-31,45379,45786,44564,45329,340325,0,-0.1146,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,45381,46755,44667,45381,433437,0,0.1147,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-02,45379,45532,44768,44922,229245,0,-1.0114,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-03,45125,47570,45125,47316,451069,0,5.3292,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-07,47110,47824,46296,46908,346113,0,-0.8623,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-08,46908,49403,46908,48589,607560,0,3.5836,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-09,48741,49250,47620,48232,357699,0,-0.7347,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-10,47875,48792,47620,48436,223736,0,0.423,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-13,48130,49862,48130,49608,470176,0,2.4197,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-14,49048,49608,48283,48539,363798,0,-2.1549,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-15,48486,49098,47824,47876,265377,0,-1.3659,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-16,48282,49403,48181,48589,376308,0,1.4893,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-17,48894,49149,47316,48284,412668,0,-0.6277,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-20,48486,49199,47926,48793,143637,0,1.0542,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-21,49759,49810,48486,48640,265397,0,-0.3136,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-22,48894,49505,48588,48844,150386,0,0.4194,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-23,48690,49250,47977,48436,207272,0,-0.8353,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-24,48639,49352,45889,46705,568302,0,-3.5738,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-27,44870,48232,44870,48080,465060,0,2.944,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-28,48080,48640,47468,48284,269332,0,0.4243,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-29,48537,50014,48334,48895,421029,0,1.2654,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-30,49250,49811,48741,49506,253290,0,1.2496,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-01,49557,50168,48487,48539,429950,0,-1.9533,0,0,0,0,0,0,0,0,0,0,0,0
