date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,98900,100500,98900,100000,58002,5800200000,1.1122,-877,-6445,6026,-7447,3582,7001,632,0,2258,1310,-14,0
2016-05-27,100000,100000,98100,99300,37012,3675291600,-0.7,2806,3297,-6242,-8801,-815,3043,-65,0,396,151,-12,0
2016-05-30,98600,100500,98100,99800,66118,6598576400,0.5035,-2194,-8132,7656,595,1851,3952,-87,0,1345,2670,0,0
2016-05-31,99800,100500,98500,100000,124332,12433200000,0.2004,-1170,-1823,3321,6778,-5869,7728,240,0,-5556,-8,-320,0
2016-06-01,100000,101500,99100,101000,123058,12428858000,1.0,86,104,-331,1075,1409,2687,2513,0,-8015,-1,142,0
2016-06-02,100000,103500,100000,103000,171864,17701992000,1.9802,-23412,20977,5927,9942,-3097,1542,3122,0,-5582,-3500,8,0
2016-06-03,103000,105000,102500,103000,106754,10995662000,0.0,-9201,-6844,16044,-5317,-5800,9112,579,0,17470,-10,11,0
2016-06-07,103000,105500,102000,103500,73905,7649167500,0.4854,-2837,-2734,5616,-2979,-3977,7007,-2239,0,7939,0,-45,-135
2016-06-08,102000,103500,101000,103500,94886,9820701000,0.0,-682,5105,-7039,-6720,591,1189,105,0,-2204,2616,0,0
2016-06-09,103000,103500,101500,102000,125517,12802734000,-1.4493,213,5896,-6194,-12569,-8652,4402,-4120,0,14745,85,0,0
2016-06-10,102500,103000,100500,102000,86624,8835648000,0.0,-77,17258,-17181,-12334,-12929,18,-7479,0,15543,0,0,0
2016-06-13,103000,103000,99500,100000,84327,8432700000,-1.9608,3876,27728,-31574,-12609,-15002,7,-987,-10000,7017,-30,0,0
2016-06-14,100000,101500,99500,100500,54832,5510616000,0.5,-1457,7978,-6517,2365,1350,-1125,-2593,0,-6514,-1,-3,0
2016-06-15,100000,102000,99800,100000,74641,7464100000,-0.4975,779,3051,-3781,7197,-2742,252,-814,0,-7674,0,-49,0
2016-06-16,100500,102500,99100,101500,64686,6565629000,1.5,-5816,-2918,8734,11906,-1823,1595,119,0,-3063,0,0,0
2016-06-17,102500,105500,102500,104500,88127,9209271500,2.9557,-5507,-21717,28224,23924,686,-1196,-740,0,5550,-1050,50,0
2016-06-20,106500,109000,103000,104000,108086,11240944000,-0.4785,2219,15415,-17593,-11753,-5278,3228,-10293,0,6503,-41,0,0
2016-06-21,104000,107000,104000,106000,59113,6265978000,1.9231,-3059,3025,-458,11823,-11969,75,182,0,-569,498,-6,0
2016-06-22,107000,109000,104000,105000,48979,5142795000,-0.9434,39,2931,-3151,805,-4838,1822,-4899,0,3959,199,-18,0
2016-06-23,105500,109500,105500,108000,85358,9218664000,2.8571,-5525,-6936,12471,4119,-687,-51,-2212,114,11188,0,-10,0
2016-06-24,108000,110500,102500,107500,115627,12429902500,-0.463,122,25578,-25918,-912,-14340,-100,-5260,0,-5306,201,17,0
2016-06-27,108500,109500,104000,106500,63782,6792783000,-0.9302,-3779,-11426,14985,4428,-1584,312,-2012,0,13841,235,-15,0
2016-06-28,106000,108500,104500,105000,60666,6369930000,-1.4085,3603,-3617,-123,369,-632,-28,-2033,0,2337,137,0,-136
2016-06-29,105500,109000,104000,107500,62383,6706172500,2.381,-1487,7610,-6078,6017,-5732,12,-415,-5000,-960,-45,0,0
2016-06-30,108500,110000,106500,108000,65515,7075620000,0.4651,1084,11720,-14645,-1336,1048,1136,-7644,0,-7849,1841,0,0
2016-07-01,108000,110000,107500,108000,39741,4292028000,0.0,3281,3729,-4159,403,223,68,-647,0,-4206,-2805,-46,0
2016-07-04,106500,108000,105000,106000,66492,7048152000,-1.8519,4765,18441,-23217,-8464,-9321,-1103,4604,-5000,-3933,11,0,0
2016-07-05,105500,109000,105500,108500,34242,3715257000,2.3585,-4800,-1091,4699,2860,6056,-2675,-1088,0,-454,1192,0,0
2016-07-06,108500,108500,104000,107000,76652,8201764000,-1.3825,2658,-21910,19248,2469,1906,3424,-566,0,12015,-7,11,0
2016-07-07,106000,108500,106000,106000,54057,5730042000,-0.9346,-1180,-7536,8700,6185,-172,2085,-1821,0,2423,-3,19,0
2016-07-08,105000,107500,105000,106500,53755,5724907500,0.4717,-1175,2008,-723,4863,1258,458,-2937,0,-4365,-10,-100,0
2016-07-11,108000,109500,106500,108500,54417,5904244500,1.8779,-2487,701,950,3212,-7182,136,-1151,-5000,10935,-6,842,0
2016-07-12,108500,114500,108500,113500,101563,11527400500,4.6083,-4284,16269,-11565,-5847,-4621,-1992,-5608,0,6503,-507,87,0
2016-07-13,112000,114000,111000,114000,70370,8022180000,0.4405,35,2432,-2465,-26,-72,-2715,-1182,0,1530,-2,0,0
2016-07-14,113000,113500,109500,111500,98753,11010959500,-2.193,8546,-660,-7886,-4269,4303,283,-12975,0,4772,0,0,0
2016-07-15,111500,113000,110000,110500,84500,9337250000,-0.8969,147,10712,-10856,357,-6875,-1113,-1021,0,-2204,-3,0,0
2016-07-18,110000,111500,109000,110000,60931,6702410000,-0.4525,-4382,3916,469,0,-5683,554,2074,0,3524,-3,0,0
2016-07-19,110500,115000,110000,114500,83770,9591665000,4.0909,-4273,17222,-12403,2388,-6432,-2743,1109,0,-6725,-546,0,0
2016-07-20,115000,116000,113000,115000,78673,9047395000,0.4367,-1934,15599,-14531,2376,2955,-1484,-7791,-10000,-587,866,0,0
2016-07-21,116000,116500,112500,113000,92306,10430578000,-1.7391,277,22594,-22878,9876,-1778,-19366,-8807,-5000,2197,7,0,0
2016-07-22,114000,114000,107000,109000,181108,19740772000,-3.5398,12561,-4087,-9663,4572,-3759,-15189,11071,-5000,-1358,1186,3,0
