date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,78500,79300,76000,78900,42888,3383863200,1.1538,-4070,2500,1571,8734,-3168,2320,-6206,500,-609,-1,0,0
2016-05-27,79800,80300,78500,80000,63944,5115520000,1.3942,-2457,14300,-11991,4658,-10687,-3889,-2858,3662,-3258,148,0,381
2016-05-30,80500,80500,78500,79200,38363,3038349600,-1.0,1782,7259,-9033,-877,-2796,-4670,-351,-119,-197,-8,0,-23
2016-05-31,78500,78500,76800,77600,48533,3766160800,-2.0202,6511,718,-7229,5256,-1350,-25,-7125,413,-4398,0,0,0
2016-06-01,76700,78700,76300,77900,53551,4171622900,0.3866,8540,17400,-26297,-3487,-13151,-941,-3868,744,-5594,330,27,0
2016-06-02,77200,78400,76300,77600,39079,3032530400,-0.3851,-3649,8640,-4920,3669,-4502,-1658,-1083,67,-1413,-64,-7,0
2016-06-03,77300,78300,76100,78200,41383,3236150600,0.7732,-2699,6433,-3620,95,-4157,-481,946,-13,-10,0,-114,0
2016-06-07,78100,79500,77600,79200,49736,3939091200,1.2788,-783,4561,-3776,-7589,5813,-5000,1718,-306,2074,-2,0,-486
2016-06-08,78100,80300,78100,80000,53839,4307120000,1.0101,-12861,15915,-3315,-8077,1019,3965,-1091,75,1175,261,0,-381
2016-06-09,79500,81200,78100,81200,62011,5035293200,1.5,-8751,7349,963,3312,-7745,5202,-1310,8,4084,439,0,-2588
2016-06-10,81000,81100,77500,79100,61339,4851914900,-2.5862,2786,4197,-7162,-278,-6333,2378,1026,-3505,1550,179,0,-2000
2016-06-13,78900,78900,76000,76300,35955,2743366500,-3.5398,3537,5443,-8339,1407,-12272,-930,1555,0,2801,-633,-8,-900
2016-06-14,76000,76200,73800,74800,35267,2637971600,-1.9659,2515,7468,-10148,858,-6001,1732,1313,197,-8247,113,52,0
2016-06-15,74200,79500,74100,75500,47287,3570168500,0.9358,1790,2937,-3779,476,-1502,-1552,1979,1000,-4180,-1000,52,0
2016-06-16,76200,76200,73100,74100,34662,2568454200,-1.8543,2933,7620,-10552,502,-3271,-861,3308,0,-10202,-1,0,-28
2016-06-17,74500,77300,73500,74500,37700,2808650000,0.5398,-5008,14788,-10550,47,-2848,-1921,2647,0,-8504,722,48,29
2016-06-20,75900,77900,75400,77600,33032,2563283200,4.1611,-13010,14322,-1153,218,-1798,1606,-1291,185,-1073,-159,0,1000
2016-06-21,77600,78400,75000,76400,38692,2956068800,-1.5464,7553,2421,-9977,1086,-6691,478,153,2648,-6651,4,-1,-1000
2016-06-22,76400,79000,76200,78000,31260,2438280000,2.0942,-16478,15592,1232,-1035,2107,299,-83,120,-176,-346,0,0
2016-06-23,77600,78000,76200,77200,17691,1365745200,-1.0256,1415,-1283,-327,-1921,-2947,33,1997,-107,2649,195,0,-31
2016-06-24,77200,79000,70800,76100,63790,4854419000,-1.4249,-10611,3662,9029,110,6644,-378,4819,83,-2249,-2090,10,0
2016-06-27,73700,75800,73400,75500,37195,2808222500,-0.7884,-1226,-6882,7475,-1544,-2905,127,1654,2,10141,596,37,0
2016-06-28,74700,76500,73500,75700,40807,3089089900,0.2649,3322,4122,-8361,2502,-9430,4,4125,-603,-5459,1007,-90,500
2016-06-29,75300,77300,74700,75400,48690,3671226000,-0.3963,9649,885,-10543,9722,-15598,-213,1479,-276,-5157,9,0,-500
2016-06-30,75100,76600,74700,75900,36715,2786668500,0.6631,-622,10086,-9664,-2078,-5402,-140,-1116,90,-1018,200,0,0
2016-07-01,75900,76800,75100,75200,44114,3317372800,-0.9223,2787,12844,-15742,5232,-9201,-330,-7158,0,-4285,112,-1,0
2016-07-04,74700,79400,74700,77600,55142,4279019200,3.1915,-14760,16333,-1574,-2150,-2149,-7853,10081,0,-1351,1,0,1848
2016-07-05,78000,78200,76200,77000,29329,2258333000,-0.7732,6324,2395,-8656,-12046,1380,6022,-3355,-345,-612,-33,-30,300
2016-07-06,76900,77500,75600,76300,29491,2250163300,-0.9091,1032,-2136,1111,1928,-258,746,1449,-238,-2132,-7,0,-384
2016-07-07,76700,78000,75000,77600,23483,1822280800,1.7038,-5515,2427,3088,-2499,785,79,3389,0,715,0,0,619
2016-07-08,78900,78900,76200,78300,25459,1993439700,0.9021,782,-4153,2785,-52,399,2634,4809,0,-2716,546,40,-2289
2016-07-11,79000,80900,78300,80000,47517,3801360000,2.1711,-3833,966,1547,-5710,-3184,844,5387,437,3436,1320,0,337
2016-07-12,80100,80400,78600,78800,36497,2875963600,-1.5,2444,-5229,2586,9571,-5780,26,5046,-500,-5777,199,0,0
2016-07-13,78800,79700,78500,79200,41477,3284978400,0.5076,-219,3969,-3749,-696,2300,615,1880,0,-5753,-1,0,-2095
2016-07-14,82400,83200,79700,80400,80410,6464964000,1.5152,17067,686,-16904,6219,-17692,1368,24,0,-4224,-855,6,-2599
2016-07-15,80400,80400,78300,78600,95344,7494038400,-2.2388,3770,-6,-3837,56965,-59773,-757,1019,345,-1636,73,0,0
2016-07-18,77800,78100,76000,76900,40045,3079460500,-2.1628,3863,6214,-10008,-2328,-6949,-451,526,0,45,-69,0,-851
2016-07-19,76900,78800,76900,78000,42432,3309696000,1.4304,-2516,11349,-9540,1208,-2188,1006,-5382,361,-4545,807,-100,0
2016-07-20,77800,79500,77400,78400,27051,2120798400,0.5128,-2249,8078,-6076,1017,-2585,-1421,-1101,0,-1986,247,0,0
2016-07-21,78100,79800,77300,77700,43853,3407378100,-0.8929,7502,5608,-13137,3726,-10531,-3592,-876,0,-1864,14,13,0
2016-07-22,78200,79100,77200,78200,42923,3356578600,0.6435,-921,5783,-5387,11051,-18095,287,1795,540,-965,512,13,0
2016-07-25,78600,79800,77200,78300,34821,2726484300,0.1279,9533,202,-10718,-8527,-5225,686,2485,87,-224,965,18,0
2016-07-26,77700,79500,77300,79300,26949,2137055700,1.2771,2107,825,-3714,-4340,-2519,3027,-1220,0,1338,776,6,0
2016-07-27,79300,79300,77700,77800,25488,1982966400,-1.8916,3153,1411,-4983,-1769,-6014,350,2896,-178,-103,419,0,-165
