date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,71800,72400,71200,71300,12700,905510000,-0.9722,3185,-3914,765,2806,-2368,130,-11,0,208,-6,-30,0
2016-05-27,70900,71800,69600,71500,28112,2010008000,0.2805,12311,-4120,-8441,-630,-8493,29,1123,0,-470,250,0,0
2016-05-30,71600,72700,70500,70500,20169,1421914500,-1.3986,8569,-3944,-4945,969,-5059,0,-715,0,-140,150,170,0
2016-05-31,70300,71200,69900,70000,20786,1455020000,-0.7092,8871,-1129,-7758,1286,-5244,-1462,-1802,0,-536,0,16,0
2016-06-01,70000,71000,69700,70800,21553,1525952400,1.1429,3041,-1134,-1909,4188,-63,-2853,1665,0,-4846,0,2,0
2016-06-02,70400,71400,70300,71000,24873,1765983000,0.2825,6885,-5680,-1218,6604,-7746,-1298,1978,0,-756,115,-102,0
2016-06-03,70400,73500,70400,73200,22115,1618818000,3.0986,-9357,4528,4427,5243,44,-2999,214,0,1925,402,0,0
2016-06-07,72000,73800,72000,73500,14479,1064206500,0.4098,-5240,-1083,6304,5656,-56,0,298,0,673,19,0,-267
2016-06-08,73000,73800,72000,72400,20004,1448289600,-1.4966,5271,-4173,-1098,3907,-3436,1,-578,0,-992,0,0,0
2016-06-09,72500,73500,71000,71900,28021,2014709900,-0.6906,2962,4533,-7495,2928,-8889,-975,-3418,0,2859,0,0,0
2016-06-10,71900,72400,71100,71700,17920,1284864000,-0.2782,-1019,1102,-15,1884,-3983,21,-518,0,2581,-68,0,0
2016-06-13,71700,71700,69500,70000,24998,1749860000,-2.371,4071,-3519,-553,6409,-7258,83,-255,0,468,1,0,0
2016-06-14,69000,70200,67100,67800,55598,3769544400,-3.1429,21713,-11582,-10131,5465,-6633,-2454,-81,1000,-7428,0,0,0
2016-06-15,66600,69800,66600,68800,22020,1514976000,1.4749,-770,-1143,1913,4658,-1639,-92,-51,0,-963,0,0,0
2016-06-16,69100,69800,64600,65500,53988,3536214000,-4.7965,13591,-10326,-2602,467,-2504,45,-353,0,-257,-663,0,0
