date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,62000,62500,61300,62200,657776,40913667200,0.6472,-86946,-9696,91116,88964,-35595,10025,-1357,6005,24350,5727,-201,-1276
2016-05-27,62600,62600,61400,62600,827174,51781092400,0.6431,-77760,75957,2697,25428,40174,10163,-29474,-4636,-33814,-853,-41,-5144
2016-05-30,62600,63100,62000,63000,881055,55506465000,0.639,-86924,268458,-180900,9209,-101588,-37508,-7421,2640,-46174,-884,250,-58
2016-05-31,62600,63000,62500,62900,1255804,78990071600,-0.1587,666,84728,-88323,718,-18841,2050,7153,-178,-81551,1880,1049,2326
2016-06-01,62300,62600,59600,60400,1778983,107450573200,-3.9746,581096,-129385,-445919,-139917,-116856,-42960,-27143,32883,-139884,-8463,2671,-12042
2016-06-02,60300,60900,59300,59800,1375405,82249219000,-0.9934,169996,-42993,-127309,-8704,27555,-28922,-44275,35883,-108846,-499,805,0
2016-06-03,59700,60400,59700,60100,886766,53294636600,0.5017,18140,-17713,-9743,-8523,-126060,-16188,7816,16848,117179,9832,-516,-815
2016-06-07,59700,60600,59200,60000,1306810,78408600000,-0.1664,43144,-76992,30953,-91309,17873,3530,-49220,31747,118482,3007,-112,-150
2016-06-08,59700,60500,59600,60500,1027212,62146326000,0.8333,-60293,290769,-230668,-119735,-45578,-81642,-58757,5003,74738,141,51,-4697
2016-06-09,60900,61000,60400,60900,1356273,82597025700,0.6612,-105231,355451,-246237,-155797,-143766,58138,-94886,1240,103172,453,-4436,-14338
2016-06-10,61400,62300,61000,62100,826615,51332791500,1.9704,-317852,293941,24596,-26658,-76404,2360,-49918,-125,172979,-810,125,2362
2016-06-13,61300,62000,60100,60200,1097898,66093459600,-3.0596,222931,-297802,74682,-75088,26347,13339,-36,-123,110243,-804,993,0
2016-06-14,60300,60800,59600,59700,818018,48835674600,-0.8306,172176,167009,-337812,-47937,-131972,-2982,-47152,5000,-112769,-1322,-51,0
2016-06-15,59300,59500,57400,57800,1811715,104717127000,-3.1826,368899,110943,-480689,-195408,-43663,-70911,-65013,-15265,-75555,7751,-6904,-14874
2016-06-16,57900,58600,57800,58200,769063,44759466600,0.692,-49649,95126,-46797,24704,16292,16319,8055,1188,-113355,1175,145,0
2016-06-17,58700,58800,58300,58600,640923,37558087800,0.6873,-36873,36166,2684,1690,-9744,-16967,-10099,8850,28628,-1980,3,326
2016-06-20,59500,60200,59100,59900,782955,46899004500,2.2184,-123963,136026,-4707,-12419,26320,-6766,7047,15648,-38314,-7165,-191,3777
2016-06-21,59700,59800,58500,58600,789629,46272259400,-2.1703,195814,-112875,-84576,30189,-56232,-2740,-1094,4708,-65159,1466,171,5752
2016-06-22,58300,59200,57500,59200,1207520,71485184000,1.0239,51612,-133745,75174,72002,24923,10083,-48185,-973,-13444,6844,115,30768
2016-06-23,58700,59100,58200,58500,524715,30695827500,-1.1824,8123,-45256,35713,21109,-5214,-4477,-4365,-6440,35198,1403,17,-98
2016-06-24,58300,59400,56400,57400,1240199,71187422600,-1.8803,65750,-13715,-61606,12853,94919,5460,9858,-5669,-180200,8743,828,1173
2016-06-27,57400,58900,57100,58200,885762,51551348400,1.3937,-179530,-229096,416508,162253,87927,17620,18884,-2318,94682,-7574,-308,37460
2016-06-28,58200,59900,57700,59300,905663,53705815900,1.89,-141442,-138240,281225,111080,210522,-1865,8739,-1623,-46445,-1344,-199,817
2016-06-29,59200,60200,59100,60100,605930,36416393000,1.3491,-136822,203351,-63673,-547,-15623,-11751,-13462,-345,-21640,-2836,-20,-305
2016-06-30,60100,60400,59500,60400,723823,43718909200,0.4992,-33800,83702,-44531,45071,25695,6999,-13962,-311,-108023,-5270,-101,0
2016-07-01,60300,60300,59200,59400,597365,35483481000,-1.6556,135547,60328,-196890,-44766,-78362,-5251,-33220,41,-32834,858,157,-2498
2016-07-04,59300,59300,58500,59000,887623,52369757000,-0.6734,184197,-95288,-72827,-47871,-88106,-4903,3935,0,64118,534,-16616,0
2016-07-05,59300,59400,58500,59100,506256,29919729600,0.1695,1710,37993,-40154,64102,-30324,-21362,-8185,50,-43649,449,2,-786
2016-07-06,59800,60300,58500,59100,903024,53368718400,0.0,-11794,58840,-47467,-732,-76943,-6457,-20069,-1851,63448,385,36,-4863
2016-07-07,59100,59300,58500,59000,437023,25784357000,-0.1692,7514,30236,-38472,-3101,-11981,-17250,-16853,-78,10791,605,117,0
2016-07-08,59300,59900,58500,59600,810347,48296681200,1.0169,-56791,-19130,77793,107869,-6076,20749,-10293,355,-41008,-1832,-40,6197
2016-07-11,60300,60400,59900,60300,475605,28678981500,1.1745,-163257,30352,132871,20761,-8167,-3465,12367,-78,121365,54,-20,-9912
2016-07-12,60300,60400,59400,59600,653905,38972738000,-1.1609,51607,-123910,74218,62819,244,4761,-10408,410,13605,-1910,-5,2787
2016-07-13,59600,59800,58800,59600,986724,58808750400,0.0,199153,-22051,-177895,-15140,-42800,539,-47446,8438,-72203,1119,-326,-9283
2016-07-14,59200,59800,59100,59600,904998,53937880800,0.0,-10656,-83098,93794,-8206,62821,-4154,7910,-4101,39524,107,-147,0
2016-07-15,59600,60400,59100,60300,981804,59202781200,1.1745,-256038,268376,-18725,-30444,48283,20105,4626,849,-56310,6513,-126,-5834
2016-07-18,60400,60700,59800,60400,582572,35187348800,0.1658,-101315,-62684,163955,76561,40206,14007,1620,14091,21618,71,-27,-4148
2016-07-19,61100,61100,60200,60500,687589,41599134500,0.1656,-41781,63020,-20744,96890,-52159,-2660,7390,-100,-73105,-479,-16,3000
2016-07-20,60500,60900,60100,60400,451406,27264922400,-0.1653,24618,-27281,3066,-23723,74890,5756,-15576,-158,-38123,-346,-57,0
2016-07-21,60800,61500,60200,61200,748728,45822153600,1.3245,-208440,-9812,219497,10574,87049,51727,-43399,14596,97950,798,-2043,1000
2016-07-22,61000,61700,60800,61000,420386,25643546000,-0.3268,-44497,-54531,97171,9510,15575,9760,17403,-274,48663,1868,-11,-3466
2016-07-25,61700,61900,61100,61500,706401,43443661500,0.8197,-34282,2690,47893,-67472,125353,11272,18240,-3836,-21130,-16082,-219,-14534
2016-07-26,62000,62600,61700,62300,836725,52127967500,1.3008,-64627,88800,-24561,-42228,22099,-15112,-25170,-275,43701,435,-47,-7576
2016-07-27,61900,62600,61500,61800,615464,38035675200,-0.8026,38453,29901,-68352,-60677,-37145,-1416,-16364,-898,51931,-2,0,-3783
2016-07-28,61800,62100,61000,61600,746384,45977254400,-0.3236,24826,-36974,12774,9368,1435,29614,-40041,2710,15122,-646,20,-5434
2016-07-29,61700,62000,60900,61300,713444,43734117200,-0.487,113071,-25902,-90201,-10642,17781,3399,-25448,-2193,-69436,2784,248,-3662
2016-08-01,61200,62300,61000,61200,667597,40856936400,-0.1631,-12995,41791,-29124,-28741,-13684,-1504,39617,6011,-30823,338,-10,0
2016-08-02,61100,63400,61100,62800,1150710,72264588000,2.6144,-287286,197413,89969,106072,35228,40968,52335,-217,-138417,-151,55,-6000
2016-08-03,62600,63600,62100,62900,1080692,67975526800,0.1592,-100718,-88796,195027,294278,21773,-12808,1060,-10193,-93628,-5437,-76,-5455
2016-08-04,63100,63100,60900,61300,1337098,81964107400,-2.5437,199666,-40629,-159713,104761,-64740,-95367,-99790,-448,-6829,747,-71,2700
2016-08-05,61400,61500,60500,61100,1128031,68922694100,-0.3263,281519,-296787,14749,-77439,154035,-5886,-29465,1714,-28210,-61,580,0
2016-08-08,61300,61500,60500,61200,908141,55578229200,0.1637,36750,-101248,65779,-75751,81860,35372,-37103,-1109,64123,-1224,-57,-1613
2016-08-09,61000,61600,60500,61200,785007,48042428400,0.0,-5045,119467,-109378,-98763,-21236,18500,-88192,-4066,92114,-4915,-129,-7735
2016-08-10,61500,63000,61200,62600,1116342,69883009200,2.2876,-336415,557324,-215387,-134346,-130401,-16436,-3112,-4496,82285,-4675,-847,-8881
2016-08-11,61900,62100,60600,60600,1224212,74187247200,-3.1949,185752,69835,-255682,-58592,-85865,-137951,-61315,-11352,101695,522,-427,-2302
2016-08-12,60600,60700,58400,59200,3273838,193811209600,-2.3102,986958,-437509,-564345,-509815,114347,-9597,-244470,-1937,98815,22696,-7800,-11688
2016-08-16,59800,60400,58700,58900,1823306,107392723400,-0.5068,153489,-44075,-116119,-17086,-91535,-49323,-37543,68,79577,7755,-1050,-277
2016-08-17,59300,59400,57800,58400,1144353,66830215200,-0.8489,176870,-99615,-45087,-61726,5393,-6604,-73510,162,85942,-32028,-140,5256
2016-08-18,59000,59800,58000,58200,1180277,68692121400,-0.3425,155589,109278,-290277,-39922,-164024,17940,-25874,-2965,-69102,25462,-52,-6330
2016-08-19,58900,59000,57100,57400,1415463,81247576200,-1.3746,350155,216929,-570711,-132600,-208679,-2585,-52262,-1667,-176430,4286,-659,3512
2016-08-22,57800,57900,57000,57400,707052,40584784800,0.0,100674,54945,-152804,-60810,-63407,8135,-25210,-1403,-36132,-1413,-1402,26023
2016-08-23,57500,57800,57000,57600,896382,51631603200,0.3484,135322,45057,-161689,-76953,-121223,1903,-8257,-564,43714,-18101,-589,-309
2016-08-24,57700,58300,57200,57200,738728,42255241600,-0.6944,163449,-147931,-12180,-7345,-1430,36828,-1279,-10155,-26792,-2412,-926,-2007
2016-08-25,57500,58800,57400,58700,1210770,71072199000,2.6224,-221434,-79236,304910,146814,-56696,72911,33804,-417,113264,-3320,-920,-4770
2016-08-26,59000,59300,58600,59100,654367,38673089700,0.6814,-98014,9920,90286,142412,-26135,-26780,-20964,-2170,29923,-642,-1550,-6000
2016-08-29,58500,58500,57600,58100,625231,36325921100,-1.692,155858,-119215,-47220,-51077,-1156,-16034,-32696,-34,53968,12032,-1455,-191
