date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,34336,34433,33997,34143,169151,5775322593,-0.2833,-8130,-4539,23518,-1714,600,3394,-2929,0,24167,-4833,-6016,0
2016-05-27,34385,34967,34288,34919,272987,9532433053,2.2728,1917,-32521,31051,-9844,-580,2273,-1143,0,40345,-100,-347,0
2016-05-30,34918,34967,34336,34531,223913,7731939803,-1.1111,53547,-46766,-7053,-6976,30,210,179,0,-481,89,183,-15
2016-05-31,34433,34918,34336,34579,367233,12698549907,0.139,53627,-52593,-1151,6654,43,233,411,0,-6310,10,107,-2182
2016-06-01,34530,34724,34142,34725,259542,9012595950,0.4222,-7094,32161,-25284,-3696,8282,1475,-3032,0,-28313,82,135,0
2016-06-02,34724,34821,34336,34531,204812,7072363172,-0.5587,23163,-1510,-21662,-9654,5607,91,-1586,0,-16120,-80,89,0
2016-06-03,34627,34821,34336,34434,203238,6998297292,-0.2809,-3030,-15784,19270,-4265,3517,990,-1650,0,20678,140,-596,0
2016-06-07,34433,35112,34288,35113,388677,13647615501,1.9719,4304,-41315,37071,-9944,3344,-1940,689,0,45241,473,-533,-319
2016-06-08,35161,35403,34627,35355,315182,11143259610,0.6892,5663,-56924,59865,22580,4711,10197,6659,-1000,16718,-8494,-110,0
2016-06-09,35597,36228,35355,35695,685491,24468601245,0.9617,-121332,-21926,145147,12145,118505,14091,1,0,433,-1477,-412,-28
2016-06-10,35840,35985,35355,35695,325029,11601910155,0.0,-36694,-96985,133154,32700,39330,-8614,3201,0,66537,605,-80,0
2016-06-13,35209,35258,34433,34579,384875,13308592625,-3.1265,116224,-121678,3952,29071,-33341,-19523,-804,0,28793,1290,212,-244
2016-06-14,34433,34530,34045,34094,263711,8990962834,-1.4026,121560,-55026,-69799,-33474,-24480,241,-5178,0,-6908,3182,83,0
2016-06-15,34045,34191,33803,33997,243127,8265588619,-0.2845,93728,-14102,-73427,-19389,-2069,-35311,2115,0,-18773,-6381,182,0
2016-06-16,33997,34191,33657,33803,233388,7889214564,-0.5706,20375,-18702,-2774,3474,9004,2603,6251,-239,-23836,1210,-109,-31
2016-06-17,34045,34385,33948,34046,243688,8296601648,0.7189,-35146,-10774,46965,28286,4815,7031,-61,-61,6955,-1000,-45,0
2016-06-20,34433,34821,34336,34822,185490,6459132780,2.2793,-23526,9904,14208,2215,-1692,11862,-1017,0,2840,-378,-208,0
2016-06-21,34821,34821,34385,34579,133526,4617195554,-0.6978,20915,-4080,-17898,-15553,-870,235,232,-956,-986,800,263,0
2016-06-22,34433,35258,34433,35064,250031,8767086984,1.4026,-87756,78731,8812,-10321,18077,0,-5763,0,18385,1037,-824,-11566
2016-06-23,34918,35549,34870,35501,285860,10148315860,1.2463,-146582,99314,45155,-3797,24471,-14,-352,0,17463,2433,-320,7384
2016-06-24,35985,36131,33754,33949,797191,27063837259,-4.3717,-28164,64233,-38417,-26312,-2839,61,-737,0,-8590,1988,360,0
2016-06-27,32833,33657,32736,33609,364156,12238919004,-1.0015,-62575,31983,30674,-3432,5096,969,5924,0,24398,-64,-18,-2281
2016-06-28,33221,33657,33027,33561,241672,8110753992,-0.1428,52955,-53506,188,2379,-200,0,-997,0,-994,333,30,0
2016-06-29,33948,34627,33754,34191,278567,9524484297,1.8772,-543,-16196,17683,-18,13381,20478,-590,280,-15848,0,-944,0
2016-06-30,34773,34918,34191,34240,266248,9116331520,0.1433,-6485,61027,-53665,-19648,51,160,-3787,467,-30908,-540,-337,0
2016-07-01,34482,35209,34482,35161,288405,10140608205,2.6898,-129119,154407,-26362,-18957,-2595,1925,-45,0,-6690,-570,1644,0
2016-07-04,34967,35500,34821,35307,193639,6836812173,0.4152,-70170,50810,22171,1888,-3318,-3022,54721,0,-28098,-540,-2271,0
2016-07-05,35064,35258,35015,35161,95560,3359985160,-0.4135,-29684,30647,-1390,2593,-2997,-190,-927,0,131,427,0,0
2016-07-06,34918,34918,34045,34240,320310,10967414400,-2.6194,61735,-38075,-23468,-3001,-39971,-6669,-8395,-387,34955,9,-201,0
2016-07-07,34530,34724,34191,34191,207468,7093538388,-0.1431,74949,-14769,-59853,-39253,-18607,-1066,-8410,0,7483,-200,-127,0
