date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,37095,37181,36663,36750,303878,11167516500,-1.1619,1904,-18403,16441,5326,-382,1920,2767,0,6810,94,-36,0
2016-05-27,36836,37440,36750,37354,743038,27755441452,1.6435,-27206,18284,9132,2957,5231,5413,494,-971,-3992,54,-264,0
2016-05-30,37440,37957,37181,37958,918073,34848214934,1.617,-67655,53392,14091,8439,6436,14756,2181,-486,-16732,1219,-1047,-503
2016-05-31,37958,38389,37699,38303,2317367,88762108201,0.9089,-34230,55125,-19064,6728,3932,931,2255,-327,-31583,-1429,-402,-1000
2016-06-01,38303,38389,37009,37699,1551528,58491054072,-1.5769,10269,38626,-50516,8136,174,4148,-2464,240,-60491,1231,390,-259
2016-06-02,37267,37526,37095,37268,833146,31049685128,-1.1433,5247,15992,-23352,2198,-686,2408,-1866,1056,-25774,2115,-2,-688
2016-06-03,37699,37957,37354,37958,752653,28569202574,1.8515,-24365,20167,3310,-11449,9762,3346,-1597,0,3248,1753,-865,0
2016-06-07,37785,38216,37267,38217,712574,27232440558,0.6823,-19515,18310,5488,4348,-2403,716,803,-712,2816,-3821,-462,-80
2016-06-08,37785,37957,37440,37785,1121335,42369642975,-1.1304,8412,32185,-28043,-27673,-10680,-4982,-4369,-1427,21088,-12176,-378,0
2016-06-09,37526,37785,36922,37440,2205634,82578936960,-0.9131,26240,68874,-89372,-24343,-41514,-6637,-22031,78,8394,-6069,327,-3319
2016-06-10,37009,37095,36577,36578,997112,36472362736,-2.3024,42809,7647,-46365,-12864,-19439,-242,-19747,-2536,9698,-4124,33,-1235
2016-06-13,36577,36577,35887,36405,777569,28307399445,-0.473,-831,18094,-17968,439,-5460,-550,-321,-5911,-7107,537,168,942
2016-06-14,36405,37440,36232,37268,1005342,37467085656,2.3706,-43586,50718,-8681,9656,12112,2985,7078,-549,-42287,246,1303,2324
2016-06-15,36922,37526,36836,37268,822105,30638209140,0.0,-5804,20662,-14878,7873,7940,1995,7693,-248,-40131,26,-6,0
2016-06-16,36922,37267,36318,36319,647933,23532278627,-2.5464,31619,-28054,-3448,5366,183,6077,-3136,12,-11950,18,-135,0
2016-06-17,36491,36663,36060,36233,611628,22161117324,-0.2368,14017,-23136,6540,3120,4866,-1546,-790,6444,-5554,2841,-262,0
2016-06-20,36405,36750,36060,36146,850574,30744847804,-0.2401,22085,-19771,-5335,-7014,2562,902,-4292,7529,-5039,2657,364,17
2016-06-21,36232,36318,35973,36146,588931,21287499926,0.0,17751,-22183,-2796,2048,-867,-1711,357,1901,-4524,7195,33,0
2016-06-22,36060,36577,36060,36233,691953,25071533049,0.2407,3896,-15240,10033,6930,2461,-3551,-1128,685,4636,1295,16,0
2016-06-23,36060,36491,36060,36233,440168,15948607144,0.0,-1351,-14642,15965,5266,1726,1436,3581,337,3604,31,-3,15
2016-06-24,36318,36663,35283,35974,1199417,43147827158,-0.7148,-13117,-4536,16676,4068,675,-981,12771,4837,-4711,659,318,17
2016-06-27,35973,36922,35801,36491,1105981,40358352671,1.4371,-43731,-30588,75185,15771,22306,464,23443,-501,12702,-804,-62,1000
2016-06-28,36232,36750,36232,36664,866791,31780025224,0.4741,13420,-279,-13881,20402,-41328,541,6579,32,-1195,749,-9,1088
2016-06-29,36405,37612,36405,37440,1052254,39396389760,2.1165,-56975,52063,5572,14199,20359,-601,-1001,-46,-30182,4,-664,2844
2016-06-30,37612,37871,37095,37182,565348,21020769336,-0.6891,-12702,11891,512,15630,-2448,1024,524,6874,-21092,888,-589,0
2016-07-01,37095,37785,37095,37699,749645,28260866855,1.3905,-25239,18293,8251,24404,-3851,3184,-2334,452,-15557,11,-1316,1953
2016-07-04,37267,37871,37181,37785,632730,23907703050,0.2281,-2953,2926,-1378,2953,11,280,-4290,2100,-2432,1904,-499,0
2016-07-05,37526,37699,37181,37354,427098,15953818692,-1.1407,609,25627,-26322,8406,-10969,-11392,-7883,1954,-5928,3,83,-510
2016-07-06,37354,37440,36663,37095,484512,17972972640,-0.6934,-16232,10779,5226,563,-5518,-1374,-5367,1570,14217,152,75,1135
2016-07-07,37354,37526,36663,37009,464151,17177764359,-0.2318,6185,-1864,-3222,-6623,-6718,-68,-1819,2500,9706,-1303,204,-200
2016-07-08,36750,37267,36750,37268,332087,12376218316,0.6998,-3496,8739,-5201,-4636,3549,1056,-2235,1063,-4376,-92,50,378
2016-07-11,37699,37785,37440,37440,478780,17925523200,0.4615,-21955,-5271,27428,-83,-1088,-37,8026,2205,19174,512,-714,-769
2016-07-12,37354,37612,37267,37440,329444,12334383360,0.0,-4209,11599,-7343,2459,-3574,-931,-5318,577,159,-48,1,-715
2016-07-13,37699,38303,37526,37958,990313,37590300854,1.3835,-32846,64712,-27147,-5929,-7951,19787,-7184,2230,-27044,-3933,-786,-1056
2016-07-14,37957,38389,37871,38131,879194,33524546414,0.4558,-30955,9844,22437,2414,-9408,18334,9920,-309,2029,-1307,-19,-543
2016-07-15,38475,38561,38044,38044,779668,29661689392,-0.2282,-8595,24614,-14963,-17081,-5395,9193,-5072,5493,-968,-64,-992,-1133
2016-07-18,38130,38561,38044,38476,538994,20738333144,1.1355,-26147,4078,24730,8051,-3977,-6005,13415,-130,12758,-1292,-1369,618
2016-07-19,38475,38561,37612,38131,771861,29431831791,-0.8967,-3789,-7383,11489,19120,-7121,-2063,-6773,481,7845,-201,-116,0
2016-07-20,38389,38389,37354,37613,774735,29140107555,-1.3585,14952,-11730,-2392,10287,-4265,-4011,-14169,-873,10426,-892,62,213
2016-07-21,37699,38389,37699,38389,591597,22710817233,2.0631,-28183,5782,23743,21356,-1192,799,-11428,-59,10767,-1232,-110,3500
2016-07-22,38475,38648,38044,38562,631235,24341684070,0.4506,-36309,14004,22899,-1187,-2580,1483,4544,-22,20661,-592,-2,0
2016-07-25,38820,39769,38648,39683,1404307,55727114681,2.907,-103542,78372,26299,6483,8663,2712,11176,3296,-13160,-1094,-35,7129
2016-07-26,39683,40114,39165,40028,975394,39043071032,0.8694,-45599,34756,11231,-10133,15183,3134,-5760,-116,9719,-202,-186,-796
2016-07-27,40028,40287,39769,39856,842396,33574534976,-0.4297,-36728,39238,-1620,6105,-17207,7759,-492,-99,3194,-1088,198,-880
2016-07-28,39855,40114,39510,39597,767989,30410060433,-0.6498,-14111,26731,-10354,2460,256,-6566,-7642,513,1386,-2199,-67,-761
2016-07-29,39942,40373,39338,39683,913263,36241015629,0.2172,-9207,40019,-30200,-1497,-6914,-20658,16872,-6105,-10498,-461,-151,-1400
2016-08-01,39424,39597,38906,39079,1032994,40368372526,-1.5221,9115,-23007,14781,-13482,15387,-15558,14180,-656,14910,-925,36,0
2016-08-02,38820,38906,38130,38562,1126244,43430221128,-1.323,19684,-49135,29394,15246,8932,2754,725,4930,-3193,8,49,0
2016-08-03,38216,38561,38044,38131,982720,37472096320,-1.1177,31160,-3598,-27721,-15668,-3497,2889,-11847,2830,-2428,87,72,0
2016-08-04,38389,38561,37699,38044,907606,34528962664,-0.2282,10231,22238,-32626,-24743,-2111,4686,-6144,4687,-9001,-223,380,0
2016-08-05,38044,38475,38044,38131,696821,26570481551,0.2287,-12063,7719,4842,12577,-9,8119,-77,-3082,-12686,-98,-400,0
2016-08-08,38303,38561,37785,38303,580173,22222366419,0.4511,9027,31881,-40587,-12233,-25096,4154,-3867,78,-3623,-384,63,0
2016-08-09,38303,38906,38303,38734,730066,28278376444,1.1252,-13152,44959,-31837,-11896,-10109,1123,-6809,-2626,-231,29,1,-1289
2016-08-10,38475,38820,38475,38648,823137,31812598776,-0.222,2826,18110,-20762,10320,-33079,559,1999,-75,2674,-1,-173,-3160
2016-08-11,38561,39165,38475,39166,1002681,39271004046,1.3403,-7731,-11305,19335,34745,-29799,952,1460,-4618,16595,-344,45,0
2016-08-12,39165,39252,38820,39079,536785,20977021015,-0.2221,-869,3911,-2614,-6068,487,-1629,-6294,-352,11242,-408,-20,0
2016-08-16,39079,39338,38993,39166,728073,28515707118,0.2226,-7832,21484,-13661,-1038,-15727,625,-1804,-28,4311,0,9,0
2016-08-17,38993,39424,38906,39338,417182,16411105516,0.4392,-12225,12305,967,11895,-6567,-1003,-1865,-8,-1485,-983,-64,0
2016-08-18,39510,39510,39079,39079,448879,17541742441,-0.6584,7059,28477,-35771,-7694,-1498,1216,-1341,889,-27343,100,135,0
2016-08-19,39338,39338,38389,38648,903160,34905327680,-1.1029,10786,1783,-11950,1421,18983,-10091,1682,491,-24436,-591,-28,0
2016-08-22,38303,38389,37957,38131,579008,22078154048,-1.3377,20339,23234,-44005,-16380,-15770,-3274,-720,0,-7861,279,153,0
2016-08-23,38130,38303,37699,37958,562537,21352779446,-0.4537,3521,-8778,5275,-11443,22787,3988,506,-134,-10429,-51,33,0
2016-08-24,37957,38044,37699,38044,487451,18544585844,0.2266,8242,23296,-31820,-4387,-7970,2138,1128,-4,-22725,27,255,0
2016-08-25,38044,38389,37785,38044,792117,30135299148,0.0,-2017,-2731,4780,10456,-13923,-3044,553,-27,10526,-1,-31,239
2016-08-26,38044,38475,37871,38389,479754,18417276306,0.9068,-2823,9561,-6690,-4399,-9638,-4509,967,-412,11301,-10,-38,0
2016-08-29,38303,38389,37957,38131,456901,17422092031,-0.6721,6074,13972,-20024,-10318,-14940,-220,-5098,4509,6043,-29,7,0
2016-08-30,38130,38475,37957,38044,406616,15469299104,-0.2282,9447,-3886,-11986,-11468,-12610,809,1351,393,9539,6325,100,0
2016-08-31,37957,38216,37699,37699,510669,19251710631,-0.9068,13117,10160,-28236,-21178,-3053,134,-716,93,-3516,4877,82,0
2016-09-01,37699,37958,37354,37354,698044,26074735576,-0.9151,33835,-32470,-5496,-1214,-4928,1467,3103,5402,-9326,4062,69,0
2016-09-02,37526,37612,37267,37268,552005,20572122340,-0.2302,29378,8293,-44229,-10353,-14270,585,-5520,-101,-14670,6543,15,100
2016-09-05,37612,38389,37612,38044,676692,25744070448,2.0822,-24577,1205,22035,20216,-3690,540,-3121,-23,8613,1338,-1,-500
2016-09-06,38130,38303,37699,37872,468411,17739661392,-0.4521,18093,-10467,-9687,3244,-5183,1872,-3198,219,-5079,2088,-27,-1562
2016-09-07,37785,38389,37612,38131,615169,23457009139,0.6839,-19065,-9204,31027,11939,3241,7669,3999,9481,-4628,-2673,-85,-674
2016-09-08,38044,38734,37871,38562,1033388,39849508056,1.1303,-22125,-17522,47524,28158,-6348,13775,6247,5551,1231,-7855,-22,-1090
2016-09-09,38216,38475,37785,38303,527924,20221072972,-0.6716,11088,-46314,35209,29886,8827,613,6760,-495,-10472,0,17,90
