date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,36679,36879,35879,36146,123644,4469236024,-1.6355,6258,9632,-13276,-12847,-1545,2512,-2,0,-1413,-2148,-466,19
2016-05-27,37947,38547,36813,38214,351610,13436424540,5.7212,-42568,-24212,69111,57780,4152,6248,4385,0,-3454,-935,-1396,0
2016-05-30,38547,40147,38480,39814,354506,14114301884,4.1869,-70946,-49724,138562,78461,28026,6419,22927,0,2245,-14268,-3624,484
2016-05-31,40547,41214,39881,40681,312959,12731485079,2.1776,-56228,14895,29926,7664,6667,7667,-710,6600,-1505,11487,-80,3543
2016-06-01,40547,41014,39814,40481,120115,4862375315,-0.4916,-27296,12930,16505,-12679,989,4057,1844,5000,10694,0,-2139,6600
2016-06-02,40481,42148,39814,41815,231058,9661690270,3.2954,-21879,-36854,42182,5134,383,4655,33117,1672,-3951,14405,2146,1172
2016-06-03,42215,43482,41615,42215,366597,15475892355,0.9566,28553,33470,-60035,20044,-85786,18665,14465,1558,-30140,-1412,-576,1159
2016-06-07,42882,43882,42482,42949,229418,9853273682,1.7387,-37536,-23324,59610,22287,6102,-944,15629,-9000,25945,1150,100,-409
2016-06-08,42682,44682,42615,44016,302252,13303924032,2.4843,-69626,10529,65917,32084,12348,4931,22926,-6061,-667,-7020,200,356
2016-06-09,44015,44482,42348,43749,339776,14864860224,-0.6066,-43244,-61429,115222,20116,47561,10683,17306,4720,15836,-10731,182,-1000
2016-06-10,43749,43949,42682,42815,158508,6786520020,-2.1349,4777,39001,-43956,-11833,-23182,-2962,-2921,1970,-5533,329,-151,505
2016-06-13,42081,42415,41281,41882,174076,7290651032,-2.1791,-39810,77671,-30491,-6921,-13125,-13080,2154,0,481,-5906,-1464,0
2016-06-14,41348,42415,40681,41482,141538,5871279316,-0.9551,-9648,-1936,17581,9495,-1574,-2595,-1311,0,12471,-1716,-4281,1095
2016-06-15,41948,41948,40481,40815,137787,5623776405,-1.6079,11489,22187,-34296,-2187,-10924,-4771,-5519,0,-10895,620,0,0
2016-06-16,40881,41548,40481,40815,119783,4888943145,0.0,-13832,15520,-2119,13191,-4648,2543,-4067,-1630,-7508,584,-153,0
2016-06-17,40948,41348,40414,40415,114659,4633943485,-0.98,-5126,4801,260,17010,-7460,-3180,9301,0,-12125,87,-22,-3286
2016-06-20,41148,41548,40614,41215,103226,4254459590,1.9795,-16025,-2409,19300,11789,8167,116,59,0,-831,-828,-38,0
2016-06-21,41948,41948,40814,41348,72459,2996034732,0.3227,-243,3523,-2666,49,-4172,-867,4303,0,-1979,-614,0,0
2016-06-22,41281,41548,40814,40948,93153,3814429044,-0.9674,-8432,33077,-24241,-2339,-9171,-1810,-6497,1600,-6024,-375,-29,0
2016-06-23,41214,41615,40481,41082,130998,5381659836,0.3272,17238,32091,-50164,-6640,-32912,-65,-1793,0,-8727,829,6,-27
2016-06-24,41548,42148,38747,38881,339312,13192789872,-5.3576,-58862,95002,-22702,-7494,-434,2233,-1071,0,-16936,-14204,766,1000
2016-06-27,37080,40014,37080,39814,168664,6715188496,2.3996,-59132,36213,31638,2235,7375,17277,2540,-38,2249,-8739,20,0
2016-06-28,39814,41148,39147,40215,117335,4718627025,1.0072,-10699,11219,-157,-2151,-1590,-24,-302,133,3777,-663,300,0
2016-06-29,40014,41615,40014,41015,107243,4398571645,1.9893,-21996,14236,6327,-5638,4785,11222,-3991,-50,-1,1510,-77,0
2016-06-30,41681,42281,41214,41348,126543,5232299964,0.8119,3239,13342,-23315,-19425,-2866,-48,-567,0,-409,6234,500,0
2016-07-01,41348,42148,41348,41948,89518,3755101064,1.4511,-41530,7674,34219,33336,1203,-699,2155,808,-2584,-310,-53,0
2016-07-04,42015,42281,41414,41815,60643,2535787045,-0.3171,6819,4203,-9883,-4789,-10300,-237,933,0,4510,-1500,361,0
2016-07-05,41414,42215,41414,41682,63107,2630425974,-0.3181,834,6229,-6691,-5313,6778,50,-84,0,-9122,-382,10,1000
2016-07-06,41348,41748,40214,40681,92046,3744523326,-2.4015,2758,4572,-5917,-716,-8471,1296,711,0,1263,-1413,0,0
2016-07-07,40814,41414,40547,40881,69430,2838367830,0.4916,-1399,4175,-2317,-12807,1227,0,1366,0,7897,790,-1249,0
2016-07-08,40814,41681,40547,41482,68274,2832142068,1.4701,-25974,-1152,26714,13764,4601,3312,5734,0,-697,112,300,0
2016-07-11,41881,42081,41681,41882,61326,2568455532,0.9643,-13410,2059,9019,-994,2251,1489,852,0,5421,1077,1255,0
2016-07-12,41948,42015,41348,41415,49471,2048841465,-1.115,4413,-8136,3067,-2405,405,1497,2597,602,371,656,0,0
2016-07-13,41481,41815,40681,40881,75073,3069059313,-1.2894,21737,13834,-26439,-4968,-17454,-639,-329,0,-3049,-8642,-490,0
2016-07-14,41214,41214,40481,40548,59241,2402104068,-0.8146,13520,6966,-15193,-7493,-5417,-6708,9711,-59,-5227,-5295,2,0
2016-07-15,41348,41881,40681,41548,136651,5677575748,2.4662,-8567,17421,-8077,5485,-15964,1684,798,3825,-3075,-777,0,-830
2016-07-18,41481,41948,40014,40014,127782,5113068948,-3.6921,54550,1044,-55207,-9979,-21604,-1132,-1549,-5052,-15891,-241,-146,0
2016-07-19,39881,40814,38880,39214,136964,5370906296,-1.9993,29619,37507,-68377,-754,-22955,-1165,-11487,-25,-31991,1231,20,0
2016-07-20,39747,41881,39414,41548,226979,9430523492,5.952,-23586,78591,-57165,12512,-33428,-11928,3533,1500,-29949,334,1826,595
2016-07-21,41815,42215,41214,41615,80036,3330698140,0.1613,-7954,145,7798,4117,10028,-9883,5499,0,-2473,25,-14,510
2016-07-22,41681,42348,41615,41882,77191,3232913462,0.6416,-12594,-972,12600,4213,-10960,70,16754,0,2259,979,-13,264
2016-07-25,41881,42615,41481,41548,53442,2220408216,-0.7975,-6111,482,4968,4043,-2016,-480,3342,0,79,700,-39,0
2016-07-26,41748,41748,40614,40948,85255,3491021740,-1.4441,4648,13350,-12200,4155,-12135,-6332,1303,0,2153,-5800,2,-1344
2016-07-27,41348,42015,41014,41748,115025,4802063700,1.9537,-18411,23507,-738,21593,-13892,-6148,1927,-178,-4040,-6511,2153,0
2016-07-28,41748,41881,40614,40815,77338,3156550470,-2.2348,19451,-9548,-9620,-6485,-1509,87,-3233,0,2649,-676,393,-1129
2016-07-29,41281,41281,40481,41148,48935,2013577380,0.8159,-4414,-7887,13091,12492,2855,-731,1378,0,-2903,-790,0,0
2016-08-01,41281,41548,40681,40881,53310,2179366110,-0.6489,-1486,12877,-11881,-4693,-5688,-511,-699,0,-290,-10,500,0
2016-08-02,40681,41148,40481,40748,51106,2082467288,-0.3253,11760,9092,-20111,-12342,1344,796,2047,0,-9956,-2141,1400,-2000
2016-08-03,40481,40748,39614,40215,85333,3431666595,-1.308,10502,14611,-20202,-6260,-4607,1233,-8084,-55,-2429,-5411,500,0
2016-08-04,40281,40814,39947,40548,76562,3104435976,0.828,-7577,15539,-7324,6063,-17177,12556,1572,-28,-10310,-738,100,0
2016-08-05,40547,40814,40147,40615,86639,3518842985,0.1652,1161,11065,-12287,-6053,-16500,5740,2668,0,1858,-11,72,0
2016-08-08,40881,41214,40081,40148,82708,3320560784,-1.1498,15968,-401,-15564,14623,-20607,471,-3387,0,-6664,-11,8,0
2016-08-09,40147,40547,39747,40415,108120,4369669800,0.665,12254,21069,-28006,-6511,-14602,-2221,-3546,0,767,-5311,-6,-1893
2016-08-10,39947,40681,39814,39881,131598,5248259838,-1.3213,36645,-827,-35067,13309,-31647,-2718,-543,-5023,-3268,-761,10,-5177
2016-08-11,39881,42815,39614,42349,326893,13843591657,6.1884,-66999,31160,44114,25310,4534,9048,-2993,245,6870,-8613,338,1100
2016-08-12,42682,45683,42482,45683,460056,21016738248,7.8727,-138606,57933,101777,34311,22044,5141,24689,2218,9705,-19309,-1795,3669
2016-08-16,46350,47550,45416,45616,266189,12142477424,-0.1467,33322,44991,-68079,-8526,-39405,-11024,-11779,0,4103,-13914,3680,-1448
2016-08-17,45949,48017,45616,47951,393504,18868910304,5.1188,-65695,103762,-27648,24524,-44048,-2546,35410,-985,-44987,-10419,0,4984
2016-08-18,47950,48550,46350,47084,236708,11145159472,-1.8081,12281,54828,-66892,-18559,-39471,2447,-1716,1087,-12980,340,-557,2300
2016-08-19,47683,48550,46950,48351,248859,12032581509,2.6909,-43982,96417,-52443,-20386,-33785,-1748,1201,-236,2511,45,-37,0
2016-08-22,48017,48017,46750,47350,127547,6039350450,-2.0703,-19254,36437,-17265,6840,-10882,542,-4841,1400,-10324,100,-18,0
2016-08-23,47617,48417,46616,46817,143506,6718520402,-1.1257,-11569,44325,-32353,-10717,-8279,653,-3663,0,-7061,-1081,678,-3286
2016-08-24,47217,47750,46416,46617,121591,5668207647,-0.4272,-11995,41721,-14538,-9165,-9302,3222,1928,-300,-921,-15188,0,0
