date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,6060,6150,6030,6140,192287,1180642180,0.9868,-54242,47070,7172,5011,-4631,0,7371,0,-579,0,0,0
2016-05-27,6160,6310,6090,6260,151971,951338460,1.9544,-54216,32804,21412,2305,17586,0,5030,0,-3509,0,0,0
2016-05-30,6270,6330,6210,6300,166764,1050613200,0.639,30354,-33582,3304,0,1330,0,0,0,1974,0,-76,0
2016-05-31,6300,6380,6240,6300,173506,1093087800,0.0,3440,-3454,-1969,-897,0,0,0,0,-1072,2000,-17,0
2016-06-01,6290,6430,6290,6350,347689,2207825150,0.7937,-64912,46301,16869,15552,0,0,1317,0,0,1924,-182,0
2016-06-02,6390,6440,6320,6360,189609,1205913240,0.1575,39073,-37259,-1363,0,1775,0,106,-3909,665,104,-555,0
2016-06-03,6340,6410,6320,6330,138398,876059340,-0.4717,-24461,3523,11593,7952,3175,0,360,0,106,9394,-49,0
2016-06-07,6340,6600,6330,6500,484609,3149958500,2.6856,-67401,47106,19939,0,12469,0,4830,1276,1364,357,-1,0
2016-06-08,6510,6630,6490,6520,376426,2454297520,0.3077,16361,-33767,49093,50000,0,0,0,30,-937,-31317,-370,0
2016-06-09,6590,6670,6500,6670,333340,2223377800,2.3006,-151603,9195,145057,0,159112,0,432,-119,-14368,-2649,0,0
2016-06-10,6650,6660,6450,6450,325173,2097365850,-3.2984,110862,-90583,-40463,-28,-9311,0,0,-172,-30952,9269,10915,0
2016-06-13,6430,6520,6350,6420,252972,1624080240,-0.4651,-18934,-65963,57261,-127,11053,0,4555,0,41780,25554,2082,0
2016-06-14,6400,6430,6310,6370,219374,1397412380,-0.7788,-7266,-55602,-1470,-198,-18,0,932,1,-2187,64338,0,0
2016-06-15,6200,6220,6020,6090,1045020,6364171800,-4.3956,414635,-101783,-364459,-52302,-270515,0,33496,-960,-74178,25466,26141,0
2016-06-16,6070,6150,6060,6100,224874,1371731400,0.1642,-42435,-16694,60514,-293,-21,0,55919,0,4909,-1385,0,0
2016-06-17,6100,6180,6050,6100,123898,755777800,0.0,-6558,-4551,8127,8397,0,0,1,0,-271,900,2082,0
2016-06-20,6150,6260,6100,6250,147158,919737500,2.459,-5213,-2742,7955,3485,5708,-141,0,0,-1097,0,0,0
2016-06-21,6240,6530,6230,6450,607341,3917349450,3.2,-7970,-659,-5589,-30647,-5512,0,30457,-269,382,12218,2000,0
