date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,183000,185000,182000,183000,86038,15744954000,0.8264,-32751,6680,26324,15405,1468,678,-52,0,8825,-246,-7,0
2016-05-26,184000,184500,182000,182500,61487,11221377500,-0.2732,-7419,-6856,15099,13182,179,1091,-1862,0,3509,-91,-733,-1000
2016-05-27,182500,183500,180500,181500,97301,17660131500,-0.5479,-28258,18071,9301,8783,-1826,856,-16,0,1504,1005,-119,0
2016-05-30,181500,184000,179500,183500,86940,15953490000,1.1019,-28531,28550,-186,-727,893,245,104,0,305,219,-52,-1006
2016-05-31,182000,185000,182000,183000,345463,63219729000,-0.2725,3623,14406,-17632,-6753,221,112,-386,-500,-9326,-237,-160,-1000
2016-06-01,181500,182500,174000,174000,275313,47904462000,-4.918,44137,11433,-56088,-15208,-13484,-8015,-4460,3,-14924,1762,-1244,0
2016-06-02,172000,172500,164000,167000,376442,62865814000,-4.023,13715,22645,-27237,-8127,-1995,2208,1979,-269,-20243,-8705,-418,-790
2016-06-03,148000,161500,142500,149000,1220701,181884449000,-10.7784,32146,53550,-65022,1719,-21024,6510,-5718,201,-45931,-19590,-1084,-779
2016-06-07,150000,151500,142500,150500,863541,129962920500,1.0067,-53191,61202,-5055,1893,38744,742,-6296,1556,-42094,-4091,1135,400
2016-06-08,152500,157000,150500,152500,487302,74313555000,1.3289,-4620,2480,1334,1236,-1823,-3324,12193,-700,-5848,679,127,-400
2016-06-09,151500,153500,145000,146000,528901,77219546000,-4.2623,17132,21946,-38605,-21087,14742,-9967,-4964,0,-17329,667,-1140,0
2016-06-10,147000,150500,145000,149500,384361,57461969500,2.3973,-98228,33543,65138,2022,19005,5051,2036,0,37024,428,-881,0
2016-06-13,151500,155000,150000,151000,341674,51592774000,1.0033,-30048,-27017,52577,4346,35324,164,5444,-700,7999,776,3712,0
2016-06-14,151000,156000,150500,155500,278535,43312192500,2.9801,-94020,7704,81685,12628,49525,6641,10412,1887,592,4692,-61,0
2016-06-15,159500,161000,156500,158000,281619,44495802000,1.6077,-64928,-14569,81332,33389,25458,6908,16334,-552,-1274,-1932,97,1069
2016-06-16,158000,158000,151000,152000,231089,35125528000,-3.7975,18547,-9648,-8344,8994,2747,-985,-2533,0,-16567,-1658,1103,0
2016-06-17,151000,153000,147000,149000,217696,32436704000,-1.9737,14883,8095,-7901,-11608,-1976,1205,-3214,0,7692,-15104,27,0
2016-06-20,150500,154000,150000,152500,129038,19678295000,2.349,-52400,36852,10517,3195,4360,4235,15,0,-1305,4950,81,17
2016-06-21,148500,150500,147000,150500,220235,33145367500,-1.3115,-1054,41039,-37674,-13224,-178,-2398,191,0,-22065,-2297,-14,0
2016-06-22,150500,150500,146500,147500,145480,21458300000,-1.9934,18766,17246,-24709,-13086,-6078,-2073,37,0,-3509,-11307,4,0
2016-06-23,148000,149500,147000,147000,107467,15797649000,-0.339,-10308,17503,-7483,105,343,-17,-1336,0,-6589,357,-69,11
2016-06-24,148500,148500,137000,138500,435046,60253871000,-5.7823,35733,26985,-63067,-22710,-5822,113,-20597,96,-14147,1303,-954,0
2016-06-27,133500,136500,132000,135500,288345,39070747500,-2.1661,-22575,50229,-27490,-30446,-2777,487,261,-1266,6251,789,-953,0
2016-06-28,134500,138000,134500,137500,203583,27992662500,1.476,-31131,-1076,31614,36073,-8428,0,798,0,3171,515,78,0
2016-06-29,138500,139500,137000,138000,177451,24488238000,0.3636,32109,-3760,-36976,291,-2059,-4312,380,0,-31276,8150,477,0
2016-06-30,139500,148500,139500,143500,425391,61043608500,3.9855,-30856,11029,21076,39688,12596,469,-396,0,-31078,-524,-725,-203
2016-07-01,143500,144500,142000,143000,107268,15339324000,-0.3484,76,-15533,15198,17456,-585,160,1976,0,-3809,108,151,0
2016-07-04,142000,144000,141500,142000,112548,15981816000,-0.6993,-5401,8533,-5258,12375,-2821,-9614,574,0,-5772,2236,-110,0
2016-07-05,141500,142000,137500,140000,201996,28279440000,-1.4085,-24789,18819,11763,9679,-2116,17874,-12360,0,-1314,-6352,559,0
2016-07-06,140000,141500,135500,136500,150276,20512674000,-2.5,16865,-17375,3304,8741,-1504,-1075,-9605,0,6747,-3044,250,0
2016-07-07,137500,139500,137000,137000,108503,14864911000,0.3663,-3370,-20803,24181,16369,7289,0,1347,0,-824,48,-56,0
2016-07-08,138500,141500,138000,140500,175321,24632600500,2.5547,-53002,14044,38281,19699,14701,7037,-962,0,-2194,852,-175,0
2016-07-11,142500,144500,141000,143000,124152,17753736000,1.7794,-28720,-12039,40903,24315,3276,456,5055,163,8533,97,-241,-895
2016-07-12,143500,143500,141500,143000,76568,10949224000,0.0,-16958,-10191,26618,6723,10584,11372,529,67,-2171,870,-339,-486
2016-07-13,143000,145000,142500,143000,93927,13431561000,0.0,-7144,4479,2645,10591,-1413,333,-558,49,-5669,80,-60,-688
2016-07-14,144000,150000,142500,149500,237359,35485170500,4.5455,-74832,-12524,85936,44588,5074,8259,12318,727,14970,1991,-571,0
2016-07-15,151500,152000,147500,149000,150612,22441188000,-0.3344,-31810,-9159,36072,16688,13026,922,3717,81,1638,1728,3169,0
2016-07-18,148000,154000,147000,151500,205921,31197031500,1.6779,-2313,-17147,19119,5679,11645,2179,1581,-433,-1869,230,111,337
2016-07-19,151500,152500,149000,151500,103280,15646920000,0.0,9050,-21564,11895,16876,-2935,282,964,59,-3351,179,440,0
2016-07-20,150500,154500,150500,150500,107525,16182512500,-0.6601,3245,-36438,33104,24621,10871,-273,-137,70,-2048,-1,90,0
2016-07-21,151000,152000,148500,149000,69380,10337620000,-0.9967,-3165,-1005,4658,10660,-3509,-3166,-1446,0,2119,-745,257,0
2016-07-22,147500,155000,147000,154000,167864,25851056000,3.3557,-73405,36132,35778,15020,7593,-2086,3540,0,11711,2062,-567,0
2016-07-25,155000,155000,152000,152500,77889,11878072500,-0.974,961,865,-1799,4888,-68,660,1593,0,-8872,-1,-26,0
2016-07-26,152000,155000,151500,155000,79906,12385430000,1.6393,-25704,-1346,26580,9931,168,58,12968,174,3281,552,-82,0
2016-07-27,154500,156000,153500,154000,67029,10322466000,-0.6452,-23418,21,23358,8987,3742,-367,6432,0,4564,49,-10,0
2016-07-28,154000,154500,152000,154000,59828,9213512000,0.0,-7186,-6787,14049,5022,998,47,7909,0,73,-84,8,0
2016-07-29,155000,159500,154500,157000,194437,30526609000,1.9481,-37861,-820,38638,20273,4497,1534,-5649,-56,16801,-329,372,1238
2016-08-01,157500,158500,155000,156500,96276,15067194000,-0.3185,-20427,-16981,36216,19510,2225,1379,16798,0,-3696,1258,-66,0
2016-08-02,156000,161500,156000,158500,187697,29749974500,1.278,-45178,-12366,57725,28362,5035,4114,21257,-2,-1628,163,-344,587
2016-08-03,157500,160000,156500,159000,95993,15262887000,0.3155,-12845,-15240,27844,41354,-3026,-760,-1494,-955,-7489,248,-7,214
2016-08-04,160000,167000,159500,166000,197768,32829488000,4.4025,-83547,-3217,88040,61937,2932,9764,10560,-27,2208,-618,-658,666
2016-08-05,166000,167500,164000,167000,128164,21403388000,0.6024,-40595,-1031,41072,24474,6360,715,2108,-25,6927,737,-183,513
2016-08-08,168000,176500,167500,173000,282752,48916096000,3.5928,-87504,14972,57550,41138,9688,-11366,10747,-52,7038,15674,-692,357
2016-08-09,174000,175500,171500,173000,116196,20101908000,0.0,11250,-27603,14590,-6218,7797,-6162,1448,0,17725,1750,13,0
2016-08-10,173000,178000,173000,174000,146600,25508400000,0.578,-19332,-789,19664,17563,-6874,-4749,6715,-25,7034,717,-260,0
2016-08-11,171500,173500,170000,172500,83305,14370112500,-0.8621,-11236,2791,9022,32,-1091,-1312,-1518,0,12911,-480,-97,0
2016-08-12,173000,178000,173000,176000,116846,20564896000,2.029,-31118,8714,24280,8591,4968,-8508,5461,37,13731,-1677,-199,0
2016-08-16,176000,179500,171000,172500,137126,23654235000,-1.9886,9059,-22773,12377,13421,-1004,-5730,-194,0,5884,1177,160,0
2016-08-17,172000,173000,166500,168500,142442,24001477000,-2.3188,9524,28904,-35441,-16000,-2309,-13782,-1583,12,-1779,-3316,329,0
2016-08-18,167500,175500,163500,174500,264464,46148968000,3.5608,-71034,32182,35281,21937,9186,5053,-3109,-12,790,3548,23,1436
2016-08-19,175000,177500,169000,169500,171388,29050266000,-2.8653,32584,5897,-38433,-18587,-6353,1148,-5115,265,-9791,381,-429,0
2016-08-22,169500,171500,165000,165500,124351,20580090500,-2.3599,28393,11601,-28110,-13101,-3951,320,-8164,0,-3214,-11887,3,0
2016-08-23,165500,168000,160000,162000,167104,27070848000,-2.1148,29038,23691,-12814,-1732,-5925,342,-6025,27,499,-40072,157,0
2016-08-24,161000,166000,159000,160500,148842,23889141000,-0.9259,28383,23450,-53261,-30321,-10412,359,-15245,19,1639,1417,11,700
2016-08-25,160500,162500,159500,162000,80408,13026096000,0.9346,-7846,5743,-1228,-5968,-4173,1013,67,0,7833,3331,0,0
2016-08-26,162000,164000,161000,161000,82001,13202161000,-0.6173,-18942,-6157,27852,-672,11343,7301,1124,0,8756,-2723,-30,0
2016-08-29,161000,162500,158000,158500,81740,12955790000,-1.5528,-4011,6654,-1593,4211,4032,-6037,-4315,10,551,-1073,23,-45
2016-08-30,159500,163000,159000,161500,73483,11867504500,1.8927,-16697,-7665,23843,10583,2157,406,3863,0,6834,419,100,0
2016-08-31,161500,163000,158500,160000,86692,13870720000,-0.9288,15310,-12709,-2589,5040,-161,-19,-461,0,-6548,-23,11,-440
2016-09-01,158500,159000,155000,156000,98031,15292836000,-2.5,41719,-18473,-18435,1269,-1365,339,-30,-3242,-15406,-4868,57,0
