date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,11108,13478,10689,10782,4734142,51043519044,-1.6958,531929,-577368,48492,-306959,-80674,395292,-183959,0,224792,-987,-2066,0
2016-05-27,11015,11619,10922,11247,2354307,26478890829,4.3127,24466,-172812,143270,72245,117397,-8565,-10579,-244,-36268,5084,-8,9284
2016-05-30,11154,11433,10968,11247,1576272,17728331184,0.0,14931,-359898,347235,328236,-17693,162858,11455,0,-137621,-2268,0,0
2016-05-31,11201,11758,11108,11479,1943289,22307014431,2.0628,-44727,-75377,123855,300771,-30608,-105575,-9259,0,-31474,-4911,1160,0
2016-06-01,11479,11805,11293,11526,1589332,18318640632,0.4094,81404,-49660,-31493,386713,-113433,-87405,-55762,0,-161606,159,-410,0
2016-06-02,11433,11433,10503,10596,2863696,30343722816,-8.0687,422855,-326809,-96133,-69421,-59287,-139683,60788,0,121470,-156,243,-10000
2016-06-03,10689,10829,10550,10689,1705898,18234343722,0.8777,40683,-93716,52940,-77480,41202,-12938,55380,0,46776,4,89,0
2016-06-07,10782,11015,10689,10968,1613886,17701101648,2.6102,44445,-94906,49129,128826,-11629,-48132,-18507,0,-68,1337,-5,-1361
2016-06-08,10922,11619,10875,11386,2399872,27324942592,3.8111,-241043,277406,-35794,51396,-38384,-109195,13379,0,47010,-1252,683,0
2016-06-09,11433,11805,11108,11293,4333231,48935177683,-0.8168,-3542,-1069158,1073600,230236,412112,43810,223131,0,164311,-267,-633,0
2016-06-10,11386,11433,10922,11108,1583649,17591173092,-1.6382,43703,-50487,7898,119087,-38223,-50383,-17227,0,-5356,-1120,6,0
2016-06-13,11015,11386,10875,11015,1178782,12984283730,-0.8372,-32898,-77793,110559,148989,-19131,-14399,-26403,0,21503,-13,145,0
2016-06-14,11015,11201,10643,11015,1210206,13330419090,0.0,62703,-41875,-20645,255522,25005,-79086,-538,0,-221548,-131,-52,0
2016-06-15,10875,11015,10410,10503,1951778,20499524334,-4.6482,219457,-126352,-90219,116552,-6032,-84557,-93998,0,27816,-1907,-979,-50000
2016-06-16,10550,10643,10225,10271,1755505,18030791855,-2.2089,-114716,283408,-168767,100631,31399,-117807,-20990,0,-162000,742,-667,0
2016-06-17,10317,10457,9992,10364,1486129,15402240956,0.9055,-92032,-117000,209298,121854,17126,11390,9281,0,49647,4,-270,0
2016-06-20,10503,10736,10364,10503,552954,5807675862,1.3412,-24086,-64827,88645,-4596,12893,70807,1568,0,7973,218,50,0
2016-06-21,10503,10689,10317,10410,499718,5202064380,-0.8855,17427,-136073,117865,129728,2570,-1698,4706,0,-17441,-20,801,0
2016-06-22,10503,10782,10410,10503,467669,4911927507,0.8934,-20329,-73119,92889,50581,-26956,-6902,28122,0,48044,356,203,0
2016-06-23,10457,10643,10317,10364,554511,5746952004,-1.3234,-6950,-111639,119270,40058,25622,9889,-15406,0,46219,-154,-527,12888
2016-06-24,10410,10550,9760,10039,946290,9499805310,-3.1359,-36762,49390,-9354,62668,-24624,-34740,-7172,0,-19512,7,-3281,14026
2016-06-27,9760,10039,9481,9574,2158936,20669653264,-4.6319,220316,-525981,304737,-85598,39711,24678,-74,0,328453,928,0,-2433
2016-06-28,9434,9853,9286,9713,2110716,20501384508,1.4518,123655,-80379,-45764,165629,32676,1967,25246,0,-271282,1488,1000,0
