date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,102000,103000,100000,100500,106270,10680135000,-1.4706,-2678,-8327,12589,1852,-744,2084,-1803,-156,11356,-1337,-247,0
2016-05-27,101500,103000,99100,103000,135699,13976997000,2.4876,-5742,20492,-14686,-16566,500,1128,1153,0,-901,2,-66,0
2016-05-30,103000,103500,100500,100500,80723,8112661500,-2.4272,7106,1675,-8757,-13277,481,465,-1118,-4,4696,-24,0,0
2016-05-31,100500,104000,100000,103000,199504,20548912000,2.4876,-11466,19280,-7812,-6515,3219,202,3694,0,-8412,-2,0,0
2016-06-01,101500,109000,101500,109000,221538,24147642000,5.8252,-36517,72537,-36064,-22925,-3474,36,6025,0,-15726,-7,51,0
2016-06-02,108500,108500,105000,108000,129625,13999500000,-0.9174,4544,16359,-20891,-3497,-14996,103,5388,0,-7889,0,-12,0
2016-06-03,108500,109500,103500,105500,193954,20462147000,-2.3148,13490,-40464,26986,4238,-2152,-2368,3849,0,23419,18,-30,0
2016-06-07,107000,112500,107000,111000,224190,24885090000,5.2133,-20932,39581,-18626,-7730,-22137,5094,-2500,-5000,13647,-23,0,0
2016-06-08,112000,113000,109000,113000,166144,18774272000,1.8018,-7616,26358,-18471,-19795,-1590,551,-607,-10000,12970,0,-271,0
2016-06-09,113000,113500,108500,109000,167053,18208777000,-3.5398,7503,21782,-29261,-13276,-25584,2094,-10720,-10000,28225,-14,-10,0
2016-06-10,110000,111500,108000,108500,135983,14754155500,-0.4587,2597,6046,-8642,-4630,-13436,-13126,-5365,-12000,39915,0,-1,0
2016-06-13,108500,110000,106500,108000,120332,12995856000,-0.4608,-4605,9020,-4319,3104,-14020,-419,-687,-12,7715,-46,-50,0
2016-06-14,109500,109500,105000,106500,132739,14136703500,-1.3889,12899,9680,-22579,2730,-16614,-467,-2483,0,-5745,-2,2,0
2016-06-15,105500,107000,102500,102500,157668,16160970000,-3.7559,12176,13231,-25437,-6394,3739,-805,-422,-4200,-17355,-2,32,0
2016-06-16,103000,104500,101000,102000,181935,18557370000,-0.4878,-1868,23222,-21210,-11585,6684,-2162,-3604,-92,-10451,-49,-95,0
2016-06-17,103000,104500,101500,103000,296603,30550109000,0.9804,296,-24048,23315,5306,7934,-363,-1402,-22,11862,462,-25,0
2016-06-20,104500,106500,103500,105500,128846,13593253000,2.4272,-6301,-23132,28973,11826,13446,3306,-581,0,976,360,100,0
2016-06-21,104000,107000,103000,106500,150494,16027611000,0.9479,-211,-20945,21144,25936,27,186,-555,-42,-4408,12,0,0
2016-06-22,108000,108000,103500,104500,81761,8544024500,-1.8779,5114,-19005,13891,11077,-1434,-9,-2980,0,7803,0,0,-566
2016-06-23,103000,106500,103000,104000,73833,7678632000,-0.4785,2222,-11406,9226,889,1681,-210,490,0,6376,-52,10,0
2016-06-24,103000,104500,99000,102000,127660,13021320000,-1.9231,-4652,1974,2612,7535,5640,581,599,0,-11743,0,66,0
2016-06-27,104000,104000,100500,102000,86634,8836668000,0.0,-6763,-25044,32081,6294,4796,1446,128,0,19128,-274,0,289
2016-06-28,101500,106000,101000,104500,144632,15114044000,2.451,-6414,-18844,24939,16264,1985,3098,975,0,2617,319,0,0
