date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,5960,6100,5960,6060,621204,3764496240,1.0,-156457,133777,23080,0,0,0,0,0,23080,0,-400,0
2016-05-27,6030,6140,5970,5970,527319,3148094430,-1.4851,24276,-23062,-10122,0,0,0,0,0,-10122,0,8908,0
2016-05-30,5980,6020,5890,5980,323402,1933943960,0.1675,-90197,80265,-68,0,0,0,0,0,-68,10000,0,0
2016-05-31,6000,6150,5990,6030,693428,4181370840,0.8361,-52209,75693,-23364,0,-39,-30,0,0,-23295,-70,-50,0
2016-06-01,6070,6090,6010,6090,402936,2453880240,0.995,-126411,55126,70721,0,-4399,-2199,0,-1684,79003,514,50,0
2016-06-02,6090,6930,6090,6630,6997072,46390587360,8.867,-391690,501192,-122363,-18402,5072,0,-16945,62000,-154088,17629,-4768,0
2016-06-03,6560,6690,6510,6630,1679769,11136868470,0.0,-165283,115320,55561,0,0,0,-1643,30000,27204,-10498,4900,0
2016-06-07,6730,6960,6480,6530,2619084,17102618520,-1.5083,177029,-64764,-105741,-9780,-9,-154200,-1701,58000,1949,-4480,-2044,0
2016-06-08,6700,6720,6310,6400,1802926,11538726400,-1.9908,180270,-96628,-73699,0,612,-7000,-1867,0,-65444,-10252,309,0
2016-06-09,6360,6460,6230,6230,1380123,8598166290,-2.6562,185213,91500,-269610,0,-6858,-60000,-10000,0,-192752,1010,-8113,0
2016-06-10,6290,6360,6210,6320,745326,4710460320,1.4446,428,49150,-52786,0,-9438,-4800,-1498,0,-37050,1450,1758,0
2016-06-13,6270,6270,5990,6010,1348117,8102183170,-4.9051,115083,-10070,-104700,0,916,0,-1031,0,-104585,-18,-295,0
2016-06-14,5960,6260,5960,6230,1123266,6997947180,3.6606,-75147,109311,-26762,0,-15000,0,-2307,0,-9455,1000,-8402,0
2016-06-15,6240,6260,6020,6040,777650,4697006000,-3.0498,132321,-32430,-99443,0,0,0,-1687,0,-97756,-115,-333,0
2016-06-16,6070,6380,6070,6160,1846456,11374168960,1.9868,-287857,338502,-56162,0,-2700,-2750,-1551,0,-49161,5487,30,0
2016-06-17,6260,6350,6150,6230,605659,3773255570,1.1364,-94643,93655,-2619,0,0,0,0,0,-2619,3607,0,0
2016-06-20,6270,6480,6180,6330,926313,5863561290,1.6051,-46037,-45803,97450,0,-4538,0,-1538,0,103526,-4610,-1000,0
2016-06-21,6360,6400,6290,6340,530321,3362235140,0.158,-17034,29235,-12677,0,-2500,0,-1613,0,-8564,-124,600,0
2016-06-22,6320,6390,6250,6350,448890,2850451500,0.1577,-70503,91073,-20570,0,-5021,0,-1691,0,-13858,0,0,0
2016-06-23,6350,6520,6220,6260,1213628,7597311280,-1.4173,129615,-130770,-1256,0,-1059,-342,0,0,145,161,2250,0
2016-06-24,6370,6390,5960,6000,1717133,10302798000,-4.1534,-124689,129755,-6076,0,-1848,0,0,0,-4228,0,1010,0
2016-06-27,5710,6030,5710,5980,902595,5397518100,-0.3333,-115170,72365,41324,0,-3602,0,-1587,0,46513,635,846,0
2016-06-28,5920,6320,5920,6310,1309376,8262162560,5.5184,-142985,184400,-51932,0,9417,-35800,-3678,0,-21871,-161,10678,0
2016-06-29,6370,6370,6240,6320,732872,4631751040,0.1585,32481,-48351,14841,0,-385,-5000,0,0,20226,999,30,0
2016-06-30,6320,6480,6320,6340,636477,4035264180,0.3165,-86740,28490,60316,0,39,0,0,0,60277,234,-2300,0
2016-07-01,6400,6450,6330,6340,371663,2356343420,0.0,22281,-22932,680,0,-5050,0,3500,0,2230,-79,50,0
2016-07-04,6390,6420,6320,6340,290141,1839493940,0.0,-2065,31531,-29622,0,-7259,0,1370,0,-23733,156,0,0
2016-07-05,6390,6390,6190,6220,590170,3670857400,-1.8927,-3605,32633,-20038,0,-27,0,0,0,-20011,-790,-8200,0
2016-07-06,6220,6390,6140,6370,781830,4980257100,2.4116,-155082,168223,-12718,0,-688,0,-1552,0,-10478,-150,-273,0
2016-07-07,6440,6440,6290,6360,589531,3749417160,-0.157,135459,-69341,-67683,-7598,-24,0,0,0,-60061,565,1000,0
2016-07-08,6490,6650,6130,6170,2069615,12769524550,-2.9874,325860,-341650,12795,-7598,0,0,0,0,20393,968,2027,0
2016-07-11,6230,6270,6130,6170,493909,3047418530,0.0,-11220,38158,-32449,-7598,-19,-8100,-2323,0,-14409,11,5500,0
2016-07-12,6220,6220,6080,6120,572812,3505609440,-0.8104,32231,54482,-86549,-7598,-23771,0,-1578,0,-53602,-2,-162,0
2016-07-13,6140,6400,6000,6040,1819875,10992045000,-1.3072,241448,-110866,-128874,-7598,0,0,-2271,0,-119005,-809,-899,0
2016-07-14,6100,6100,6000,6000,747828,4486968000,-0.6623,155297,148088,-303449,-7598,1866,0,-1546,0,-296171,14,50,0
2016-07-15,6090,6090,5850,6020,872804,5254280080,0.3333,62180,-33914,-19666,-7593,28,-181,-1263,0,-10657,200,-8800,0
2016-07-18,6090,6180,6050,6120,534501,3271146120,1.6611,42622,736,-45482,0,-18,8600,-3793,0,-50271,2124,0,0
2016-07-19,6120,6120,5980,5980,610492,3650742160,-2.2876,211534,-117518,-96005,0,0,-5000,0,0,-91005,-1161,3150,0
2016-07-20,6000,6000,5700,5710,1718584,9813114640,-4.5151,335042,-183596,-157183,0,-16976,-86624,-1298,-68000,15715,-6605,12342,0
2016-07-21,5710,6010,5620,5790,1670389,9671552310,1.4011,211958,-21182,-189314,0,21,-151920,-1509,-40000,4094,1501,-2963,0
2016-07-22,5890,5980,5840,5940,786903,4674203820,2.5907,66,-7429,16630,0,0,-11018,-2339,0,29987,-177,-9090,0
2016-07-25,6000,6000,5860,5900,609489,3595985100,-0.6734,65471,-84226,16725,0,-18,0,0,0,16743,1030,1000,0
2016-07-26,5970,6090,5950,6080,931994,5666523520,3.0508,-52552,62710,-8158,0,10568,0,-1535,0,-17191,0,-2000,0
