date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,212247,212247,208121,209497,34741,7278135277,-1.5087,7590,670,-7639,-4490,-1703,129,-857,87,-805,-400,-221,0
2016-05-27,208580,212705,207663,212706,47140,10026960840,1.5318,6990,11587,-17051,-8999,-6399,-289,-705,6,-665,-4,-1522,0
2016-05-30,210413,210872,203537,204913,94561,19376778193,-3.6637,37846,-5323,-32842,-14859,-12158,-6634,-3684,1,3492,264,55,1000
2016-05-31,205371,211789,203995,209497,78787,16505640139,2.237,-3519,11970,-8738,-2622,-232,-2224,-236,65,-3489,39,248,0
2016-06-01,207204,209955,206288,206746,37050,7659939300,-1.3131,11707,-3177,-8600,-5409,-91,-539,1780,42,-4383,106,-36,0
2016-06-02,205829,210413,205829,208580,31261,6520419380,0.8871,-350,1059,233,3384,-703,-466,666,48,-2696,64,-1006,0
2016-06-03,208580,209038,203995,204913,45999,9425793087,-1.7581,18981,-15693,-4228,-33,-1526,-3249,-2482,-39,3061,817,123,40
2016-06-07,203079,205829,201703,205371,65402,13431674142,0.2235,-2964,17347,-14504,722,-3858,-3214,-2699,87,-5542,121,0,0
2016-06-08,205371,209955,204454,209955,46007,9659399685,2.2321,-13212,15565,-2176,-781,-208,-542,-2727,21,2061,-127,-50,0
2016-06-09,208121,212247,207663,207663,63424,13170818112,-1.0917,-134,7098,-6428,5131,-6178,1526,-2977,0,-3534,-400,-136,-396
2016-06-10,209496,209955,203995,204454,76891,15720672514,-1.5453,11051,5837,-17614,-9807,1101,-2336,-13230,86,6572,542,184,0
2016-06-13,193910,195744,187951,193452,209726,40571914152,-5.3812,43213,-41014,-3574,13573,-4731,-2073,-3695,160,-8261,1395,-20,1453
2016-06-14,190243,195286,188868,190702,90444,17247851688,-1.4215,16490,-11772,-5382,-537,-4250,-664,-4206,69,4206,555,109,0
2016-06-15,191618,196661,190701,192994,78169,15086147986,1.2019,11157,-20140,8919,4449,-448,2392,4222,595,-2291,56,8,0
2016-06-16,192535,193452,189784,190702,59563,11358783226,-1.1876,15057,-24066,8208,236,5198,3001,476,322,-1925,1072,-271,900
2016-06-17,191160,192993,189784,191160,66463,12705067080,0.2402,-1708,-8239,9687,2226,1155,-1463,1064,1573,5132,160,100,0
2016-06-20,192535,195744,190243,193911,51145,9917578095,1.4391,1926,-14003,11947,3288,3784,481,-118,151,3161,121,9,1200
2016-06-21,193910,194369,190243,191160,61199,11698800840,-1.4187,24735,-28349,3566,-6594,513,7024,2031,100,392,48,0,100
2016-06-22,190701,192535,190701,191619,64718,12401198442,0.2401,18568,-31069,12400,-2398,1328,4528,4970,506,3366,101,0,100
2016-06-23,191160,192535,190243,192077,40903,7856525531,0.239,4179,-15855,11461,3930,864,2,1077,-236,5829,0,215,-5
2016-06-24,193452,193452,184283,186118,114851,21375838418,-3.1024,35423,-27401,-8130,-8311,1967,165,1399,110,-2060,43,65,-1400
2016-06-27,182450,187034,182450,184284,88006,16218097704,-0.9854,14595,-19500,4171,-4439,2130,2356,-1300,186,3638,720,14,1600
2016-06-28,183367,183825,181533,181992,87269,15882259848,-1.2437,47276,-34280,-8111,-7581,-545,-1576,-83,-218,892,-4943,58,1000
2016-06-29,183367,188868,182908,185659,63887,11861196533,2.0149,2074,6458,-7683,-4361,-980,-36,-151,57,-2212,-849,0,0
2016-06-30,186117,187951,183367,185659,43387,8055187033,0.0,8780,8732,-14797,-8474,-963,-1787,41,55,-3669,-2717,2,0
