date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,11550,11600,11400,11450,455955,5220684750,-0.8658,17663,-26909,13690,-52823,2489,3428,10156,0,50440,-4892,448,0
2016-05-27,11350,11550,11350,11450,1107818,12684516100,0.0,175653,238877,-414479,-263539,-6002,4862,-22675,0,-127125,-402,351,0
2016-05-30,11450,11450,11100,11200,2292678,25677993600,-2.1834,1081358,-389628,-704449,-391327,-113491,-40072,-127495,-7066,-19339,12155,564,-5659
2016-05-31,11150,11500,11100,11400,4747845,54125433000,1.7857,-354088,-215461,555487,-396195,695153,156624,48183,-12512,64234,15702,-1640,0
2016-06-01,11350,11650,11300,11500,2012623,23145164500,0.8772,-428831,519483,-86992,-225728,243432,-96520,-21166,15837,-58,-3002,-658,-2789
2016-06-02,11500,11600,11350,11500,871069,10017293500,0.0,-13348,246723,-233478,-52500,29053,-10659,-81513,0,-117859,-401,504,0
2016-06-03,11450,11550,11350,11400,1164825,13279005000,-0.8696,257506,-217589,-44787,-6196,-61796,6020,-225698,86800,158564,99,4771,-2481
2016-06-07,11400,11600,11350,11550,1070570,12365083500,1.3158,-163904,-12786,174201,65251,14466,73892,-13458,34,47783,2459,30,-13767
2016-06-08,11500,11800,11500,11750,1327834,15602049500,1.7316,-607573,34502,573987,32940,145920,64948,-3354,5248,328285,-2934,2018,0
2016-06-09,11750,12250,11600,12050,3168446,38179774300,2.5532,-1139711,141323,1052254,106341,710086,193147,-62640,-22153,126648,-54014,148,825
2016-06-10,11950,12100,11900,11950,1094984,13085058800,-0.8299,-145247,-197740,353868,-182389,226437,37274,41073,0,231473,-10960,79,0
2016-06-13,11850,11900,11600,11700,1330703,15569225100,-2.0921,-171243,-64625,237577,-166161,409352,23539,-20750,-262,-7278,-1864,155,-863
2016-06-14,11600,11750,11550,11600,739639,8579812400,-0.8547,25537,-74463,46532,-38934,138775,37250,-20050,-24,-70485,2184,210,0
2016-06-15,11500,11600,11250,11350,1805985,20497929750,-2.1552,677769,-373506,-323831,-54392,106316,-263385,-97490,33,-14997,18589,979,84
2016-06-16,11350,11450,11250,11300,1029575,11634197500,-0.4405,154189,-95136,-60559,-180882,128103,28300,-7419,-1237,-27424,1756,-250,0
2016-06-17,11400,11450,11300,11450,895752,10256360400,1.3274,-133864,91438,43409,-142267,134243,-2544,17245,26799,9933,-641,-342,0
2016-06-20,11550,11800,11500,11700,1570768,18377985600,2.1834,-383537,6669,375125,-42711,290214,30584,85596,49163,-45391,-5254,6997,7670
2016-06-21,11750,11750,11500,11500,844513,9711899500,-1.7094,280577,-355897,69216,-75415,65541,31490,-17293,-550,65443,6105,-1,0
2016-06-22,11550,11700,11450,11600,696626,8080861600,0.8696,-90734,114321,-28352,-33106,-63654,1954,-25274,8791,82937,4799,-34,0
2016-06-23,11550,11700,11550,11650,657373,7658395450,0.431,-56398,89111,-35469,-67639,59488,2358,-125462,68,95811,-92,2848,-93
2016-06-24,11700,11750,11100,11250,2886515,32473293750,-3.4335,330566,-202043,-121319,-27498,213686,-117854,-78730,-13739,-48167,2708,-9912,-49017
2016-06-27,10950,11200,10900,11100,1842879,20455956900,-1.3333,-70181,-231098,249646,-163693,177933,71699,-30865,282,194161,50846,787,129
2016-06-28,11000,11200,10950,11150,986927,11004236050,0.4505,138525,-117403,-53656,-153723,103460,-79246,-43796,100070,19579,32533,1,0
2016-06-29,11250,11250,11100,11200,1005244,11258732800,0.4484,368044,-40058,-329236,-346086,-3248,91672,-4423,-530,-66621,1259,-9,0
2016-06-30,11300,11350,11150,11150,710253,7919320950,-0.4464,189614,-66255,-124859,12234,-5165,-6554,-4600,0,-120774,1500,0,0
2016-07-01,11200,11350,11200,11250,1077481,12121661250,0.8969,-107063,-107561,177952,-111552,65411,-6977,342726,148,-111804,11766,24906,0
2016-07-04,11250,11350,11200,11300,678686,7669151800,0.4444,-11874,-45965,31321,10228,-55776,-4378,90759,-3540,4528,918,25600,-10500
2016-07-05,11250,11300,11200,11250,387688,4361490000,-0.4425,135940,-110831,-23762,-8861,-44931,-23280,-18602,29969,41943,-1347,0,0
2016-07-06,11250,11350,11100,11150,1026292,11443155800,-0.8889,22584,-118830,62386,3979,-74177,-11377,67348,-1836,63449,18733,15127,15000
2016-07-07,11200,11250,11100,11150,709554,7911527100,0.0,324016,-230648,-113374,-59144,-10577,59,-959,0,-42753,20006,0,0
2016-07-08,11200,11200,10950,11050,1538877,17004590850,-0.8969,892212,-2593,-892237,-57739,-656375,-78005,20722,-85093,-35747,2618,0,0
2016-07-11,11150,11200,11050,11100,1041116,11556387600,0.4525,140501,161702,-349529,-104212,-248927,-5631,29633,-97269,82422,46318,1008,-5545
2016-07-12,11100,11250,11050,11200,1034819,11589972800,0.9009,-96714,337922,-164252,-160072,-10367,83151,-54204,17641,-43497,-77183,227,3096
2016-07-13,11250,11300,11150,11250,1175371,13222923750,0.4464,-15101,258131,-242875,-57272,-126453,57503,-11637,3479,-108495,-155,0,0
2016-07-14,11200,11250,11050,11050,2052729,22682655450,-1.7778,1247392,-933074,-345906,-21535,-297201,-48027,-96224,19933,97148,30792,796,0
2016-07-15,11150,11400,11100,11350,2315131,26276736850,2.7149,-800239,470279,329032,165997,186519,8845,53767,943,-68779,-1533,2461,-18260
2016-07-18,11300,11450,11300,11350,828951,9408593850,0.0,-3654,-90374,94294,96067,940,-703,-6741,-19824,24619,-287,21,-64
2016-07-19,11400,11400,11250,11350,1047038,11883881300,0.0,16780,-131908,20780,91140,-21823,-3325,-10473,-35031,292,94248,100,0
2016-07-20,11350,11350,11100,11300,1346847,15219371100,-0.4405,-52682,-163797,203049,6206,234573,-4985,-36425,-958,5952,13900,-470,-1314
2016-07-21,11300,11400,11250,11350,995445,11298300750,0.4425,-135862,-102145,234508,101082,7117,2846,-47013,-30244,200720,2999,500,0
2016-07-22,11300,11500,11300,11450,1154876,13223330200,0.8811,-161923,-129675,293075,201803,57750,-17378,44246,-5001,11655,-6509,5032,0
2016-07-25,11450,11800,11400,11750,2737684,32167787000,2.6201,-606248,-578194,1188969,417583,257133,199223,193134,0,121896,-6287,1760,0
2016-07-26,11700,11900,11700,11800,1603327,18919258600,0.4255,-323117,-434505,779877,134074,169882,56674,281750,-55,143908,-19552,-2703,-6356
2016-07-27,11850,11950,11750,11850,1909820,22631367000,0.4237,-276792,-358687,715173,162016,262843,219965,-8650,0,70052,-79473,-221,8947
2016-07-28,11800,11850,11600,11700,1480578,17322762600,-1.2658,181308,-423562,242693,258211,184952,-167908,-5019,500,-21256,-720,281,-6787
2016-07-29,11650,11950,11600,11850,1818140,21544959000,1.2821,-235520,-369353,604770,378839,-75654,2902,364885,-156,-66046,159,-56,0
2016-08-01,11800,11900,11700,11800,1322239,15602420200,-0.4219,-90913,-110204,197545,46328,-109258,-3243,284229,-79500,58989,1760,1812,0
2016-08-02,11750,11800,11550,11600,1024321,11882123600,-1.6949,100971,-246661,136810,-105984,182382,18186,12961,2447,26818,8530,350,0
2016-08-03,11550,11650,11450,11500,936835,10773602500,-0.8621,166742,-61891,-66129,1837,43594,-21300,-48043,0,-42217,7218,-45940,0
2016-08-04,11550,11600,11400,11450,1053343,12060777350,-0.4348,476423,-182790,-303221,10950,-144115,-5543,-196076,8550,23013,7588,2000,0
2016-08-05,11400,11550,11400,11500,903082,10385443000,0.4367,41484,232312,-276338,-60310,-112452,-50075,-59260,50000,-44241,3114,-572,0
2016-08-08,11600,11750,11550,11700,1279739,14972946300,1.7391,-135978,-55076,167918,82206,275740,-13568,-49852,-50581,-79298,23068,68,3271
2016-08-09,11700,11850,11600,11750,1154024,13559782000,0.4274,-188776,-241590,431489,28586,81926,-19381,130746,0,220305,-1221,98,-10693
2016-08-10,11750,11850,11600,11700,1019159,11924160300,-0.4255,95401,-26736,-76608,-58606,10912,-104910,-5822,-1145,98803,3923,4020,-15840
2016-08-11,11600,11700,11550,11550,1031735,11916539250,-1.2821,195619,-174062,-24668,98163,-56836,21990,-24733,-190,-63062,3111,0,0
2016-08-12,11600,11900,11600,11850,1954999,23166738150,2.5974,-500803,16965,550962,462041,72528,-55841,117825,-4588,-26003,-66727,-397,-15000
2016-08-16,11850,12000,11700,11700,744843,8714663100,-1.2658,170095,-59737,-130417,-93222,-68983,-52788,-8324,0,92900,20057,2,0
2016-08-17,11700,11750,11600,11750,680522,7996133500,0.4274,-21855,-11371,32800,-8177,30191,-2621,-18614,0,32021,290,136,0
2016-08-18,11700,11750,11600,11600,953369,11059080400,-1.2766,304003,40151,-345593,-45062,-177083,1849,-46010,435,-77231,1635,-196,-2491
2016-08-19,11550,11600,11450,11550,901176,10408582800,-0.431,350886,-164114,-203746,-20142,-8206,8541,-88000,0,-95939,19915,-2941,0
2016-08-22,11500,11550,11400,11450,1006732,11527081400,-0.8658,365711,-334413,-23315,90260,30469,2126,-120736,-3160,-15332,-9168,1185,-6942
2016-08-23,11450,11650,11400,11650,1080130,12583514500,1.7467,-253731,-115005,393747,252799,175858,22419,34609,0,-91938,-25011,0,0
2016-08-24,11650,11650,11400,11500,1030321,11848691500,-1.2876,333101,-379915,46841,63512,20512,-17355,-14361,-41569,41917,-36,9,-5815
2016-08-25,11500,11600,11400,11550,1399760,16167228000,0.4348,513055,-139641,-374075,89869,-687602,5434,-1429,-74,219727,530,131,0
2016-08-26,11500,11550,11300,11450,1830845,20963175250,-0.8658,541256,-121882,-422869,48736,-498920,-14863,-146297,52,103423,2989,506,85000
2016-08-29,11450,11800,11350,11600,2886359,33481764400,1.31,-566241,425412,167188,279423,-183494,55885,-63885,0,79259,-26270,-89,0
2016-08-30,11700,11800,11600,11650,1742561,20300835650,0.431,1197,-72817,69973,142380,-201654,53979,-38537,963,112842,1750,-103,0
