date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,32550,32700,32450,32550,36059,1173720450,0.0,-6616,1313,5303,1800,-2,0,67,0,3438,0,0,0
2016-05-27,32800,32800,32550,32700,57647,1885056900,0.4608,-23104,19251,3995,0,-893,0,-4,0,4892,0,-142,0
2016-05-30,32750,32750,32400,32600,51160,1667816000,-0.3058,-8950,-795,9244,2553,818,0,0,1000,4913,501,0,-40
2016-05-31,32450,33350,32450,33300,177389,5907053700,2.1472,-46207,32172,12958,6819,2469,163,761,0,2746,20,1057,0
2016-06-01,33500,34050,33350,33800,145154,4906205200,1.5015,-39008,387,37848,1902,1046,0,30057,0,4843,719,54,0
2016-06-02,33950,34250,33400,34000,124556,4234904000,0.5917,-19652,18775,857,-12771,2821,10000,-483,0,1290,0,20,0
2016-06-03,34150,34250,33300,33600,133197,4475419200,-1.1765,16225,-9043,-6049,-20520,-152,0,15249,0,-626,-1299,166,0
2016-06-07,33700,34950,33650,33700,220321,7424817700,0.2976,45249,-18988,-23104,-18369,-2452,0,-692,0,-728,-3158,1,-863
2016-06-08,33700,34150,33500,34000,93738,3187092000,0.8902,-3268,11196,-7401,-16191,-389,-77,-29,0,9285,-488,-39,0
2016-06-09,33700,34200,33050,34200,119999,4103965800,0.5882,14806,-8714,-4325,-22451,-6671,0,55,0,24742,-1770,3,0
2016-06-10,33800,33800,33350,33450,73337,2453122650,-2.193,13293,234,-13297,-1344,-16754,10410,0,894,-6503,-230,0,0
2016-06-13,33450,33850,32950,33450,90502,3027291900,0.0,-8566,-4800,-2542,-1374,-2258,10580,-241,0,-9249,100,15808,0
2016-06-14,33200,33550,33100,33550,53445,1793079750,0.299,13025,-3421,-9614,-3360,-9301,-817,0,0,3864,0,10,0
2016-06-15,33300,33450,33050,33150,59436,1970303400,-1.1923,30944,-33319,1382,-1486,-256,1048,-964,600,2440,1000,-7,0
2016-06-16,33400,33450,33000,33350,64127,2138635450,0.6033,10397,-15617,5220,1055,-3287,5500,0,0,1952,0,0,0
2016-06-17,33300,33550,32900,32900,79652,2620550800,-1.3493,32685,-38923,6157,0,-1305,6021,248,0,1193,80,1,0
2016-06-20,33300,33300,32750,33000,38777,1279641000,0.304,-3859,1895,1941,305,653,0,384,0,599,15,8,0
2016-06-21,33000,33150,32850,33150,44816,1485650400,0.4545,12850,137,-12081,-1554,-7402,-3,0,0,-3122,151,-1057,0
2016-06-22,32900,33450,32900,33400,63732,2128648800,0.7541,9672,-17107,16982,0,597,0,16137,0,248,-9547,0,0
2016-06-23,33450,33500,33150,33150,42425,1406388750,-0.7485,12760,-14676,1887,0,22,-74,-6,0,1986,30,-1,-41
2016-06-24,33500,33500,31650,32950,186877,6157597150,-0.6033,1125,-36328,36893,1771,-305,17196,84,-382,18529,-1698,8,0
2016-06-27,32300,33650,31800,33550,170264,5712357200,1.8209,9755,-35096,24341,0,830,0,15430,0,8081,1000,0,0
2016-06-28,33250,33450,32850,33000,67478,2226774000,-1.6393,-479,-9740,10359,0,-4479,21799,0,0,-6961,-31,-109,0
2016-06-29,33400,33450,33000,33250,91985,3058501250,0.7576,7617,36313,-37416,0,-20349,0,-1,0,-17066,-6518,4,0
2016-06-30,33500,33500,32900,33350,63335,2112222250,0.3008,-9445,20099,-8210,0,29,0,328,0,-8567,-2444,0,0
2016-07-01,33100,33400,33050,33250,42262,1405211500,-0.2999,-8620,8662,-242,0,349,0,0,0,-591,200,0,0
2016-07-04,33600,33600,33100,33150,41257,1367669550,-0.3008,6719,-11735,4927,0,-50,340,0,0,4637,30,59,0
2016-07-05,33300,33300,33100,33200,38113,1265351600,0.1508,-2134,5921,-5287,0,312,0,-1,0,-5598,1500,0,0
2016-07-06,33200,33200,32450,32650,76210,2488256500,-1.6566,29189,-20962,-7241,-3068,-425,0,-250,0,-3498,-1496,510,0
2016-07-07,32400,32900,32300,32600,70792,2307819200,-0.1531,9785,-9446,-3266,0,-27,0,-573,0,-2666,2985,-58,0
2016-07-08,32600,32650,32200,32350,35954,1163111900,-0.7669,17716,-13918,-3430,0,-463,0,-2219,0,-748,-400,32,0
2016-07-11,32200,32650,32200,32500,42186,1371045000,0.4637,3519,-5149,1990,0,-22,0,32,0,1980,-360,0,0
2016-07-12,32250,33000,32250,32950,68771,2266004450,1.3846,-3634,9728,-1056,0,-501,0,0,0,-555,-4535,-503,0
2016-07-13,33000,33350,32850,33300,75326,2508355800,1.0622,-10180,13803,-3294,-1383,-40,0,-560,0,-1311,-329,0,0
2016-07-14,33350,34250,33050,34250,222795,7630728750,2.8529,-32236,23330,7202,-2301,-83649,-33,33985,0,59200,4,1700,0
2016-07-15,34350,34700,33550,33750,89115,3007631250,-1.4599,-3846,18430,-14498,-1646,-153,0,-6310,0,-6389,-170,84,0
2016-07-18,34000,34050,33350,33900,36404,1234095600,0.4444,-4870,3904,13,-1566,-1404,0,0,0,2983,942,11,0
2016-07-19,33500,34050,33450,34050,70153,2388709650,0.4425,-20234,35516,-10536,134,-10462,0,-239,0,31,-4717,-29,0
2016-07-20,34050,34250,33500,33600,40893,1374004800,-1.3216,8787,-1338,-6765,134,-4703,0,-1,0,-2195,-687,3,0
2016-07-21,33600,33700,32650,32950,87642,2887803900,-1.9345,27499,-2659,-24840,-12798,-283,-11629,-1758,0,1628,0,0,0
2016-07-22,33150,33250,32750,32900,35676,1173740400,-0.1517,-3987,5242,-1576,-1566,0,0,0,0,-10,301,20,0
2016-07-25,32800,33050,32650,32900,52597,1730441300,0.0,-3286,16203,-12924,-37,-11382,-1254,-174,0,-77,6,1,0
2016-07-26,32800,33050,32500,33050,42963,1419927150,0.4559,-13851,16868,-2242,-327,-801,0,0,0,-16,-800,25,-1098
2016-07-27,32850,33100,32650,32700,34639,1132695300,-1.059,-1585,5167,-2737,0,-871,-1332,-422,0,-112,-355,-490,0
2016-07-28,32750,32800,32450,32600,72169,2352709400,-0.3058,22315,-19455,-3669,0,-466,-2758,-547,0,102,809,0,0
2016-07-29,32600,32650,32350,32600,57770,1883302000,0.0,1263,-1626,-114,0,-105,0,-9,0,0,477,0,0
2016-08-01,32600,32950,32450,32800,63184,2072435200,0.6135,-12171,25372,-15333,-4213,-4100,0,-7130,0,110,2185,-53,0
2016-08-02,32800,32800,32200,32200,65010,2093322000,-1.8293,25894,-12468,-7426,-123,-152,-3990,-3148,0,-13,-3200,-2800,0
2016-08-03,32250,32350,31700,31800,45771,1455517800,-1.2422,941,-3604,3368,0,42,0,2470,0,856,-805,100,0
2016-08-04,31850,31950,31750,31800,53897,1713924600,0.0,-13187,13068,2693,0,-10,0,2703,0,0,-2578,4,0
2016-08-05,31750,32150,31650,32000,31811,1017952000,0.6289,860,802,46,0,516,0,2556,0,-3026,-1708,0,0
2016-08-08,32000,32000,31150,31200,77694,2424052800,-2.5,27797,-1158,-26570,-1590,-15461,0,-7792,0,-1727,-69,0,0
2016-08-09,31400,31600,31200,31600,27561,870927600,1.2821,-10160,12569,-1964,0,-2013,0,53,0,-4,-447,2,0
2016-08-10,31400,32500,31350,32500,43053,1399222500,2.8481,-16020,12718,3332,6001,-3141,0,476,0,-4,-31,1,0
2016-08-11,32500,32600,31750,32400,34178,1107367200,-0.3077,-12429,13115,314,1307,-503,0,0,0,-490,0,-1000,0
2016-08-12,32450,32450,31800,32150,47500,1527125000,-0.7716,3252,10083,-13166,-5191,-455,0,-7514,0,-6,-169,0,0
2016-08-16,31900,32200,31750,32200,39131,1260018200,0.1555,-15132,13682,1450,0,-264,0,778,0,936,1,-1,0
2016-08-17,32150,32150,31500,31700,49645,1573746500,-1.5528,1156,1830,-2977,0,-1670,0,2922,0,-4229,-9,0,0
2016-08-18,31800,31900,31400,31850,31171,992796350,0.4732,-6757,5537,1220,0,-61,-64,1389,0,-44,0,0,0
2016-08-19,31700,31750,31300,31350,61316,1922256600,-1.5699,30779,-14085,-16726,0,-17836,0,129,0,981,32,0,0
2016-08-22,31300,31450,30900,31100,72090,2241999000,-0.7974,-5522,12805,-7893,0,-3241,5990,-7144,0,-3498,610,0,0
2016-08-23,31000,31300,30550,30550,45912,1402611600,-1.7685,6305,-2334,-3985,1821,-92,-3407,1332,0,-3639,-56,70,0
2016-08-24,30550,30950,30550,30850,39736,1225855600,0.982,-384,5802,-5225,1632,-144,-5483,48,0,-1278,-193,0,0
2016-08-25,30800,31150,30650,30750,62632,1925934000,-0.3241,1064,5274,-5841,1801,-84,-3432,39,0,-4165,-250,-247,0
2016-08-26,30700,30950,30650,30650,42101,1290395650,-0.3252,-11618,10314,1304,1740,-2034,467,-46,0,1177,0,0,0
2016-08-29,30650,30900,29850,30050,71605,2151730250,-1.9576,13284,4615,-17902,-2823,-3289,-3829,-5880,0,-2081,3,0,0
2016-08-30,30000,30350,29750,30000,62906,1887180000,-0.1664,9081,5193,-13874,0,-32,-6446,-6695,0,-701,-400,0,0
2016-08-31,30000,30850,29400,30850,165308,5099751800,2.8333,15630,-198,-15335,-2760,636,-2637,0,0,-10574,2,-99,0
2016-09-01,30100,30400,29600,29650,88970,2637960500,-3.8898,25466,-25348,-475,-8817,-3,10526,0,0,-2181,331,26,0
2016-09-02,29600,29900,29050,29350,119990,3521706500,-1.0118,-10298,16967,-9191,0,-76,-7493,-166,0,-1456,2522,0,0
2016-09-05,29450,30100,29400,29950,62422,1869538900,2.0443,-23196,32037,-8491,0,-1299,-4918,46,0,-2320,-350,0,0
2016-09-06,29750,30400,29550,30400,41356,1257222400,1.5025,-6152,11310,-5158,-6184,-1219,0,1228,0,1017,0,0,0
2016-09-07,30400,30400,29550,30350,80926,2456104100,-0.1645,3929,18610,-26758,-7300,-19230,-83,3937,0,-4082,-78,4297,0
2016-09-08,30000,30250,29650,30250,75488,2283512000,-0.3295,18336,10454,-28790,-17335,-14003,345,2617,0,-414,0,0,0
2016-09-09,30150,30150,29650,29750,66766,1986288500,-1.6529,8644,-2512,-6132,1392,-11504,0,2118,0,1862,0,0,0
2016-09-12,29750,29900,29550,29550,24792,732603600,-0.6723,3025,-4545,1520,581,45,443,121,0,330,0,0,0
2016-09-13,29500,29950,29300,29350,58669,1721935150,-0.6768,3226,-7816,4793,0,52,4204,215,0,322,-203,0,0
2016-09-19,29300,29700,29150,29400,51649,1518480600,0.1704,10081,-3157,-4924,0,3337,-5507,-130,0,-2624,-2000,0,0
