date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,9420,9440,9030,9150,2778953,25427419950,-2.3479,261449,12870,-309261,-74826,-4236,-50178,-161772,0,-18249,36310,-1368,0
2016-05-27,9100,9870,8990,9420,4187073,39442227660,2.9508,577824,-369249,-198541,-101976,114714,-860,-182958,20,-27481,6220,-16254,0
2016-05-30,9420,9520,9270,9520,1530094,14566494880,1.0616,210259,-193299,-14588,-53050,46325,11238,-4716,0,-14385,-2032,-340,0
2016-05-31,9540,9920,9410,9670,2528164,24447345880,1.5756,505867,-541328,83139,6073,76524,-15382,37936,0,-22012,-50065,2387,0
2016-06-01,9720,9750,9510,9660,1332840,12875234400,-0.1034,119461,-41155,-60915,909,20862,-4500,12606,0,-90792,-18000,609,0
2016-06-02,9800,10100,9760,9940,3070052,30516316880,2.8986,275328,-575712,256027,183332,15142,63174,16066,0,-21687,43851,506,0
2016-06-03,10000,10150,9700,9710,2283257,22170425470,-2.3139,406449,-399485,3443,455,-38619,-30364,13202,0,58769,-6371,-4036,0
2016-06-07,9720,9930,9680,9720,1980969,19255018680,0.103,9879,119306,-148098,2259,-50285,-125450,-3761,0,29139,17290,1623,0
2016-06-08,9860,9970,9590,9910,2343860,23227652600,1.9547,-251747,19206,228287,97106,17718,28189,-5697,0,90971,4255,-1,0
2016-06-09,9950,10200,9780,9870,3439081,33943729470,-0.4036,1597,297649,-255931,152427,-507505,77936,-70497,0,91708,-47721,4406,0
2016-06-10,9950,10700,9920,10700,5898879,63118005300,8.4093,-1702299,314589,1469996,459732,216609,405322,55275,0,333058,-76544,-5742,0
2016-06-13,10700,10850,10400,10450,3151118,32929183100,-2.3364,471654,-676105,210539,178152,53132,-57344,10456,0,26143,-6945,857,0
2016-06-14,10400,10650,10250,10350,2255314,23342499900,-0.9569,446971,-337630,-136216,24194,59851,-113566,894,1921,-109510,26006,869,0
