date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,118500,119500,117000,118000,382274,45108332000,0.8547,44414,15107,-43292,-31565,-23999,-7763,-3139,1189,21985,-15410,-819,0
2016-05-26,118000,119000,117000,117000,193940,22690980000,-0.8475,33733,-23173,-9153,-20166,-3671,2060,237,200,12373,-1280,-127,-186
2016-05-27,117500,122000,116500,120000,417081,50049720000,2.5641,-2259,-21518,22061,-9879,4133,19070,-265,-709,9601,1190,526,110
2016-05-30,121000,122000,118000,120500,339214,40875287000,0.4167,33782,-39203,8423,-42478,39980,2242,22148,3002,-16468,-3042,40,-3
2016-05-31,120000,122500,119000,120000,451592,54191040000,-0.4149,53946,-28516,-28974,-32292,17146,-1536,1036,0,-12747,3241,303,-581
2016-06-01,120500,120500,118500,119000,320153,38098207000,-0.8333,24135,-17410,-5538,-9638,17687,1854,14170,-67,-30138,-1191,4,594
2016-06-02,118000,118000,112000,114000,1193585,136068690000,-4.2017,335372,-39223,-259752,-150523,-44146,-1174,-28976,196,-29162,-36939,542,-5967
2016-06-03,117500,122500,115000,122000,1529522,186601684000,7.0175,-261035,16087,251250,28639,86182,41603,31261,-1158,49701,-5338,-964,15022
2016-06-07,121500,126000,121500,125500,918685,115294967500,2.8689,-147031,13319,119382,30164,17360,48804,5503,-1289,19684,14312,18,-844
2016-06-08,125500,126000,122000,124500,480316,59799342000,-0.7968,-28021,20569,-8,-14989,328,-2495,-5712,-332,25630,6649,811,-2438
2016-06-09,124500,124500,122000,123000,510246,62760258000,-1.2048,-6802,142963,-118563,-19861,-44075,-28025,-25667,1077,3658,-16886,-712,-5670
2016-06-10,123000,124500,122500,124500,234696,29219652000,1.2195,-11961,7980,1127,-14268,-15350,-1840,-8825,-307,40217,2307,547,1500
2016-06-13,123500,124000,121000,121000,258367,31262407000,-2.8112,42397,-23233,-21495,-19754,-12439,-625,-2094,-69,15486,2376,-45,-2000
2016-06-14,121000,121500,117000,118000,430019,50742242000,-2.4793,153965,-366,-143722,-56295,-15913,-2146,-28516,437,-39789,-10245,368,-1500
2016-06-15,117500,119000,115000,116000,353083,40957628000,-1.6949,100640,9980,-114818,-26281,-4193,-25511,-12216,974,-47591,4118,80,0
2016-06-16,117000,118500,115500,115500,304029,35115349500,-0.431,102823,-41779,-63557,-20869,-5690,2105,4467,-1454,-42116,2181,332,0
2016-06-17,116000,121000,116000,119500,527503,63036608500,3.4632,-73332,-63563,119181,34785,10444,2053,11043,4879,45024,17542,172,10953
2016-06-20,120500,124000,120000,122000,394111,48081542000,2.0921,-17990,-48900,64617,23218,14550,8479,10787,263,5463,1973,300,1857
2016-06-21,122500,123000,120500,121500,234755,28522732500,-0.4098,43887,-29159,-14206,4409,-6211,-2151,-3388,30,-8895,-538,16,2000
2016-06-22,121000,122500,120500,122000,169398,20666556000,0.4115,-47922,13285,17410,-2634,-86,-179,4921,830,14558,16893,334,0
2016-06-23,121500,122500,121000,122000,210520,25683440000,0.0,-10155,-9425,25010,24281,-140,282,-5944,0,11741,-5000,-430,-5210
2016-06-24,123000,123000,114000,116000,1000423,116049068000,-4.918,169768,-39906,-124379,-23341,1503,-4514,-26485,-11281,-32436,-6588,1105,-27825
2016-06-27,113000,115500,112500,114500,503479,57648345500,-1.2931,-382,11600,-1227,-27969,8370,-1259,-8285,7090,7693,-8153,-1838,13133
2016-06-28,113500,116500,113000,116000,310607,36030412000,1.31,51179,-7458,-34325,2810,-16127,-8157,-426,-225,-12200,-9702,306,0
2016-06-29,117000,120000,116500,117500,322797,37928647500,1.2931,59100,-18155,-26509,4781,-6076,-131,-499,-761,-23823,-14507,71,0
