date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,3620,3620,3505,3510,906974,3183478740,-1.9553,299183,-103415,-140176,0,-82,0,0,-141191,1097,-56192,600,0
2016-05-27,3525,3610,3500,3550,1019856,3620488800,1.1396,285089,-137202,-99273,0,-163,0,233,-90264,-2080,-53776,5162,-6999
2016-05-30,3560,3620,3530,3570,1061835,3790750950,0.5634,201744,-164216,-33170,0,-402,0,0,-45824,13056,-4763,405,0
2016-05-31,3570,3770,3550,3710,2596443,9632803530,3.9216,67174,79083,-151693,123086,22654,-70620,0,-205584,-11229,5236,200,-10000
2016-06-01,3700,3765,3650,3745,1535106,5748971970,0.9434,58693,-259786,214670,310939,-346,-1520,50598,-147832,2831,-12982,-595,0
2016-06-02,3825,3945,3785,3810,3095003,11791961430,1.7356,109267,-197535,93065,306851,-36,-973,42039,-203000,-31564,-5797,1000,-20252
2016-06-03,3810,3810,3650,3695,1417954,5239340030,-3.0184,235001,-264797,45795,0,32526,0,2121,0,11148,-14387,-1612,0
2016-06-07,3705,3735,3655,3715,1512050,5617265750,0.5413,-280269,-41434,352927,466895,4181,-629,-3628,-120978,7086,-32915,1691,0
2016-06-08,3715,3740,3670,3670,1055888,3875108960,-1.2113,81315,-87284,67636,157404,44130,-43998,0,-90622,722,-58727,-2940,0
2016-06-09,3700,3700,3580,3580,1328013,4754286540,-2.4523,223654,801,-193721,0,-16571,-59948,-669,-97447,-19086,-30894,160,0
2016-06-10,3600,3680,3595,3640,1230105,4477582200,1.676,-209664,76363,210056,408396,8760,0,14444,-195911,7553,-76855,100,-33186
2016-06-13,3630,3750,3600,3675,1482982,5449958850,0.9615,-11942,-140245,211281,368255,22305,-659,14577,-191237,-1960,-59294,200,0
2016-06-14,3675,3725,3670,3685,1310360,4828676600,0.2721,-104862,-177851,288585,378318,-9722,43253,101,-130481,7116,-8877,3005,0
2016-06-15,3680,3715,3610,3665,1009174,3698622710,-0.5427,-166751,-109461,336488,480344,0,-10036,17,-109752,-2492,-60360,84,-21593
2016-06-16,3625,3655,3505,3560,1481594,5274474640,-2.8649,92251,-199730,112989,185436,-1534,-573,-582,-80258,10500,-8386,2876,0
2016-06-17,3570,3600,3495,3540,1329792,4707463680,-0.5618,418713,77665,-493818,0,0,-1203,-1036,-491726,147,-5000,2440,0
2016-06-20,3525,3635,3495,3520,1516215,5337076800,-0.565,633481,134496,-767537,0,0,0,-626,-770000,3089,0,-440,0
2016-06-21,3530,3625,3500,3610,1764938,6371426180,2.5568,-88539,426487,-341441,166352,142612,38684,5911,-700000,5000,3000,493,0
2016-06-22,3605,3690,3585,3680,1609797,5924052960,1.9391,96152,34652,-140596,473988,11714,0,21302,-639600,-8000,7900,1892,0
2016-06-23,3625,3665,3590,3630,1326399,4814828370,-1.3587,193442,84609,-296795,244723,-4177,0,12118,-550000,541,18500,244,0
2016-06-24,3630,3675,3350,3425,3842533,13160675525,-5.6474,163194,-28512,-60657,698255,-54190,-100532,29451,-654900,-29804,-73716,-309,51063
2016-06-27,3345,3440,3330,3360,1129140,3793910400,-1.8978,221175,-46342,-125698,-7554,-8961,-108165,639,-12500,10843,-49886,751,0
2016-06-28,3320,3445,3300,3425,857988,2938608900,1.9345,-71477,68379,14545,0,0,0,4371,-8078,18252,-13267,1820,0
2016-06-29,3465,3550,3440,3505,886484,3107126420,2.3358,146480,-19994,6305,11753,-10709,-98,438,-18681,23602,-132571,-220,0
2016-06-30,3550,3560,3485,3495,707352,2472195240,-0.2853,96652,-21481,1482,0,0,0,-427,0,1909,-77238,585,0
2016-07-01,3530,3670,3500,3645,911810,3323547450,4.2918,-289546,12367,278228,-25965,39808,228357,35694,0,334,-1000,-49,0
2016-07-04,3670,3680,3625,3660,627511,2296690260,0.4115,41465,-89824,51696,-25960,0,46782,13012,0,17862,-3337,0,0
2016-07-05,3650,3660,3595,3610,593854,2143812940,-1.3661,93801,-56865,-33248,-25970,0,-7744,-826,0,1292,-4000,312,0
2016-07-06,3595,3600,3500,3540,783281,2772814740,-1.9391,198045,-110449,-31550,-25964,0,-3438,-2375,0,227,-54972,-1074,0
2016-07-07,3575,3605,3525,3580,500282,1791009560,1.1299,80361,-32694,-48258,-25964,-76,0,-1712,-30600,10094,0,591,0
2016-07-08,3595,3635,3510,3540,712877,2523584580,-1.1173,213430,-188099,-22927,-25964,-468,0,13106,-8668,-933,-2403,-1,0
2016-07-11,3550,3565,3525,3530,561833,1983270490,-0.2825,62184,53073,-115267,-25964,0,0,496,-96055,10544,0,10,-4288
2016-07-12,3570,3570,3515,3525,793277,2796301425,-0.1416,37011,88134,-125469,-55965,-7404,-4635,-628,-48011,-4509,0,324,-4317
2016-07-13,3530,3685,3530,3620,1615949,5849735380,2.695,-266387,361008,-95407,57336,12857,0,16033,-248033,66400,1,785,0
2016-07-14,3640,3700,3590,3695,1181093,4364138635,2.0718,-37565,-164813,203467,218768,-9587,0,13256,-106957,87987,-2370,1281,0
2016-07-15,3715,3780,3685,3735,1357915,5071812525,1.0825,-167298,-102923,274223,222122,108305,-5918,-4297,-110167,62800,-4000,-2,1378
2016-07-18,3750,3900,3745,3855,2958891,11406524805,3.2129,-617075,14504,472965,222248,261046,84738,6805,-298353,196481,131311,-1705,0
2016-07-19,3865,3900,3815,3860,1410005,5442619300,0.1297,-271463,-16856,304394,244284,76435,60413,6590,-84351,1023,-9165,-6910,0
2016-07-20,3860,3870,3770,3865,1123566,4342582590,0.1295,-333430,54333,270994,169286,71621,26171,6304,0,-2388,9503,-1400,0
2016-07-21,3870,3990,3835,3910,1472191,5756266810,1.1643,-66043,62037,106765,-71634,109422,20320,57435,0,-8778,-101686,-1073,0
2016-07-22,3910,3920,3795,3815,1051778,4012533070,-2.4297,41309,-25874,-18685,-19397,15535,-24257,31412,-39092,17114,3000,250,0
2016-07-25,3800,3835,3710,3735,1042605,3894129675,-2.097,-140911,191202,-50667,0,-165,4008,-15160,-38900,-450,-400,776,0
2016-07-26,3715,3760,3680,3705,1171136,4339058880,-0.8032,188627,181665,-351772,-9012,7841,0,67703,-311766,-106538,-20556,2036,0
2016-07-27,3700,3725,3670,3675,1004649,3692085075,-0.8097,231762,186235,-444767,0,-21662,-31662,-1726,-375942,-13775,3000,23770,0
2016-07-28,3665,3725,3640,3670,865106,3174939020,-0.1361,266690,43826,-291158,0,10537,-91,-11042,-296417,5855,1000,-20358,0
