date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,38400,39000,38350,38350,49895,1913473250,-0.7762,-5249,-8425,14651,7952,1537,-176,1699,0,3639,-1022,45,0
2016-05-27,38800,38900,38350,38500,38987,1500999500,0.3911,531,4607,-5170,-3092,944,543,-1181,0,-2384,-5,37,0
2016-05-30,38300,38400,37600,37950,101925,3868053750,-1.4286,4788,-27693,22925,12927,3056,-2487,9916,0,-487,0,-20,0
2016-05-31,37850,39100,37600,38350,191372,7339116200,1.054,-21856,-4986,27026,29819,-5379,2100,9825,0,-9339,-3,-181,0
2016-06-01,38250,39200,38200,38850,144375,5608968750,1.3038,-10270,-4319,14514,6402,17913,-7901,19243,1000,-22143,-1,76,0
2016-06-02,38650,39350,38300,38700,73859,2858343300,-0.3861,-5493,-14681,20117,16904,-222,323,15794,0,-9258,0,57,-3424
2016-06-03,38700,39250,38700,39100,129664,5069862400,1.0336,-7337,8937,-1651,-46626,-282,995,7568,24500,12194,-1,52,0
2016-06-07,39100,39850,39050,39450,121520,4793964000,0.8951,-43512,43229,284,-8541,975,-2209,3350,0,6709,-1,0,0
2016-06-08,39150,40450,39150,40450,171778,6948420100,2.5349,-43797,42198,7499,-26949,2444,1732,22694,0,7578,-5900,0,0
2016-06-09,40450,41950,40150,41950,235191,9866262450,3.7083,-63282,61258,2008,-7468,-5023,-2236,-738,734,16739,16,0,0
2016-06-10,42200,42500,40800,41400,203602,8429122800,-1.3111,-816,-14524,16810,-4902,6314,-1337,3374,0,12631,-1470,0,730
2016-06-13,41400,42650,41200,42350,256635,10868492250,2.2947,-50672,71807,-18695,5484,-15040,-12780,9657,-10300,4284,-2245,-195,0
2016-06-14,42350,42400,41500,41800,102493,4284207400,-1.2987,-2980,9204,-6230,12555,-4343,-5647,182,0,-8977,10,-4,0
2016-06-15,41400,41650,40900,41400,110312,4566916800,-0.9569,-17872,14945,5347,18977,-7283,-4141,228,0,-2434,-2348,-72,0
2016-06-16,41400,41400,40650,41100,137533,5652606300,-0.7246,-2492,9054,-7221,4652,9330,755,-9311,0,-12647,292,367,0
2016-06-17,41700,41700,40750,41400,113377,4693807800,0.7299,-3484,22551,-18643,-280,-12315,-367,-8506,0,8152,1,-425,-5327
2016-06-20,42000,42000,40450,41150,121663,5006432450,-0.6039,2262,9766,-12005,-10020,8841,2117,-12774,0,-169,-23,0,0
2016-06-21,40950,41200,40400,40650,111318,4525076700,-1.2151,1399,-9835,8431,13108,-297,-752,697,0,-4325,5,0,0
2016-06-22,40500,41350,40250,41000,170579,6993739000,0.861,-7290,11025,-3899,-2141,-2178,-3490,113,0,3797,191,-27,0
2016-06-23,41350,42450,41100,41550,205894,8554895700,1.3415,-36336,18455,18899,-2011,-736,-21,6510,0,15157,-968,-50,0
2016-06-24,41550,42950,40800,41200,372992,15367270400,-0.8424,-33310,55677,-22344,-13455,7177,-7775,936,0,-9227,26,-49,0
2016-06-27,42200,42200,39750,40600,95627,3882456200,-1.4563,-3482,-10425,13867,-5345,4000,246,3315,-2016,13667,40,0,0
2016-06-28,40050,41450,39450,41400,148636,6153530400,1.9704,-7607,-28345,35761,1206,15687,1042,5234,0,12592,179,12,0
2016-06-29,41050,41450,40650,41000,107487,4406967000,-0.9662,9779,-4743,-5060,-5606,12293,-7,6956,0,-18696,24,0,0
2016-06-30,41150,42600,40800,41500,128050,5314075000,1.2195,-1639,30993,-17154,-11284,766,441,2126,0,-9203,-10,-12190,0
2016-07-01,41600,42150,41100,41550,60727,2523206850,0.1205,659,7938,-9043,-4095,-1678,-581,-951,0,-1738,445,1,0
2016-07-04,41350,41900,41150,41250,32588,1344255000,-0.722,673,5190,-5863,274,543,70,-3511,0,-3239,0,0,0
2016-07-05,41200,41850,41000,41400,61658,2552641200,0.3636,-4542,6191,-1907,3583,-4575,-1678,13,0,750,258,0,0
2016-07-06,41700,41700,39950,40450,104537,4228521650,-2.2947,11991,7506,-19427,-9006,-13161,-3214,-3596,0,9550,6,-76,0
2016-07-07,40850,40850,40100,40300,46628,1879108400,-0.3708,7742,10755,-18369,-5000,-9609,-597,-3884,0,721,-1,-127,0
2016-07-08,40650,40900,40150,40700,134241,5463608700,0.9926,-9984,51167,-41194,-1321,-8311,1064,-2058,0,-30568,11,0,0
2016-07-11,41450,43000,41300,42700,270691,11558505700,4.914,-51304,12142,40190,2081,26539,902,-4311,0,15383,-1028,0,-404
2016-07-12,42600,44400,42450,44150,255445,11277896750,3.3958,-45429,31786,20974,-1112,23309,3923,-5467,6513,-5877,-7337,6,-315
2016-07-13,44400,45100,44400,44900,174050,7814845000,1.6988,-41833,98219,-56143,-12000,-17773,-441,-2996,0,-22933,-298,55,0
2016-07-14,44850,44900,43050,43600,185138,8072016800,-2.8953,17030,20297,-37299,-3656,-26518,-3071,-12431,0,8377,2,-30,0
2016-07-15,43650,44900,43500,44500,177608,7903556000,2.0642,-26578,68943,-41715,-19467,-14483,998,-13491,0,4728,-450,-200,0
2016-07-18,44600,45100,44300,44800,152363,6825862400,0.6742,-9704,58554,-48565,-28595,-487,2149,-22331,0,699,-285,0,0
2016-07-19,44800,45200,44050,44800,110389,4945427200,0.0,-12172,41490,-28018,-6269,-12856,836,-6911,0,-2818,-1300,0,0
2016-07-20,44800,45500,43850,45400,130627,5930465800,1.3393,-20694,13228,7481,-2683,22104,1024,-7129,0,-5835,10,-25,0
2016-07-21,45000,45000,42700,42750,215884,9229041000,-5.837,52344,-72656,20206,-1973,14428,467,-14348,0,21632,101,5,0
2016-07-22,42850,43500,42600,43050,96602,4158716100,0.7018,-15346,13249,2318,-10526,1055,935,-1463,0,12317,-221,0,0
2016-07-25,43200,43600,42500,42850,124397,5330411450,-0.4646,1648,19756,-20453,-1102,-18094,4731,-9140,0,3152,-951,0,0
2016-07-26,42700,43000,42150,42650,135154,5764318100,-0.4667,385,47077,-47606,-5745,-12208,-1022,-28578,0,-53,149,-5,0
2016-07-27,42850,43600,42600,43350,108686,4711538100,1.6413,-23453,36023,-12819,-8291,-5723,0,-3219,0,4414,249,0,0
2016-07-28,43000,43600,42750,43450,92078,4000789100,0.2307,-4213,27811,-23596,-17233,-7501,-45,-1604,0,2787,-2,0,0
2016-07-29,42950,43950,42250,43150,202986,8758845900,-0.6904,-13602,16001,-2389,-30610,-3025,20,44779,0,-13553,-10,0,0
