date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,16100,16200,15650,15700,467693,7342780100,-2.1807,150364,-23436,-126896,-62865,-45806,5278,-5221,0,-18282,0,-32,0
2016-05-27,15750,15950,15500,15900,481535,7656406500,1.2739,43208,-12631,-30543,19030,-26008,1681,-14043,0,-11203,0,-34,0
2016-05-30,15900,16100,15600,16050,484020,7768521000,0.9434,-19432,103769,-83337,-35995,8090,-6872,4169,0,-52729,-1000,0,0
2016-05-31,16100,16250,15750,16250,1329326,21601547500,1.2461,-14363,48512,-35627,-10943,9821,309,-4539,0,-30275,1458,20,0
2016-06-01,16000,16250,15900,16100,376640,6063904000,-0.9231,53558,-49345,-10441,32462,-30501,555,6008,0,-18965,5248,980,0
2016-06-02,16750,17250,16350,16450,1113049,18309656050,2.1739,-4655,-80434,82513,-56106,79105,16752,-27937,3000,66444,2465,111,1255
2016-06-03,16450,16450,15900,16100,539842,8691456200,-2.1277,145333,-51027,-77863,-18919,-29603,-31739,17406,6000,-21008,-15678,-765,0
2016-06-07,16100,16350,15950,16250,378101,6144141250,0.9317,-34173,49725,-34318,-38469,-23551,0,-2078,0,29780,18690,76,0
2016-06-08,16150,16400,16100,16350,421345,6888990750,0.6154,-56893,23907,29436,67629,-66497,1567,55,0,27937,3500,50,-1255
2016-06-09,16400,16450,16200,16350,643969,10528893150,0.0,-54270,250964,-213693,-36992,-165870,-4302,-32061,0,25532,17639,-640,0
2016-06-10,16250,16400,16000,16300,333171,5430687300,-0.3058,7866,23671,-34851,-12369,-93621,12324,-14416,320,72911,3275,39,0
2016-06-13,16150,16350,16000,16150,273018,4409240700,-0.9202,52690,-197,-57435,-33837,-42579,-197,-485,0,19663,4822,120,0
2016-06-14,17200,17400,16500,16650,1810829,30150302850,3.096,163572,-227201,78349,-46100,181429,-2339,16346,-83,-70904,-16712,1992,0
2016-06-15,16900,17100,16550,16650,710058,11822465700,0.0,90063,-72602,-14834,18587,43042,-27895,-3839,0,-44729,-2399,-228,0
2016-06-16,16650,16750,16150,16350,385412,6301486200,-1.8018,21246,-33855,17016,61022,-11674,3010,9778,0,-45120,-4224,-183,0
2016-06-17,16350,16900,16350,16750,562989,9430065750,2.4465,-75922,6176,69790,-56614,13466,21916,1238,-1274,91058,-44,0,0
2016-06-20,16800,17000,16600,16950,380340,6446763000,1.194,-30692,-82047,113744,56925,26886,7161,2078,-10000,30694,1095,-2100,0
2016-06-21,16950,16950,16650,16850,331877,5592127450,-0.59,-46568,34429,12497,24882,14484,1261,-6271,4000,-25859,-358,0,0
2016-06-22,16850,16950,16700,16750,245586,4113565500,-0.5935,13719,-20629,6481,1496,510,-4576,-6227,12448,2830,500,-71,0
2016-06-23,16700,17050,16600,16900,468745,7921790500,0.8955,-158076,-14481,171441,100401,37918,-60,-7544,0,40726,2976,-1860,0
