date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,32000,32250,31750,31950,460606,14716361700,-0.4673,-23671,-238,386,27413,-60563,7579,-3965,-17000,46922,23600,-77,0
2016-05-27,31850,32400,31600,32100,772558,24799111800,0.4695,-231940,-1051,232388,247399,-8970,-3452,70479,-49326,-26885,660,-57,3143
2016-05-30,31850,32550,31850,32550,617268,20092073400,1.4019,-332267,164,345985,246013,98331,7291,5344,-33048,25054,-12692,-1190,-3000
2016-05-31,32400,32800,32100,32100,701691,22524281100,-1.3825,-82674,604,77929,135604,-32382,-3950,4146,-297,-29844,3611,530,4652
2016-06-01,32300,32400,31600,31950,742107,23710318650,-0.4673,72117,240,-90968,29364,-102270,-5091,76692,3830,-88690,18975,-364,-4803
2016-06-02,31650,31950,30700,31100,1231707,38306087700,-2.6604,-67234,2,62095,43249,-22948,-29358,16689,-1508,56436,2617,2520,-465
2016-06-03,31100,31500,31100,31300,499737,15641768100,0.6431,-129376,-558,130081,1437,-27741,-8835,-7358,4586,168382,-2008,1861,-390
2016-06-07,31300,31450,30800,30900,543258,16786672200,-1.278,17021,102,-8335,-35767,-66010,-16790,-15723,-1001,126956,-8804,16,0
2016-06-08,30750,30900,30550,30900,839594,25943454600,0.0,62300,464,-63679,-190120,-48850,-72,-1851,11661,165553,788,127,0
2016-06-09,30750,31400,30650,31100,1162838,36164261800,0.6472,-32539,0,31048,59695,-136863,-51842,-71733,-167105,404183,1460,31,-5287
2016-06-10,30800,31000,29900,30300,1868648,56620034400,-2.5723,342791,0,-324202,-275600,-238013,-79601,-166896,-45320,482067,-18460,-129,-839
2016-06-13,30000,30400,29600,29950,1523989,45643470550,-1.1551,159021,69,-161145,14530,516,-40455,-30820,-71170,-33922,1939,116,176
2016-06-14,30200,30550,29900,30250,846266,25599546500,1.0017,-89164,-69,78950,101862,51887,9432,20339,-44704,-60700,8004,2279,834
2016-06-15,30300,30600,30100,30150,424107,12786826050,-0.3306,-85802,-35910,119330,64872,657,-13556,-8965,-16677,92999,2574,-192,0
2016-06-16,30150,30250,29500,29750,753125,22405468750,-1.3267,44336,9600,-36583,8711,-83210,-34203,8553,-41027,104593,-17329,-24,0
2016-06-17,29750,30050,29650,29650,558971,16573490150,-0.3361,-38589,-10030,48878,17219,-38159,-33636,-5308,-8959,123880,-281,22,-6159
2016-06-20,29900,29900,29600,29900,442065,13217743500,0.8432,134124,430,-137665,-93571,-19301,27527,-139728,1012,86197,2911,200,199
2016-06-21,29850,30000,29650,29850,349969,10446574650,-0.1672,-7686,-1379,10715,48051,-26017,-5450,-120346,-140,114617,-1658,8,0
2016-06-22,29800,29900,29700,29800,315146,9391350800,-0.1675,42636,866,-45584,9408,-27220,-11262,-125094,1368,107216,2085,-3,0
2016-06-23,29800,29900,29650,29800,255158,7603708400,0.0,15023,353,-15371,730,-22519,-2,-110188,1677,114686,0,-5,245
2016-06-24,29800,29950,28900,29150,943218,27494804700,-2.1812,19789,7,-25140,17141,-44297,3543,-110799,-6441,114914,5248,96,799
2016-06-27,28900,29500,28800,29450,608516,17920796200,1.0292,-185460,-2989,191245,10596,31288,-75190,15610,598,205752,-2795,-1,2591
2016-06-28,29250,30100,29250,29850,742089,22151356650,1.3582,-150759,1671,163724,46239,94769,-4649,-150683,410,176666,-14354,-282,972
2016-06-29,29800,30500,29750,30400,474708,14431123200,1.8425,-93444,10,86051,32407,46945,18424,-53203,9427,32051,7350,33,0
2016-06-30,30350,30450,29650,29650,625480,18545482000,-2.4671,290330,-9002,-263821,-195141,38618,23498,-93001,32138,-60694,-18617,1110,-9239
2016-07-01,29700,30300,29650,29850,420474,12551148900,0.6745,-89844,12461,78875,-49531,-3705,-1013,53874,-132,79382,-1580,88,0
2016-07-04,29950,30200,29900,30050,171124,5142276200,0.67,-25801,1971,23485,10505,9033,-5959,13817,350,-4261,342,3,0
2016-07-05,30100,30600,29950,30200,390358,11788811600,0.4992,-101997,-1859,108039,-11474,25189,10536,24549,3567,50672,-4353,170,5000
2016-07-06,30350,30550,30100,30200,268097,8096529400,0.0,-86113,-19522,103829,-9877,13316,999,12163,229,85117,2809,-1003,1882
2016-07-07,30400,30550,30250,30400,222355,6759592000,0.6623,-88248,1414,86934,18877,7086,201,6144,451,54175,-100,0,0
2016-07-08,30300,30700,30200,30650,2022886,62001455900,0.8224,-122696,38,125870,39320,52395,19473,-29017,313,43386,-3172,-40,0
2016-07-11,30850,30950,30600,30850,1014801,31306610850,0.6525,-145393,0,148509,37018,44404,4238,-14007,2072,74784,-3096,-20,0
2016-07-12,30800,31000,30600,30700,348267,10691796900,-0.4862,-72832,0,78808,13764,77235,-1045,-37427,266,28656,-5905,-71,-2641
2016-07-13,30700,30900,30400,30700,394483,12110628100,0.0,-13128,0,28890,44486,7218,-12323,-34597,-51,24157,-15667,-95,0
2016-07-14,30700,30750,30250,30250,478611,14477982750,-1.4658,169573,0,-167161,-20597,-20197,61,-27552,333,-99209,-2282,-130,0
2016-07-15,30350,30700,30300,30400,287346,8735318400,0.4959,-28285,-21,31383,13546,-7102,2159,28377,-570,-5027,-3077,0,0
2016-07-18,30300,30550,30200,30300,332063,10061508900,-0.3289,71863,-19748,-49573,-12694,-68152,-708,-47652,-180,79813,-2432,-110,0
2016-07-19,30400,30400,30000,30000,301780,9053400000,-0.9901,118800,2268,-121272,-25448,-7784,-5178,-91346,-345,8829,192,12,0
2016-07-20,30000,30650,29800,30450,428933,13061009850,1.5,-106049,-54,105752,9932,17293,4648,68951,235,3158,381,-30,1535
2016-07-21,30350,30800,30300,30750,507723,15612482250,0.9852,-153587,-17551,173741,23962,-3866,13226,-4003,-232,142629,-2606,3,2025
2016-07-22,30700,30900,30550,30850,371640,11465094000,0.3252,-110831,89,115252,9965,-3127,24481,-619,341,74260,-3980,-530,9951
2016-07-25,30950,31700,30850,31400,792885,24896589000,1.7828,-269322,-5,260014,88921,115918,73,50114,1287,8701,9425,-112,-5000
2016-07-26,31400,31800,31300,31750,424084,13464667000,1.1146,-220121,5,232598,161986,-10552,-367,9789,60,72015,-12721,239,-333
2016-07-27,31800,31950,31600,31750,324767,10311352250,0.0,-136150,-390,142586,60821,10687,6659,20442,-1572,45549,-5385,-661,0
2016-07-28,31750,31800,31500,31500,399140,12572910000,-0.7874,-68720,390,68214,140257,-4940,1865,-27990,-575,-40184,146,-30,-219
2016-07-29,31700,32100,31550,31750,1098071,34863754250,0.7937,-315132,-1591,330404,375960,54047,81174,-118827,-2643,-59655,-13611,-70,348
2016-08-01,32200,32650,32000,32600,855499,27889267400,2.6772,-411255,1393,423177,295851,92460,10745,29925,1369,-7544,-12884,-431,371
2016-08-02,32450,32800,32200,32600,655392,21365779200,0.0,-153259,-16556,163782,149306,23133,10111,107053,-131,-125690,6052,-19,0
2016-08-03,32350,32950,31950,32750,883260,28926765000,0.4601,-361770,26,376191,251189,99813,29711,73804,-2557,-78406,-14601,154,2637
2016-08-04,32650,32850,32400,32700,508990,16643973000,-0.1527,-127740,-10,132287,170088,376,-2282,-21566,-1055,-13274,-5168,631,0
2016-08-05,32550,32800,32300,32300,309475,9996042500,-1.2232,-14707,-5,13208,39702,-6014,10924,-20637,-2006,-8761,2314,-810,0
