date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,11700,11750,11550,11550,781686,9028473300,-1.2821,-4001,23310,-19349,92986,-86443,16569,-78306,0,35845,3,37,0
2016-05-27,11600,11850,11400,11800,930688,10982118400,2.1645,-289051,413611,-144915,-6049,-172938,7781,9001,0,17290,20325,30,0
2016-05-30,11700,11900,11650,11750,1264704,14860272000,-0.4237,40319,114931,-152680,15995,-114481,-210,-41144,0,-2921,-2720,150,-9919
2016-05-31,11700,11700,11450,11550,1772033,20466981150,-1.7021,189307,-122710,-65837,62720,-42140,-1041,-45951,0,-39425,-904,144,0
2016-06-01,11600,11600,11050,11150,1789429,19952133350,-3.4632,473876,-133039,-352700,-194147,-24776,47536,-69287,-278,-109898,18271,-6408,-1850
2016-06-02,11050,11100,10850,10850,1459151,15831788350,-2.6906,270634,450229,-720300,-441002,-41509,9552,-143477,0,-103864,-500,-63,0
2016-06-03,10800,11100,10600,10800,1714332,18514785600,-0.4608,31981,297506,-329896,-106218,-130354,-90565,-7934,0,5175,598,-189,0
2016-06-07,10800,11000,10650,10800,1580115,17065242000,0.0,47583,619383,-667185,-199703,-131334,-179848,-153041,0,-3259,-1,220,0
2016-06-08,10750,10850,10600,10800,1616657,17459895600,0.0,211638,218285,-430369,-198246,-55801,3731,-56370,0,-123683,496,-50,0
2016-06-09,10800,11100,10750,11100,1923192,21347431200,2.7778,-375469,506936,-101273,-2723,-266520,120792,-79480,0,130419,-30114,-80,-3761
2016-06-10,11000,11050,10500,10550,3511209,37043254950,-4.955,769559,471573,-1235585,-206577,-432118,-201093,-244500,2000,-153297,-6317,770,0
2016-06-13,10550,10600,10100,10250,2293393,23507278250,-2.8436,515993,-41710,-472781,-209805,-107829,-11386,-25548,0,-118213,-1713,211,0
2016-06-14,10200,10500,10100,10450,1553351,16232517950,1.9512,-248135,399885,-151628,-48560,-82872,1032,-33478,2000,10250,151,-273,0
2016-06-15,10300,10500,10300,10400,961137,9995824800,-0.4785,25950,167113,-193400,7156,-98472,4553,-5199,0,-101438,356,-19,0
2016-06-16,10500,10500,10200,10450,1561365,16316264250,0.4808,-47410,347592,-296423,-92451,-6427,12170,10219,0,-219934,-3759,0,0
2016-06-17,10500,10500,10200,10350,1343391,13904096850,-0.9569,164988,72024,-237041,-270790,-10832,-1908,23610,2000,42973,5,24,-22094
2016-06-20,10400,10500,10300,10450,1267521,13245594450,0.9662,25260,414236,-439402,-275685,-51146,3063,-58552,0,-57082,-94,0,0
2016-06-21,10500,10900,10400,10900,1833297,19982937300,4.3062,-566742,983445,-416652,-284819,-57956,-1023,-42249,0,-30605,-44,-7,0
2016-06-22,10800,10850,10550,10650,1683766,17932107900,-2.2936,363243,115683,-479196,-171342,-130695,-54491,-111246,0,-11422,250,20,0
2016-06-23,10650,10750,10550,10700,867311,9280227700,0.4695,-100059,86960,13059,-45609,5218,-134,8767,0,44817,0,40,0
2016-06-24,10700,10800,10250,10450,1542014,16114046300,-2.3364,-230405,470135,-233281,-144721,-17411,56297,-84104,0,-43988,-6689,240,646
2016-06-27,10250,10450,10200,10350,1331342,13779389700,-0.9569,-9846,70688,-61877,-104920,-68073,-26370,4405,0,133081,1035,0,0
2016-06-28,10250,10550,10100,10350,2009491,20798231850,0.0,-22616,-103550,90564,28147,4448,3788,1240,0,52941,35602,0,0
2016-06-29,10450,11050,10400,10900,1759681,19180522900,5.314,-627574,708346,-79763,-128785,-47801,10468,-20415,-1000,107770,-2,-1007,0
2016-06-30,10900,10950,10550,10900,1602338,17465484200,0.0,46263,415035,-461297,-265987,-162048,-34376,-12804,0,13918,-1,0,0
2016-07-01,10800,10950,10650,10650,894430,9525679500,-2.2936,296643,155088,-451959,-176320,-116601,14633,-130676,0,-42995,-12,240,0
2016-07-04,10650,10800,10600,10650,645204,6871422600,0.0,196530,127465,-324127,-169728,-109260,-1351,-48358,0,4570,132,0,0
2016-07-05,10600,10700,10500,10700,707480,7570036000,0.4695,67280,120095,-186923,-117112,-10168,-2758,-46224,0,-10661,-452,0,0
