date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,102000,103000,102000,102500,167029,17120472500,0.4902,-7486,-13245,22356,4499,1505,4207,2222,-179,10102,-1625,0,0
2016-05-27,103500,104000,103000,103000,117529,12105487000,0.4878,-3845,19953,-16129,-4578,28,3184,-3775,-400,-10588,-13,34,0
2016-05-30,103500,104000,101500,103000,207551,21377753000,0.0,8529,-56189,47658,31681,2497,17692,-2007,200,-2398,1,1,-7
2016-05-31,103000,104500,102000,104000,1148289,119422056000,0.9709,4085,-148319,144261,24311,37148,78719,4258,-300,125,-1,-26,0
2016-06-01,103000,104000,102000,103500,222687,23048104500,-0.4808,21707,-12086,-9784,-18818,30096,498,20565,500,-44545,150,13,1920
2016-06-02,103000,105000,102000,105000,211194,22175370000,1.4493,-13680,-6830,20820,-4598,32584,771,17359,0,-25596,62,-372,300
2016-06-03,104000,105000,101500,102500,397090,40701725000,-2.381,82312,-42947,-38521,-32064,-23645,-1138,-2574,0,20882,-931,87,18
2016-06-07,102000,103500,100500,103500,262967,27217084500,0.9756,-72694,88725,-16042,-1212,3383,-11729,-16301,0,9968,306,-295,-151
2016-06-08,103500,105500,102500,105500,208502,21996961000,1.9324,-52806,18429,34272,1935,6336,1973,-2147,0,26175,157,-52,0
2016-06-09,105500,106000,102000,103000,385134,39668802000,-2.3697,70901,12733,-83024,-48776,-56578,-9306,-22157,-201,53994,-609,-1,0
2016-06-10,103000,103000,101500,102000,237640,24239280000,-0.9709,38389,-31799,-5652,-22315,-2860,-9067,-30058,400,58248,-965,27,0
2016-06-13,101000,101500,100000,100500,224402,22552401000,-1.4706,95531,-59514,-42162,-28833,-8973,-5523,-13600,1500,13267,6143,2,0
2016-06-14,100000,102000,100000,100500,215777,21685588500,0.0,19397,-14005,-7501,21629,8518,-9411,-3785,0,-24452,2071,38,0
2016-06-15,100000,101000,99600,100500,145215,14594107500,0.0,55291,-42803,-19203,15089,-2185,774,-4999,-200,-27682,6730,-15,0
2016-06-16,100000,100500,97900,97900,389467,38128819300,-2.5871,167124,-199405,30483,14392,41797,3696,-320,3200,-32282,1101,697,0
2016-06-17,98500,99500,98100,98100,239509,23495832900,0.2043,35104,-45345,9959,519,2654,-49,-840,-31,9764,74,208,-2058
2016-06-20,99800,100000,98600,99600,207200,20637120000,1.5291,-28251,9504,18820,-8013,10163,6935,117,-1398,11016,-73,0,0
2016-06-21,99900,100000,99000,99500,89465,8901767500,-0.1004,7126,-12651,5529,2504,-714,2206,-2998,0,4531,-2,-2,0
2016-06-22,100000,101000,99500,99500,174556,17368322000,0.0,3804,-24247,21469,4669,-3059,9105,-3537,-40,14331,-1000,-26,0
2016-06-23,100500,103000,100000,102500,249913,25616082500,3.0151,-106628,53875,53017,773,-5160,43871,710,-3300,16138,-10,-254,-15
2016-06-24,102500,103000,98100,100500,354647,35642023500,-1.9512,56675,-58910,1954,1010,10278,13995,-3823,800,-20306,221,60,0
2016-06-27,100000,100500,98800,99800,168515,16817797000,-0.6965,-12338,-40037,51955,445,23332,-5801,1890,100,31989,418,2,0
2016-06-28,99400,99800,98200,98900,201462,19924591800,-0.9018,20792,5772,-28479,-8046,-6143,305,-998,1000,-14597,1848,67,0
2016-06-29,99100,99400,98300,99000,231870,22955130000,0.1011,68759,-8821,-52594,-9991,-13535,10062,-770,150,-38510,-7407,63,0
2016-06-30,99100,104500,98600,100500,672509,67587154500,1.5152,-34784,-18802,52830,51742,-52384,57485,46977,0,-51690,649,107,700
2016-07-01,100500,101500,99100,99900,276102,27582589800,-0.597,94647,13324,-108329,-28980,-88879,5686,12286,-150,-8292,163,195,0
2016-07-04,99600,99800,98600,98800,220019,21737877200,-1.1011,106824,13087,-119815,-15393,-82984,2061,-12132,100,-11467,-231,135,0
2016-07-05,98700,98700,96300,96300,415362,39999360600,-2.5304,223848,-64744,-160067,-30964,-100306,-23311,-7549,-2862,4925,1038,-75,0
2016-07-06,96600,96900,94800,95000,358369,34045055000,-1.3499,144646,-85528,-81161,-8503,-62917,-12477,-11492,-133,14361,21579,464,0
2016-07-07,95300,96400,94800,95200,206798,19687169600,0.2105,54742,-21265,-33907,-21860,-21848,11631,-7134,0,5960,360,70,-656
2016-07-08,95100,95500,94000,94800,181114,17169607200,-0.4202,41071,-30364,-10990,-4949,638,7076,-3468,-1,-10286,131,152,0
2016-07-11,95500,97100,95400,96800,195118,18887422400,2.1097,-54129,473,54368,9017,2799,7908,3756,-700,31588,-812,100,0
2016-07-12,96100,97000,95500,96500,171858,16584297000,-0.3099,20708,-30043,8410,-4051,9172,2100,2590,1201,-3633,18,907,1031
2016-07-13,96500,97500,96100,96800,133307,12904117600,0.3109,6346,43528,-49904,1693,-13031,450,-7514,-1,-31501,10,20,0
2016-07-14,97400,97400,96200,96200,174957,16830863400,-0.6198,36802,-1215,-36553,-10885,-19850,11448,-2772,-1,-14493,561,405,0
2016-07-15,96600,98800,96500,98000,245740,24082520000,1.8711,-74274,45949,28536,28448,-2836,2847,634,-1150,2273,-165,-46,-1680
