date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,125500,127000,125000,126000,164216,20691216000,0.3984,-23070,-6622,29735,4517,7993,3802,4477,0,8946,-6,-37,0
2016-05-27,126000,126500,123500,125500,343337,43088793500,-0.3968,5888,38686,-45582,-13194,-7821,879,-17520,-795,-7131,1023,-15,0
2016-05-30,125500,127000,125000,126500,169520,21444280000,0.7968,-13857,37134,-22452,-4561,1092,929,-6890,-8,-13014,-821,-4,0
2016-05-31,126500,129500,126000,127500,671539,85621222500,0.7905,-22173,41279,-21389,3900,4409,363,558,-5000,-26802,-23,2306,1183
2016-06-01,127000,127500,125000,125500,260315,32669532500,-1.5686,47375,49510,-96891,-18423,-4100,-716,-5043,-15000,-53609,-5,11,0
2016-06-02,125000,127500,125000,127500,239815,30576412500,1.5936,-29969,94355,-64339,-4317,-7252,-589,-7872,-15000,-29309,-32,-15,0
2016-06-03,127000,127500,125500,127000,210728,26762456000,-0.3922,-3423,-11736,15619,-7641,-3644,-585,-801,-8250,36540,-442,-18,0
2016-06-07,128000,128500,127000,128000,217214,27803392000,0.7874,-23260,50041,-23978,-5723,-1772,-15122,-6214,-5024,9877,-128,-2675,0
2016-06-08,127500,131500,127500,131500,244863,32199484500,2.7344,-36322,83722,-47015,-14990,-15022,-15970,-2812,-17301,19893,-28,-357,-813
2016-06-09,132000,132500,126500,127000,413452,52508404000,-3.4221,49580,29116,-75778,-37151,-71059,3376,-22780,-41,51877,-4397,1479,0
2016-06-10,127500,128000,125500,127000,210523,26736421000,0.0,13757,9109,-22452,-13791,-50980,-2448,-11050,-24,55941,-418,4,-100
2016-06-13,126500,127000,124500,125000,188221,23527625000,-1.5748,31253,19260,-50725,-12305,-30449,-901,-4504,-9974,7982,209,3,-574
2016-06-14,125000,127000,123500,127000,245070,31123890000,1.6,-12258,72746,-60830,-9539,-29406,-2028,3705,11,-23573,537,-195,0
2016-06-15,126000,126500,124000,126000,194730,24535980000,-0.7874,11887,28692,-41434,-11685,-3587,8418,-2689,7,-31898,-63,918,0
2016-06-16,126000,128000,125000,126500,213056,26951584000,0.3968,-12279,-8913,21235,14151,-813,6316,27822,-76,-27852,-39,-4,1687
2016-06-17,126500,126500,122500,123500,297662,36761257000,-2.3715,40202,-27731,-13105,-5847,-11866,-9830,-3931,-16,18694,615,19,-309
2016-06-20,125000,126500,124000,126000,216077,27225702000,2.0243,-59786,87106,-27191,-17523,-18523,8430,-5973,0,6398,-122,-7,0
2016-06-21,126000,129000,126000,127500,183763,23429782500,1.1905,-21035,80447,-59239,-33532,-19606,1575,1772,-37,-9411,-152,-21,0
2016-06-22,127500,128500,126000,127000,160162,20340574000,-0.3922,7813,31565,-39292,-15993,-38811,-586,-1127,0,17225,-84,-2,0
2016-06-23,126000,127000,125000,126000,126811,15978186000,-0.7874,1162,7580,-8740,-20845,-10167,-33,1154,14,21137,-2,0,0
2016-06-24,126000,128000,122500,124500,208949,26014150500,-1.1905,11808,8918,-20911,-10743,5119,3532,5130,0,-24336,159,26,387
2016-06-27,125500,128000,124000,127000,236048,29978096000,2.008,-34178,-22707,56864,-8979,2284,2271,13299,-6360,54482,24,-3,-133
2016-06-28,126500,130000,126000,128500,281739,36203461500,1.1811,-30306,27753,2345,-7796,30643,-10635,2304,14,-12424,540,-332,239
2016-06-29,128000,130500,127500,130000,205425,26705250000,1.1673,-20006,70208,-46419,9196,-19309,465,6152,-10036,-32535,-3787,4,-352
2016-06-30,130000,136500,130000,136500,509225,69509212500,5.0,-47052,268839,-221177,-9631,-83553,-12330,-5364,-20303,-88188,-626,16,-1808
2016-07-01,137500,139500,135500,137000,288322,39500114000,0.3663,-2248,122329,-120089,-24073,-32368,-5999,-15906,-341,-41402,-63,71,0
2016-07-04,136000,138000,134500,136500,210411,28721101500,-0.365,8024,97486,-107386,-31232,-50224,-1125,-20992,-60,-2099,-339,2215,-1654
2016-07-05,137000,137500,133000,134500,318699,42865015500,-1.4652,11067,167812,-178735,-34074,-62367,-40812,-51893,15,11035,-244,100,-639
2016-07-06,133000,134500,131000,131500,338928,44569032000,-2.2305,25661,12785,-38458,-35633,-22416,-4894,-13142,-124,37751,21,-9,0
2016-07-07,131000,133000,130500,132500,553533,73343122500,0.7605,3648,63545,-66781,-30014,-45990,-444,-7361,0,17028,-504,92,0
2016-07-08,131500,133000,129000,130000,240464,31260320000,-1.8868,19776,37738,-57759,-28132,-15999,-16161,891,319,1323,240,5,0
2016-07-11,133000,135500,130500,131000,341523,44739513000,0.7692,12454,-21684,8489,-8633,-19083,-1949,-4072,6001,38561,846,-105,-2336
2016-07-12,130000,130500,127000,128000,326891,41842048000,-2.2901,43911,-72291,27911,-14719,19489,4485,4965,2547,10380,456,13,764
2016-07-13,128000,128500,124500,126500,377461,47748816500,-1.1719,63770,-19778,-40226,4184,-34073,-24,-1246,1079,-9469,-3515,-251,-677
2016-07-14,124500,125000,123000,124000,356146,44162104000,-1.9763,37476,-9393,-28676,-3441,-22161,1173,12345,-45,-16397,517,76,-150
2016-07-15,123500,125000,123000,124500,295875,36836437500,0.4032,19250,61796,-80496,-11673,-34806,-22164,222,53,-11590,-203,-347,-538
