date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,18016,18245,17862,17979,306490,5510383710,1.5189,-68650,35846,33296,-5546,-1896,698,32,0,40008,15,-507,0
2016-05-26,17977,18283,17862,18131,243366,4412468946,0.8454,-18617,15767,4952,185,-1042,2995,118,0,2696,-1998,-104,0
2016-05-27,18245,18245,17786,18055,260592,4704988560,-0.4192,8268,38095,-46359,-50332,1116,411,-443,0,4797,-1,-3,-1908
2016-05-30,18054,18130,17748,18016,357469,6440161504,-0.216,-3088,68160,-64911,-60881,-3614,-536,-8209,0,8329,-131,-30,0
2016-05-31,17940,19010,17901,18552,913296,16943467392,2.9751,-113986,102520,14825,-14947,36702,21258,-20476,0,-7712,-3089,-270,0
2016-06-01,18665,18665,17710,17749,1059433,18803876317,-4.3284,298194,-150382,-132372,-6537,-14537,-39069,-28694,0,-43535,3764,-19204,0
2016-06-02,17174,17212,16179,16295,13473525,219551089875,-8.192,1489898,4873906,968356,9724,13164,152552,487319,5000,300597,-7336965,4805,0
2016-06-03,16676,16906,16524,16639,1976404,32885386156,2.1111,236437,-195543,-67319,-5031,-33472,-79136,2522,-4000,51798,29920,-3495,0
2016-06-07,16791,16791,16524,16639,1206475,20074537525,0.0,209057,-5141,-241361,-83314,-52035,-21994,-35517,0,-48501,37007,438,0
2016-06-08,16676,16906,16600,16755,2136373,35794929615,0.6972,35001,-136054,104763,45611,16924,245,47529,-1000,-4546,-3710,0,0
2016-06-09,16868,17442,16715,16945,1792800,30378996000,1.134,-55132,-194942,260924,-5220,-4117,59137,48222,0,162902,-10354,-496,0
2016-06-10,17058,17136,16868,16869,920052,15520357188,-0.4485,123983,-164205,40164,-7884,-7843,276,58144,0,-9529,58,0,7000
2016-06-13,16752,16791,16371,16449,771304,12687179496,-2.4898,37140,-33646,-2213,-7349,-1353,7637,18586,0,-22734,-1321,40,3000
2016-06-14,16333,16600,15873,15875,1314853,20873291375,-3.4896,309260,-60175,-253395,10655,-109730,-23156,-10630,0,-123144,2837,1473,2610
2016-06-15,15682,15988,15337,15683,933612,14641836996,-1.2094,-92510,29240,63497,-17251,14072,478,4673,0,52935,626,-853,8590
2016-06-16,15835,16179,15643,15760,631623,9954378480,0.491,-102714,88336,14928,11036,16977,2652,9437,0,-16974,-499,-51,-8200
2016-06-17,15835,16333,15759,15913,576627,9175865451,0.9708,-17022,-32631,49602,6465,7175,105,22327,0,18790,1,50,-5260
2016-06-20,16103,16255,15873,15875,454466,7214647750,-0.2388,83710,-117507,32267,26062,2782,2715,738,0,7860,0,1530,-7890
2016-06-21,16027,16141,15797,16066,697895,11212381070,1.2031,-8788,-44041,59722,16904,23204,9263,1979,0,8372,13219,-20112,0
2016-06-22,16027,16524,16027,16525,553911,9153379275,2.857,-161484,78458,104571,53079,16866,700,26,5000,28900,1836,-23381,0
2016-06-23,16447,16485,16141,16410,449045,7368828450,-0.6959,-9526,-102518,127289,75074,24663,-3606,4325,0,26833,2339,-17584,0
2016-06-24,16830,17058,15414,15492,2651130,41071305960,-5.5941,219154,-289322,82785,16541,136520,56522,-116665,10100,-19633,9642,-22259,-600
2016-06-27,15031,15567,14803,15263,1155668,17638960684,-1.4782,92463,9839,-103128,6327,-10763,-78597,-30087,-15000,24992,1314,-488,0
2016-06-28,15261,16141,15184,15952,921026,14692206752,4.5142,-159515,63432,96841,14821,13386,6167,37027,0,25440,-898,140,0
2016-06-29,16255,16600,15988,16295,627356,10222766020,2.1502,-75688,-63608,130587,70390,32294,2891,39023,0,-14011,9163,-454,0
2016-06-30,16447,16600,16141,16219,440961,7151946459,-0.4664,60762,-49568,-10830,1743,14546,543,1362,0,-29024,-64,-300,0
2016-07-01,16255,16485,16255,16372,315231,5160961932,0.9433,-32297,-8512,41175,5066,-860,910,4694,10000,21365,-474,108,0
2016-07-04,16524,17136,16371,16985,797555,13546471675,3.7442,-102863,52248,44040,11130,32435,20068,-46797,16000,11204,4335,2240,0
2016-07-05,17136,17250,16600,16716,760118,12706132488,-1.5838,102710,-103463,716,38575,22219,-27449,4471,0,-37100,418,-381,0
2016-07-06,16600,16945,16179,16372,702002,11493176744,-2.0579,38673,-56258,11806,-20275,40119,918,13086,0,-22042,5408,371,0
2016-07-07,16639,17098,16524,16907,642556,10863694292,3.2678,-119697,-8506,117122,35769,36563,3668,2166,0,38956,7764,3317,0
2016-07-08,16868,16906,16447,16525,445682,7364895050,-2.2594,92183,-116627,28458,13924,22463,1791,-4193,0,-5527,-3932,-82,0
2016-07-11,16752,17824,16639,17749,1420556,25213448444,7.407,-439615,235400,209355,28102,88154,5429,38423,7500,41747,-4682,-458,0
2016-07-12,17977,18589,17786,18284,1643947,30057926948,3.0143,-73359,-204236,285909,147131,108571,42347,12839,5000,-29979,-7135,-1179,0
2016-07-13,18627,18743,18092,18552,890491,16520389032,1.4658,-160682,35820,135085,132307,19494,13184,-32597,0,2697,-10633,410,0
2016-07-14,18397,18551,18054,18131,756330,13713019230,-2.2693,149586,-154017,1632,8342,-33572,12025,4462,-2500,12875,2327,472,0
2016-07-15,18321,18704,18207,18361,745790,13693450190,1.2685,-36761,-37692,70979,-24722,20664,50192,28834,-6000,2011,4056,-582,0
2016-07-18,18589,19201,18513,19088,1246234,23788114592,3.9595,-246391,2282,247105,93937,47828,42649,12591,0,52250,-2898,-98,-2150
2016-07-19,18895,18895,18321,18667,1183830,22098554610,-2.2056,-20661,13332,5397,65018,-82874,22269,18951,-1000,-16967,5367,-3435,0
2016-07-20,18589,19125,18513,19049,708392,13494159208,2.0464,-211265,3175,200308,130319,37873,2363,13657,0,16096,11373,-3591,0
2016-07-21,19125,19163,18780,19011,533980,10151493780,-0.1995,-76393,12830,62344,27807,9537,-498,840,-6850,31508,1434,-215,0
2016-07-22,18857,19125,18665,18743,491472,9211659696,-1.4097,-92998,18695,74455,22729,-2302,-616,40209,0,14435,0,-152,0
2016-07-25,18895,19086,18321,18819,782963,14734580697,0.4055,-53545,38258,16607,31913,-2067,-25963,19586,-100,-6762,-1095,-225,0
2016-07-26,18665,19813,18665,19700,1336947,26337855900,4.6814,-292478,102816,193596,83459,9054,63433,-3142,-5150,44623,-3318,-616,1319
2016-07-27,19661,19737,19392,19662,837783,16472489346,-0.1929,-37503,-22056,60908,62451,-12611,-1178,-6552,-5000,23798,-1063,-286,0
2016-07-28,19698,20311,19661,20235,1518719,30731278965,2.9143,-267488,62760,202484,148752,87624,13032,58121,-5000,-107245,485,1759,7200
2016-07-29,20119,20158,19698,20044,1046164,20969311216,-0.9439,4566,-13279,2864,123250,26469,-7030,-131763,1000,-9062,5999,-150,0
2016-08-01,20043,20158,19622,19968,569894,11379643392,-0.3792,-36604,13049,40956,34536,3486,-7024,15291,0,-5333,-17391,-10,0
2016-08-02,20043,20272,19813,20274,705615,14305638510,1.5325,-118669,113444,6939,50123,-6533,-9586,14675,0,-41740,-1746,32,0
2016-08-03,20043,20081,19355,19662,826436,16249384632,-3.0186,21897,-48740,15202,39927,-40527,-2017,37908,0,-20089,11440,201,0
2016-08-04,19852,20004,19278,19471,619998,12071981058,-0.9714,55230,18392,-74379,15555,-79810,-6668,28381,0,-31837,1477,-720,0
2016-08-05,19392,20655,19392,20656,1576752,32569389312,6.086,-609514,289669,303976,100853,137427,-21328,40333,7990,37425,14231,1638,1276
2016-08-08,20961,21190,20617,20810,1108198,23061600380,0.7455,-215921,-25583,231998,60186,75153,-2691,100734,4000,-5534,9928,-422,150
2016-08-09,20847,21190,20807,20962,499930,10479532660,0.7304,-46761,-44581,77891,-11080,36365,17442,11971,0,23193,13451,0,0
2016-08-10,20923,21153,20617,20847,471321,9825628887,-0.5486,-35259,-40143,48206,42441,-6272,-4562,6706,0,9893,26306,890,0
2016-08-11,20655,21534,20655,21497,862334,18537593998,3.118,-169453,44510,125799,32006,55891,-1272,6518,0,34850,-1256,400,-2194
2016-08-12,21610,21840,21267,21574,753714,16260625836,0.3582,-100707,-63479,164804,6203,125055,-866,19704,0,11444,-618,0,3264
2016-08-16,21573,21764,21267,21344,614907,13124575008,-1.0661,16299,-17767,-3951,-42474,-3319,-15085,27316,0,29611,5519,-100,0
2016-08-17,21267,21650,20770,21497,755323,16237178531,0.7168,-148546,58851,88963,89232,-3298,-30771,25306,1635,6859,730,2,0
2016-08-18,21496,21802,21229,21574,478157,10315759118,0.3582,-83367,28193,61183,84599,6371,-150,-802,0,-28835,-5932,-77,0
2016-08-19,21650,22032,21420,21880,675424,14778277120,1.4184,-177082,9042,167962,92743,48657,1094,47545,0,-22077,-4342,4420,0
2016-08-22,21802,21802,21190,21344,608079,12978838176,-2.4497,46956,-25752,-12560,55820,-35703,-6055,-5498,0,-21124,-9033,389,0
2016-08-23,21305,21764,21190,21613,494269,10682635897,1.2603,-109049,113050,-12485,58088,-10029,-9330,-34992,2990,-19212,8427,57,0
2016-08-24,21573,21726,21229,21613,406342,8782269646,0.0,-88469,5013,82957,66277,38042,1977,-13726,0,-9613,499,0,0
2016-08-25,21802,21879,21496,21497,385008,8276516976,-0.5367,-49120,482,48986,15129,-10013,3418,15765,0,24687,-336,-12,0
2016-08-26,21343,21420,20884,20962,695576,14580664112,-2.4887,69295,40676,-109569,23943,-28123,-8218,-97729,0,9105,-599,197,-8547
2016-08-29,20655,20923,20081,20810,963085,20041798850,-0.7251,-104049,162216,-56798,-32443,-24644,-15853,14830,0,3271,-2255,886,-1959
2016-08-30,20807,21305,20578,20694,753386,15590569884,-0.5574,82660,88077,-166872,14388,-3779,-40924,-153509,0,16952,-3875,10,0
2016-08-31,20501,21343,20501,21153,995655,21061090215,2.218,-193281,211209,-17804,71130,9629,-1616,-95828,0,-1119,-36,-88,0
2016-09-01,20961,21687,20847,21650,695507,15057726550,2.3495,-223465,84765,142322,75402,56535,25074,2279,0,-16968,-432,-3190,0
2016-09-02,21726,21802,21343,21727,511498,11113317046,0.3557,-117685,126,118838,28518,5996,24019,49831,0,6934,-2419,1140,3540
2016-09-05,21879,22568,21802,22531,866728,19528248568,3.7005,-307181,190154,118563,19798,12812,47990,17441,-4355,21189,-933,-603,3688
2016-09-06,22605,23027,22376,22760,782467,17808948920,1.0164,-149097,100956,53104,19492,17831,5006,24094,-2000,-12723,-5024,61,1404
2016-09-07,22911,22911,22568,22798,576193,13136048014,0.167,-75897,24453,93121,36799,2425,6315,41513,-5000,12875,-41381,-296,-1806
2016-09-08,22835,22950,22146,22262,832646,18536365252,-2.3511,20379,20118,-45878,6785,-38620,20620,-41396,-4740,12258,5304,77,-785
2016-09-09,22262,22911,22070,22568,579267,13072897656,1.3745,-76717,59932,20368,25986,26271,2692,20885,0,-55466,-3655,72,0
2016-09-12,21879,22376,21650,21650,701618,15190029700,-4.0677,21986,-10868,-12080,889,-33587,666,27401,409,-7858,817,145,0
