date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,24031,24124,23569,23662,739427,17496321674,-1.9151,-27649,-111532,134614,40442,-24031,36651,36156,-2000,47396,4494,73,0
2016-05-27,23523,23985,23477,23847,687903,16404422841,0.7818,-74045,97498,-20719,43278,-25118,-393,-10565,-5000,-22921,-4057,1323,0
2016-05-30,24123,24123,23615,23754,577143,13709454822,-0.39,-4837,-23614,25383,50186,13503,32332,-68588,0,-1956,2825,243,-94
2016-05-31,23662,23985,23477,23847,1318174,31434495378,0.3915,-67521,-204976,276436,96904,34891,96141,11122,30000,1441,-4429,490,5937
2016-06-01,24031,24215,23568,23569,942253,22207960957,-1.1658,37566,-43014,4571,-12862,15403,806,46475,20020,-69373,911,-34,4102
2016-06-02,23662,23708,23246,23385,902208,21098134080,-0.7807,81098,8265,-98672,-21221,14432,-7090,2713,0,-87506,9495,-186,0
2016-06-03,23246,23431,22183,22322,2913488,65034879136,-4.5456,894272,-203743,-706604,-59204,-6421,-843571,-10331,-21,212944,16122,-47,0
2016-06-07,22368,22784,22321,22784,1689150,38485593600,2.0697,10317,334041,-349633,-179769,-65805,-27168,-63284,0,-13607,6650,-1375,0
2016-06-08,22783,22829,22459,22737,1012457,23020234809,-0.2063,32766,93023,-122936,-113574,-83163,17096,-91294,0,154713,-6,-2847,-6714
2016-06-09,22737,22737,22136,22229,2124347,47222109463,-2.2342,607733,-150872,-460334,-88085,-92926,-212166,-19658,749,-39946,3253,220,-8302
2016-06-10,22182,22506,22182,22229,972317,21613634593,0.0,8197,27722,-40356,-86771,-45518,-45678,13327,-121,124405,6168,-1731,0
2016-06-13,22182,22321,21951,22229,742423,16503320867,0.0,4572,-7233,485,-27736,85405,-82554,-15709,-13,41092,1676,500,0
2016-06-14,21951,22182,21766,21813,1079994,23557909122,-1.8714,361267,-233770,-130075,-31871,25458,-64942,2899,1526,-63145,7030,-4452,0
2016-06-15,21951,22783,21905,22599,1631634,36873296766,3.6034,-388739,-7739,402100,139020,100896,164801,74367,6533,-83517,-5598,-24,0
2016-06-16,22737,22783,22275,22275,693172,15440406300,-1.4337,34906,-18626,-17329,95496,22670,5809,23013,1600,-150917,1500,-451,-15000
2016-06-17,22368,22645,22321,22368,701311,15686924448,0.4175,-114416,-67414,182823,16033,29658,115786,13573,6311,1462,-1186,193,0
2016-06-20,22737,23061,22553,22969,912531,20959924539,2.6869,-240969,-1034,287560,141536,-12302,125627,13021,10000,-2080,-45542,-15,11758
2016-06-21,22876,23246,22552,23246,1306292,30366063832,1.206,-166860,-225571,391754,315790,46162,76645,12261,572,-60225,768,-91,549
2016-06-22,23291,23707,23060,23523,1149907,27049262361,1.1916,-401792,-23721,397083,196211,142043,11016,20184,0,26195,27985,445,1434
