date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,15950,16150,15600,15750,347967,5480480250,-0.9434,111620,-95022,-16916,-6109,-1772,2521,5109,0,-16665,622,-304,0
2016-05-27,15700,16050,15700,15950,358365,5715921750,1.2698,10638,-11999,2247,0,65,0,-1352,30000,-26466,-253,-633,0
2016-05-30,16300,16950,16150,16950,1149335,19481228250,6.2696,-275615,72189,204422,4345,9718,98502,9714,-48,76724,4091,-5087,5467
2016-05-31,17300,17300,16750,17300,1023822,17712120600,2.0649,59556,-49259,-14828,-13327,8752,-8455,-342,0,-1456,5228,-697,0
2016-06-01,17100,17300,16950,16950,402065,6815001750,-2.0231,24237,-60653,39341,41203,4193,27057,-29131,0,-3981,-3000,75,0
2016-06-02,17000,17150,16650,16750,373369,6253930750,-1.1799,72261,-19857,-52884,-3309,-7355,-19257,-32025,2000,4592,0,480,2470
2016-06-03,16750,16900,16000,16400,740888,12150563200,-2.0896,-82612,14328,68601,18579,-26926,45450,-16767,2491,30774,0,-317,15000
2016-06-07,16700,16900,16400,16800,415536,6981004800,2.439,7428,-2995,-2770,0,5208,-5740,10869,10000,-21221,-4528,2865,-1886
2016-06-08,16900,16900,16700,16850,290205,4889954250,0.2976,-40071,2876,36290,7591,30916,-200,-4772,0,2755,500,405,0
2016-06-09,16900,16950,16500,16500,464429,7663078500,-2.0772,110141,-23204,-87929,-10973,-27866,-14057,-49216,0,14183,482,510,0
2016-06-10,16550,16850,16350,16350,588403,9620389050,-0.9091,140882,-38015,-101367,36340,-132261,-243,-21216,1460,11689,-2467,967,2864
2016-06-13,16200,16250,15800,15800,567057,8959500600,-3.3639,133694,-23155,-103744,-40383,-41553,-39426,-747,18025,340,-8151,1356,0
2016-06-14,15550,15900,15450,15550,542226,8431614300,-1.5823,221735,-39091,-176325,-56394,-73907,-4442,-45211,0,3629,-7828,1509,0
2016-06-15,15550,15750,15500,15550,300527,4673194850,0.0,90693,-37696,-53744,-15000,-13625,-38287,-1385,0,14553,0,747,0
2016-06-16,15650,15650,15000,15100,435525,6576427500,-2.8939,43937,20399,-68847,0,-3069,-60047,-17401,0,11670,4576,-65,0
2016-06-17,15250,15450,14700,14900,642065,9566768500,-1.3245,294027,56175,-350591,-145466,-47806,-15786,-127539,0,-13994,-174,563,0
2016-06-20,15100,15300,15000,15100,317100,4788210000,1.3423,117111,-2983,-117801,-51854,-23312,-77,-406,0,-42152,-147,3820,0
2016-06-21,15300,15400,15100,15300,283638,4339661400,1.3245,79577,-34238,-55811,-39703,-1188,-666,-11702,0,-2552,10422,50,0
2016-06-22,15400,15400,15200,15400,226213,3483680200,0.6536,28088,-16117,-18867,-31,2492,-158,-18771,0,-2399,3956,2940,0
2016-06-23,15300,15400,15100,15200,272793,4146453600,-1.2987,76557,-17397,-58945,-6621,-32269,-6011,-24964,10000,920,4,-219,0
2016-06-24,15400,15600,14000,14500,1136191,16474769500,-4.6053,71119,-42875,-13331,43306,-10046,-4530,1467,-2000,-41805,752,-15665,277
2016-06-27,14100,14950,14050,14750,555201,8189214750,1.7241,5770,-1974,-1260,-48199,4760,0,-2981,0,45160,-1000,-1536,0
2016-06-28,14500,15100,14500,15000,406957,6104355000,1.6949,101862,-19941,-83947,-57295,-8277,-1937,-2760,-2569,-9221,-103,2129,-1888
2016-06-29,15200,15450,15100,15150,388354,5883563100,1.0,80746,-39175,-41708,-25993,-3969,47231,-4702,-2160,-52115,0,137,0
2016-06-30,15350,15450,15100,15150,328687,4979608050,0.0,31937,-11982,-19510,-8009,539,-7697,5074,0,-9417,1,-446,0
2016-07-01,15350,15600,15200,15300,344040,5263812000,0.9901,26583,-24687,-3971,23684,-1644,0,458,0,-26469,0,2075,0
2016-07-04,15400,15750,15350,15700,418606,6572114200,2.6144,25117,-47800,26211,30000,-14891,25456,419,0,-14773,-3000,-528,0
2016-07-05,15800,16500,15700,16500,1151645,19002142500,5.0955,-192590,113317,45106,34166,5618,-5787,19264,3000,-15677,38964,-4797,4522
2016-07-06,16750,17300,16200,16550,1756207,29065225850,0.303,242281,-140443,-129372,68483,-139909,-73916,11993,0,3977,18693,8841,0
2016-07-07,16600,16850,16400,16550,597955,9896155250,0.0,37466,-65340,23220,10805,-40258,-9129,20956,0,40452,2900,1754,394
2016-07-08,16800,16800,15650,15700,1347635,21157869500,-5.136,204334,74629,-278807,-42141,-133982,-15914,-11724,-3142,-73804,-8652,8496,1900
2016-07-11,15400,15450,14950,15100,1390509,20996685900,-3.8217,119399,-72189,-76340,61501,-48397,-45673,-40250,0,-601,8529,20601,-2920
2016-07-12,15200,15500,15050,15100,730313,11027726300,0.0,168891,-117946,-57956,0,-64743,-2205,9812,0,305,1534,5477,-1125
2016-07-13,15250,15300,15100,15200,438337,6662722400,0.6623,81834,-50768,-31676,-6352,-10962,-55,4866,0,-7070,412,198,-12103
2016-07-14,15150,15200,14950,15000,600334,9005010000,-1.3158,253409,-16234,-237796,-27498,-109377,-45,-55000,0,-45876,803,-182,0
2016-07-15,15000,15400,15000,15150,600578,9098756700,1.0,98368,7866,-102898,-1494,-13787,-7644,-81570,30,861,-3710,374,706
2016-07-18,15200,15250,15100,15150,284656,4312538400,0.0,59283,-38108,-25932,-2202,323,-2689,-1428,218,-20231,5000,-243,77
2016-07-19,15200,15750,15150,15500,718629,11138749500,2.3102,42472,-20740,-23307,9977,-40510,-2339,6483,0,3082,1700,-125,0
2016-07-20,15650,15650,15350,15450,269222,4159479900,-0.3226,-8552,-21127,29960,-1786,-4011,-2700,31933,0,6010,220,-501,514
2016-07-21,15550,15600,15100,15200,334518,5084673600,-1.6181,88934,-9826,-79349,-2202,-40168,274,-14861,-114,-23278,10,231,1000
2016-07-22,15200,15350,15100,15350,187251,2874302850,0.9868,38329,11331,-49434,-2200,1831,-172,-10904,-31,-37958,-146,-80,0
2016-07-25,15500,15550,15150,15200,294681,4479151200,-0.9772,91525,-31169,-63128,0,-24506,-34,-16484,0,-22104,2627,145,0
2016-07-26,15250,16000,15250,15900,1085846,17264951400,4.6053,-214181,161900,59541,-16049,10311,18964,105,274,44963,-627,-6633,973
2016-07-27,16100,16400,15900,16150,947513,15302334950,1.5723,-133075,65467,75498,-2416,47755,7364,19614,0,3181,-6347,-1543,0
2016-07-28,16250,16300,15850,15950,473823,7557476850,-1.2384,-15131,29672,-8941,0,-179,-60,2456,200,-12358,-5756,156,1000
2016-07-29,15950,16100,15700,16050,342913,5503753650,0.627,-56208,20396,37892,7000,-201,0,30459,200,434,20,-2100,0
2016-08-01,16250,16450,16000,16100,460331,7411329100,0.3115,3328,-27486,23910,5000,-24107,0,34169,0,10848,295,-47,-2000
2016-08-02,16200,16250,15800,15800,318531,5032789800,-1.8634,5517,-633,-5109,-117,-2644,0,-1573,0,-1775,219,6,1000
2016-08-03,15700,15800,15350,15750,448608,7065576000,-0.3165,8571,-7068,-895,-5218,2875,0,5134,0,-3686,-1240,632,0
2016-08-04,15750,16450,15750,16200,1746446,28292425200,2.8571,-244998,266707,-26419,24232,4883,4000,-24975,3346,-46834,3262,1448,8929
2016-08-05,16000,16250,15400,15500,1346234,20866627000,-4.321,240217,79574,-325749,-18439,-65925,-85687,-36852,-1070,-123776,3468,2490,6000
2016-08-08,15550,15750,15500,15650,381775,5974778750,0.9677,-46986,96247,-48501,0,3177,3103,-34087,-2709,-17985,0,-760,0
2016-08-09,15800,16150,15750,15950,723434,11538772300,1.9169,-53784,135112,-80764,-15800,14123,998,-10644,-290,-66011,-59,-505,-3140
2016-08-10,16100,16100,15750,15800,428033,6762921400,-0.9404,54214,7761,-61625,-10000,-6369,-7991,-3735,-27,-33503,400,-750,0
2016-08-11,15850,16100,15700,16050,516108,8283533400,1.5823,-48689,53802,-2843,0,-1098,-6349,3986,0,618,0,-2270,0
2016-08-12,16100,16300,15950,16100,478482,7703560200,0.3115,-75200,101769,-29443,-28915,-1436,-582,-21620,273,22837,2529,345,0
2016-08-16,16200,16450,16100,16450,604495,9943942750,2.1739,-103798,44414,55129,0,-1436,-167,33048,1834,21850,4123,132,0
2016-08-17,16400,16600,16250,16400,493205,8088562000,-0.304,-3637,-17369,20986,10310,-13100,-86,-2992,-500,14354,495,-475,13000
2016-08-18,16500,16850,16450,16650,779619,12980656350,1.5244,-177174,72119,101817,34837,982,-587,53307,0,2354,4048,-810,10924
