date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,232500,233000,227500,228500,92956,21240446000,-1.0823,3010,19920,-23172,-12516,-2995,318,-14175,-4926,11122,254,-12,0
2016-05-26,227500,230000,226500,227500,78265,17805287500,-0.4376,-5008,13076,-11030,-9266,-4369,1299,-1299,-1467,4072,2947,15,0
2016-05-27,229500,234000,227500,234000,141854,33193836000,2.8571,-24230,30932,-10904,1067,-4093,35,-378,-8292,757,3910,292,0
2016-05-30,232500,235000,228500,231500,110370,25550655000,-1.0684,-2324,22310,-19212,-15166,186,-1720,2355,-5275,73,-778,4,335
2016-05-31,231000,236000,226500,229000,1137778,260551162000,-1.0799,-11253,197382,-184822,-92169,-45388,-4295,-19408,-7102,-21379,-1293,-14,4919
2016-06-01,229000,229500,222500,222500,186213,41432392500,-2.8384,42655,46254,-89128,-38368,-18347,2863,-18278,-3369,-13276,229,-10,-353
2016-06-02,222000,224500,219500,223000,110066,24544718000,0.2247,8344,16503,-24838,-22039,10243,-6246,-51,0,-6745,57,-66,0
2016-06-03,221500,223000,215500,221000,186941,41313961000,-0.8969,13766,-59349,45490,-8076,26207,-792,109,760,29424,147,-54,-2142
2016-06-07,223000,223000,217500,220500,126826,27965133000,-0.2262,12677,13023,-25779,-25790,2083,-1752,-5102,0,4887,182,-103,-105
2016-06-08,223000,225500,219000,224000,120644,27024256000,1.5873,-11719,18745,-6980,-6540,-10488,-3088,-2751,0,15887,140,-186,0
2016-06-09,223500,225000,221000,224500,146984,32997908000,0.2232,-672,5683,-5173,-12468,5970,-1674,-8670,-17,15137,158,4,-3451
2016-06-10,222500,224000,219500,220000,114094,25100680000,-2.0045,26160,-11873,-13911,-5538,-14148,-3080,-15105,-28,23988,-392,16,0
2016-06-13,219500,219500,216000,217000,85043,18454331000,-1.3636,583,-15124,13859,-15991,17070,-825,-499,156,14029,678,4,-81
2016-06-14,217000,218500,214500,215000,100269,21557835000,-0.9217,6481,255,-7746,-8723,1948,-113,8913,-5008,-4763,1115,-105,0
2016-06-15,215000,220500,214500,215000,100155,21533325000,0.0,10240,-3979,-6359,-6782,3071,5957,7313,0,-15918,151,-53,0
2016-06-16,215500,216500,213500,214500,56173,12049108500,-0.2326,-1057,7730,-6691,5363,2698,1416,-2322,-144,-13702,43,-25,0
2016-06-17,216500,216500,210000,211500,106720,22571280000,-1.3986,17887,-12550,-5066,9174,-5085,-4765,-7761,1529,3041,284,-555,-1199
2016-06-20,214500,215000,211000,214000,59581,12750334000,1.182,1039,9771,-11767,-10451,-269,2025,-1194,247,-2760,957,0,635
2016-06-21,212500,215500,212500,215000,49917,10732155000,0.4673,-7412,7244,174,1519,1383,71,1460,-60,-4199,33,-39,0
2016-06-22,215000,218000,214000,217500,69144,15038820000,1.1628,-4341,528,4049,2823,-479,764,-2440,563,2781,-236,0,37
2016-06-23,216000,217500,212500,213000,74557,15880641000,-2.069,14012,-18768,4725,998,3879,2094,-3126,169,688,26,5,23
2016-06-24,214000,217000,200500,205500,255329,52470109500,-3.5211,18460,29602,-48556,-24537,1199,-4892,-3924,-4518,-8255,353,141,-3629
2016-06-27,200500,204000,199000,202500,149844,30343410000,-1.4599,-3511,-20057,22560,-12579,9908,-8690,1101,-191,31688,899,109,1323
2016-06-28,199500,202000,199000,200000,182890,36578000000,-1.2346,70958,-23677,-48478,-46053,-12470,-4528,103,10644,3705,1198,-1,121
2016-06-29,201500,203500,199500,201500,106782,21516573000,0.75,15915,4451,-20227,-8952,558,-5522,1805,-3,-8113,-159,20,0
2016-06-30,203000,204500,201500,202500,109768,22228020000,0.4963,15114,16098,-31595,1524,-271,-13405,-11467,4111,-12087,384,-1,0
2016-07-01,203500,208000,202500,204000,127650,26040600000,0.7407,15531,11057,-30867,-1675,-8958,-12036,-7724,6576,-7050,4844,-565,0
2016-07-04,204500,207500,204000,205000,94291,19329655000,0.4902,21181,5219,-26697,-5813,-4384,474,-21728,5519,-840,292,5,75
2016-07-05,205500,206000,202500,203000,64425,13078275000,-0.9756,5624,-5437,259,-5447,4268,-3059,-2359,7512,-656,-452,6,0
2016-07-06,202500,204500,199000,201000,97305,19558305000,-0.9852,-7194,-14395,21359,1346,6500,4608,-2165,1349,9487,194,36,234
2016-07-07,203500,205000,202000,202500,57587,11661367500,0.7463,1777,-8259,7304,6105,-1615,905,-1556,1010,2455,-840,18,0
2016-07-08,202500,204000,200500,203000,57054,11581962000,0.2469,3297,3328,-6836,2225,-3889,3615,-3231,3243,-8799,211,0,0
2016-07-11,204500,211000,203500,208000,116207,24171056000,2.4631,-28838,9208,20884,-2888,15924,5312,-2182,-9888,16447,-1266,12,-1841
2016-07-12,211000,211000,207500,209000,88539,18504651000,0.4808,-2912,-19817,22650,15482,9035,2754,2325,83,-5364,32,47,-1665
2016-07-13,209000,213500,208500,213000,111821,23817873000,1.9139,-235,20514,-21586,10693,-11206,-1737,2224,-2893,-15862,1513,-206,-2805
2016-07-14,213500,214000,209500,214000,82536,17662704000,0.4695,-6270,-3681,5753,-2663,-3581,-1124,3596,-13,9538,4598,-400,0
2016-07-15,214500,214500,209500,211000,101853,21490983000,-1.4019,13777,18336,-29428,-3352,-11044,8786,-17767,0,-4466,-2335,-350,-1585
2016-07-18,211000,213000,209000,212000,44939,9527068000,0.4739,-3309,10346,-6995,-870,-4414,-338,-2378,-506,1515,8,-50,-4
2016-07-19,212000,212000,210000,212000,56491,11976092000,0.0,2136,12573,-14743,-5306,-5987,-791,1361,638,-4658,48,-14,0
2016-07-20,211000,212500,209000,212500,56620,12031750000,0.2358,1067,19951,-20995,-8462,-2578,647,-5261,0,-5341,-28,5,0
2016-07-21,212500,212500,206500,208500,90547,18879049500,-1.8824,22665,-10875,-11069,-10869,-886,-2349,-7562,3906,10895,-121,-600,-4204
2016-07-22,207500,210000,206500,209000,48539,10144651000,0.2398,1931,5056,-9939,-8414,-1949,-2206,2386,-972,1304,2952,0,-88
2016-07-25,210000,211500,209000,211000,64348,13577428000,0.9569,-3940,9198,-5195,-1876,1183,-4400,769,-2959,2088,-6,-57,0
2016-07-26,211000,214000,210000,213500,73431,15677518500,1.1848,-12650,18535,-7292,-7062,-5494,406,127,-4462,9525,1407,0,-332
2016-07-27,212000,213500,210500,210500,47794,10060637000,-1.4052,6926,2018,-8132,-3788,-5232,450,78,-10,370,-786,-26,0
2016-07-28,210500,213000,206000,209000,108681,22714329000,-0.7126,24142,-3735,-21146,-1434,466,1275,-15746,-1687,-802,739,0,-3218
2016-07-29,208000,210000,206000,208500,88583,18469555500,-0.2392,9197,3150,-12327,-3467,1420,40,1907,187,-12414,-20,0,0
2016-08-01,208500,210000,207500,209500,83923,17581868500,0.4796,3287,4597,-7942,1228,3164,996,-9633,2000,-5787,58,0,90
2016-08-02,208500,210500,207000,208000,78018,16227744000,-0.716,4888,508,-8037,-1660,5372,1105,-2761,-55,-10038,2641,0,0
2016-08-03,206500,209000,206000,207500,61051,12668082500,-0.2404,2600,-6055,3479,16314,542,-2497,-4225,-366,-6339,-2,-22,50
2016-08-04,208500,217000,207500,216500,151970,32901505000,4.3373,-46491,36039,10295,20409,-1096,-747,9249,-8706,-9164,179,-22,350
2016-08-05,216500,223000,214000,223000,209570,46734110000,3.0023,-47342,3082,42099,47867,-16100,-3514,13095,-289,455,2216,-55,585
2016-08-08,223000,225000,221500,225000,102624,23090400000,0.8969,-30691,19690,10981,15435,-4536,-3598,3682,-660,658,32,-12,0
2016-08-09,224500,227000,222500,226500,112206,25414659000,0.6667,-30134,29530,1121,15754,-15161,-9263,7514,-422,3497,82,-599,-798
2016-08-10,224500,225000,221500,222500,85745,19078262500,-1.766,3841,18769,-21745,-6971,-20338,-729,-1202,-144,9895,-719,-146,-2256
2016-08-11,221500,224500,221000,224000,84687,18969888000,0.6742,-14695,7589,8172,19568,-8485,-8490,-1427,-598,7719,-1027,-39,-115
2016-08-12,224000,230000,223000,226500,114054,25833231000,1.1161,-11688,14668,-2761,-4773,-4498,-7592,-2152,15,17078,-265,46,-839
2016-08-16,226500,228500,225000,226500,75504,17101656000,0.0,1735,5018,-5453,1949,-12466,-1275,429,-35,6795,-1297,-3,-850
2016-08-17,226500,229500,225500,227500,91425,20799187500,0.4415,-6731,40506,-32900,-2684,-27073,-503,-2571,315,-234,-872,-3,-150
2016-08-18,227500,227500,222000,224000,108006,24193344000,-1.5385,8275,33948,-40232,-16518,-10706,-1836,542,0,-11714,-1977,-14,0
2016-08-19,222500,223500,214000,214500,205429,44064520500,-4.2411,51570,10671,-57873,-16687,-12959,-2949,-4760,-480,-19153,-4398,30,-885
2016-08-22,212000,213500,209000,212000,95295,20202540000,-1.1655,10359,30469,-41862,-16587,-496,-2693,-5049,-2256,-13039,1030,4,-1742
2016-08-23,212000,214500,210500,210500,64021,13476420500,-0.7075,10044,7542,-19752,-3668,-7163,-762,-2189,0,-5070,2165,1,-900
2016-08-24,210500,216000,210500,214500,60623,13003633500,1.9002,-8189,3378,7201,7209,271,456,1856,77,-3118,-2388,-2,450
2016-08-25,214500,217000,211500,214000,84990,18187860000,-0.2331,-7272,-7056,15264,13900,-11217,-27,-1638,35,13511,-936,0,700
2016-08-26,213500,215500,211500,213000,66707,14208591000,-0.4673,-6125,-4795,13971,8061,-3302,2926,-423,31,6678,-3044,-7,0
2016-08-29,211500,213500,210000,211500,61167,12936820500,-0.7042,5286,4912,-12372,-6241,-3027,-1359,-8133,24,6659,2171,3,-295
2016-08-30,211000,213500,210500,211500,61464,12999636000,0.0,-8080,-5316,13894,-1007,8824,142,1918,61,4272,-498,0,-316
2016-08-31,212500,213000,210000,212000,84126,17834712000,0.2364,-3462,6380,-2922,7575,-2908,-3822,-835,-66,-2366,4,0,-500
