date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,41500,41900,41250,41600,176193,7329628800,0.241,-30539,-43354,77061,54774,6881,4620,1292,0,9494,-3089,-79,0
2016-05-27,41800,42050,41300,41950,177966,7465673700,0.8413,-17666,24990,-7138,-6033,-1901,4387,-105,0,-3484,-121,-65,-2
2016-05-30,41750,42050,41600,41950,192857,8090351150,0.0,-3022,20634,-16814,-4809,-7137,1337,-1675,0,-4530,-798,0,0
2016-05-31,41650,42550,41550,42550,593522,25254361100,1.4303,-45584,29512,16019,49879,4754,517,-7952,0,-31179,53,0,0
2016-06-01,42300,42550,41800,42000,296016,12432672000,-1.2926,35802,48320,-84578,21133,-11065,-12114,-14151,0,-68381,291,165,0
2016-06-02,41750,42750,41600,42400,231542,9817380800,0.9524,-34926,44622,-9864,24435,-4960,-5773,11028,0,-30996,206,-38,-3598
2016-06-03,42700,42800,42250,42800,234547,10038611600,0.9434,-45325,-18136,66506,10326,-3124,-1706,-304,22916,38398,-2907,-138,0
2016-06-07,42450,43450,42400,43400,334185,14503629000,1.4019,-100652,69644,31171,26085,-7564,-92,-24907,0,37649,-125,-38,0
2016-06-08,43400,44200,43200,44050,507279,22345639950,1.4977,-134855,178904,-43505,-41430,-28224,-6820,-6047,-3000,42016,-191,-353,0
2016-06-09,43850,43850,42600,43150,452974,19545828100,-2.0431,63530,78942,-142479,-76972,-88605,-8911,-35902,0,72938,322,-315,-5027
2016-06-10,43150,43450,42650,43200,206646,8927107200,0.1159,-28759,6140,34921,-19694,-16495,-2315,-11926,0,85351,-12302,0,0
2016-06-13,43000,43400,42700,42950,183653,7887896350,-0.5787,-9765,5129,3659,18353,-30060,-2445,-5812,0,23623,977,0,0
2016-06-14,42700,42800,42100,42200,194035,8188277000,-1.7462,38861,6754,-46638,28427,-30881,-1260,-21982,0,-20942,1039,-16,0
2016-06-15,41950,42550,41950,42200,214653,9058356600,0.0,5401,31782,-36957,29716,-13257,-4713,-10504,0,-38199,0,-226,0
2016-06-16,42100,42300,41650,41850,226875,9494718750,-0.8294,14409,-11462,-3101,28728,7916,6543,1785,0,-48073,149,5,0
2016-06-17,41700,42200,41550,42050,303721,12771468050,0.4779,15172,-20532,4163,3316,-5628,-5063,-858,0,12396,1197,0,0
2016-06-20,42800,42800,41750,42500,209511,8904217500,1.0702,-20172,8772,11517,5357,12762,9876,-1318,0,-15160,-117,0,0
2016-06-21,42100,42550,41950,42200,176152,7433614400,-0.7059,-204,2937,-2720,11887,1281,388,-7158,0,-9118,-13,0,0
2016-06-22,42350,42400,41850,42250,217021,9169137250,0.1185,12655,-15773,3119,6857,-28813,0,-1755,0,26830,-1,0,0
2016-06-23,42350,42750,42100,42200,154099,6502977800,-0.1183,-24434,8272,17366,5401,-1335,-14523,868,0,26955,-1204,0,0
2016-06-24,42000,42400,41000,41900,407642,17080199800,-0.7109,8961,-13551,4392,29914,10378,-10736,1244,0,-26525,147,51,117
2016-06-27,41900,42550,41400,42200,291816,12314635200,0.716,-19646,-64223,83456,15728,13831,11592,1698,0,39573,832,-419,1034
2016-06-28,41600,41800,40800,41000,448614,18393174000,-2.8436,195246,-187867,-8171,16314,-4977,-27064,3545,0,3623,782,10,388
2016-06-29,41050,41350,40800,41050,378254,15527326700,0.122,126185,-74821,-51796,-8592,3480,-15274,-1624,0,-29786,391,41,0
2016-06-30,41150,41750,41100,41700,271903,11338355100,1.5834,-66220,105912,-40939,12885,-2325,79,4322,1200,-57100,1247,0,0
2016-07-01,41500,41800,41150,41550,273142,11349050100,-0.3597,18933,13115,-32836,7589,-5342,375,-14656,1448,-22250,668,120,0
2016-07-04,41600,42200,41550,42200,186085,7852787000,1.5644,-58371,80764,-21963,-882,5896,609,-11394,0,-16192,-430,0,0
2016-07-05,41850,42000,41400,41650,199653,8315547450,-1.3033,25493,35235,-61679,-11534,-36366,-6064,-1961,0,-5078,950,1,-676
2016-07-06,41750,41800,40800,41000,240530,9861730000,-1.5606,39716,-56741,16570,8553,-11453,-820,-420,0,20202,310,145,508
2016-07-07,40900,41400,40850,40900,201780,8252802000,-0.2439,26327,-63693,36624,0,12830,7537,3040,0,13217,500,242,0
2016-07-08,40950,41300,40300,40600,340362,13818697200,-0.7335,116900,-27201,-83330,-16280,-1330,-379,-47901,0,-13535,-6368,-1,-3905
2016-07-11,40300,41500,40250,41350,288683,11937042050,1.8473,-83852,38821,44201,-9518,5887,-223,4755,0,45581,831,-1,-2281
2016-07-12,41100,41350,40600,40750,232312,9466714000,-1.451,49617,-46157,-4060,-583,-8464,11884,-2512,0,-5390,611,-11,1005
2016-07-13,40800,41150,40450,41100,360880,14832168000,0.8589,7491,51552,-60280,-10202,-9093,-5128,1186,0,-37043,1237,0,0
2016-07-14,41350,41600,40900,41450,231543,9597457350,0.8516,-25577,52093,-27090,1341,-2900,588,-975,0,-25144,534,40,0
2016-07-15,41650,41950,41250,41750,369497,15426499750,0.7238,-77421,98332,-21132,-24256,-7496,2372,11007,0,-2759,205,16,0
2016-07-18,41600,41750,41250,41400,170652,7064992800,-0.8383,17370,-10696,-6675,1332,-5812,1191,-8607,-2000,7147,0,1,74
2016-07-19,41850,41850,40850,41150,475782,19578429300,-0.6039,49306,-72771,25713,56906,-2370,-1713,1095,0,-28205,-2246,-2,0
2016-07-20,41200,41200,40600,40750,418559,17056279250,-0.9721,99610,-39822,-60835,-26638,-18564,5059,-5570,-200,-14922,1047,0,0
2016-07-21,40750,40900,40650,40700,335523,13655786100,-0.1227,21626,20108,-42275,3196,-21123,-528,-60051,0,36231,514,27,0
2016-07-22,40700,40700,40350,40350,291170,11748709500,-0.86,119884,-122557,3466,-20000,-4089,3646,-4350,300,27959,1334,-2127,0
2016-07-25,40550,40950,40450,40950,222009,9091268550,1.487,-24603,21142,3598,-35257,-4115,12376,24286,600,5708,-137,0,0
2016-07-26,40750,41450,40750,41400,316146,13088444400,1.0989,-87732,30311,58392,14258,-2839,-324,16377,0,30920,-776,-195,0
2016-07-27,41400,41500,40900,41000,268119,10992879000,-0.9662,10740,16641,-27637,7063,-22375,2690,-29525,614,13656,256,0,240
2016-07-28,40900,41400,40900,41350,208683,8629042050,0.8537,-7538,-16441,24227,16111,-6545,5968,7914,100,679,-248,0,0
2016-07-29,41200,41400,40950,41000,324941,13322581000,-0.8464,4076,-52530,47852,-9223,-21656,10445,99721,100,-31693,602,0,158
2016-08-01,41400,41700,41050,41300,273260,11285638000,0.7317,-51192,-23612,74104,11350,-3914,11798,64994,0,-10124,654,46,0
2016-08-02,41050,41350,40450,40450,373219,15096708550,-2.0581,110855,-88683,-23056,-11894,-26809,14109,22085,2692,-23239,971,-87,0
2016-08-03,38100,39650,37850,38950,978086,38096449700,-3.7083,212867,66366,-264358,-64184,-114961,-38232,-17285,-621,-19492,-8151,-6724,-9583
2016-08-04,39600,40250,39500,40200,419836,16877407200,3.2092,-588,18795,-18280,-11008,31610,2645,-1045,975,-34457,58,15,-7000
2016-08-05,40600,40900,40300,40700,346987,14122370900,1.2438,-81107,163551,-76521,-8750,1876,-3527,-15320,0,-50800,-23,-5900,0
2016-08-08,40950,41100,40500,41100,294397,12099716700,0.9828,-57467,134588,-76665,-45810,-3373,-71,-33255,0,5844,-456,0,0
2016-08-09,41100,41550,41000,41500,278460,11556090000,0.9732,-75758,121537,-44979,-52125,-14963,9182,-10158,-481,23807,-801,1,-241
2016-08-10,41250,42150,41200,42150,380562,16040688300,1.5663,-138049,182151,-56060,-33184,-15928,-21614,5965,-202,8903,-1041,12999,0
2016-08-11,41650,42100,41200,42100,202385,8520408500,-0.1186,1417,-36561,35446,-13881,-8180,-164,25,-300,57946,-117,-185,0
2016-08-12,41800,42250,41450,42200,186980,7890556000,0.2375,-56495,21703,36314,-11564,-362,6622,-419,0,42037,-1523,1,0
2016-08-16,41800,42150,41750,41750,195337,8155319750,-1.0664,-14792,7395,7424,-11441,6630,5469,-1063,0,7829,-27,0,0
2016-08-17,41750,42200,41250,41400,239412,9911656800,-0.8383,8139,86905,-95064,-51173,-14631,-3449,-9900,-560,-14881,20,0,-470
2016-08-18,41200,41900,41200,41250,207284,8550465000,-0.3623,367,85473,-78142,-15233,-5881,3853,-9399,0,-51482,-7699,1,0
2016-08-19,41200,41200,39900,39900,471565,18815443500,-3.2727,177506,-17126,-161314,-16716,-80665,8521,2066,870,-75738,124,810,348
2016-08-22,39800,40450,39350,39450,441281,17408535450,-1.1278,69211,32016,-91119,-9958,-29391,-22998,29420,-1448,-56744,-10120,12,0
2016-08-23,39450,39600,39000,39500,357732,14130414000,0.1267,61006,9045,-57632,-4403,-15562,-5581,-8722,0,-23364,-12430,11,0
2016-08-24,39800,39800,39350,39600,242521,9603831600,0.2532,16335,6981,-23292,15729,-2008,-27410,8160,0,-17763,-24,0,0
2016-08-25,39600,40300,39400,39600,378783,14999806800,0.0,33569,-88865,55220,23066,-24558,11950,5896,0,38866,66,10,0
2016-08-26,39600,40300,39600,40100,240102,9628090200,1.2626,-39233,-57540,96786,14518,-3406,14255,38744,0,30408,-13,0,2267
2016-08-29,40100,40550,39600,40500,315922,12794841000,0.9975,-32389,-19432,51845,-5080,-5237,12295,-20926,49700,21093,-20,-4,0
2016-08-30,40500,40550,40050,40200,218133,8768946600,-0.7407,20669,-35247,14577,-20836,-23777,41930,-8070,0,25330,0,1,0
2016-08-31,40000,40200,39400,39450,346875,13684218750,-1.8657,71188,-14418,-56842,-5594,-10661,-30531,4611,0,-14667,45,27,0
2016-09-01,39700,40300,39400,40200,239590,9631518000,1.9011,-33031,74928,-42222,4724,-22244,-12099,21741,0,-34344,77,248,0
2016-09-02,40400,40400,39800,40050,155607,6232060350,-0.3731,19266,47077,-66343,145,-3702,6968,10765,0,-80519,0,0,0
2016-09-05,40200,40600,40050,40500,137569,5571544500,1.1236,-43585,21926,21594,-3208,-11548,-12164,5173,0,42186,-23,88,1155
2016-09-06,40150,40500,39850,40000,235965,9438600000,-1.2346,46252,19025,-65725,-4653,-20964,-13106,-6133,-655,-19010,447,1,-1204
2016-09-07,39900,40200,39850,40000,178808,7152320000,0.0,1995,-5277,2923,-2829,-11254,197,7367,0,13998,349,10,-4556
2016-09-08,40000,40100,39750,39900,293600,11714640000,-0.25,14653,10597,-25690,-16625,-39942,1849,23558,0,6350,410,30,-880
2016-09-09,39600,39650,39150,39300,202583,7961511900,-1.5038,93504,-65064,-29066,12125,-11341,1862,2936,0,-34707,485,141,59
2016-09-12,39750,39750,39000,39300,223389,8779187700,0.0,-20761,-51093,72095,18964,4688,3027,385,359,44244,-248,7,428
2016-09-13,39300,39400,38450,38450,383320,14738654000,-2.1628,194467,-42182,-153410,4225,-29108,1181,2359,726,-132895,1074,51,102
2016-09-19,38200,39300,38100,38400,446127,17131276800,-0.13,39385,16710,-55910,18998,6113,-11072,1547,164,-71660,-261,76,0
2016-09-20,38150,39000,38150,39000,406126,15838914000,1.5625,-4586,111680,-107114,14820,-34694,2408,-670,0,-88978,20,0,0
2016-09-21,39000,39500,38550,39500,302757,11958901500,1.2821,-31853,32557,-669,49071,-23869,2737,13388,0,-41996,-46,11,0
2016-09-22,39700,40000,39500,39600,219472,8691091200,0.2532,-23248,62295,-39538,-1745,-21621,-8513,-1806,0,-5913,594,-103,60
2016-09-23,40150,40150,39400,39800,332227,13222634600,0.5051,-5350,7383,-2868,-2999,-15652,15630,-25426,0,25579,885,-50,0
2016-09-26,39950,40000,39750,39900,270860,10807314000,0.2513,-57548,-4897,62487,30261,17748,585,3937,0,11182,-42,0,-1226
2016-09-27,40000,40250,39400,40150,191705,7696955750,0.6266,-55554,14369,41232,14298,952,877,4264,0,20841,0,-47,0
2016-09-28,39800,40300,39500,39700,169097,6713150900,-1.1208,18955,-51576,32649,23149,-4954,5766,-3888,0,12576,-28,0,0
2016-09-29,39700,40200,39700,39950,134759,5383622050,0.6297,-36267,17226,19082,1472,-14875,867,-7977,25000,14595,0,-41,0
2016-09-30,40100,40150,39200,39300,317198,12465881400,-1.627,44232,-34451,-9803,-2505,-12241,1100,-5167,-5,9015,20,2,0
2016-10-04,39450,39700,39050,39100,177853,6954052300,-0.5089,24502,7832,-32340,6751,-8215,10,-3651,0,-27235,0,6,0
2016-10-05,39000,39250,38200,38850,416647,16186735950,-0.6394,48371,13230,-62589,13262,-43034,1479,2587,22,-36905,968,20,0
2016-10-06,38500,38750,37750,38000,512965,19492670000,-2.1879,275625,-66453,-209859,-151818,-9569,-1109,5593,624,-53955,273,414,375
2016-10-07,37850,38550,37800,38000,287407,10921466000,0.0,-10013,58494,-48659,-2391,-20303,-1381,-4362,0,-20222,298,-120,0
2016-10-10,38450,38800,38100,38350,215767,8274664450,0.9211,-40054,-44614,84668,11234,-22218,-535,1479,0,94708,0,0,0
2016-10-11,38750,38850,38150,38250,272814,10435135500,-0.2608,36144,-61354,26280,-29456,-23999,-3516,-1185,0,84436,-566,-504,0
2016-10-12,38500,38600,38150,38350,361935,13880207250,0.2614,39918,-119367,79249,-19731,-4624,-5288,11936,0,96956,200,0,0
2016-10-13,38200,38250,37700,37900,422143,15999219700,-1.1734,113393,-64244,-51532,55131,3030,-6175,8207,728,-112453,2324,59,0
2016-10-14,37950,38250,37700,37700,699196,26359689200,-0.5277,41056,-54220,12425,18351,-15927,1698,1041,0,7262,714,25,0
2016-10-17,38200,38500,38000,38400,404821,15545126400,1.8568,-57966,91468,-33006,15724,14454,-19092,10240,0,-59332,-500,4,5000
2016-10-18,38450,38700,38250,38700,261195,10108246500,0.7812,-26246,47432,-21186,-1132,-19826,-1778,-426,0,-24,0,0,2000
2016-10-19,38550,39050,38400,39050,251919,9837436950,0.9044,-61079,86467,-25181,-1520,8000,1021,914,0,-33596,-45,-162,0
2016-10-20,39050,39200,38650,39150,207087,8107456050,0.2561,-33884,18853,14441,2750,8301,-1509,-4915,136,9678,589,1,0
