date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,140999,141999,139997,140799,45223,6367353177,-0.1426,-3650,-3338,7660,-1848,-52,4210,-304,-4,5658,-663,-9,0
2016-05-27,141199,141398,139196,140198,45014,6310872772,-0.4268,-271,5578,-6144,1380,-1717,-2994,-2144,-9,-660,73,764,0
2016-05-30,141199,142601,140598,142201,82852,11781637252,1.4287,-15202,41114,-25671,-7501,-10802,268,-992,-1000,-5602,-241,0,-42
2016-05-31,142200,144203,141399,144204,115867,16708484868,1.4086,-13538,17215,-3319,4091,-822,27,521,285,-7421,-342,-16,0
2016-06-01,140198,140399,133389,137595,336227,46263154065,-4.5831,29880,20326,-49184,13899,-28591,-8706,-4184,-3925,-15275,-217,-805,-2402
2016-06-02,138997,142802,138396,139598,101813,14212891174,1.4557,-10563,32287,-21664,-4315,300,-3269,-6051,-200,-7904,-25,-35,-225
2016-06-03,140598,141800,139196,141600,87753,12425824800,1.4341,-10304,-1740,12108,2009,103,567,-1510,-160,11427,-39,-25,-328
2016-06-07,145804,146005,141199,141600,99661,14111997600,0.0,-3714,12711,-9096,-7152,-1147,506,-3705,6,5788,-69,168,-3392
2016-06-08,142001,145205,141801,144605,111238,16085570990,2.1222,-38634,46611,-7627,-10755,-3766,1118,-973,-704,9503,-203,-147,-2050
2016-06-09,146405,146806,142601,144204,134568,19405243872,-0.2773,-16578,29142,-12385,-6589,-11091,-1412,-10645,201,18372,-168,-11,-1221
2016-06-10,146405,146806,143602,144204,95001,13699524204,0.0,-6287,7337,-1168,14085,-14460,-4688,-4660,-5,9667,98,20,-1107
2016-06-13,143002,143002,137394,139598,160118,22352152564,-3.1941,8745,-5110,-3627,-1621,-13376,-4243,9966,8,5639,-48,40,0
2016-06-14,137995,140599,135992,139598,130979,18284406442,0.0,-5653,-3212,7231,8691,-579,-1097,2932,0,-2692,1656,-22,-24
2016-06-15,141000,142001,138596,139598,70465,9836773070,0.0,251,9366,-9618,2093,-8574,2654,2,0,-5803,0,1,10
2016-06-16,138396,140399,138396,140399,59844,8402037756,0.5738,-1419,5031,-3622,577,1945,3420,415,423,-10402,17,-7,0
2016-06-17,140397,140597,137794,137995,73560,10150912200,-1.7123,-594,1070,-469,-3971,1569,149,-2014,142,3856,2,-9,-200
2016-06-20,139596,139596,136993,138596,61510,8525039960,0.4355,6020,19989,-26042,-9233,-11512,598,-2164,1145,-4897,29,4,21
2016-06-21,138997,139798,137795,139598,61540,8590860920,0.723,-1373,15161,-13669,5896,-12240,-3697,1230,97,-5251,-118,-1,296
2016-06-22,139998,146207,139998,146207,201087,29400327009,4.7343,-63711,56355,8932,13023,-4090,654,5577,73,-1962,-1534,-42,-4343
2016-06-23,146808,152215,146607,149612,226122,33830564664,2.3289,-59724,42342,17404,21936,-4312,10672,1915,-21,-10346,37,-59,-2440
2016-06-24,149210,152013,144403,148009,173581,25691550229,-1.0714,-10814,-5402,16864,6329,-7005,7789,1765,296,7463,-591,-57,227
2016-06-27,145804,146205,141399,142201,234896,33402446096,-3.9241,6872,-28362,22524,16127,-5466,-3210,1262,-246,13843,-1014,-20,214
2016-06-28,140399,144004,140198,144004,154017,22179064068,1.2679,6508,-20231,13609,6061,739,7541,-1707,-130,1077,114,0,28
2016-06-29,143202,145003,142801,142802,148394,21190959988,-0.8347,8297,-10505,2197,3223,13,3885,1066,-129,-5861,1,10,0
2016-06-30,142200,143601,141599,142201,96655,13744437655,-0.4209,2562,-2951,333,3615,5002,2748,-719,0,-10313,61,-5,0
2016-07-01,142801,144803,142801,142802,76569,10934206338,0.4226,1214,831,-1174,2359,-1074,415,-435,322,-2344,9,-880,-417
2016-07-04,143402,146006,142601,145606,117837,17157774222,1.9636,-1924,2401,2142,6688,50,3996,-5272,316,-3750,-189,-2430,114
2016-07-05,146207,151414,146207,150213,127066,19086965058,3.164,-22263,29730,-5653,-1005,-5162,6248,-3324,-97,76,-1813,-1,-2389
2016-07-06,150212,150212,146206,149211,122446,18270290106,-0.6671,1055,-3161,2035,749,-1145,252,205,-62,1751,27,44,285
2016-07-07,150612,154216,149811,150813,68516,10333103508,1.0736,-2187,1327,3261,-1243,505,1411,567,-22,1793,-2232,-169,250
