date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,20011,20131,19850,20011,185523,3712500753,0.1,28690,-31954,13231,8262,-2117,-10580,4185,-379,11360,-10035,68,2500
2016-05-27,20151,20312,20051,20192,201380,4066264960,0.9045,-16259,-2687,17503,0,236,83,10432,0,6462,1417,26,290
2016-05-30,20392,20773,20331,20633,353802,7299996666,2.184,-16315,12442,8751,671,687,126,540,1862,3455,-4660,-218,1410
2016-05-31,20633,20773,20472,20633,332493,6860328069,0.0,-8783,49784,-42096,-31978,2630,145,7123,2793,-22837,1274,-179,28
2016-06-01,20653,20673,19689,19770,1011274,19992886980,-4.1826,263387,-32542,-221492,-19010,-31376,-135824,-7568,-2710,-30536,-7249,-2104,5532
2016-06-02,19870,19930,19328,19569,556790,10895823510,-1.0167,163235,-141132,-24737,64482,-11415,-82078,3931,100,-1427,3640,-1006,1670
2016-06-03,19469,19790,19449,19670,321939,6332540130,0.5161,60564,-8131,-54233,1003,-233,-13950,-43,0,-41340,1633,167,330
2016-06-07,19649,19790,19489,19710,278467,5488584570,0.2034,-2634,6446,-7863,35244,-5080,-27828,-783,0,-8916,4046,5,-500
2016-06-08,19549,19749,19448,19469,330359,6431759371,-1.2227,63943,-28317,-40999,2448,-10957,-13285,777,-2570,-15462,5022,351,-1950
2016-06-09,19549,19569,18947,19108,870266,16629042728,-1.8542,326085,-212178,-117630,6195,-39275,-61612,-1917,-2600,-18955,2644,1079,534
2016-06-10,19168,19288,18987,19048,394023,7505350104,-0.314,158460,-137988,-27951,9457,-24395,-5075,-444,-101,-9003,2319,5160,1610
2016-06-13,18907,18967,18766,18827,262900,4949618300,-1.1602,32068,-39811,6695,10245,-3588,-532,-2325,-135,3030,1172,-124,0
2016-06-14,18666,19107,18666,18887,282122,5328438214,0.3187,23024,-20947,-6138,-4988,-4963,-8625,2000,-475,10913,4033,28,0
2016-06-15,18846,18866,18626,18626,248917,4636328042,-1.3819,66367,-38666,-29213,-6291,-15945,-10817,2519,-6,1327,647,865,0
2016-06-16,18666,18826,18244,18305,347392,6359010560,-1.7234,29719,-39559,8987,17089,-3721,-1740,-1957,0,-427,-562,1415,-257
2016-06-17,18405,18545,18204,18325,253700,4649052500,0.1093,59039,2294,-66084,-38825,-5993,-17485,-6978,1100,2097,4180,571,0
2016-06-20,18365,19048,18365,19048,301386,5740800528,3.9454,-92466,16842,75983,44938,628,3508,8094,67,18080,-389,30,668
2016-06-21,19108,19208,18786,18827,184809,3479399043,-1.1602,6496,6225,-10507,-1822,-709,-7515,-14,0,-447,-3979,1765,0
2016-06-22,18726,19007,18726,18907,139412,2635862684,0.4249,8086,19529,-24571,-5447,-12414,-3852,-2460,780,-1178,-2952,-92,0
2016-06-23,18826,18866,18645,18706,186812,3494505272,-1.0631,22249,4691,-31147,-7623,-11283,-964,-792,0,-10485,4154,53,0
