date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,39650,39850,39450,39650,129099,5118775350,0.1263,-11360,-13141,20405,-2019,6878,16029,-2755,777,1495,4153,-57,0
2016-05-27,39950,40300,39650,39850,147363,5872415550,0.5044,-16136,-10950,24766,4298,-12892,1157,30037,735,1431,2457,-137,0
2016-05-30,40050,40050,39200,39350,121302,4773233700,-1.2547,34880,-2910,-31880,-19390,-15224,530,-46,205,2045,10,-100,0
2016-05-31,39150,40100,39050,39750,159243,6329909250,1.0165,-21297,26318,-4643,-12328,10893,-600,5225,-196,-7637,-301,-77,0
2016-06-01,39650,39850,39250,39550,153177,6058150350,-0.5031,25409,5632,-31080,11741,-14664,8546,-1381,107,-35429,100,-61,0
2016-06-02,39550,39750,39050,39050,169467,6617686350,-1.2642,39803,19426,-62210,-6625,-42995,-4250,-1379,5,-6966,3057,-76,0
2016-06-03,39050,39300,38850,39050,209349,8175078450,0.0,-2801,22195,-22601,6125,-25224,-1862,-2909,-404,1673,3290,-83,0
2016-06-07,39350,40350,39000,40100,278144,11153574400,2.6889,-43369,14587,26715,-2268,-7874,20400,12765,-160,3852,1942,125,0
2016-06-08,40100,40350,39850,40100,172186,6904658600,0.0,8852,-28062,19442,4569,-7428,10810,-4337,-761,16589,-242,10,0
2016-06-09,40300,40950,39900,40850,307572,12564316200,1.8703,-36882,-48915,83312,38594,-9097,3779,9607,9352,31077,2315,170,0
2016-06-10,40750,42000,40550,41950,275253,11546863350,2.6928,-118714,-1374,119329,66136,12430,1417,13005,13453,12888,42,717,0
2016-06-13,41500,41900,40350,40600,169084,6864810400,-3.2181,36443,-31237,-5701,-8501,1157,-684,-115,9,2433,719,-224,0
2016-06-14,40600,41450,40350,41250,295117,12173576250,1.601,-105774,53242,66202,33174,21012,2297,-11340,216,19790,-13458,-212,1053
2016-06-15,41250,41750,40450,41500,271248,11256792000,0.6061,-26013,3786,23071,2184,9357,1615,29648,133,-20082,-382,-462,216
2016-06-16,41550,41550,40200,40400,234928,9491091200,-2.6506,65449,-87702,22215,-2413,3075,6209,4090,-637,11891,38,0,0
2016-06-17,40500,41150,40450,40550,185046,7503615300,0.3713,-36309,-6355,42815,730,9240,-2854,40861,372,-5534,-250,99,0
2016-06-20,40950,41500,40700,41000,134229,5503389000,1.1097,-21322,-8836,30361,14769,3546,3330,-559,367,8703,-175,-28,205
2016-06-21,40900,40900,39600,39750,209695,8335376250,-3.0488,99892,-73038,-26758,-16390,-1951,-14867,1914,5,6172,-44,-52,-1641
2016-06-22,39850,40000,39400,39850,202511,8070063350,0.2516,17996,21094,-34833,-7750,-21617,-24,-17150,-4185,17209,-4246,-11,-1316
2016-06-23,40000,40000,39600,39950,91298,3647355100,0.2509,-8103,-429,8468,7391,-2834,-250,4870,-132,2423,62,2,-3000
2016-06-24,40000,40200,37750,38100,349396,13311987600,-4.6308,13351,52106,-45240,8078,-5530,924,-33474,223,-15461,-20343,126,0
2016-06-27,37900,38600,37200,38350,206582,7922419700,0.6562,-33059,60880,-25302,-2485,-26015,2153,-1883,-1871,6799,-2494,-25,-2000
2016-06-28,38000,39250,37800,39050,162299,6337775950,1.8253,-25530,26119,-695,315,-35891,778,36654,268,-2819,106,0,0
2016-06-29,39150,40000,39050,39300,151346,5947897800,0.6402,-7396,10544,-3105,-24066,11527,15590,6414,69,-12639,-42,-1,0
2016-06-30,39600,39800,39250,39750,95807,3808328250,1.145,-1295,37354,-36425,-617,-859,-16,-5664,-1893,-27376,366,0,0
2016-07-01,39600,39850,39350,39500,108922,4302419000,-0.6289,21496,1052,-22722,-3722,11909,162,-27165,-2081,-1825,154,20,0
2016-07-04,39500,39750,39050,39600,123698,4898440800,0.2532,11400,-14673,7289,27973,14677,-73,-28191,210,-7307,-93,-3923,0
2016-07-05,39650,39850,39300,39800,92480,3680704000,0.5051,-6695,-7027,11813,-2069,12917,8937,-4280,-618,-3074,1919,-10,0
2016-07-06,40050,40600,39050,39250,225945,8868341250,-1.3819,42708,-23946,-17898,-10502,-15283,7274,-5787,-489,6453,-2502,1638,436
2016-07-07,39600,39800,39200,39550,111124,4394954200,0.7643,-5286,5500,-8510,3002,-10108,-1,-1242,224,-385,8296,0,0
2016-07-08,40200,40300,38600,39050,172748,6745809400,-1.2642,50891,-25303,-27944,-3430,-1969,407,-20524,174,-2093,3195,-839,-509
2016-07-11,39450,39750,39250,39750,73283,2912999250,1.7926,-31181,15761,12766,-751,2416,0,-2777,-261,14139,2654,0,0
2016-07-12,39500,39650,39150,39450,121978,4812032100,-0.7547,21947,20277,-28319,-2691,-32532,-22,2064,-74,2697,-660,-13245,2239
2016-07-13,39650,39950,39400,39700,151754,6024633800,0.6337,-5403,31400,-26007,-22496,4039,-8355,-3880,64,4621,0,10,0
2016-07-14,39650,40250,39600,39800,152046,6051430800,0.2519,-19188,26452,-7180,-14386,14841,1580,-9997,112,670,-67,-17,0
