date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,236000,240000,233500,234500,97049,22757990500,-0.6356,-7990,-4469,12467,-4655,5179,-3382,5131,-100,10294,0,-8,0
2016-05-27,237000,237500,233500,234000,68418,16009812000,-0.2132,-3980,-10705,14491,-1453,21407,-3988,-1340,0,-64,179,15,-71
2016-05-30,235000,240500,234000,239000,91018,21753302000,2.1368,-15838,8874,7677,-7737,10095,-6066,4127,0,7270,-735,22,-12
2016-05-31,238500,241000,237000,240500,138389,33282554500,0.6276,-6298,-3421,9622,-4610,5069,2341,2070,0,2331,92,5,2421
2016-06-01,239000,240000,233000,233500,86258,20141243000,-2.9106,27767,-14039,-14125,-9539,8085,477,-8733,200,-4512,418,-21,-103
2016-06-02,234000,235500,230500,230500,93927,21650173500,-1.2848,21790,1605,-23442,-15707,-5614,4071,-5268,138,-1062,64,-17,0
2016-06-03,230000,234000,228500,231500,104431,24175776500,0.4338,-751,-39318,40008,1554,17850,-2496,6866,180,16054,92,-31,0
2016-06-07,233500,237000,232000,235500,104509,24611869500,1.7279,-7226,-3806,10879,2986,9402,-7741,-3525,-200,10232,129,24,-275
2016-06-08,234500,236000,231000,235500,75255,17722552500,0.0,-3480,11468,-8153,-467,-5176,-4389,-1690,-1583,5152,160,5,0
2016-06-09,235000,236000,231500,231500,122747,28415930500,-1.6985,5845,19679,-25347,-3165,-10644,3586,-5739,1581,-11957,-183,6,991
2016-06-10,231500,235000,230500,234000,80335,18798390000,1.0799,-360,13231,-12863,-14197,-3471,-4309,-4927,-10,14051,-37,29,0
2016-06-13,234500,235500,230000,232500,93548,21749910000,-0.641,-6395,3709,3308,-4250,-3687,268,692,1000,9394,-617,-5,-109
2016-06-14,233000,233500,228000,230000,90970,20923100000,-1.0753,-1296,1935,-399,18976,1121,-12401,-1700,8,-5403,-132,-108,-1000
2016-06-15,231000,232500,224500,225500,106364,23985082000,-1.9565,42459,-13599,-30857,-9574,3057,-8667,-497,150,-15326,2094,-97,0
2016-06-16,225500,228500,220500,220500,95692,21100086000,-2.2173,8007,14105,-22538,-2909,2112,-6453,-677,688,-15299,474,-48,0
2016-06-17,222500,224500,213000,218500,222369,48587626500,-0.907,14678,22774,-38343,-33767,8134,-13535,3443,-344,-2266,961,-70,-8
2016-06-20,220500,226500,218500,224500,128448,28836576000,2.746,-10012,-2172,12822,-1013,8312,7877,-3508,952,542,-692,54,-340
2016-06-21,224500,229500,223500,225000,76560,17226000000,0.2227,-5154,1082,4655,9014,-3319,-7,5490,437,-6960,-685,102,0
2016-06-22,226000,228500,225000,227500,59708,13583570000,1.1111,-7842,9255,-1558,2757,-2579,-4973,2575,1060,-341,-113,258,-57
2016-06-23,227500,233000,227500,229500,99584,22854528000,0.8791,-21730,14731,7078,6475,858,2217,745,285,-3504,-79,0,2
2016-06-24,231500,232500,216000,223500,195666,43731351000,-2.6144,-22956,-1093,25712,16905,10553,-2948,2568,-2349,-2509,-1595,-68,3492
2016-06-27,220500,228500,219500,226500,89961,20376166500,1.3423,-24608,-5245,29797,3124,11301,821,14012,-2082,2457,56,0,164
2016-06-28,223000,228500,223000,224000,65741,14725984000,-1.1038,10882,-15175,1504,1719,-1799,-818,1362,0,1038,2789,0,2
2016-06-29,225500,228000,224000,226000,65618,14829668000,0.8929,10200,-7504,-2241,-2051,13325,-4207,-8,0,-8121,-457,2,-1179
2016-06-30,227500,237500,226500,236000,156820,37009520000,4.4248,-31696,17846,13194,12416,1394,-1705,12349,0,-10895,665,-9,-365
2016-07-01,238500,243000,236000,241000,155071,37372111000,2.1186,-36519,9853,21345,19585,15858,3023,18628,341,-36090,1188,4133,0
2016-07-04,241000,247500,241000,245500,160441,39388265500,1.8672,-51915,34196,19280,11648,2421,6318,5456,-3,-6060,-5154,3593,-500
2016-07-05,244000,247500,243500,246500,83563,20598279500,0.4073,-13817,10057,3955,1907,3862,-2416,357,-550,-705,-201,6,1500
2016-07-06,246500,249500,243000,246500,164178,40469877000,0.0,-21912,44042,-19547,3219,1852,-1260,-1515,-1941,-19902,-2520,-63,0
2016-07-07,248000,251500,247500,251000,108892,27331892000,1.8256,-43001,20159,22836,12858,-4572,7019,240,-281,7572,-41,47,0
