date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,73800,73800,72100,72300,34939,2526089700,-0.9589,5201,6271,4876,4714,-1332,150,255,0,1089,-16348,0,0
2016-05-27,73000,73000,71900,72700,10803,785378100,0.5533,-1369,3418,2242,0,-169,58,1070,0,1283,-4291,0,0
2016-05-30,72600,73200,71200,72900,17253,1257743700,0.2751,-3178,5477,733,-194,-1344,1789,425,-1,58,-3032,0,0
2016-05-31,72000,74000,71900,73400,62663,4599464200,0.6859,-2846,4803,20527,1725,2742,-3201,15835,-408,427,-22484,0,3407
2016-06-01,73400,73900,72100,72500,53398,3871355000,-1.2262,-3039,26473,10937,4613,4358,6293,-3876,0,-451,-34361,-10,0
2016-06-02,72800,73300,72300,72700,36040,2620108000,0.2759,-7938,4678,12595,3762,2278,5613,-3381,0,4323,-9335,0,0
2016-06-03,72200,72500,71400,72400,15720,1138128000,-0.4127,707,-469,-239,198,-883,59,-432,0,819,1,0,0
2016-06-07,72000,76600,72000,76500,107001,8185576500,5.663,-23552,10626,56881,10805,13223,8879,24091,-48,-1886,-43055,-900,1817
2016-06-08,76700,76800,75000,76000,69827,5306852000,-0.6536,12,-9565,9151,-8956,7962,712,9563,0,-2134,-50,452,2004
2016-06-09,76700,78600,76100,76600,59467,4555172200,0.7895,-8078,-4299,13539,-2274,-7392,3679,10254,0,9272,-1162,0,0
2016-06-10,77600,77600,74200,75000,36711,2753325000,-2.0888,11233,-4816,-4048,5472,-8565,-735,889,-4,-1105,-2369,0,0
2016-06-13,75000,75000,72600,73000,30265,2209345000,-2.6667,6421,-8620,2211,-25,2772,1002,-831,-3,-704,-12,0,0
2016-06-14,72900,72900,71400,72200,41773,3016010600,-1.0959,6590,-13443,5264,5776,-5171,900,-321,0,4080,-200,1789,0
2016-06-15,72900,74000,72200,73800,130356,9620272800,2.2161,-6572,-9839,15331,8580,4422,-3450,5353,0,14,1,1079,412
2016-06-16,73100,73900,72400,73500,108491,7974088500,-0.4065,-4948,-7702,12660,6994,2833,0,2365,0,468,0,-10,0
2016-06-17,73600,74000,71000,71000,170596,12112316000,-3.4014,10144,1949,-11675,18,-2547,-2226,2295,0,-9215,-418,0,0
2016-06-20,72000,75100,71900,74500,127453,9495248500,4.9296,-3630,-13858,13530,-21954,30991,-493,12526,0,-8159,46,3912,619
2016-06-21,74500,74800,73000,74000,62096,4595104000,-0.6711,-1244,298,156,4222,-1694,138,-1901,0,-609,790,0,0
2016-06-22,74000,75300,73600,74600,35287,2632410200,0.8108,2269,10454,-12709,-1796,-10785,-6,-551,0,429,-14,0,0
2016-06-23,74000,74600,72800,74200,30069,2231119800,-0.5362,1267,-11635,10368,5831,1051,-179,3760,0,-152,0,0,57
2016-06-24,75000,75000,68400,69400,116981,8118481400,-6.469,527,-5691,5114,10103,-4241,-5795,7728,-2647,-657,20,30,623
2016-06-27,68200,70900,67000,70600,72883,5145539800,1.7291,-4216,36187,-31941,-17502,-1463,-10750,2096,18,-4945,0,-30,605
2016-06-28,70600,72000,68300,71400,60794,4340691600,1.1331,-3202,-147,3332,-5441,1669,-139,-3176,5116,5077,17,0,226
2016-06-29,72000,72300,71100,71200,38501,2741271200,-0.2801,6198,-569,-5629,-6654,557,-2495,1622,884,457,0,0,0
2016-06-30,71800,72000,70900,71400,43337,3094261800,0.2809,3210,-13036,9826,1970,1414,-15,904,0,5553,0,0,0
2016-07-01,71400,72200,71100,71800,52437,3764976600,0.5602,541,-19806,19153,13931,1561,-609,2555,844,871,112,0,0
2016-07-04,72000,72100,70700,71200,38824,2764268800,-0.8357,10143,-5653,-4500,-5956,2706,3764,-7299,0,2285,10,0,0
2016-07-05,70900,72100,70600,72000,34112,2456064000,1.1236,-4799,9468,-4679,-9562,1725,384,2444,0,330,10,0,0
2016-07-06,71700,71700,69000,69700,60292,4202352400,-3.1944,15847,-7157,-8672,7350,-3546,-15861,1069,0,1877,-18,0,439
2016-07-07,70200,71500,70000,71100,36989,2629917900,2.0086,-9990,23386,-13896,-9529,-4656,0,691,0,-402,500,0,0
2016-07-08,71400,71400,69600,70400,26181,1843142400,-0.9845,705,5547,-6552,1354,-2935,-204,1552,0,-6319,300,0,0
2016-07-11,71100,72800,70900,72700,87845,6386331500,3.267,-12337,-21991,34027,-7565,14333,428,6208,0,20623,301,0,0
2016-07-12,72700,73600,72100,73400,63207,4639393800,0.9629,-7615,-9177,18695,18628,8559,0,-7973,0,-143,-1903,0,-376
2016-07-13,74200,75900,73800,74700,67734,5059729800,1.7711,-5422,8405,-2938,424,-4137,879,-932,205,623,5,-50,0
2016-07-14,74900,75000,73600,74000,67653,5006322000,-0.9371,3635,-6571,3432,-122,-214,1865,1695,-14,222,-160,-336,0
2016-07-15,74500,75100,73700,74100,67177,4977815700,0.1351,966,12718,-13850,-10660,-567,195,-3343,0,525,393,-227,0
2016-07-18,73500,74100,72600,73500,27963,2055280500,-0.8097,5938,1483,-7027,-400,-724,-116,-6022,0,235,-394,0,0
2016-07-19,73200,73900,71900,72800,28962,2108433600,-0.9524,6331,3404,-9737,-5047,648,514,-5770,0,-82,2,0,0
2016-07-20,72400,73800,72400,73600,45422,3343059200,1.0989,-5553,-810,6390,2598,356,405,2426,0,605,-27,0,0
2016-07-21,73600,74100,72600,73100,51946,3797252600,-0.6793,3304,-475,-2820,8340,-251,0,-8291,-3,-2615,-9,0,0
2016-07-22,73000,73900,72800,73600,66835,4919056000,0.684,-1769,-16256,18025,10634,-1823,8245,770,0,199,0,0,0
2016-07-25,74100,77400,74100,75800,97327,7377386600,2.9891,769,-10196,9609,-15253,1098,6221,10217,227,6865,-134,-48,234
2016-07-26,75800,76500,75600,76500,25720,1967580000,0.9235,-3989,4530,-619,1040,-2213,775,5,0,-226,50,28,0
2016-07-27,76500,77300,76100,77000,47308,3642716000,0.6536,-5702,-6339,12072,16628,-99,-59,8603,234,-13235,-31,0,0
2016-07-28,77100,78200,75700,76500,54350,4157775000,-0.6494,-5212,-6177,11422,795,5828,2229,7627,0,-4575,-53,20,-482
2016-07-29,76900,81500,76900,79100,132024,10443098400,3.3987,-21619,-271,21910,10223,11985,-15529,11914,658,2376,-20,0,283
2016-08-01,79800,80700,77500,79400,88380,7017372000,0.3793,446,-19872,19348,7541,-1852,1262,6671,0,5726,88,-10,0
2016-08-02,79000,79300,78000,78200,62163,4861146600,-1.5113,-8189,9905,-1648,7475,4475,-5352,-10867,830,107,-50,-18,1684
2016-08-03,77900,79200,76500,79000,34062,2690898000,1.023,-5502,-3000,8505,6902,1461,-329,-685,-39,1195,-3,0,0
2016-08-04,79300,79600,78200,79300,30040,2382172000,0.3797,-4277,-9430,13707,10865,5148,-4876,3144,-19,-555,0,0,0
2016-08-05,78700,79800,78600,79400,48119,3820648600,0.1261,-2372,19547,-16882,744,1060,-4037,-16532,0,1883,-291,-2,0
2016-08-08,79900,80200,79100,79300,61599,4884800700,-0.1259,-5971,18767,-12650,-2173,-2239,640,-2590,0,-6288,-146,0,0
2016-08-09,79900,79900,78900,79500,67360,5355120000,0.2522,-1021,41163,-40308,-29234,-1036,-3352,-4257,0,-1040,166,0,-1389
2016-08-10,79600,80200,78800,80100,56424,4519562400,0.7547,-1729,21686,-19137,-3838,2994,-5029,-8736,-9,-1417,-800,-20,-3102
2016-08-11,80000,80300,79100,80300,44010,3534003000,0.2497,-2323,16585,-14262,-18327,1260,5758,-2649,-38,-266,0,0,0
2016-08-12,80800,82400,79500,81300,57538,4677839400,1.2453,-12748,-924,13772,-8843,2796,5665,9241,-5008,9921,-95,-5,0
2016-08-16,81400,82100,80000,80700,57480,4638636000,-0.738,-3920,2169,1851,-4881,7782,1136,-2612,0,426,-100,0,0
2016-08-17,80700,80800,77100,78200,99718,7797947600,-3.0979,22242,-4281,-18148,-14669,-5912,-667,4145,0,-1045,47,140,0
2016-08-18,78200,78300,76300,76700,77507,5944786900,-1.9182,19187,15490,-34552,-1508,-7849,-13554,-9278,0,-2363,-125,0,0
2016-08-19,76700,77500,75500,77400,71620,5543388000,0.9126,-3486,6052,-2564,-991,3135,-3631,3638,0,-4715,-2,0,0
2016-08-22,76400,76700,74500,75200,55772,4194054400,-2.8424,12052,-447,-11505,-1900,-1090,-8194,-3765,-1850,5294,-100,0,0
2016-08-23,74800,75800,74700,75300,59652,4491795600,0.133,191,11056,-11247,-5667,-5765,-47,-4492,0,4724,0,0,0
2016-08-24,75100,75400,74300,74700,56588,4227123600,-0.7968,2090,7163,-9102,2734,-4656,401,-7481,0,-100,100,-251,0
2016-08-25,74100,74600,73000,74500,54579,4066135500,-0.2677,4494,-3602,-921,12512,-5378,-7869,-685,14,485,29,0,0
2016-08-26,73800,75600,73100,75400,43315,3265951000,1.2081,-10297,-7489,16786,10748,601,3176,616,1500,145,1000,0,0
2016-08-29,74400,74700,73600,73800,48080,3548304000,-2.122,5950,7224,-13174,-4506,1279,3278,-5800,-1726,-5699,0,0,0
2016-08-30,73800,75200,73800,74700,46637,3483783900,1.2195,-547,6700,-5400,2664,-2366,-1911,-2063,0,-3971,-753,0,2247
2016-08-31,74500,74500,73000,73300,52724,3864669200,-1.8742,2133,11625,-13757,-4845,-6369,-507,-2717,0,681,-1,0,0
2016-09-01,73000,75800,73000,75500,45711,3451180500,3.0014,-8454,12995,-3978,10327,-4437,1605,-8332,0,-24,-563,0,-3117
2016-09-02,75500,77700,74800,76000,47904,3640704000,0.6623,-13262,388,12874,-37,2962,117,9481,-19,370,0,0,0
2016-09-05,76100,77400,75900,76800,23424,1798963200,1.0526,-2346,7096,-4448,-4000,-545,-1135,1151,0,716,-2,-300,-635
2016-09-06,77200,77700,76000,77700,32683,2539469100,1.1719,-7059,13518,-6209,1000,-3666,-482,1265,-19,-296,0,-250,-4011
2016-09-07,77800,78700,76800,77600,28982,2249003200,-0.1287,-6209,4261,1948,6972,-3228,-63,-1740,0,7,0,0,0
2016-09-08,77100,77800,75200,75200,39739,2988372800,-3.0928,9044,-492,-8552,6804,-12819,7,-1053,0,-70,0,0,-1421
2016-09-09,75300,75800,74500,75300,17904,1348171200,0.133,1237,2474,-3711,-1159,-1998,-271,3028,0,-3311,0,0,0
2016-09-12,73100,74000,70900,72200,79499,5739827800,-4.1169,19143,2436,-21629,5233,-13721,-9068,-2466,24,-1631,50,0,0
2016-09-13,72800,73500,71400,72900,31347,2285196300,0.9695,1440,15470,-16909,802,-14386,-3442,339,-710,488,-1,0,0
2016-09-19,73300,73300,72000,72400,34340,2486216000,-0.6859,6161,146,-6307,-1916,-2256,-66,-1840,0,-229,0,0,0
2016-09-20,72100,72600,71800,72000,43729,3148488000,-0.5525,8103,10895,-18999,-5241,-2371,-2128,-9181,0,-78,0,1,0
2016-09-21,71800,72500,71400,71900,18540,1333026000,-0.1389,1238,-617,-666,-254,2467,-1984,-955,0,60,41,4,0
2016-09-22,73300,73900,72300,73000,37655,2748815000,1.5299,-747,19761,-18385,-6312,-5242,3088,-8681,-1072,-166,0,-629,0
2016-09-23,73400,73600,72900,72900,44002,3207745800,-0.137,1287,6820,-8129,-1443,-6100,3353,-7425,-105,3704,25,-3,-113
