date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,19456,19700,19367,19500,1712977,33403051500,0.8012,-109568,152906,-43578,0,-9537,-791,-5057,0,-26253,254,-14,-1940
2016-05-26,19545,20278,19545,20056,2259528,45317093568,2.8513,-18073,-33908,51614,0,-8100,-1892,-4821,0,66427,-1,368,0
2016-05-27,20011,20033,19300,19389,2395339,46443227871,-3.3257,185488,-157176,-28599,0,-15535,-284,-9635,0,-3145,-1,288,0
2016-05-30,19411,19411,18790,19056,2147000,40913232000,-1.7175,-144994,145467,-4136,0,842,0,-1,0,-4977,2368,1295,0
2016-05-31,19100,23232,19078,21721,24693475,536366970475,13.9851,592146,-351851,-268478,4413,-11323,3322,667,150,-265707,2952,25231,0
2016-06-01,21544,21632,20033,20322,6659737,135339175314,-6.4408,-14586,-142338,152005,0,19691,7071,10601,0,114642,4662,257,0
2016-06-02,20944,21921,20389,20478,5907579,120975402762,0.7676,191069,-209262,16807,-976,9744,2081,30940,0,-24982,0,1386,0
2016-06-03,20389,21499,20344,20900,4053088,84709539200,2.0607,-133637,-128678,263023,5300,15011,36458,28429,0,177825,-1,-707,0
2016-06-07,21122,21766,20944,21699,4144885,89939859615,3.823,231306,-300285,-8262,175,1639,0,-1951,-50,-6070,-10001,87242,-2005
2016-06-08,21122,21810,20944,21410,4677466,100144547060,-1.3319,21972,-30068,14374,-263,-24217,-1491,-470,187,40628,-6738,460,0
2016-06-09,22210,22565,20788,20988,8987945,188638989660,-1.971,-10956,874930,-853435,-21185,-777555,-15386,-103551,0,64242,137,-10676,0
2016-06-10,21366,21855,21122,21610,3968190,85752585900,2.9636,-106611,95441,14622,-6444,-81670,-1178,-7884,0,111798,-1002,-2450,0
2016-06-13,21322,21322,20655,20788,2557181,53158678628,-3.8038,202120,-114093,9350,43,-9426,35,57,0,18641,-3998,-93379,0
2016-06-14,20788,21166,20122,20478,1535419,31442310282,-1.4912,118426,-76064,-39796,3175,-17039,-384,-5613,-137,-19798,124,-2690,0
2016-06-15,19634,20122,19456,19456,3243238,63100438528,-4.9907,259906,-148807,-111163,1038,-54045,-8795,-22189,0,-27172,-775,839,0
