date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,3050,3100,3010,3060,462990,1416749400,1.3245,21204,24912,-46112,-23360,-29507,-7174,-286,0,14215,-4,0,0
2016-05-26,3090,3090,2940,2960,770000,2279200000,-3.268,19425,5549,-25938,-1751,-13411,-5603,-1036,0,-4137,964,0,0
2016-05-27,2990,3070,2960,2990,332706,994790940,1.0135,-7132,-4481,11830,3472,-386,-630,187,0,9187,-17,-200,0
2016-05-30,2990,3080,2960,2980,924276,2754342480,-0.3344,12939,22469,-35385,-26413,-2770,-6132,-292,0,222,-23,0,0
2016-05-31,2980,3070,2960,3050,365280,1114104000,2.349,-17212,-1422,18667,-4844,28724,1745,-4649,0,-2309,-33,0,0
2016-06-01,3050,3120,3020,3110,355576,1105841360,1.9672,-5552,4263,1325,6585,705,-299,-1272,0,-5676,-36,0,1282
2016-06-02,3100,3150,3040,3040,380206,1155826240,-2.2508,25764,-3871,-21858,-11561,-10558,32,1630,0,-1401,-35,0,0
2016-06-03,3040,3070,3010,3060,307770,941776200,0.6579,11223,-12054,-1391,-8666,3308,63,449,0,3455,2222,0,0
2016-06-07,3070,3130,3030,3110,561940,1747633400,1.634,616,-26947,28246,17906,8673,0,-105,25,1747,-1893,-22,0
2016-06-08,3110,3160,2980,3050,560680,1710074000,-1.9293,21474,-5762,-16895,7704,-29402,-2978,4893,0,2888,1183,0,0
2016-06-09,3060,3080,2910,3080,2080786,6408820880,0.9836,-18160,171207,-153531,-38844,-106120,10830,-24170,0,4773,434,50,0
2016-06-10,3110,3130,2970,3070,769786,2363243020,-0.3247,4612,-13116,8904,-8132,21663,5615,-824,0,-9418,-400,0,0
2016-06-13,3060,3070,2890,2890,762200,2202758000,-5.8632,45482,-9987,-40759,-13324,-31582,4382,-2651,0,2416,5088,176,0
2016-06-14,2900,2940,2840,2890,466740,1348878600,0.0,-5092,40826,-32045,-12826,-20039,0,2284,-252,-1212,-3689,0,0
2016-06-15,2880,2930,2870,2890,216076,624459640,0.0,-4876,19783,-14744,-13111,-2016,0,725,-404,62,-168,5,0
2016-06-16,2890,2930,2840,2880,347716,1001422080,-0.346,623,-10469,9837,-13271,231,1418,21349,0,110,-1,10,0
2016-06-17,2880,2980,2860,2960,679136,2010242560,2.7778,-37453,20786,16671,-10448,-14916,6912,28835,0,6288,-4,0,0
2016-06-20,2960,2980,2890,2920,267880,782209600,-1.3514,19072,-913,-18096,0,-10025,-4788,544,-4042,215,2,-65,0
2016-06-21,2920,2940,2880,2890,258686,747602540,-1.0274,2429,1809,-4253,-4788,-74,0,601,0,8,2,13,0
2016-06-22,2880,2950,2880,2910,246760,718071600,0.692,3050,-203,-2871,-9251,6452,0,-72,0,0,0,24,0
2016-06-23,2890,2900,2800,2860,263566,753798760,-1.7182,4846,-1439,-3906,-2204,-927,-971,286,54,-144,499,0,0
2016-06-24,2840,2900,2680,2760,752030,2075602800,-3.4965,-35669,52051,-15972,-25266,2828,0,5890,0,576,-9,-401,0
