date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,5760,5790,5660,5730,662219,3794514870,-0.3478,59491,-48765,-10129,77080,-7299,7448,-2901,0,-84457,0,-597,0
2016-05-27,5750,5840,5690,5840,671715,3922815600,1.9197,-90096,126165,-35829,-49589,-3868,-1262,-4154,0,23044,-1,-239,0
2016-05-30,5800,5880,5760,5780,871727,5038582060,-1.0274,306969,-88179,-219790,-64825,14991,-59538,-4521,0,-105897,1000,0,0
2016-05-31,5780,5870,5750,5830,1928158,11241161140,0.8651,-106385,161990,-55605,-58066,21035,45243,-21574,0,-42243,0,0,0
2016-06-01,5830,5840,5760,5780,654491,3782957980,-0.8576,145898,-75075,-67959,75494,-41520,-23154,15818,0,-94597,-2501,-363,0
2016-06-02,5770,5790,5680,5720,926607,5300192040,-1.0381,253616,-6005,-244419,45300,-60773,-125707,7766,0,-111005,-2200,-992,0
2016-06-03,5690,5790,5690,5710,645753,3687249630,-0.1748,135714,30033,-165432,-78734,-29806,-99923,-21887,0,64918,500,-815,0
2016-06-07,5700,5880,5700,5860,751459,4403549740,2.627,-251805,237037,13270,58323,-5745,0,-21364,0,-17944,1699,-201,0
2016-06-08,5900,6020,5860,6010,1117253,6714690530,2.5597,-424107,301608,131274,95244,-18466,-8474,-3476,0,66446,-9000,225,0
2016-06-09,6020,6030,5940,5990,1622250,9717277500,-0.3328,-153333,-21380,174917,196633,-132208,-88934,-42518,0,241944,-303,99,0
2016-06-10,6020,6090,5970,5990,610129,3654672710,0.0,-99434,-53571,153298,-47,-1774,-29202,-15143,0,199464,-93,-200,0
2016-06-13,5990,6010,5830,5850,508523,2974859550,-2.3372,47305,-96505,53627,66549,5880,-31241,367,0,12072,-4480,53,0
2016-06-14,5860,5960,5830,5940,778295,4623072300,1.5385,-87905,-179959,271854,9808,288664,-1206,-16382,1000,-10030,-3967,-23,0
2016-06-15,5840,5910,5820,5860,526690,3086403400,-1.3468,136851,-123308,-13952,71261,14932,-77561,10074,1000,-33658,1,408,0
2016-06-16,5880,5940,5830,5860,617847,3620583420,0.0,-86726,-71286,158733,127008,20210,38868,996,2000,-30349,-697,-24,0
2016-06-17,5900,5950,5770,5830,570746,3327449180,-0.5119,56532,-2300,-54232,1985,10148,-41260,9882,0,-34987,0,0,0
