date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,23500,23800,23000,23350,164733,3846515550,0.8639,-34513,15847,18067,-16320,8143,5154,297,0,20793,523,76,0
2016-05-27,23400,23600,23100,23350,183107,4275548450,0.0,-37572,30188,4376,11907,11867,-7753,1451,0,-13096,2948,60,0
2016-05-30,23700,24100,23350,23700,241452,5722412400,1.4989,-15861,15484,674,7835,608,-8208,-137,0,576,-250,-47,0
2016-05-31,23650,23900,23350,23600,268410,6334476000,-0.4219,-28526,14412,12040,-23248,8912,176,67,0,22912,2074,0,3221
2016-06-01,23600,24550,23350,24350,371964,9057323400,3.178,-164950,96905,68457,488,14313,882,11525,0,41249,-270,-142,0
2016-06-02,24300,24350,23550,23900,255030,6095217000,-1.848,21717,-30404,8716,-279,20205,-6704,8110,0,-12616,0,-29,0
2016-06-03,23950,24100,23550,23650,183484,4339396600,-1.046,-8422,-27190,34770,6293,2117,-228,2152,0,24436,300,542,0
2016-06-07,23950,24500,23800,24250,207093,5022005250,2.537,-95779,20355,75630,3500,13081,24076,8816,0,26157,-201,-5,0
2016-06-08,24400,24800,24200,24450,228359,5583377550,0.8247,-69007,4489,63914,-4416,21008,4237,4512,0,38573,615,-11,0
2016-06-09,24700,24950,24450,24650,355846,8771603900,0.818,-78628,55866,24594,43185,-40879,6544,-12716,0,28460,-1900,68,0
2016-06-10,24850,26900,24750,26800,919338,24638258400,8.7221,-319874,217528,86262,85764,26160,-7563,-2125,0,-16638,16067,17,664
2016-06-13,26600,27150,26350,26500,492282,13045473000,-1.1194,-4217,-693,6485,-34975,18675,10458,2424,0,9903,-870,-705,0
2016-06-14,26750,26750,24950,24950,598078,14922046100,-5.8491,68029,13143,-76995,-25514,-65588,-10882,-2334,-4080,34291,-4178,1,-2888
2016-06-15,25000,25900,24800,25800,429546,11082286800,3.4068,22329,27107,-48978,11577,-436,-5949,1995,0,-53279,-399,-59,-2886
2016-06-16,25500,25750,24900,25050,275503,6901350150,-2.907,1788,20563,-20510,-5215,9080,-1392,11216,0,-34199,-1504,-337,0
2016-06-17,25100,25450,24450,24750,302929,7497492750,-1.1976,4084,71683,-74252,-50224,-2739,-5046,-5761,0,-10482,-1351,-164,0
