date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,65000,65300,64000,64100,159774,10241513400,-0.774,2853,-11952,11687,5652,-2650,4969,653,1000,2063,-2644,56,0
2016-05-27,65000,66300,63800,66300,426543,28279800900,3.4321,-151002,142374,24845,20945,-18420,3425,8132,7000,3763,-14853,-1364,0
2016-05-30,65800,66800,65200,66300,290968,19291178400,0.0,-45782,-2824,54907,25412,11675,-1803,13383,3200,3040,-6231,-70,0
2016-05-31,66000,66900,65600,66900,411866,27553835400,0.905,-57558,22932,42351,29292,2730,6536,12849,6275,-14177,-5470,-2255,-1154
2016-06-01,66700,67400,66500,67100,336668,22590422800,0.299,-61167,75631,-9560,10011,23908,-972,-11668,1479,-39318,-4801,-103,7000
2016-06-02,67000,67100,66100,66700,254725,16990157500,-0.5961,-32195,8491,23002,19775,24690,8904,-12325,0,-18042,269,433,0
2016-06-03,66500,69100,66200,68800,662562,45584265600,3.1484,-288476,109685,156683,42404,39684,33277,2752,-265,38831,23069,-961,0
2016-06-07,69400,71100,69100,70900,876613,62151861700,3.0523,-297522,148186,144564,26106,17481,-114,54971,4307,40457,4576,196,1356
2016-06-08,70900,71300,70500,71200,533545,37988404000,0.4231,-198244,215780,-35753,-21724,-37379,4534,-798,-2550,24864,14641,3576,-2700
2016-06-09,71100,71100,69700,69900,473453,33094364700,-1.8258,-13669,59371,-35009,-44732,2942,4264,-11098,-10,12825,-10929,236,800
2016-06-10,70200,72300,70000,71700,664645,47655046500,2.5751,-217828,28248,178167,53778,-4888,16267,30376,7847,77637,-2898,14311,-2850
2016-06-13,71800,72000,70000,70000,451637,31614590000,-2.371,56538,-27769,-34938,-33766,-8002,-16604,9380,0,14237,54,6115,-183
2016-06-14,69600,70300,67800,68000,523588,35603984000,-2.8571,133481,-84455,-50703,-10178,-5501,-18071,12087,-71,-30969,1250,427,2000
2016-06-15,67600,68700,66600,68000,400934,27263512000,0.0,19037,22737,-51366,-11228,-9046,-21499,1777,0,-11370,8756,836,0
2016-06-16,68500,68700,66600,66700,334397,22304279900,-1.9118,20569,65657,-86788,-37889,-11226,1710,-4756,-301,-34326,336,226,0
2016-06-17,67300,68500,66800,67400,292083,19686394200,1.0495,-17510,33063,-17451,-20665,-12416,6469,-6624,1416,14241,2081,-183,128
2016-06-20,68500,69600,68400,69100,352991,24391678100,2.5223,-37306,49354,-9337,-5841,-6681,4801,-4186,0,2570,-1653,-1058,0
2016-06-21,68700,69400,68300,69200,192911,13349441200,0.1447,-15011,3972,16965,-7578,20249,-1049,12591,0,-10248,2631,-8557,3000
2016-06-22,69300,71000,69000,69200,401693,27797155600,0.0,-15452,10081,16978,-18732,435,1336,8247,2084,22239,-11336,-271,1369
2016-06-23,69400,70300,68700,70200,401247,28167539400,1.4451,-111937,51451,62139,8878,8241,31413,3851,0,9503,-1311,-342,253
2016-06-24,71000,71100,66800,67900,991804,67343491600,-3.2764,-25446,24420,3173,20851,-4968,24351,3410,-3381,-32479,4310,-6457,-4611
2016-06-27,66500,70300,66100,69900,754219,52719908100,2.9455,-258876,183017,89358,5185,16593,1824,40779,15897,8861,-12826,-673,219
2016-06-28,69400,71000,69300,70000,380613,26642910000,0.1431,-23573,4708,15321,5195,4351,-1342,4831,0,-798,7265,-3721,3084
2016-06-29,71500,73800,71100,73100,1368775,100057452500,4.4286,-460588,375838,76393,22725,20742,31031,-12405,0,15230,13556,-5199,-930
2016-06-30,73900,74400,72700,73200,586262,42914378400,0.1368,-37516,25135,14058,-9328,3242,21085,11231,383,-9441,-1452,-225,-3114
2016-07-01,73400,73500,72000,72000,481045,34635240000,-1.6393,110818,-80396,-28617,-11320,-1278,2143,-17189,0,-973,4034,-5839,0
2016-07-04,71500,72600,71300,71600,349775,25043890000,-0.5556,12883,54838,-58825,-14402,-4129,-9481,-32844,4800,-2769,-1575,-7321,0
2016-07-05,71400,73400,71200,73000,467722,34143706000,1.9553,-72222,10353,60712,10964,12675,-5239,16530,5000,20535,1250,-93,247
2016-07-06,73100,73200,71100,72100,432764,31202284400,-1.2329,-31,-3272,3887,4652,-119,-5411,18163,0,-13398,-623,39,0
2016-07-07,72700,73900,71900,73800,735199,54257686200,2.3578,-213591,67616,146888,6403,14261,61294,50262,8231,1437,400,-1313,5000
2016-07-08,73600,76000,73400,75700,964582,73018857400,2.5745,-370147,134489,240160,66532,61836,44089,47225,6269,14209,-3772,-730,0
2016-07-11,76700,79700,76600,79200,1454156,115169155200,4.6235,-367461,74023,324818,69904,97306,55895,71529,2315,24450,-35214,3834,3419
2016-07-12,79600,79700,78100,78900,600535,47382211500,-0.3788,-42095,-47162,87584,42790,33108,3647,20564,-516,-9513,855,818,-2496
2016-07-13,78900,80300,77700,77700,639671,49702436700,-1.5209,-10267,37900,-26331,-20648,27908,-11287,1970,-970,-21065,-1933,631,-2239
2016-07-14,77700,79800,77600,79700,495119,39460984300,2.574,-159639,115699,42708,-1355,10914,2155,10731,-7,20270,2098,-866,0
2016-07-15,80200,80400,78300,78500,429048,33680268000,-1.5056,7667,10590,-19408,8244,-6448,540,-12022,300,-9551,1441,-290,-471
2016-07-18,78300,78700,76900,77200,509449,39329462800,-1.6561,-6518,76508,-65060,-23353,-26722,-5430,-13799,-3,4269,-5663,733,-22
2016-07-19,77900,78500,77000,77600,327455,25410508000,0.5181,11814,46709,-56007,-18719,-15129,-2968,-3139,0,-16052,-2428,-88,0
2016-07-20,78500,79600,78300,79500,499556,39714702000,2.4485,-140703,30133,109787,40085,16674,17429,27082,5171,3294,1653,-870,52
2016-07-21,80200,83000,79900,82100,809566,66465368600,3.2704,-260679,176461,85597,-22203,26452,31606,3301,1285,45047,-2231,852,109
2016-07-22,82100,82600,80200,80900,523888,42382539200,-1.4616,64842,-56604,-13763,-43598,15606,7280,-3230,-49,10372,5273,252,-144
2016-07-25,80300,81400,79200,79800,375442,29960271600,-1.3597,21707,7523,-30371,-11096,-4747,1936,-20855,-317,4708,46,1095,0
2016-07-26,80000,81000,79300,79500,341329,27135655500,-0.3759,5092,24860,-30560,-27805,8502,2406,-30506,-389,17736,418,190,-504
2016-07-27,80600,82400,80600,81000,852882,69083442000,1.8868,-246149,224646,42585,-12753,-561,27014,4423,-1294,23983,-20373,-709,1773
2016-07-28,81600,81700,80200,81000,367710,29784510000,0.0,-37153,64827,-26807,-18820,-4403,-4570,-6275,0,7683,-935,68,-422
2016-07-29,80600,81800,80400,80600,340194,27419636400,-0.4938,-41367,76243,-25697,-14391,15684,-541,-9315,500,-17634,-8850,-329,0
2016-08-01,80600,81000,79100,80800,334254,27007723200,0.2481,-38688,33276,10542,19298,-8082,5567,-5492,-1500,751,-5365,235,0
2016-08-02,80100,80500,79300,79500,330731,26293114500,-1.6089,74570,1776,-76421,-17061,13448,-9766,-47445,500,-16097,-429,504,0
2016-08-03,78700,78800,77100,78200,523437,40932773400,-1.6352,23462,36952,-58776,-11493,-28182,4774,-13456,292,-10711,-464,-1174,0
2016-08-04,79000,79400,77800,78800,242592,19116249600,0.7673,-13817,58612,-40289,-33892,-2511,1922,5880,-1580,-10108,-4008,-498,0
2016-08-05,78900,80800,78900,80100,400734,32098793400,1.6497,-91575,151068,-57465,-62600,7675,7783,-7982,-605,-1736,-1904,-124,0
2016-08-08,80400,81000,80200,80800,224679,18154063200,0.8739,-73337,44328,27888,31092,-1553,808,-6759,0,4300,3,1118,0
2016-08-09,80900,81900,80800,81200,402950,32719540000,0.495,-47108,101037,-39554,-26775,4788,502,-41478,-429,24965,-14320,-55,-1127
2016-08-10,81200,81300,80300,80600,286229,23070057400,-0.7389,-7398,77294,-69938,-40707,-15150,-7407,-4632,-1,47,-157,199,-2088
2016-08-11,80600,81200,80200,81200,239036,19409723200,0.7444,-42422,41641,-3406,-20008,194,-3301,-6668,93,26284,4360,-173,0
