date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,74100,74200,73300,73300,68579,5026840700,-0.9459,-938,-1900,4194,5081,-3765,-712,2881,0,1398,-1310,-46,-689
2016-05-27,74500,74500,71400,71400,167615,11967711000,-2.5921,40195,-31232,-8936,-2702,-2670,-450,-1777,0,-1337,50,-77,0
2016-05-30,71500,71600,69200,70000,220433,15430310000,-1.9608,17830,40521,-58151,-23711,-4652,-13117,-2587,0,-14084,-250,50,0
2016-05-31,70000,70400,69600,70300,466154,32770626200,0.4286,18651,29206,-47861,-7497,-16483,-4462,-7148,0,-12271,4,0,0
2016-06-01,70000,70700,69700,69700,129735,9042529500,-0.8535,22781,16375,-39154,-22855,-6810,-284,1236,0,-10441,-4,2,0
2016-06-02,69700,71200,69600,70800,76666,5427952800,1.5782,-10722,13057,-2578,6738,-4002,-173,899,0,-6040,270,-27,0
2016-06-03,70800,71200,69700,70400,103190,7264576000,-0.565,7021,5763,-10835,-501,-648,-4430,-5924,0,1569,-1924,-25,-901
2016-06-07,70500,71000,70000,70400,116594,8208217600,0.0,9841,37800,-47641,-35369,1594,-2435,-8750,0,-2681,0,0,0
2016-06-08,69900,72800,69900,72800,129435,9422868000,3.4091,-56790,47580,9213,9982,472,180,-8008,-1222,7809,-3,0,0
2016-06-09,72900,72900,71200,71800,117190,8414242000,-1.3736,6788,9300,-16030,-1851,-11310,1056,-13643,0,9718,-11,-47,0
2016-06-10,71900,72600,71500,72200,91609,6614169800,0.5571,-1904,-4696,6699,-1174,-16291,542,-1834,-2,25458,-99,0,0
2016-06-13,71700,72200,70700,71200,157766,11232939200,-1.385,-3574,11339,-7278,7940,-10195,-925,-9339,0,5241,-487,0,0
2016-06-14,71600,72400,70000,70600,164020,11579812000,-0.8427,-6331,54273,-41083,-20109,359,-465,-16583,-357,-3247,-6914,55,-681
2016-06-15,70500,70600,66400,67000,266744,17871848000,-5.0992,75951,40339,-110359,-19674,-24843,-13664,-7613,0,-44565,-5896,-35,0
2016-06-16,66200,66400,64900,65100,207315,13496206500,-2.8358,2382,30680,-35244,436,-12437,-8102,1812,0,-16953,2182,0,0
2016-06-17,65200,65800,64900,65300,109203,7130955900,0.3072,7719,-5251,-2770,-1236,-5347,-27,616,0,3224,302,0,0
2016-06-20,65800,66000,65200,65600,79142,5191715200,0.4594,18610,7144,-25462,-20727,-4554,267,-166,0,-282,-300,8,0
2016-06-21,65600,65600,63900,64500,118509,7643830500,-1.6768,41366,21506,-62835,-7566,-38599,-8379,271,0,-4662,222,-259,-3900
2016-06-22,64400,64700,64000,64700,113256,7327663200,0.3101,27630,9959,-37589,-22603,-18501,0,470,0,3045,0,0,0
2016-06-23,64300,64700,63100,63200,137280,8676096000,-2.3184,52017,-6036,-47614,-14515,-33274,1415,1263,0,-2503,1578,55,0
2016-06-24,64400,65200,61100,63400,284074,18010291600,0.3165,-25952,49219,-16043,-7226,-2369,603,-734,0,-6194,-7369,145,-123
2016-06-27,62900,64000,62700,63000,84571,5327973000,-0.6309,488,-10271,9847,242,557,2865,84,0,6099,-68,4,0
2016-06-28,62300,63400,62300,63200,83686,5288955200,0.3175,4601,19503,-24288,-7279,-17221,826,-722,0,108,183,1,0
2016-06-29,63500,64700,63400,64300,69003,4436892900,1.7405,4815,9939,-15312,-46,-160,-353,-9997,0,-4756,500,58,0
2016-06-30,64300,65800,64300,64800,101970,6607656000,0.7776,-13680,37167,-23529,-1067,-42,0,-12962,0,-9458,0,42,0
2016-07-01,65600,66000,64700,65400,82411,5389679400,0.9259,11917,2340,-14319,-998,-2431,-167,-10384,0,-339,0,62,0
2016-07-04,65800,66200,65100,66200,70047,4637111400,1.2232,-17357,21846,-1465,724,9048,809,-9952,0,-2094,-248,-2776,0
2016-07-05,66200,66200,65000,65900,75165,4953373500,-0.4532,3018,19971,-22922,-13389,-7442,-157,-21,0,-1913,-68,1,0
2016-07-06,65900,65900,64900,65500,87326,5719853000,-0.607,-6140,27635,-21906,-17141,-7897,1687,1159,-6500,6786,403,8,0
2016-07-07,65900,66400,65500,65900,64507,4251011300,0.6107,4504,14555,-18521,-5000,-12896,-185,-2599,0,2159,-500,-38,0
2016-07-08,65500,65800,64600,65800,92053,6057087400,-0.1517,5121,20430,-25732,-18169,-4591,775,-1547,0,-2200,181,0,0
2016-07-11,65700,66400,65000,65200,89964,5865652800,-0.9119,-4422,28932,-23711,-19590,-2536,0,-2255,0,943,-800,1,-273
2016-07-12,65200,66800,65200,66400,103365,6863436000,1.8405,-20763,41435,-21094,-12665,-3700,-165,167,0,-4458,500,-78,-273
2016-07-13,66400,66700,65600,65600,99458,6524444800,-1.2048,16650,20422,-37222,-5820,-12889,-6161,-1576,0,-5509,150,0,-5267
2016-07-14,65700,66100,64800,65700,75594,4966525800,0.1524,19324,15283,-34607,-3406,-13665,-1730,-15812,0,6,0,0,0
2016-07-15,65900,66200,65100,65600,73835,4843576000,-0.1522,21244,13692,-36636,-5213,-14667,-3172,-5214,0,-8370,1700,0,0
2016-07-18,65600,66100,65300,65600,53729,3524622400,0.0,8019,7399,-15418,-2009,-11555,0,-3474,0,1620,0,0,0
2016-07-19,66000,66800,65200,65700,76972,5057060400,0.1524,20517,19035,-39513,-8131,-7082,-15895,-5247,0,-3158,8,-47,0
2016-07-20,65700,65800,64800,65000,82828,5383820000,-1.0654,-2901,30756,-27855,-7656,-7773,-873,-7898,0,-2329,0,0,-1326
2016-07-21,65400,65700,64800,65000,67802,4407130000,0.0,11485,17522,-29008,-16869,-1797,-6249,-12477,0,8384,0,1,0
2016-07-22,65000,65100,64200,64500,69390,4475655000,-0.7692,44233,-33646,-10588,-3182,-2415,-4436,-1706,0,1151,0,1,0
2016-07-25,65900,66000,63700,63800,86282,5504791600,-1.0853,5726,-4027,-1449,-9997,1391,3555,-1956,0,5558,-200,-50,0
2016-07-26,64000,64500,63800,63900,110230,7043697000,0.1567,24621,-22875,-1746,-988,-3194,229,-3887,0,6094,0,0,0
2016-07-27,63800,65900,63800,65600,112030,7349168000,2.6604,-42532,37190,5262,3551,-4330,-521,2937,0,3625,100,-20,0
2016-07-28,66000,70200,65700,69800,303933,21214523400,6.4024,-93630,54525,40866,7912,649,11099,-2654,0,14860,-1630,-131,9000
2016-07-29,70200,71500,68600,68600,211130,14483518000,-1.7192,-16955,2075,15023,-1908,-13776,17,16183,4500,10007,-152,9,0
2016-08-01,68400,71700,68100,70500,169080,11920140000,2.7697,-32962,24396,9522,-3425,15030,270,-2121,0,-232,-950,-6,0
2016-08-02,70700,72000,70300,70300,140959,9909417700,-0.2837,-14499,-29135,43635,1396,394,-2,46988,0,-5141,0,-1,0
2016-08-03,69900,70700,68400,68400,109044,7458609600,-2.7027,17526,10944,-36062,120,-24146,4110,-11593,0,-4553,-8,7600,0
2016-08-04,68700,69700,68500,68800,66392,4567769600,0.5848,-4065,-520,4571,-6657,-2589,-51,12344,4500,-2976,14,0,0
2016-08-05,68400,69800,68300,69700,70367,4904579900,1.3081,-5832,-6207,11129,-623,5446,-712,8914,0,-1896,1020,-110,0
2016-08-08,69700,71000,68400,70000,78609,5502630000,0.4304,-11083,12306,-1205,132,-479,3432,-4319,0,29,-10,-8,0
2016-08-09,70000,71100,69300,70900,68771,4875863900,1.2857,-18390,3042,17236,1209,3111,49,9488,0,3707,-1876,-12,-328
2016-08-10,70600,71700,70100,71300,62504,4456535200,0.5642,-2628,-17346,20034,20993,-2367,-425,-1684,0,3517,-58,-2,0
2016-08-11,70900,71600,69800,70600,68416,4830169600,-0.9818,11140,5883,-17508,-19552,-4115,3008,-5608,0,5759,545,-60,3000
2016-08-12,69700,71400,69700,71000,53750,3816250000,0.5666,-14226,20690,-6273,-8824,-1433,-1000,-3707,0,8691,-199,8,0
2016-08-16,71300,71300,70200,70900,56130,3979617000,-0.1408,-8586,-5301,13887,614,-2754,905,13735,0,1387,0,0,0
2016-08-17,71100,71100,68900,69400,65492,4545144800,-2.1157,14480,-4319,-9545,950,-1475,-515,-7005,0,-1500,-716,100,0
2016-08-18,69300,69700,68500,69600,76246,5306721600,0.2882,8657,-1332,-7621,16066,-2897,-1625,-9704,0,-9461,293,3,0
2016-08-19,69200,69800,66000,66200,180420,11943804000,-4.8851,78982,-1008,-79159,-30562,-14496,-141,-22040,0,-11920,1095,90,0
2016-08-22,65500,65900,64700,65100,131880,8585388000,-1.6616,9082,34815,-42092,-29394,-717,-259,-9218,0,-2504,-1806,1,0
2016-08-23,65000,65600,64000,64100,119161,7638220100,-1.5361,24292,12130,-36451,-14467,-13298,4286,-7085,-3000,-2887,20,9,0
2016-08-24,63600,65100,63600,64400,89138,5740487200,0.468,18915,-8500,-12592,-16897,-1542,3895,-4615,0,6567,2106,71,0
2016-08-25,64900,65300,64100,65200,52614,3430432800,1.2422,1742,-3549,1710,-201,-7440,1494,-716,0,8573,92,5,0
2016-08-26,65000,66600,65000,66200,67676,4480151200,1.5337,-8479,-1215,9694,2358,-2627,6210,894,0,2859,0,0,0
2016-08-29,66300,66300,64400,64800,52101,3376144800,-2.1148,15454,-7886,-7663,-7584,-832,125,-2973,0,3601,92,3,0
2016-08-30,64800,66000,64000,64000,58284,3730176000,-1.2346,11738,9421,-22067,-10012,-8912,-971,-6438,0,4266,908,0,0
2016-08-31,64000,64500,63500,64400,84225,5424090000,0.625,8973,13483,-22456,-14521,-2528,621,-4682,0,-1346,0,0,0
2016-09-01,64300,64600,63400,64000,54671,3498944000,-0.6211,21236,-6516,-15735,-6257,-2811,-180,-439,0,-6048,1000,15,0
2016-09-02,64000,64200,62500,63500,119269,7573581500,-0.7812,41623,1095,-43650,-9766,-6230,2965,-15198,-6000,-9421,1000,-68,0
2016-09-05,63100,63800,63100,63200,51065,3227308000,-0.4724,10309,4732,-15041,-8525,-10055,17,-2480,0,6002,0,0,0
2016-09-06,63600,63900,63000,63200,54400,3438080000,0.0,15179,12892,-28071,-11951,-8210,-1551,-2448,-435,-3476,0,0,0
2016-09-07,62900,63700,62800,62900,59133,3719465700,-0.4747,18636,-206,-18443,1570,-5227,-12119,-4799,0,2132,13,0,0
2016-09-08,63000,64100,62600,63000,84003,5292189000,0.159,-1356,23740,-22463,-487,-21511,-2347,713,0,1169,79,0,0
2016-09-09,63500,64000,63000,63500,70367,4468304500,0.7937,-2003,12751,-10748,1207,-3512,-3087,-393,0,-4963,0,0,0
2016-09-12,63500,63500,62700,63400,42922,2721254800,-0.1575,-5751,-2035,7801,1450,-117,841,-511,0,6138,-17,2,0
2016-09-13,64500,64500,62500,62500,93830,5864375000,-1.4196,29723,-11042,-18624,1828,-2193,287,2063,0,-20609,-80,23,0
2016-09-19,62000,62600,61500,61700,95585,5897594500,-1.28,23303,19525,-43008,-9745,-4021,-5510,-3773,0,-19959,80,100,0
2016-09-20,61500,61700,60700,61100,93769,5729285900,-0.9724,26252,-10897,-15360,994,-2878,129,-1425,0,-12180,-1,6,0
2016-09-21,61100,62200,61000,62100,72122,4478776200,1.6367,-8460,11605,-3345,-3491,-529,107,8561,0,-7993,200,0,0
2016-09-22,61500,61900,59100,59600,301506,17969757600,-4.0258,81146,-24587,-55868,-20986,-29575,-45,995,-4142,-2115,-646,-45,0
2016-09-23,60000,60200,59300,60000,101543,6092580000,0.6711,23150,3245,-25879,-9244,-5354,1378,-18067,0,5408,-420,-96,0
2016-09-26,60200,60300,59300,59400,122092,7252264800,-1.0,23324,-39079,15669,-7993,22904,-12452,11765,0,1445,84,2,0
2016-09-27,59500,59500,58400,59000,161975,9556525000,-0.6734,43570,-19649,-18379,-19144,4567,-7876,4012,0,62,-5578,36,0
2016-09-28,59100,59300,58800,58900,163834,9649822600,-0.1695,956,8174,-8832,3300,-9340,-1549,-1699,0,456,-300,2,0
2016-09-29,58600,59200,58200,58400,105592,6166572800,-0.8489,30944,-25049,-7832,-426,-1730,142,-10546,0,4728,1925,12,0
2016-09-30,58300,58400,57300,57800,126602,7317595600,-1.0274,19618,3242,-17710,-18762,-6645,185,4465,0,3047,-5200,50,0
2016-10-04,57600,58200,56900,57500,167286,9618945000,-0.519,10482,-2156,-8535,-3423,-2243,32,-108,0,-2793,182,27,0
2016-10-05,57000,57200,56100,56600,164351,9302266600,-1.5652,23556,11434,-36219,-13992,-13148,-5,-6716,1000,-3358,1177,52,0
2016-10-06,56400,56700,55300,56100,144659,8115369900,-0.8834,38578,6644,-45075,-13990,-30451,-2247,8677,1000,-8064,-20,-127,0
2016-10-07,56100,56300,53500,53700,271375,14572837500,-4.2781,97055,-62277,-35049,126,-13873,149,8303,-28000,-1754,291,-20,0
2016-10-10,53700,55500,53600,55000,111835,6150925000,2.4209,-31604,11962,19843,-1462,6468,-1701,997,0,15541,-200,-1,0
2016-10-11,55600,56200,55000,55100,139197,7669754700,0.1818,-9671,-11227,21177,3352,1723,-2872,1787,0,17187,-297,18,0
2016-10-12,55800,57000,55200,56800,179406,10190260800,3.0853,-33908,-29917,64296,975,8948,19522,6786,0,28065,-465,-6,0
2016-10-13,56800,57100,55500,56300,122087,6873498100,-0.8803,29981,-5955,-24118,77,48,2371,-1119,0,-25495,90,2,0
2016-10-14,56400,56700,55300,55300,95779,5296578700,-1.7762,15802,-10039,-6512,-5987,336,1048,-4,0,-1905,629,120,0
2016-10-17,55900,56100,53600,53900,151665,8174743500,-2.5316,55526,-20268,-35503,1369,-10753,-4511,-11587,0,-10021,200,45,0
2016-10-18,53600,55000,53300,54800,160651,8803674800,1.6698,-6396,-27477,34003,45035,-4494,-5110,-10810,0,9382,-371,241,0
2016-10-19,54500,55300,53500,53600,165180,8853648000,-2.1898,53040,-40036,-4877,19367,-7825,-2524,1284,0,-15179,176,-8303,0
