date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,1024000,1032000,1007000,1009000,22922,23128298000,-1.7527,3385,2366,-5812,-1576,-1494,-591,-911,0,-1240,54,7,0
2016-05-27,1012000,1024000,1009000,1024000,14274,14616576000,1.4866,-3660,6929,-3235,-437,-1331,-299,14,47,-1229,-30,-4,0
2016-05-30,1025000,1029000,1009000,1029000,21259,21875511000,0.4883,-3129,8400,-5406,506,-613,-1734,-658,0,-2903,160,-25,-4
2016-05-31,1022000,1064000,1017000,1056000,62452,65949312000,2.6239,-13514,23691,-9588,-871,-373,-2848,-2941,0,-2484,-578,-11,-71
2016-06-01,1042000,1061000,1038000,1057000,31198,32976286000,0.0947,871,3885,-4684,1320,-1596,286,472,52,-5218,-21,-51,0
2016-06-02,1048000,1100000,1048000,1082000,38616,41782512000,2.3652,-8542,14001,-5545,398,-2433,-1641,1408,0,-2989,89,-3,-288
2016-06-03,1081000,1084000,1071000,1084000,23160,25105440000,0.1848,-341,-1342,1686,1678,-522,-888,-555,76,2097,0,-3,-200
2016-06-07,1116000,1117000,1082000,1088000,24485,26639680000,0.369,-1977,4018,-1799,238,-1311,23,-1380,-177,866,-96,-146,-58
2016-06-08,1099000,1104000,1072000,1100000,33964,37360400000,1.1029,-3522,1753,1797,1656,105,-492,-344,-416,1288,-5,-23,0
2016-06-09,1091000,1102000,1082000,1102000,36185,39875870000,0.1818,535,6576,-6910,-1767,-5853,283,-2877,136,3211,-201,0,-43
2016-06-10,1092000,1099000,1056000,1067000,38469,41046423000,-3.176,6352,-3280,-2970,-2876,-3934,-25,-2195,-316,6397,44,-146,-21
2016-06-13,1049000,1065000,1042000,1056000,28708,30315648000,-1.0309,80,1822,-1898,-2901,-569,1094,-528,-6,1133,-4,0,-121
2016-06-14,1056000,1073000,1050000,1072000,32567,34911824000,1.5152,-1503,-6788,7974,3614,2534,2958,604,250,-1827,-1,318,-159
2016-06-15,1071000,1072000,1052000,1055000,25498,26900390000,-1.5858,3619,-5982,2292,770,2453,853,-352,800,-2232,85,-14,0
2016-06-16,1056000,1070000,1050000,1061000,18642,19779162000,0.5687,-2542,4093,-1568,1365,665,405,-499,-147,-3357,19,-2,0
2016-06-17,1061000,1068000,1039000,1039000,24346,25295494000,-2.0735,5112,-3575,-1555,85,-2969,-684,570,-23,1553,16,2,-87
2016-06-20,1059000,1059000,1042000,1055000,12734,13434370000,1.5399,-1233,1010,211,668,-1158,699,32,300,-330,11,1,0
2016-06-21,1055000,1085000,1055000,1085000,20893,22668905000,2.8436,-8130,5259,2774,3231,235,-213,-165,366,-841,100,-3,161
2016-06-22,1093000,1093000,1063000,1081000,23770,25695370000,-0.3687,2329,-11696,9299,3838,1630,1462,1213,250,906,71,-3,0
2016-06-23,1088000,1099000,1071000,1090000,18275,19919750000,0.8326,-6414,4812,1586,2928,-1881,-1119,471,258,933,15,1,-4
2016-06-24,1080000,1095000,1045000,1064000,31906,33947984000,-2.3853,-993,2747,-1787,-691,1830,19,-94,-342,-2517,31,2,8
2016-06-27,1064000,1084000,1057000,1074000,22739,24421686000,0.9398,-229,-4157,4380,671,1450,-315,-498,-316,3518,6,0,-130
2016-06-28,1069000,1095000,1065000,1080000,22319,24104520000,0.5587,-5255,-1962,7191,4870,1488,481,27,124,161,30,-4,40
2016-06-29,1079000,1138000,1079000,1112000,36781,40900472000,2.963,-7457,9950,-2280,-1046,28,422,631,-555,-1967,-199,-14,207
2016-06-30,1122000,1166000,1107000,1117000,45826,51187642000,0.4496,-1892,4868,-2905,1798,-632,-214,1091,-29,-4829,-75,4,-90
2016-07-01,1128000,1149000,1120000,1126000,19219,21640594000,0.8057,-613,-1987,2642,2938,-1153,838,1409,90,-1480,75,-117,0
2016-07-04,1136000,1157000,1128000,1150000,24650,28347500000,2.1314,-2429,6248,-3223,-156,1194,-679,-1863,244,-1963,-296,-300,0
2016-07-05,1162000,1169000,1146000,1154000,26254,30297116000,0.3478,97,869,-822,1467,-799,-256,-803,-20,-378,-45,-99,-33
2016-07-06,1148000,1164000,1135000,1156000,24591,28427196000,0.1733,384,-4758,4372,2536,-1443,-1143,2685,0,1473,0,2,264
2016-07-07,1157000,1181000,1156000,1181000,18593,21958333000,2.1626,-4709,3316,1490,1919,-582,-533,176,0,510,-10,-87,0
2016-07-08,1166000,1199000,1093000,1128000,95705,107955240000,-4.4877,17080,-510,-16191,83,-7983,-3361,-1060,-29,-2746,-259,-120,-1095
2016-07-11,1103000,1119000,1061000,1088000,109078,118676864000,-3.5461,28783,-4867,-23916,-16007,-8920,-361,-3982,-79,5972,-26,26,-539
2016-07-12,1096000,1116000,1088000,1115000,50169,55938435000,2.4816,-7811,7856,69,426,-261,1770,94,269,-1460,-112,-2,-769
2016-07-13,1111000,1123000,1088000,1095000,44583,48818385000,-1.7937,5808,2090,-8220,-998,-1931,-139,-2267,42,-2616,339,-17,-311
2016-07-14,1096000,1120000,1096000,1120000,39505,44245600000,2.2831,-8419,3483,4936,6083,-1109,-479,-486,692,235,-1,1,0
2016-07-15,1122000,1141000,1113000,1120000,35621,39895520000,0.0,3431,289,-3674,3140,-1786,279,-584,-74,-4450,0,-46,-199
2016-07-18,1128000,1150000,1120000,1145000,26110,29895950000,2.2321,-3134,3140,128,1987,-1591,100,798,38,-1202,-133,-1,-2
2016-07-19,1155000,1166000,1142000,1146000,39986,45823956000,0.0873,30,4086,-3942,5542,-2696,-1222,-1153,10,-4393,-77,-97,-30
2016-07-20,1143000,1148000,1122000,1136000,21275,24168400000,-0.8726,4968,591,-5542,-2318,-1933,-29,-233,247,-1194,-20,3,-82
2016-07-21,1142000,1142000,1111000,1113000,27188,30260244000,-2.0246,6844,-2092,-4865,143,-1262,-1022,-1715,0,-963,113,0,-46
2016-07-22,1117000,1128000,1100000,1112000,24021,26711352000,-0.0898,570,1359,-1984,-814,-490,-1625,-128,-10,1265,20,35,-182
2016-07-25,1128000,1145000,1080000,1089000,38898,42359922000,-2.0683,10233,820,-11397,-6046,-65,-4194,-303,-31,-45,326,18,-713
2016-07-26,1089000,1098000,1082000,1092000,40356,44068752000,0.2755,6281,-5695,-625,-5003,1324,143,633,422,1961,40,-1,-105
2016-07-27,1078000,1079000,1003000,1003000,203687,204298061000,-8.1502,82560,-44595,-38410,-10088,-10062,-18475,1146,739,-1900,16,429,230
2016-07-28,1032000,1042000,1002000,1010000,164029,165669290000,0.6979,10573,1988,-11366,-1910,-2119,-4419,-1845,-107,-683,-965,-230,-283
2016-07-29,1018000,1029000,1001000,1008000,96355,97125840000,-0.198,2626,25527,-28395,-12373,-4097,-1067,-6003,12,-4707,164,78,-160
2016-08-01,990000,995000,942000,947000,148745,140861515000,-6.0516,37542,-7174,-30824,-4089,-12332,-8771,-5488,-270,577,379,77,-451
2016-08-02,949000,962000,938000,955000,71483,68266265000,0.8448,-6746,7267,-453,-66,3660,-2667,770,37,-2173,-54,-14,-14
2016-08-03,950000,969000,945000,960000,62397,59901120000,0.5236,-11571,13310,-2300,584,44,-835,-1051,-111,-931,-8,569,0
2016-08-04,960000,964000,946000,963000,37698,36303174000,0.3125,-1373,7176,-6038,-2153,-154,-3328,878,75,-1356,225,10,0
2016-08-05,955000,958000,912000,920000,106934,98379280000,-4.4652,10904,28178,-39169,-21022,-11262,530,-8546,-177,1701,61,26,-393
2016-08-08,925000,956000,901000,952000,130315,124059880000,3.4783,-19138,21229,-1347,-8416,2165,5583,-4919,-77,4519,-698,-46,-202
2016-08-09,960000,967000,939000,946000,55423,52430158000,-0.6303,5869,2619,-8524,-3653,-1242,1402,-3236,-58,-1368,31,5,-369
2016-08-10,946000,979000,945000,977000,55127,53859079000,3.277,-7305,2349,4808,-596,1903,155,1905,673,996,162,-14,-228
