date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,275000,276000,272000,272500,165260,45033350000,-0.5474,18409,-18439,94,-14175,-1530,11354,-1613,1000,4999,2,-66,59
2016-05-27,272000,277500,272000,275000,265168,72921200000,0.9174,14114,-66414,52909,4870,3202,27769,4333,-1536,14047,-546,-63,224
2016-05-30,276000,276000,268000,273000,237756,64907388000,-0.7273,49541,-8664,-42502,-27274,-2849,-968,-8076,1005,-4334,1232,393,-6
2016-05-31,272500,273000,269500,271000,265130,71850230000,-0.7326,40568,-2086,-38608,-26997,-5018,-2647,-5656,1916,-600,78,48,394
2016-06-01,270000,272500,269000,269500,220614,59455473000,-0.5535,51899,33361,-86208,-41238,-7381,-5047,-7654,1084,-23840,644,304,-2132
2016-06-02,271500,272000,268500,269000,200647,53974043000,-0.1855,46516,17893,-65385,-4992,-6603,-24787,-2138,-100,-26765,933,43,0
2016-06-03,270500,271500,262000,262500,350595,92031187500,-2.4164,86783,-63876,-27168,-23892,-2395,-5509,-6313,-530,11471,3539,722,0
2016-06-07,265500,267000,264000,265500,282837,75093223500,1.1429,-12363,26327,-12689,-15361,-2326,1635,-5622,0,9071,-835,-440,-86
2016-06-08,266000,274500,266000,272000,259639,70621808000,2.4482,-28851,29495,632,-20285,7558,658,-314,-1345,13112,-1702,426,1248
2016-06-09,274500,276500,271000,271000,297430,80603530000,-0.3676,4750,9535,-13039,3359,-25117,-2979,-6931,313,18667,-1248,2,-351
2016-06-10,270000,274000,269500,272500,124118,33822155000,0.5535,-7243,-15238,22330,1064,-4853,-1291,-3780,987,30203,208,-57,0
2016-06-13,270000,271500,267500,269000,130612,35134628000,-1.2844,13675,-16397,2693,-1282,-4220,-2688,-48,0,10931,-59,88,0
2016-06-14,270000,272500,263000,264000,197945,52257480000,-1.8587,66937,-69185,-376,-1685,15766,-9975,4001,-240,-8243,2468,156,0
2016-06-15,263500,266000,262000,262000,148681,38954422000,-0.7576,41443,-29690,-14388,-5858,4856,-1257,-1276,1000,-11853,2221,414,0
2016-06-16,261500,266500,257500,260000,202304,52599040000,-0.7634,11685,-2316,-6496,2341,-2109,2210,4749,-1731,-11761,-2903,30,-195
2016-06-17,262500,265000,258000,259000,180871,46845589000,-0.3846,13299,-26170,14524,-1068,-1910,12138,-1980,634,6878,-1656,3,-168
2016-06-20,263000,271000,262000,267000,230356,61505052000,3.0888,-30951,-16874,46886,7316,24396,6551,-1976,132,10317,206,733,150
2016-06-21,255500,258500,252000,257500,470967,121274002500,-3.5581,110357,-62146,-48240,-31891,-8325,-875,-18849,-1706,8914,-295,324,4492
2016-06-22,258000,258500,253500,255500,313149,80009569500,-0.7767,39466,-90567,47520,12152,9089,-5953,6928,2372,20432,3240,341,2500
2016-06-23,257000,259000,252000,253000,250258,63315274000,-0.9785,78280,-70483,-7632,-7387,2118,-11124,1184,2000,5582,-158,-7,-5
2016-06-24,256500,257000,238500,240000,602804,144672960000,-5.1383,101586,-74081,-34493,-11172,6047,824,-4160,-398,-25188,4256,2732,-446
2016-06-27,231000,240500,230000,238500,418524,99817974000,-0.625,12373,-22765,12491,-15579,3431,824,-3207,-2372,30430,-2098,-1,-1036
2016-06-28,235500,239500,234500,238500,368958,87996483000,0.0,78958,-54616,-25480,-18178,-1165,-767,-12861,-940,8295,850,288,136
2016-06-29,245500,258000,245500,257000,488673,125588961000,7.7568,-122585,115576,7967,21354,7930,4563,9668,-9527,-26734,-838,-120,713
2016-06-30,263500,263500,255500,260000,411978,107114280000,1.1673,20158,-2359,-18866,10964,-2451,-517,-3465,-1109,-22208,-840,1907,-80
2016-07-01,259000,259500,256000,258000,152999,39473742000,-0.7692,14495,-11200,-510,17171,-4053,-4987,-2944,440,-6342,-2811,26,205
2016-07-04,258000,263500,256500,262500,172075,45169687500,1.7442,-24132,9588,13084,6613,322,1886,-4364,6,8621,2355,-895,0
2016-07-05,262500,265000,261000,261500,158091,41340796500,-0.381,24711,-24096,-247,460,-2253,3121,-485,-52,-888,-388,20,-150
2016-07-06,259500,259500,247500,248500,429129,106638556500,-4.9713,198076,-152305,-45555,-19615,-14250,-11600,-4498,-410,4332,-567,351,486
2016-07-07,250000,252500,248000,249500,253246,63184877000,0.4024,47902,-39242,-10118,-621,-14051,-1307,-3379,0,9140,1331,127,100
2016-07-08,250000,252000,245500,247500,147738,36565155000,-0.8016,25294,19332,-45821,-6051,-8668,-20,-4417,5,-26670,1047,148,0
2016-07-11,245000,257000,245000,255000,289664,73864320000,3.0303,-95805,133668,-37932,-13434,-20830,-8768,-1671,-1375,8240,259,-190,-94
2016-07-12,253000,255000,248500,252000,164395,41427540000,-1.1765,24036,17316,-40693,-18153,-15128,-4379,-3720,-480,1904,-712,53,-737
2016-07-13,256000,257000,251500,253500,157337,39884929500,0.5952,-2411,26604,-23556,-6248,-6755,-660,-3323,-128,-5063,-517,-120,-1379
2016-07-14,252500,256000,251000,256000,164915,42218240000,0.9862,-1743,6520,-5322,2750,-6593,-931,5942,-121,-6369,534,11,0
2016-07-15,259000,260000,255500,258000,205077,52909866000,0.7812,-9883,35918,-32755,996,-10159,-3850,-7529,196,-10525,6796,-76,-1884
2016-07-18,260500,262500,256500,257500,144360,37172700000,-0.1938,30357,-8119,-23749,-20184,-5716,859,-859,-8,2164,1430,81,-5
2016-07-19,260500,262000,257500,259000,144119,37326821000,0.5825,-2994,28666,-25862,3295,-12328,-1943,-3122,-2,-11724,194,-4,-38
2016-07-20,259500,260500,255000,256000,130951,33523456000,-1.1583,18825,1805,-20876,-6349,2281,-10132,-3762,-516,-1556,229,17,-842
2016-07-21,256500,259000,248000,249000,330939,82403811000,-2.7344,114562,-83151,-30622,-17199,-9669,-9787,-18249,-1809,26659,-936,147,-568
2016-07-22,250500,250500,238500,240500,657471,158121775500,-3.4137,311413,-247605,-66717,-39222,-14970,-11541,-14568,-1485,16897,2104,805,-1828
2016-07-25,241000,243500,240000,243000,224512,54556416000,1.0395,6689,1953,-10256,-16730,1854,257,2141,0,2097,685,929,125
2016-07-26,242500,247000,242000,246500,210022,51770423000,1.4403,-6426,-7569,12253,-7948,-1664,494,3349,0,19105,2091,-349,-1083
2016-07-27,248000,248500,245000,246500,148775,36673037500,0.0,11835,21104,-32732,-8109,-10370,-417,-4549,-9,-9201,-145,-62,-77
2016-07-28,246500,247500,241500,242500,172604,41856470000,-1.6227,44399,-29127,-12899,-9490,-3652,5738,-11332,0,6893,-2540,167,-1056
2016-07-29,242500,249500,242500,243500,248177,60431099500,0.4124,8739,-23509,14562,12885,4010,-7458,6031,1143,-2141,229,-21,92
2016-08-01,244000,257000,244000,257000,362747,93225979000,5.5441,-109418,73464,34706,4534,9727,12726,7859,0,-1072,1330,-82,932
2016-08-02,255500,258500,250500,251000,221254,55534754000,-2.3346,38845,-33844,-4088,-5244,2370,357,1186,0,-2757,-930,17,0
2016-08-03,249000,250500,246000,249500,128706,32112147000,-0.5976,9063,11071,-20280,-289,-3634,-3518,-3415,-12,-9412,201,-55,0
2016-08-04,252500,253500,249500,251000,163442,41023942000,0.6012,-126,-24692,24856,19787,5709,10098,-2772,-6,-7260,-90,52,-700
2016-08-05,252000,253000,246500,246500,178401,43975846500,-1.7928,27663,-17827,-9776,3735,-6941,-4184,223,250,-2654,-203,143,-205
2016-08-08,247500,249000,246000,248000,150119,37229512000,0.6085,15076,-4391,-11778,-2941,-5850,507,-5463,2,201,1115,-22,1766
2016-08-09,248000,258000,246000,257500,287596,74055970000,3.8306,-118900,34905,85826,28339,33178,3782,14943,0,6496,-1818,-13,-912
2016-08-10,260000,268500,259500,265500,542350,143993925000,3.1068,-219515,75908,147099,73167,27730,12677,13136,2484,18383,-2229,-1263,-478
2016-08-11,266000,267000,260000,261500,194226,50790099000,-1.5066,37860,-49635,11571,66,-3156,2092,-1866,2480,11198,48,156,757
2016-08-12,265000,269000,264500,265000,220552,58446280000,1.3384,-26665,-30796,59554,33210,2043,-180,-1603,-282,25736,-1942,-151,630
2016-08-16,265000,265500,260500,261500,199852,52261298000,-1.3208,6293,7619,-12143,-4553,-6174,-2708,-1413,-891,3596,-1659,-110,0
2016-08-17,262000,263500,258500,262500,120690,31681125000,0.3824,6674,2447,-7220,-3365,-5847,4393,-2603,0,202,-2043,142,0
2016-08-18,263500,264500,258000,259000,152561,39513299000,-1.3333,26812,-4877,-22658,3601,-6902,297,-2127,6,-17533,636,87,0
2016-08-19,260000,263000,258000,262000,199995,52398690000,1.1583,-32431,66232,-37708,8827,-1710,-886,-11143,500,-32946,4096,-189,-350
