date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,40150,40350,39350,39400,528446,20820772400,-1.99,88176,-173309,84177,-8733,-3760,15490,1840,0,79340,1000,-44,0
2016-05-27,39450,39900,39200,39850,604973,24108174050,1.1421,19221,43000,-62235,-43503,-1313,11129,-5160,200,-23588,0,14,0
2016-05-30,39500,39800,39300,39400,339965,13394621000,-1.1292,39212,-14753,-23949,-18463,3854,-7127,-3150,0,-797,-557,47,1734
2016-05-31,39300,39850,39200,39550,1270825,50261128750,0.3807,49006,-26283,-23667,-16092,46022,-14674,-11440,0,-31331,984,-40,3848
2016-06-01,39100,39500,39100,39100,785368,30707888800,-1.1378,203957,24599,-230033,-68468,8702,4186,12523,122,-174959,1197,280,-12139
2016-06-02,39000,39100,38750,38800,684665,26565002000,-0.7673,256354,-191169,-69333,42652,8470,-2943,-11054,-1852,-100967,1001,3147,-3639
2016-06-03,38750,39150,38750,38800,696926,27040728800,0.0,63091,-236270,173289,29614,-7684,-2865,-5548,0,159772,-35,-75,0
2016-06-07,39100,39600,38600,39600,989863,39198574800,2.0619,-162135,47974,114472,-4583,-3454,-95,5160,-39,109293,-297,-14,8190
2016-06-08,39150,40300,39150,40300,904534,36452720200,1.7677,-343261,231520,111979,-82741,17971,-1968,17870,-4423,165970,-231,-7,-700
2016-06-09,40250,40800,39900,40100,1254498,50305369800,-0.4963,-129563,186548,-17966,-72115,-120765,9496,-37636,3681,214373,-38676,-343,-15000
2016-06-10,39700,40150,39500,39550,862665,34118400750,-1.3716,27907,-220912,192887,-60716,9311,-23980,-26046,650,293351,118,0,317
2016-06-13,39150,39450,38800,39400,1080761,42581983400,-0.3793,148721,-147206,-3621,-60901,-17753,-2476,-21251,2,99631,2071,35,-873
2016-06-14,39150,39200,38450,38450,880773,33865721850,-2.4112,474678,-436745,-42728,35205,-36425,-4261,-5816,1132,-32563,3106,1689,0
2016-06-15,38250,38400,37450,37700,1057891,39882490700,-1.9506,537182,-406388,-137384,-43609,-24975,-32580,-14394,24273,-72599,4610,1980,26500
2016-06-16,38000,38250,37500,37800,578892,21882117600,0.2653,121063,39870,-161072,-38020,-7010,19595,16531,5976,-158144,129,10,0
2016-06-17,38100,38100,37650,37800,533940,20182932000,0.0,68534,-50308,-19590,-2719,14429,-8274,2787,-558,-21790,2621,-1257,-3465
2016-06-20,38550,38750,38000,38650,761936,29448826400,2.2487,-129609,78747,47530,17172,-7080,31783,15631,-15000,-7376,-466,3798,12400
2016-06-21,38450,38600,38050,38400,422564,16226457600,-0.6468,46116,-879,-44894,2035,-11964,17794,318,-936,-52141,-459,116,0
2016-06-22,38450,38850,38250,38700,559983,21671342100,0.7812,8770,-23828,15018,26278,-86143,0,4134,-4000,74749,13,27,0
2016-06-23,39000,39050,38650,38800,726718,28196658400,0.2584,-138320,-74495,213395,53854,33019,-89,33836,0,92582,-580,0,193
2016-06-24,39100,39200,36900,37050,1410049,52242315450,-4.5103,292415,-264490,-131151,20466,-90321,8970,-12004,-777,-66837,106689,-3463,9352
2016-06-27,37350,37650,36600,37200,1121351,41714257200,0.4049,32474,-278847,237977,138412,20309,1092,-31361,-16,115622,8103,293,-6081
2016-06-28,36400,37400,36350,37300,993049,37040727700,0.2688,120354,-377398,251122,168308,27335,-1651,4504,57,46919,5807,115,5650
2016-06-29,37550,37850,37150,37450,770879,28869418550,0.4021,127387,-168778,70475,76102,-23417,43011,25817,-13650,-37388,-29601,517,0
2016-06-30,37950,38250,37500,38000,757969,28802822000,1.4686,-15623,181019,-164317,34368,-5304,-350,6337,0,-199368,-700,-379,0
2016-07-01,37150,38400,37150,38300,719641,27562250300,0.7895,-66012,196,31447,-26974,-23580,-3776,134659,-798,-48084,97,34272,0
2016-07-04,38350,38400,37800,38050,534322,20330952100,-0.6527,69997,73745,-144104,-4351,-8136,763,-86867,0,-45513,346,16,0
2016-07-05,37950,38450,37750,37900,386030,14630537000,-0.3942,56895,-35019,-24850,54020,-30717,-19615,-13644,-5,-14889,2824,150,0
2016-07-06,37700,38100,37250,37300,719469,26836193700,-1.5831,81561,-109350,28204,49557,-27380,-20945,-21084,-699,48755,-443,28,0
2016-07-07,37550,37850,37500,37500,449697,16863637500,0.5362,788,-42452,39599,-29737,-12631,-2370,14213,25000,45124,1363,702,0
2016-07-08,37200,37500,36750,37500,508186,19056975000,0.0,111403,-147732,35338,48369,22607,5516,12162,0,-53316,911,80,0
2016-07-11,37950,37950,37550,37800,487545,18429201000,0.8,-57032,-123356,180361,72677,-37729,2784,17314,5000,123806,-26,53,-3491
2016-07-12,37850,38350,37800,38300,618648,23694218400,1.3228,-171404,149776,21079,33833,-52427,-5726,-10416,9825,45103,700,-151,887
2016-07-13,38300,38600,38100,38550,679910,26210530500,0.6527,-87915,223422,-128440,44440,-49588,-9030,2301,0,-110176,-6967,-100,-6387
2016-07-14,38500,38500,38050,38250,492574,18840955500,-0.7782,70251,-74366,-1324,39659,-19019,4281,-25913,-439,107,5438,1,0
2016-07-15,38450,39300,38350,39100,1104791,43197328100,2.2222,-431686,270207,256998,57740,-5276,67902,142889,12908,-32422,-100865,5346,13257
