date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2024-07-29,44900,50200,40200,50200,17384643,872709078600,0.0,-399081,392339,73610,274475,52208,101882,8926,-15715,-215881,-69686,2818,-132285
2024-07-30,55200,61300,50900,55500,12895798,715716789000,10.5578,420122,-76523,-353413,-41096,-24138,-292883,-592,-590,6735,9750,64,-849
2024-07-31,53300,54800,49600,50300,3205739,161248671700,-9.3694,32137,-26451,-1447,3797,3170,-23193,532,-500,14787,-6004,1765,-40
2024-08-01,54300,57900,52100,52100,4381014,228250829400,3.5785,2401,-27642,21951,6828,11473,2581,3211,0,-2142,5534,-2244,0
2024-08-02,54200,55300,49800,52800,2818038,148792406400,1.3436,201926,-144019,-55476,-9207,-1281,-14175,-2815,0,-25998,-2996,565,-2000
2024-08-05,50200,51200,41100,46000,1991528,91610288000,-12.8788,-86226,82315,5607,3928,4563,1462,651,0,-4997,-2526,830,0
2024-08-06,48200,50200,46100,47850,1607795,76932990750,4.0217,-76915,43032,32936,21981,7210,-1,0,0,3746,468,479,0
2024-08-07,46950,51400,46000,49800,2042131,101698123800,4.0752,-98859,75104,20031,8658,15539,-2306,0,0,-1860,4778,-1054,0
2024-08-08,47800,48850,45850,46150,969895,44760654250,-7.3293,111093,-71731,-40112,-41480,192,-131,9,0,1298,-530,1280,0
2024-08-09,47250,48100,45850,45850,951094,43607659900,-0.6501,-91250,74202,17249,3916,-526,2955,2916,0,7988,498,-699,0
2024-08-12,46000,46200,43500,44550,812386,36191796300,-2.8353,-43742,54404,-10524,-409,-287,643,-315,0,-10156,250,-388,0
2024-08-13,44600,44900,41500,41500,722578,29986987000,-6.8462,13077,43645,-62885,-615,-9622,-52608,25,0,980,5242,921,-1045
2024-08-14,42400,44200,41900,41900,891940,37372286000,0.9639,-73839,14543,55806,22565,21281,2294,7767,0,1899,199,3291,0
2024-08-16,45000,49450,44600,48100,2633286,126661056600,14.7971,-8047,-72575,84218,19012,48052,-3660,25923,0,-4774,639,-4235,-335
2024-08-19,46250,46400,44550,44800,590188,26440422400,-6.8607,-28419,45036,-16674,0,-10102,-5737,-15,0,180,84,-27,-1000
2024-08-20,45900,46400,44000,44000,590136,25965984000,-1.7857,2777,-10370,9105,4579,499,1533,2560,0,-66,-1619,107,0
2024-08-21,42800,43300,41800,42450,464211,19705756950,-3.5227,37764,-42116,6338,6740,-2358,1949,270,0,-263,-1390,-596,0
2024-08-22,45550,45950,42500,42500,720940,30639950000,0.1178,43777,-47851,3805,0,4531,-544,-687,0,505,162,107,0
2024-08-23,41950,44750,41500,43950,569440,25026888000,3.4118,-53521,41122,13938,10000,1538,2400,0,0,0,-1355,-184,0
2024-08-26,43300,44300,41950,41950,324127,13597127650,-4.5506,51102,-47054,-2832,-5037,1,0,0,0,2204,-1375,159,0
